E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0089931E+00,3.09178E+01,1.0066E+01,2.8141E+03,4.9818E+00,2.8191E+03,0.000E-01,6.171E-01
2.0190381E+00,3.09719E+01,9.9906E+00,2.7792E+03,4.9771E+00,2.7842E+03,0.000E-01,6.141E-01
2.0291333E+00,3.10246E+01,9.9161E+00,2.7447E+03,4.9723E+00,2.7497E+03,0.000E-01,6.110E-01
2.0392790E+00,3.10762E+01,9.8421E+00,2.7107E+03,4.9674E+00,2.7157E+03,0.000E-01,6.080E-01
2.0494754E+00,3.11265E+01,9.7686E+00,2.6771E+03,4.9625E+00,2.6821E+03,0.000E-01,6.050E-01
2.0597227E+00,3.11757E+01,9.6957E+00,2.6439E+03,4.9575E+00,2.6488E+03,0.000E-01,6.019E-01
2.0700213E+00,3.12237E+01,9.6233E+00,2.6111E+03,4.9524E+00,2.6160E+03,0.000E-01,5.990E-01
2.0803714E+00,3.12706E+01,9.5514E+00,2.5787E+03,4.9472E+00,2.5836E+03,0.000E-01,5.960E-01
2.0907733E+00,3.13165E+01,9.4801E+00,2.5467E+03,4.9420E+00,2.5516E+03,0.000E-01,5.930E-01
2.1012272E+00,3.13613E+01,9.4093E+00,2.5151E+03,4.9367E+00,2.5200E+03,0.000E-01,5.901E-01
2.1117333E+00,3.14051E+01,9.3390E+00,2.4839E+03,4.9313E+00,2.4888E+03,0.000E-01,5.871E-01
2.1222920E+00,3.14479E+01,9.2692E+00,2.4531E+03,4.9258E+00,2.4580E+03,0.000E-01,5.842E-01
2.1329034E+00,3.14898E+01,9.1999E+00,2.4226E+03,4.9203E+00,2.4275E+03,0.000E-01,5.813E-01
2.1435680E+00,3.15308E+01,9.1311E+00,2.3925E+03,4.9147E+00,2.3974E+03,0.000E-01,5.784E-01
2.1542858E+00,3.15708E+01,9.0628E+00,2.3628E+03,4.9090E+00,2.3677E+03,0.000E-01,5.755E-01
2.1650572E+00,3.16099E+01,8.9951E+00,2.3335E+03,4.9033E+00,2.3384E+03,0.000E-01,5.727E-01
2.1758825E+00,3.16482E+01,8.9278E+00,2.3045E+03,4.8975E+00,2.3094E+03,0.000E-01,5.698E-01
2.1867619E+00,3.16856E+01,8.8610E+00,2.2759E+03,4.8916E+00,2.2808E+03,0.000E-01,5.670E-01
2.1976957E+00,3.17222E+01,8.7947E+00,2.2476E+03,4.8856E+00,2.2525E+03,0.000E-01,5.642E-01
2.2086842E+00,3.17580E+01,8.7289E+00,2.2197E+03,4.8796E+00,2.2246E+03,0.000E-01,5.613E-01
2.2197276E+00,3.17930E+01,8.6636E+00,2.1922E+03,4.8735E+00,2.1970E+03,0.000E-01,5.586E-01
2.2308263E+00,3.18272E+01,8.5988E+00,2.1649E+03,4.8674E+00,2.1698E+03,0.000E-01,5.558E-01
2.2419804E+00,3.18607E+01,8.5344E+00,2.1380E+03,4.8611E+00,2.1429E+03,0.000E-01,5.530E-01
2.2531903E+00,3.18935E+01,8.4705E+00,2.1115E+03,4.8548E+00,2.1163E+03,0.000E-01,5.503E-01
2.2644562E+00,3.19255E+01,8.4071E+00,2.0852E+03,4.8485E+00,2.0901E+03,0.000E-01,5.475E-01
2.2757785E+00,3.19569E+01,8.3442E+00,2.0593E+03,4.8420E+00,2.0642E+03,0.000E-01,5.448E-01
2.2871574E+00,3.19875E+01,8.2817E+00,2.0337E+03,4.8355E+00,2.0386E+03,0.000E-01,5.421E-01
2.2985932E+00,3.20175E+01,8.2197E+00,2.0085E+03,4.8290E+00,2.0133E+03,0.000E-01,5.394E-01
2.3100862E+00,3.20468E+01,8.1582E+00,1.9835E+03,4.8223E+00,1.9883E+03,0.000E-01,5.367E-01
2.3216366E+00,3.20755E+01,8.0971E+00,1.9589E+03,4.8156E+00,1.9637E+03,0.000E-01,5.340E-01
2.3332448E+00,3.21036E+01,8.0365E+00,1.9345E+03,4.8089E+00,1.9394E+03,0.000E-01,5.314E-01
2.3449110E+00,3.21311E+01,7.9763E+00,1.9105E+03,4.8020E+00,1.9153E+03,0.000E-01,5.287E-01
2.3566356E+00,3.21580E+01,7.9166E+00,1.8868E+03,4.7951E+00,1.8916E+03,0.000E-01,5.261E-01
2.3684187E+00,3.21843E+01,7.8574E+00,1.8633E+03,4.7882E+00,1.8681E+03,0.000E-01,5.235E-01
2.3802608E+00,3.22100E+01,7.7985E+00,1.8402E+03,4.7812E+00,1.8450E+03,0.000E-01,5.209E-01
2.3921621E+00,3.22352E+01,7.7402E+00,1.8173E+03,4.7741E+00,1.8221E+03,0.000E-01,5.183E-01
2.4041230E+00,3.22598E+01,7.6822E+00,1.7947E+03,4.7669E+00,1.7995E+03,0.000E-01,5.157E-01
2.4161436E+00,3.22840E+01,7.6247E+00,1.7724E+03,4.7597E+00,1.7772E+03,0.000E-01,5.131E-01
2.4282243E+00,3.23076E+01,7.5677E+00,1.7504E+03,4.7524E+00,1.7552E+03,0.000E-01,5.106E-01
2.4403654E+00,3.23307E+01,7.5110E+00,1.7287E+03,4.7451E+00,1.7334E+03,0.000E-01,5.081E-01
2.4525672E+00,3.23533E+01,7.4548E+00,1.7072E+03,4.7377E+00,1.7120E+03,0.000E-01,5.055E-01
2.4648301E+00,3.23754E+01,7.3991E+00,1.6860E+03,4.7302E+00,1.6907E+03,0.000E-01,5.030E-01
