E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,6.21804E+01,1.3472E+01,1.3495E+03,1.2101E+01,1.3616E+03,0.000E-01,6.198E-01
2.0104868E+00,6.21396E+01,1.3402E+01,1.3357E+03,1.2099E+01,1.3478E+03,0.000E-01,6.167E-01
2.0205393E+00,6.20971E+01,1.3332E+01,1.3221E+03,1.2097E+01,1.3342E+03,0.000E-01,6.136E-01
2.0306420E+00,6.20529E+01,1.3262E+01,1.3087E+03,1.2094E+01,1.3208E+03,0.000E-01,6.106E-01
2.0407952E+00,6.20071E+01,1.3193E+01,1.2954E+03,1.2092E+01,1.3075E+03,0.000E-01,6.075E-01
2.0509992E+00,6.19595E+01,1.3124E+01,1.2822E+03,1.2089E+01,1.2943E+03,0.000E-01,6.045E-01
2.0612542E+00,6.19100E+01,1.3056E+01,1.2692E+03,1.2086E+01,1.2813E+03,0.000E-01,6.015E-01
2.0715604E+00,6.18588E+01,1.2988E+01,1.2563E+03,1.2083E+01,1.2684E+03,0.000E-01,5.985E-01
2.0819182E+00,6.18057E+01,1.2920E+01,1.2436E+03,1.2079E+01,1.2557E+03,0.000E-01,5.955E-01
2.0923278E+00,6.17467E+01,1.2853E+01,1.2309E+03,1.2076E+01,1.2430E+03,0.000E-01,5.926E-01
2.1027895E+00,6.16898E+01,1.2786E+01,1.2184E+03,1.2072E+01,1.2305E+03,0.000E-01,5.896E-01
2.1133034E+00,6.16309E+01,1.2720E+01,1.2061E+03,1.2068E+01,1.2181E+03,0.000E-01,5.867E-01
2.1238699E+00,6.15699E+01,1.2654E+01,1.1938E+03,1.2064E+01,1.2059E+03,0.000E-01,5.838E-01
2.1344893E+00,6.15067E+01,1.2587E+01,1.1817E+03,1.2060E+01,1.1937E+03,0.000E-01,5.809E-01
2.1451617E+00,6.14410E+01,1.2516E+01,1.1691E+03,1.2055E+01,1.1812E+03,0.000E-01,5.780E-01
2.1558875E+00,6.13725E+01,1.2445E+01,1.1568E+03,1.2051E+01,1.1688E+03,0.000E-01,5.751E-01
2.1666670E+00,6.13012E+01,1.2375E+01,1.1445E+03,1.2046E+01,1.1566E+03,0.000E-01,5.722E-01
2.1775003E+00,6.12270E+01,1.2306E+01,1.1324E+03,1.2041E+01,1.1445E+03,0.000E-01,5.694E-01
2.1883878E+00,6.11498E+01,1.2236E+01,1.1204E+03,1.2035E+01,1.1325E+03,0.000E-01,5.666E-01
2.1993297E+00,6.10695E+01,1.2168E+01,1.1086E+03,1.2030E+01,1.1207E+03,0.000E-01,5.637E-01
2.2103264E+00,6.09861E+01,1.2100E+01,1.0969E+03,1.2024E+01,1.1090E+03,0.000E-01,5.609E-01
2.2213780E+00,6.09045E+01,1.2032E+01,1.0854E+03,1.2019E+01,1.0974E+03,0.000E-01,5.581E-01
