E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,4.86861E+01,9.6311E+00,1.0286E+03,1.1362E+01,1.0399E+03,0.000E-01,6.198E-01
2.0104868E+00,4.83770E+01,9.5759E+00,1.0176E+03,1.1358E+01,1.0289E+03,0.000E-01,6.167E-01
2.0205393E+00,4.80488E+01,9.5212E+00,1.0067E+03,1.1355E+01,1.0181E+03,0.000E-01,6.136E-01
2.0306420E+00,4.76993E+01,9.4668E+00,9.9600E+02,1.1351E+01,1.0073E+03,0.000E-01,6.106E-01
2.0407952E+00,4.73259E+01,9.4129E+00,9.8539E+02,1.1347E+01,9.9674E+02,0.000E-01,6.075E-01
2.0509992E+00,4.69257E+01,9.3594E+00,9.7492E+02,1.1343E+01,9.8626E+02,0.000E-01,6.045E-01
2.0612542E+00,4.64950E+01,9.3063E+00,9.6457E+02,1.1338E+01,9.7591E+02,0.000E-01,6.015E-01
2.0715604E+00,4.60294E+01,9.2537E+00,9.5434E+02,1.1334E+01,9.6567E+02,0.000E-01,5.985E-01
2.0819182E+00,4.55233E+01,9.2015E+00,9.4423E+02,1.1329E+01,9.5556E+02,0.000E-01,5.955E-01
2.0923278E+00,4.49700E+01,9.1496E+00,9.3425E+02,1.1324E+01,9.4557E+02,0.000E-01,5.926E-01
2.1027895E+00,4.43604E+01,9.0983E+00,9.2438E+02,1.1319E+01,9.3570E+02,0.000E-01,5.896E-01
2.1133034E+00,4.36829E+01,9.0473E+00,9.1462E+02,1.1314E+01,9.2594E+02,0.000E-01,5.867E-01
2.1238699E+00,4.29216E+01,8.9967E+00,9.0498E+02,1.1308E+01,9.1629E+02,0.000E-01,5.838E-01
2.1344893E+00,4.20539E+01,8.9465E+00,8.9546E+02,1.1303E+01,9.0676E+02,0.000E-01,5.809E-01
2.1451617E+00,4.10468E+01,8.8967E+00,8.8605E+02,1.1297E+01,8.9734E+02,0.000E-01,5.780E-01
2.1558875E+00,3.98476E+01,8.8473E+00,8.7674E+02,1.1291E+01,8.8804E+02,0.000E-01,5.751E-01
2.1666670E+00,3.83658E+01,8.7983E+00,8.6755E+02,1.1285E+01,8.7884E+02,0.000E-01,5.722E-01
2.1775003E+00,3.64219E+01,8.7497E+00,8.5847E+02,1.1278E+01,8.6974E+02,0.000E-01,5.694E-01
2.1883878E+00,3.35677E+01,8.7003E+00,8.4937E+02,1.1272E+01,8.6064E+02,0.000E-01,5.666E-01
2.1993297E+00,2.78928E+01,8.6506E+00,8.4032E+02,1.1265E+01,8.5158E+02,0.000E-01,5.637E-01
2.2051132E+00,1.47180E+01,8.6246E+00,8.3559E+02,1.1262E+01,8.4685E+02,0.000E-01,5.623E-01
2.2062866E+00,1.44147E+01,2.5848E+01,2.5030E+03,1.1261E+01,2.5142E+03,0.000E-01,5.620E-01
2.2103264E+00,2.56735E+01,2.5780E+01,2.4918E+03,1.1259E+01,2.5031E+03,0.000E-01,5.609E-01
2.2213780E+00,3.20631E+01,2.5595E+01,2.4616E+03,1.1252E+01,2.4728E+03,0.000E-01,5.581E-01
2.2324849E+00,3.45666E+01,2.5411E+01,2.4317E+03,1.1244E+01,2.4430E+03,0.000E-01,5.554E-01
2.2436473E+00,3.58899E+01,2.5228E+01,2.4022E+03,1.1237E+01,2.4135E+03,0.000E-01,5.526E-01
2.2548656E+00,3.65015E+01,2.5047E+01,2.3731E+03,1.1230E+01,2.3843E+03,0.000E-01,5.499E-01
2.2661399E+00,3.64465E+01,2.4867E+01,2.3444E+03,1.1222E+01,2.3556E+03,0.000E-01,5.471E-01
2.2774706E+00,3.53612E+01,2.4689E+01,2.3160E+03,1.1214E+01,2.3272E+03,0.000E-01,5.444E-01
2.2888579E+00,2.97952E+01,2.4512E+01,2.2879E+03,1.1206E+01,2.2992E+03,0.000E-01,5.417E-01
2.2904585E+00,2.53813E+01,2.4487E+01,2.2840E+03,1.1205E+01,2.2953E+03,0.000E-01,5.413E-01
2.2917415E+00,2.52987E+01,3.5886E+01,3.3454E+03,1.1204E+01,3.3566E+03,0.000E-01,5.410E-01
2.3003022E+00,3.56491E+01,3.5689E+01,3.3147E+03,1.1198E+01,3.3259E+03,0.000E-01,5.390E-01
2.3118037E+00,3.93788E+01,3.5427E+01,3.2740E+03,1.1190E+01,3.2852E+03,0.000E-01,5.363E-01
2.3233628E+00,4.16868E+01,3.5168E+01,3.2338E+03,1.1181E+01,3.2450E+03,0.000E-01,5.336E-01
2.3349796E+00,4.34321E+01,3.4910E+01,3.1941E+03,1.1173E+01,3.2053E+03,0.000E-01,5.310E-01
2.3466545E+00,4.48607E+01,3.4654E+01,3.1549E+03,1.1164E+01,3.1661E+03,0.000E-01,5.283E-01
2.3583878E+00,4.60806E+01,3.4400E+01,3.1162E+03,1.1155E+01,3.1274E+03,0.000E-01,5.257E-01
2.3701797E+00,4.71495E+01,3.4148E+01,3.0780E+03,1.1146E+01,3.0892E+03,0.000E-01,5.231E-01
2.3820306E+00,4.81028E+01,3.3898E+01,3.0403E+03,1.1136E+01,3.0515E+03,0.000E-01,5.205E-01
2.3939407E+00,4.89635E+01,3.3650E+01,3.0031E+03,1.1127E+01,3.0142E+03,0.000E-01,5.179E-01
2.4059104E+00,4.97480E+01,3.3405E+01,2.9663E+03,1.1117E+01,2.9774E+03,0.000E-01,5.153E-01
2.4179400E+00,5.04680E+01,3.3160E+01,2.9300E+03,1.1107E+01,2.9411E+03,0.000E-01,5.128E-01
2.4300297E+00,5.11326E+01,3.2918E+01,2.8941E+03,1.1097E+01,2.9052E+03,0.000E-01,5.102E-01
2.4421798E+00,5.17487E+01,3.2678E+01,2.8587E+03,1.1087E+01,2.8698E+03,0.000E-01,5.077E-01
2.4543907E+00,5.23217E+01,3.2440E+01,2.8237E+03,1.1077E+01,2.8348E+03,0.000E-01,5.052E-01
2.4666627E+00,5.28561E+01,3.2203E+01,2.7892E+03,1.1067E+01,2.8002E+03,0.000E-01,5.026E-01
2.4789960E+00,5.33553E+01,3.1968E+01,2.7551E+03,1.1056E+01,2.7661E+03,0.000E-01,5.001E-01
2.4913910E+00,5.38222E+01,3.1736E+01,2.7214E+03,1.1045E+01,2.7324E+03,0.000E-01,4.977E-01
2.5038479E+00,5.42592E+01,3.1504E+01,2.6881E+03,1.1034E+01,2.6992E+03,0.000E-01,4.952E-01
2.5163672E+00,5.46683E+01,3.1275E+01,2.6553E+03,1.1023E+01,2.6663E+03,0.000E-01,4.927E-01
2.5289490E+00,5.50508E+01,3.1048E+01,2.6229E+03,1.1012E+01,2.6339E+03,0.000E-01,4.903E-01
2.5415938E+00,5.54079E+01,3.0822E+01,2.5908E+03,1.1001E+01,2.6018E+03,0.000E-01,4.878E-01
2.5543017E+00,5.57405E+01,3.0598E+01,2.5592E+03,1.0989E+01,2.5702E+03,0.000E-01,4.854E-01
2.5670732E+00,5.60490E+01,3.0376E+01,2.5280E+03,1.0978E+01,2.5390E+03,0.000E-01,4.830E-01
2.5799086E+00,5.63336E+01,3.0155E+01,2.4971E+03,1.0966E+01,2.5081E+03,0.000E-01,4.806E-01
2.5928082E+00,5.65938E+01,2.9935E+01,2.4666E+03,1.0954E+01,2.4776E+03,0.000E-01,4.782E-01
2.6057722E+00,5.68290E+01,2.9717E+01,2.4365E+03,1.0942E+01,2.4474E+03,0.000E-01,4.758E-01
2.6188011E+00,5.70376E+01,2.9501E+01,2.4067E+03,1.0929E+01,2.4176E+03,0.000E-01,4.734E-01
2.6318951E+00,5.72174E+01,2.9286E+01,2.3773E+03,1.0917E+01,2.3882E+03,0.000E-01,4.711E-01
2.6450545E+00,5.73650E+01,2.9073E+01,2.3483E+03,1.0904E+01,2.3592E+03,0.000E-01,4.687E-01
2.6582798E+00,5.74747E+01,2.8862E+01,2.3196E+03,1.0892E+01,2.3305E+03,0.000E-01,4.664E-01
2.6715712E+00,5.75380E+01,2.8652E+01,2.2913E+03,1.0879E+01,2.3022E+03,0.000E-01,4.641E-01
2.6849291E+00,5.75399E+01,2.8444E+01,2.2633E+03,1.0866E+01,2.2742E+03,0.000E-01,4.618E-01
2.6983537E+00,5.74535E+01,2.8238E+01,2.2357E+03,1.0853E+01,2.2466E+03,0.000E-01,4.595E-01
2.7118455E+00,5.72210E+01,2.8033E+01,2.2085E+03,1.0839E+01,2.2193E+03,0.000E-01,4.572E-01
2.7254047E+00,5.66801E+01,2.7830E+01,2.1815E+03,1.0826E+01,2.1924E+03,0.000E-01,4.549E-01
2.7390317E+00,5.48263E+01,2.7628E+01,2.1550E+03,1.0812E+01,2.1658E+03,0.000E-01,4.527E-01
2.7404353E+00,5.42320E+01,2.7607E+01,2.1522E+03,1.0811E+01,2.1631E+03,0.000E-01,4.524E-01
2.7455647E+00,5.42566E+01,3.2004E+01,2.4904E+03,1.0806E+01,2.5012E+03,0.000E-01,4.516E-01
2.7527269E+00,5.62907E+01,3.1894E+01,2.4753E+03,1.0798E+01,2.4861E+03,0.000E-01,4.504E-01
2.7664905E+00,5.77964E+01,3.1684E+01,2.4468E+03,1.0785E+01,2.4576E+03,0.000E-01,4.482E-01
2.7803230E+00,5.86963E+01,3.1476E+01,2.4187E+03,1.0771E+01,2.4294E+03,0.000E-01,4.459E-01
2.7942246E+00,5.93792E+01,3.1270E+01,2.3908E+03,1.0756E+01,2.4016E+03,0.000E-01,4.437E-01
2.8081957E+00,5.99469E+01,3.1064E+01,2.3633E+03,1.0742E+01,2.3741E+03,0.000E-01,4.415E-01
2.8222367E+00,6.04418E+01,3.0861E+01,2.3362E+03,1.0728E+01,2.3469E+03,0.000E-01,4.393E-01
2.8363479E+00,6.08855E+01,3.0659E+01,2.3093E+03,1.0713E+01,2.3200E+03,0.000E-01,4.371E-01
2.8505296E+00,6.12908E+01,3.0458E+01,2.2828E+03,1.0698E+01,2.2935E+03,0.000E-01,4.350E-01
2.8647823E+00,6.16661E+01,3.0259E+01,2.2566E+03,1.0683E+01,2.2673E+03,0.000E-01,4.328E-01
2.8791062E+00,6.20157E+01,3.0055E+01,2.2302E+03,1.0668E+01,2.2409E+03,0.000E-01,4.306E-01
2.8935017E+00,6.23422E+01,2.9851E+01,2.2041E+03,1.0653E+01,2.2147E+03,0.000E-01,4.285E-01
2.9079692E+00,6.26487E+01,2.9649E+01,2.1783E+03,1.0638E+01,2.1889E+03,0.000E-01,4.264E-01
2.9225091E+00,6.29375E+01,2.9448E+01,2.1527E+03,1.0622E+01,2.1634E+03,0.000E-01,4.242E-01
2.9371216E+00,6.32102E+01,2.9249E+01,2.1275E+03,1.0607E+01,2.1381E+03,0.000E-01,4.221E-01
2.9518072E+00,6.34683E+01,2.9051E+01,2.1026E+03,1.0591E+01,2.1132E+03,0.000E-01,4.200E-01
2.9665662E+00,6.37128E+01,2.8854E+01,2.0780E+03,1.0575E+01,2.0885E+03,0.000E-01,4.179E-01
2.9813991E+00,6.39446E+01,2.8658E+01,2.0536E+03,1.0559E+01,2.0641E+03,0.000E-01,4.159E-01
2.9963061E+00,6.41630E+01,2.8460E+01,2.0292E+03,1.0543E+01,2.0398E+03,0.000E-01,4.138E-01
3.0112876E+00,6.43822E+01,2.8244E+01,2.0038E+03,1.0527E+01,2.0143E+03,0.000E-01,4.117E-01
3.0263440E+00,6.45811E+01,2.8023E+01,1.9783E+03,1.0511E+01,1.9888E+03,0.000E-01,4.097E-01
3.0414758E+00,6.47577E+01,2.7805E+01,1.9531E+03,1.0494E+01,1.9636E+03,0.000E-01,4.076E-01
3.0566831E+00,6.49116E+01,2.7587E+01,1.9282E+03,1.0478E+01,1.9386E+03,0.000E-01,4.056E-01
3.0719666E+00,6.50396E+01,2.7372E+01,1.9036E+03,1.0461E+01,1.9140E+03,0.000E-01,4.036E-01
3.0873264E+00,6.51351E+01,2.7158E+01,1.8793E+03,1.0444E+01,1.8897E+03,0.000E-01,4.016E-01
3.1027630E+00,6.51847E+01,2.6945E+01,1.8553E+03,1.0427E+01,1.8657E+03,0.000E-01,3.996E-01
3.1182768E+00,6.51563E+01,2.6734E+01,1.8316E+03,1.0410E+01,1.8420E+03,0.000E-01,3.976E-01
3.1338682E+00,6.49396E+01,2.6525E+01,1.8083E+03,1.0393E+01,1.8186E+03,0.000E-01,3.956E-01
3.1431727E+00,6.44455E+01,2.6401E+01,1.7945E+03,1.0383E+01,1.8049E+03,0.000E-01,3.945E-01
3.1495376E+00,6.39561E+01,2.8058E+01,1.9032E+03,1.0375E+01,1.9136E+03,0.000E-01,3.937E-01
3.1524272E+00,6.45350E+01,2.8018E+01,1.8988E+03,1.0372E+01,1.9091E+03,0.000E-01,3.933E-01
3.1652853E+00,6.54239E+01,2.7839E+01,1.8790E+03,1.0358E+01,1.8894E+03,0.000E-01,3.917E-01
