E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,5.11484E+01,1.3600E+01,2.0028E+03,7.5397E+00,2.0103E+03,0.000E+00,5.959E-01
2.224304E+00,5.14850E+01,1.2407E+01,1.7092E+03,7.4676E+00,1.7167E+03,0.000E+00,5.574E-01
2.377781E+00,5.16848E+01,1.1310E+01,1.4574E+03,7.3752E+00,1.4648E+03,0.000E+00,5.214E-01
2.541848E+00,5.17595E+01,1.0315E+01,1.2435E+03,7.2635E+00,1.2508E+03,0.000E+00,4.878E-01
2.717235E+00,5.17921E+01,9.4155E+00,1.0618E+03,7.1337E+00,1.0689E+03,0.000E+00,4.563E-01
2.904724E+00,5.17628E+01,8.6035E+00,9.0757E+02,6.9870E+00,9.1456E+02,0.000E+00,4.268E-01
3.105150E+00,5.17419E+01,7.8048E+00,7.7018E+02,6.8250E+00,7.7700E+02,0.000E+00,3.993E-01
3.319406E+00,5.15927E+01,6.9934E+00,6.4556E+02,6.6489E+00,6.5221E+02,0.000E+00,3.735E-01
3.548445E+00,5.13222E+01,6.2655E+00,5.4105E+02,6.4604E+00,5.4751E+02,0.000E+00,3.494E-01
3.793288E+00,5.09469E+01,5.6213E+00,4.5408E+02,6.2610E+00,4.6034E+02,0.000E+00,3.269E-01
4.055024E+00,5.04516E+01,5.0525E+00,3.8179E+02,6.0522E+00,3.8784E+02,0.000E+00,3.058E-01
4.334821E+00,4.97836E+01,4.5498E+00,3.2161E+02,5.8357E+00,3.2745E+02,0.000E+00,2.860E-01
4.633924E+00,4.88026E+01,4.1024E+00,2.7127E+02,5.6130E+00,2.7688E+02,0.000E+00,2.676E-01
4.953664E+00,4.69999E+01,3.6853E+00,2.2796E+02,5.3856E+00,2.3335E+02,0.000E+00,2.503E-01
5.142060E+00,4.45430E+01,3.4671E+00,2.0661E+02,5.2569E+00,2.1187E+02,0.000E+00,2.411E-01
5.220765E+00,4.13094E+01,3.3825E+00,1.9853E+02,5.2043E+00,2.0373E+02,0.000E+00,2.375E-01
5.241753E+00,3.75721E+01,3.3605E+00,1.9645E+02,5.1904E+00,2.0164E+02,0.000E+00,2.365E-01
5.273235E+00,4.12613E+01,1.0586E+01,6.1513E+02,5.1696E+00,6.2030E+02,0.000E+00,2.351E-01
5.295467E+00,4.26868E+01,1.0489E+01,6.0695E+02,5.1550E+00,6.1210E+02,0.000E+00,2.341E-01
5.351940E+00,4.43928E+01,1.0250E+01,5.8683E+02,5.1181E+00,5.9195E+02,0.000E+00,2.317E-01
5.511128E+00,4.56654E+01,9.6197E+00,5.3485E+02,5.0161E+00,5.3987E+02,0.000E+00,2.250E-01
5.595482E+00,4.47233E+01,9.3495E+00,5.1199E+02,4.9632E+00,5.1695E+02,0.000E+00,2.216E-01
5.617976E+00,4.30095E+01,9.2804E+00,5.0618E+02,4.9492E+00,5.1113E+02,0.000E+00,2.207E-01
5.651718E+00,4.50562E+01,1.2800E+01,6.9398E+02,4.9283E+00,6.9891E+02,0.000E+00,2.194E-01
5.660855E+00,4.54367E+01,1.2760E+01,6.9066E+02,4.9226E+00,6.9558E+02,0.000E+00,2.190E-01
5.736072E+00,4.70616E+01,1.2435E+01,6.6427E+02,4.8766E+00,6.6915E+02,0.000E+00,2.161E-01
5.869024E+00,4.81910E+01,1.1901E+01,6.2132E+02,4.7966E+00,6.2612E+02,0.000E+00,2.113E-01
5.958856E+00,4.80966E+01,1.1578E+01,5.9535E+02,4.7436E+00,6.0009E+02,0.000E+00,2.081E-01
5.982811E+00,4.73384E+01,1.1497E+01,5.8882E+02,4.7296E+00,5.9355E+02,0.000E+00,2.072E-01
6.018744E+00,4.84624E+01,1.3172E+01,6.7059E+02,4.7088E+00,6.7530E+02,0.000E+00,2.060E-01
6.051453E+00,4.90789E+01,1.3061E+01,6.6133E+02,4.6899E+00,6.6602E+02,0.000E+00,2.049E-01
6.108576E+00,4.97589E+01,1.2872E+01,6.4567E+02,4.6571E+00,6.5033E+02,0.000E+00,2.030E-01
6.469004E+00,5.19659E+01,1.1807E+01,5.5924E+02,4.4579E+00,5.6370E+02,0.000E+00,1.917E-01
6.915365E+00,5.34251E+01,1.0692E+01,4.7375E+02,4.2280E+00,4.7798E+02,0.000E+00,1.793E-01
7.392525E+00,5.43968E+01,9.6457E+00,3.9981E+02,4.0012E+00,4.0381E+02,0.000E+00,1.677E-01
7.902609E+00,5.50660E+01,8.6788E+00,3.3651E+02,3.7784E+00,3.4029E+02,0.000E+00,1.569E-01
8.447890E+00,5.55333E+01,7.8032E+00,2.8303E+02,3.5606E+00,2.8659E+02,0.000E+00,1.468E-01
