E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.93001E+01,1.3245E+00,6.6834E+02,3.0085E+00,6.7135E+02,0.000E+00,5.959E-01
2.224304E+00,1.92061E+01,1.1839E+00,5.5880E+02,2.9492E+00,5.6175E+02,0.000E+00,5.574E-01
2.377781E+00,1.91059E+01,1.0591E+00,4.6765E+02,2.8832E+00,4.7053E+02,0.000E+00,5.214E-01
2.541848E+00,1.89976E+01,9.4843E-01,3.9175E+02,2.8112E+00,3.9456E+02,0.000E+00,4.878E-01
2.717235E+00,1.88776E+01,8.5013E-01,3.2848E+02,2.7339E+00,3.3121E+02,0.000E+00,4.563E-01
2.904724E+00,1.87401E+01,7.6275E-01,2.7569E+02,2.6519E+00,2.7834E+02,0.000E+00,4.268E-01
3.105150E+00,1.85764E+01,6.7803E-01,2.2925E+02,2.5660E+00,2.3182E+02,0.000E+00,3.993E-01
3.319406E+00,1.83498E+01,5.9753E-01,1.8900E+02,2.4767E+00,1.9148E+02,0.000E+00,3.735E-01
3.548445E+00,1.80080E+01,5.2709E-01,1.5596E+02,2.3848E+00,1.5834E+02,0.000E+00,3.494E-01
3.793288E+00,1.73592E+01,4.6540E-01,1.2881E+02,2.2909E+00,1.3110E+02,0.000E+00,3.269E-01
3.957338E+00,1.62338E+01,4.3026E-01,1.1415E+02,2.2306E+00,1.1638E+02,0.000E+00,3.133E-01
4.017909E+00,1.47223E+01,4.1835E-01,1.0932E+02,2.2089E+00,1.1153E+02,0.000E+00,3.086E-01
4.034062E+00,1.28987E+01,4.1526E-01,1.0808E+02,2.2031E+00,1.1028E+02,0.000E+00,3.073E-01
4.055024E+00,1.45470E+01,4.0127E+00,1.0390E+03,2.1957E+00,1.0412E+03,9.325E+02,3.058E-01
4.058290E+00,1.47569E+01,4.0068E+00,1.0366E+03,2.1945E+00,1.0388E+03,9.303E+02,3.055E-01
4.118862E+00,1.64400E+01,3.8997E+00,9.9405E+02,2.1733E+00,9.9622E+02,8.922E+02,3.010E-01
4.334821E+00,1.80590E+01,3.5640E+00,8.6321E+02,2.0998E+00,8.6531E+02,7.751E+02,2.860E-01
4.633924E+00,1.88984E+01,3.1991E+00,7.2483E+02,2.0037E+00,7.2683E+02,6.518E+02,2.676E-01
4.953664E+00,1.93754E+01,2.8820E+00,6.1083E+02,1.9080E+00,6.1274E+02,5.503E+02,2.503E-01
5.295467E+00,1.96982E+01,2.5972E+00,5.1493E+02,1.8133E+00,5.1674E+02,4.647E+02,2.341E-01
5.660855E+00,1.99227E+01,2.3263E+00,4.3146E+02,1.7199E+00,4.3318E+02,3.898E+02,2.190E-01
6.051453E+00,2.00785E+01,2.0813E+00,3.6110E+02,1.6283E+00,3.6273E+02,3.264E+02,2.049E-01
6.469004E+00,2.01876E+01,1.8605E+00,3.0195E+02,1.5388E+00,3.0349E+02,2.731E+02,1.917E-01
6.915365E+00,2.02632E+01,1.6616E+00,2.5228E+02,1.4519E+00,2.5373E+02,2.283E+02,1.793E-01
7.392525E+00,2.03145E+01,1.4837E+00,2.1072E+02,1.3676E+00,2.1209E+02,1.908E+02,1.677E-01
7.902609E+00,2.03488E+01,1.3249E+00,1.7602E+02,1.2864E+00,1.7731E+02,1.595E+02,1.569E-01
8.447890E+00,2.04090E+01,1.1797E+00,1.4661E+02,1.2083E+00,1.4782E+02,1.329E+02,1.468E-01
9.030794E+00,2.04237E+01,1.0471E+00,1.2173E+02,1.1335E+00,1.2286E+02,1.104E+02,1.373E-01
9.653919E+00,2.04210E+01,9.2433E-01,1.0052E+02,1.0622E+00,1.0158E+02,9.126E+01,1.284E-01
2.011215E+01,2.02201E+01,2.3209E-01,1.2116E+01,5.0380E-01,1.2620E+01,1.106E+01,6.165E-02
