E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.55299E+01,6.4014E-01,3.6516E+02,2.5448E+00,3.6770E+02,0.000E+00,5.959E-01
2.224304E+00,1.53369E+01,5.7382E-01,3.0620E+02,2.4876E+00,3.0869E+02,0.000E+00,5.574E-01
2.377781E+00,1.50720E+01,5.1489E-01,2.5702E+02,2.4253E+00,2.5945E+02,0.000E+00,5.214E-01
2.541848E+00,1.46490E+01,4.6250E-01,2.1597E+02,2.3585E+00,2.1833E+02,0.000E+00,4.878E-01
2.717235E+00,1.36771E+01,4.1585E-01,1.8165E+02,2.2879E+00,1.8394E+02,0.000E+00,4.563E-01
2.765952E+00,1.30165E+01,4.0432E-01,1.7350E+02,2.2685E+00,1.7577E+02,0.000E+00,4.483E-01
2.808288E+00,1.14668E+01,3.9473E-01,1.6683E+02,2.2517E+00,1.6908E+02,0.000E+00,4.415E-01
2.819578E+00,9.60284E+00,3.9224E-01,1.6512E+02,2.2473E+00,1.6737E+02,0.000E+00,4.397E-01
2.836512E+00,1.14882E+01,4.0625E+00,1.7000E+03,2.2406E+00,1.7022E+03,1.537E+03,4.371E-01
2.878848E+00,1.32000E+01,3.9785E+00,1.6403E+03,2.2240E+00,1.6425E+03,1.484E+03,4.307E-01
2.904724E+00,1.36816E+01,3.9285E+00,1.6053E+03,2.2139E+00,1.6075E+03,1.452E+03,4.268E-01
3.105150E+00,1.53069E+01,3.5410E+00,1.3535E+03,2.1372E+00,1.3556E+03,1.226E+03,3.993E-01
3.319406E+00,1.60128E+01,3.1795E+00,1.1369E+03,2.0584E+00,1.1390E+03,1.031E+03,3.735E-01
3.548445E+00,1.64430E+01,2.8622E+00,9.5738E+02,1.9779E+00,9.5936E+02,8.699E+02,3.494E-01
3.793288E+00,1.67430E+01,2.5699E+00,8.0413E+02,1.8964E+00,8.0603E+02,7.317E+02,3.269E-01
4.055024E+00,1.69472E+01,2.2984E+00,6.7276E+02,1.8143E+00,6.7457E+02,6.128E+02,3.058E-01
4.334821E+00,1.70895E+01,2.0558E+00,5.6291E+02,1.7322E+00,5.6464E+02,5.133E+02,2.860E-01
4.633924E+00,1.71898E+01,1.8390E+00,4.7105E+02,1.6505E+00,4.7270E+02,4.299E+02,2.676E-01
4.953664E+00,1.72603E+01,1.6453E+00,3.9422E+02,1.5697E+00,3.9579E+02,3.601E+02,2.503E-01
5.295467E+00,1.73095E+01,1.4714E+00,3.2981E+02,1.4900E+00,3.3130E+02,3.016E+02,2.341E-01
5.660855E+00,1.73868E+01,1.3153E+00,2.7578E+02,1.4119E+00,2.7719E+02,2.525E+02,2.190E-01
6.051453E+00,1.74057E+01,1.1664E+00,2.2878E+02,1.3357E+00,2.3012E+02,2.096E+02,2.049E-01
6.469004E+00,1.74110E+01,1.0345E+00,1.8980E+02,1.2617E+00,1.9106E+02,1.740E+02,1.917E-01
6.915365E+00,1.74076E+01,9.1748E-01,1.5747E+02,1.1900E+00,1.5866E+02,1.444E+02,1.793E-01
7.392525E+00,1.73984E+01,8.1377E-01,1.3066E+02,1.1209E+00,1.3178E+02,1.198E+02,1.677E-01
7.902609E+00,1.73854E+01,7.2183E-01,1.0841E+02,1.0545E+00,1.0946E+02,9.946E+01,1.569E-01
8.447890E+00,1.73702E+01,6.4026E-01,8.9957E+01,9.9094E-01,9.0948E+01,8.255E+01,1.468E-01
9.030794E+00,1.73541E+01,5.6708E-01,7.4532E+01,9.3033E-01,7.5462E+01,6.842E+01,1.373E-01
9.653919E+00,1.73362E+01,4.9958E-01,6.1423E+01,8.7271E-01,6.2296E+01,5.643E+01,1.284E-01
2.011215E+01,1.71407E+01,1.1840E-01,6.9876E+00,4.2837E-01,7.4160E+00,6.431E+00,6.165E-02
2.149988E+01,1.71279E+01,1.0368E-01,5.7238E+00,4.0303E-01,6.1268E+00,5.267E+00,5.767E-02
2.298338E+01,1.71161E+01,9.0790E-02,4.6887E+00,3.7970E-01,5.0684E+00,4.314E+00,5.395E-02
2.456923E+01,1.71054E+01,7.9504E-02,3.8408E+00,3.5825E-01,4.1990E+00,3.533E+00,5.046E-02
2.626450E+01,1.70955E+01,6.9623E-02,3.1464E+00,3.3855E-01,3.4850E+00,2.893E+00,4.721E-02
2.807676E+01,1.70867E+01,6.0598E-02,2.5618E+00,3.2048E-01,2.8823E+00,2.356E+00,4.416E-02
3.001405E+01,1.70785E+01,5.2638E-02,2.0816E+00,3.0391E-01,2.3855E+00,1.914E+00,4.131E-02
3.208502E+01,1.70709E+01,4.5724E-02,1.6915E+00,2.8873E-01,1.9802E+00,1.556E+00,3.864E-02
