E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.70031E+01,4.4033E+00,1.5111E+03,4.1474E+00,1.5152E+03,0.000E+00,5.959E-01
2.224304E+00,2.70049E+01,3.9603E+00,1.2713E+03,4.0712E+00,1.2754E+03,0.000E+00,5.574E-01
2.377781E+00,2.69898E+01,3.5635E+00,1.0701E+03,3.9853E+00,1.0741E+03,0.000E+00,5.214E-01
2.541848E+00,2.69602E+01,3.2082E+00,9.0121E+02,3.8906E+00,9.0510E+02,0.000E+00,4.878E-01
2.717235E+00,2.69203E+01,2.8901E+00,7.5947E+02,3.7880E+00,7.6326E+02,0.000E+00,4.563E-01
2.904724E+00,2.68771E+01,2.6054E+00,6.4046E+02,3.6784E+00,6.4414E+02,0.000E+00,4.268E-01
3.105150E+00,2.68376E+01,2.3362E+00,5.3720E+02,3.5627E+00,5.4076E+02,0.000E+00,3.993E-01
3.319406E+00,2.67746E+01,2.0714E+00,4.4557E+02,3.4418E+00,4.4901E+02,0.000E+00,3.735E-01
3.548445E+00,2.66954E+01,1.8370E+00,3.6965E+02,3.3167E+00,3.7297E+02,0.000E+00,3.494E-01
3.793288E+00,2.66078E+01,1.6283E+00,3.0651E+02,3.1884E+00,3.0970E+02,0.000E+00,3.269E-01
4.055024E+00,2.65107E+01,1.4403E+00,2.5361E+02,3.0576E+00,2.5667E+02,0.000E+00,3.058E-01
4.334821E+00,2.64054E+01,1.2751E+00,2.1004E+02,2.9253E+00,2.1297E+02,0.000E+00,2.860E-01
4.633924E+00,2.62922E+01,1.1300E+00,1.7412E+02,2.7924E+00,1.7691E+02,0.000E+00,2.676E-01
4.953664E+00,2.61697E+01,1.0023E+00,1.4448E+02,2.6595E+00,1.4714E+02,0.000E+00,2.503E-01
5.295467E+00,2.60338E+01,8.8996E-01,1.2000E+02,2.5274E+00,1.2253E+02,0.000E+00,2.341E-01
5.660855E+00,2.58774E+01,7.9093E-01,9.9765E+01,2.3967E+00,1.0216E+02,0.000E+00,2.190E-01
6.051453E+00,2.56869E+01,7.0360E-01,8.3020E+01,2.2682E+00,8.5288E+01,0.000E+00,2.049E-01
6.469004E+00,2.54337E+01,6.2651E-01,6.9152E+01,2.1423E+00,7.1294E+01,0.000E+00,1.917E-01
6.915365E+00,2.50440E+01,5.5839E-01,5.7656E+01,2.0195E+00,5.9676E+01,0.000E+00,1.793E-01
7.392525E+00,2.41983E+01,4.9816E-01,4.8116E+01,1.9002E+00,5.0016E+01,0.000E+00,1.677E-01
7.554722E+00,2.34922E+01,4.8010E-01,4.5376E+01,1.8623E+00,4.7238E+01,0.000E+00,1.641E-01
7.670355E+00,2.20515E+01,4.6787E-01,4.3554E+01,1.8360E+00,4.5390E+01,0.000E+00,1.616E-01
7.701191E+00,2.03118E+01,4.6470E-01,4.3086E+01,1.8290E+00,4.4915E+01,0.000E+00,1.610E-01
7.747444E+00,2.20899E+01,3.8913E+00,3.5864E+02,1.8187E+00,3.6046E+02,3.162E+02,1.600E-01
7.863078E+00,2.36980E+01,3.7792E+00,3.4319E+02,1.7934E+00,3.4498E+02,3.024E+02,1.577E-01
7.902609E+00,2.39681E+01,3.7420E+00,3.3811E+02,1.7849E+00,3.3989E+02,2.979E+02,1.569E-01
8.447890E+00,2.55247E+01,3.3364E+00,2.8200E+02,1.6738E+00,2.8367E+02,2.484E+02,1.468E-01
9.030794E+00,2.61889E+01,3.0147E+00,2.3837E+02,1.5671E+00,2.3994E+02,2.104E+02,1.373E-01
9.653919E+00,2.65956E+01,2.7028E+00,1.9990E+02,1.4650E+00,2.0136E+02,1.769E+02,1.284E-01
2.011215E+01,2.73973E+01,7.4690E-01,2.6517E+01,6.5614E-01,2.7173E+01,2.374E+01,6.165E-02
2.149988E+01,2.73808E+01,6.6081E-01,2.1946E+01,6.0886E-01,2.2555E+01,1.966E+01,5.767E-02
2.298338E+01,2.73623E+01,5.8469E-01,1.8165E+01,5.6526E-01,1.8730E+01,1.628E+01,5.395E-02
2.456923E+01,2.73430E+01,5.1737E-01,1.5036E+01,5.2512E-01,1.5561E+01,1.348E+01,5.046E-02
2.626450E+01,2.73241E+01,4.5783E-01,1.2447E+01,4.8825E-01,1.2935E+01,1.117E+01,4.721E-02
2.807676E+01,2.73053E+01,4.0326E-01,1.0255E+01,4.5445E-01,1.0709E+01,9.208E+00,4.416E-02
3.001405E+01,2.72853E+01,3.5466E-01,8.4373E+00,4.2351E-01,8.8608E+00,7.582E+00,4.131E-02
3.208502E+01,2.72654E+01,3.1194E-01,6.9420E+00,3.9524E-01,7.3372E+00,6.244E+00,3.864E-02
3.429889E+01,2.72463E+01,2.7377E-01,5.6994E+00,3.6943E-01,6.0688E+00,5.129E+00,3.615E-02
3.666551E+01,2.72274E+01,2.3948E-01,4.6638E+00,3.4592E-01,5.0097E+00,4.198E+00,3.381E-02
3.919543E+01,2.72091E+01,2.0950E-01,3.8165E+00,3.2451E-01,4.1410E+00,3.435E+00,3.163E-02
4.189992E+01,2.71916E+01,1.8327E-01,3.1232E+00,3.0503E-01,3.4282E+00,2.811E+00,2.959E-02
4.479101E+01,2.71751E+01,1.6034E-01,2.5560E+00,2.8733E-01,2.8433E+00,2.301E+00,2.768E-02
4.788159E+01,2.71597E+01,1.4027E-01,2.0917E+00,2.7124E-01,2.3629E+00,1.883E+00,2.589E-02
5.118542E+01,2.71453E+01,1.2271E-01,1.7118E+00,2.5662E-01,1.9684E+00,1.541E+00,2.422E-02
5.471721E+01,2.71320E+01,1.0735E-01,1.4009E+00,2.4333E-01,1.6442E+00,1.261E+00,2.266E-02
