E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,6.50079E+01,1.4748E+01,1.3911E+03,1.1812E+01,1.4030E+03,0.000E-01,6.198E-01
2.0104868E+00,6.49860E+01,1.4677E+01,1.3776E+03,1.1811E+01,1.3894E+03,0.000E-01,6.167E-01
2.0205393E+00,6.49632E+01,1.4607E+01,1.3642E+03,1.1809E+01,1.3760E+03,0.000E-01,6.136E-01
2.0306420E+00,6.49394E+01,1.4538E+01,1.3510E+03,1.1808E+01,1.3628E+03,0.000E-01,6.106E-01
2.0407952E+00,6.49146E+01,1.4469E+01,1.3378E+03,1.1806E+01,1.3496E+03,0.000E-01,6.075E-01
2.0509992E+00,6.48887E+01,1.4400E+01,1.3249E+03,1.1804E+01,1.3367E+03,0.000E-01,6.045E-01
2.0612542E+00,6.48619E+01,1.4332E+01,1.3120E+03,1.1801E+01,1.3238E+03,0.000E-01,6.015E-01
2.0715604E+00,6.48340E+01,1.4264E+01,1.2993E+03,1.1799E+01,1.3111E+03,0.000E-01,5.985E-01
2.0819182E+00,6.48050E+01,1.4197E+01,1.2868E+03,1.1796E+01,1.2986E+03,0.000E-01,5.955E-01
2.0923278E+00,6.47749E+01,1.4130E+01,1.2744E+03,1.1794E+01,1.2862E+03,0.000E-01,5.926E-01
2.1027895E+00,6.47437E+01,1.4064E+01,1.2621E+03,1.1791E+01,1.2739E+03,0.000E-01,5.896E-01
2.1133034E+00,6.47114E+01,1.3998E+01,1.2499E+03,1.1787E+01,1.2617E+03,0.000E-01,5.867E-01
2.1238699E+00,6.46779E+01,1.3933E+01,1.2379E+03,1.1784E+01,1.2497E+03,0.000E-01,5.838E-01
2.1344893E+00,6.46433E+01,1.3868E+01,1.2260E+03,1.1781E+01,1.2377E+03,0.000E-01,5.809E-01
2.1451617E+00,6.46074E+01,1.3803E+01,1.2142E+03,1.1777E+01,1.2260E+03,0.000E-01,5.780E-01
2.1558875E+00,6.45702E+01,1.3739E+01,1.2025E+03,1.1773E+01,1.2143E+03,0.000E-01,5.751E-01
2.1666670E+00,6.45318E+01,1.3675E+01,1.1910E+03,1.1769E+01,1.2028E+03,0.000E-01,5.722E-01
2.1775003E+00,6.44921E+01,1.3612E+01,1.1796E+03,1.1764E+01,1.1914E+03,0.000E-01,5.694E-01
2.1883878E+00,6.44511E+01,1.3549E+01,1.1683E+03,1.1760E+01,1.1801E+03,0.000E-01,5.666E-01
2.1993297E+00,6.44086E+01,1.3487E+01,1.1572E+03,1.1755E+01,1.1689E+03,0.000E-01,5.637E-01
2.2103264E+00,6.43648E+01,1.3425E+01,1.1461E+03,1.1750E+01,1.1579E+03,0.000E-01,5.609E-01
