E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0089931E+00,3.00812E+01,8.0162E+00,2.4083E+03,4.7661E+00,2.4131E+03,0.000E-01,6.171E-01
2.0190381E+00,3.01077E+01,7.9563E+00,2.3784E+03,4.7614E+00,2.3832E+03,0.000E-01,6.141E-01
2.0291333E+00,3.01337E+01,7.8969E+00,2.3489E+03,4.7566E+00,2.3537E+03,0.000E-01,6.110E-01
2.0392790E+00,3.01591E+01,7.8379E+00,2.3198E+03,4.7518E+00,2.3245E+03,0.000E-01,6.080E-01
2.0494754E+00,3.01839E+01,7.7793E+00,2.2910E+03,4.7469E+00,2.2957E+03,0.000E-01,6.050E-01
2.0597227E+00,3.02083E+01,7.7212E+00,2.2626E+03,4.7419E+00,2.2673E+03,0.000E-01,6.019E-01
2.0700213E+00,3.02321E+01,7.6636E+00,2.2345E+03,4.7369E+00,2.2392E+03,0.000E-01,5.990E-01
2.0803714E+00,3.02554E+01,7.6064E+00,2.2068E+03,4.7318E+00,2.2115E+03,0.000E-01,5.960E-01
2.0907733E+00,3.02782E+01,7.5496E+00,2.1794E+03,4.7266E+00,2.1841E+03,0.000E-01,5.930E-01
2.1012272E+00,3.03006E+01,7.4932E+00,2.1524E+03,4.7214E+00,2.1571E+03,0.000E-01,5.901E-01
2.1117333E+00,3.03225E+01,7.4373E+00,2.1257E+03,4.7160E+00,2.1304E+03,0.000E-01,5.871E-01
2.1222920E+00,3.03439E+01,7.3818E+00,2.0993E+03,4.7106E+00,2.1040E+03,0.000E-01,5.842E-01
2.1329034E+00,3.03649E+01,7.3268E+00,2.0733E+03,4.7052E+00,2.0780E+03,0.000E-01,5.813E-01
2.1435680E+00,3.03855E+01,7.2721E+00,2.0476E+03,4.6996E+00,2.0523E+03,0.000E-01,5.784E-01
2.1542858E+00,3.04057E+01,7.2179E+00,2.0222E+03,4.6940E+00,2.0269E+03,0.000E-01,5.755E-01
