E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0089931E+00,3.05950E+01,8.9998E+00,2.5969E+03,4.8501E+00,2.6018E+03,0.000E-01,6.171E-01
2.0190381E+00,3.06327E+01,8.9329E+00,2.5648E+03,4.8454E+00,2.5696E+03,0.000E-01,6.141E-01
2.0291333E+00,3.06695E+01,8.8666E+00,2.5331E+03,4.8407E+00,2.5379E+03,0.000E-01,6.110E-01
2.0392790E+00,3.07056E+01,8.8007E+00,2.5017E+03,4.8359E+00,2.5066E+03,0.000E-01,6.080E-01
2.0494754E+00,3.07409E+01,8.7353E+00,2.4708E+03,4.8310E+00,2.4756E+03,0.000E-01,6.050E-01
2.0597227E+00,3.07755E+01,8.6704E+00,2.4402E+03,4.8261E+00,2.4451E+03,0.000E-01,6.019E-01
2.0700213E+00,3.08093E+01,8.6059E+00,2.4100E+03,4.8211E+00,2.4149E+03,0.000E-01,5.990E-01
2.0803714E+00,3.08423E+01,8.5420E+00,2.3802E+03,4.8160E+00,2.3850E+03,0.000E-01,5.960E-01
2.0907733E+00,3.08747E+01,8.4785E+00,2.3508E+03,4.8109E+00,2.3556E+03,0.000E-01,5.930E-01
2.1012272E+00,3.09064E+01,8.4155E+00,2.3217E+03,4.8056E+00,2.3265E+03,0.000E-01,5.901E-01
2.1117333E+00,3.09374E+01,8.3529E+00,2.2930E+03,4.8003E+00,2.2978E+03,0.000E-01,5.871E-01
2.1222920E+00,3.09677E+01,8.2909E+00,2.2646E+03,4.7950E+00,2.2694E+03,0.000E-01,5.842E-01
2.1329034E+00,3.09974E+01,8.2293E+00,2.2366E+03,4.7895E+00,2.2414E+03,0.000E-01,5.813E-01
2.1435680E+00,3.10265E+01,8.1681E+00,2.2090E+03,4.7840E+00,2.2137E+03,0.000E-01,5.784E-01
2.1542858E+00,3.10549E+01,8.1074E+00,2.1816E+03,4.7784E+00,2.1864E+03,0.000E-01,5.755E-01
2.1650572E+00,3.10828E+01,8.0472E+00,2.1547E+03,4.7728E+00,2.1594E+03,0.000E-01,5.727E-01
2.1758825E+00,3.11100E+01,7.9874E+00,2.1280E+03,4.7671E+00,2.1328E+03,0.000E-01,5.698E-01
2.1867619E+00,3.11367E+01,7.9281E+00,2.1017E+03,4.7613E+00,2.1064E+03,0.000E-01,5.670E-01
2.1976957E+00,3.11629E+01,7.8692E+00,2.0757E+03,4.7554E+00,2.0804E+03,0.000E-01,5.642E-01
2.2086842E+00,3.11885E+01,7.8107E+00,2.0500E+03,4.7495E+00,2.0548E+03,0.000E-01,5.613E-01
2.2197276E+00,3.12135E+01,7.7527E+00,2.0247E+03,4.7435E+00,2.0294E+03,0.000E-01,5.586E-01
