E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,4.93949E+01,2.9453E+01,3.4657E+03,1.0302E+01,3.4760E+03,0.000E-01,6.188E-01
2.0135813E+00,4.95668E+01,2.9236E+01,3.4231E+03,1.0298E+01,3.4334E+03,0.000E-01,6.157E-01
2.0236492E+00,4.97109E+01,2.9021E+01,3.3810E+03,1.0294E+01,3.3912E+03,0.000E-01,6.127E-01
2.0337675E+00,4.98232E+01,2.8807E+01,3.3394E+03,1.0290E+01,3.3497E+03,0.000E-01,6.096E-01
2.0439363E+00,4.98973E+01,2.8595E+01,3.2983E+03,1.0285E+01,3.3086E+03,0.000E-01,6.066E-01
2.0541560E+00,4.99234E+01,2.8385E+01,3.2577E+03,1.0281E+01,3.2680E+03,0.000E-01,6.036E-01
2.0644268E+00,4.98846E+01,2.8176E+01,3.2177E+03,1.0276E+01,3.2280E+03,0.000E-01,6.006E-01
2.0747489E+00,4.97497E+01,2.7969E+01,3.1781E+03,1.0271E+01,3.1884E+03,0.000E-01,5.976E-01
2.0851227E+00,4.94500E+01,2.7763E+01,3.1391E+03,1.0266E+01,3.1494E+03,0.000E-01,5.946E-01
2.0955483E+00,4.87803E+01,2.7559E+01,3.1005E+03,1.0261E+01,3.1108E+03,0.000E-01,5.917E-01
2.1052605E+00,4.65603E+01,2.7372E+01,3.0652E+03,1.0256E+01,3.0755E+03,0.000E-01,5.889E-01
2.1060260E+00,4.59823E+01,2.7357E+01,3.0624E+03,1.0256E+01,3.0727E+03,0.000E-01,5.887E-01
2.1099394E+00,4.66100E+01,3.2023E+01,3.5781E+03,1.0254E+01,3.5884E+03,0.000E-01,5.876E-01
2.1165562E+00,4.88117E+01,3.1865E+01,3.5494E+03,1.0250E+01,3.5596E+03,0.000E-01,5.858E-01
2.1271389E+00,5.02415E+01,3.1616E+01,3.5041E+03,1.0245E+01,3.5144E+03,0.000E-01,5.829E-01
2.1377746E+00,5.11310E+01,3.1369E+01,3.4594E+03,1.0239E+01,3.4697E+03,0.000E-01,5.800E-01
2.1484635E+00,5.18076E+01,3.1124E+01,3.4153E+03,1.0233E+01,3.4255E+03,0.000E-01,5.771E-01
2.1592058E+00,5.23662E+01,3.0880E+01,3.3717E+03,1.0227E+01,3.3820E+03,0.000E-01,5.742E-01
2.1700018E+00,5.28464E+01,3.0634E+01,3.3282E+03,1.0221E+01,3.3385E+03,0.000E-01,5.714E-01
2.1808519E+00,5.32687E+01,3.0390E+01,3.2852E+03,1.0214E+01,3.2955E+03,0.000E-01,5.685E-01
2.1917561E+00,5.36453E+01,3.0147E+01,3.2428E+03,1.0208E+01,3.2530E+03,0.000E-01,5.657E-01
2.2027149E+00,5.39832E+01,2.9907E+01,3.2009E+03,1.0201E+01,3.2111E+03,0.000E-01,5.629E-01
2.2137285E+00,5.42854E+01,2.9672E+01,3.1600E+03,1.0194E+01,3.1702E+03,0.000E-01,5.601E-01
2.2247971E+00,5.45633E+01,2.9456E+01,3.1214E+03,1.0187E+01,3.1316E+03,0.000E-01,5.573E-01
2.2359211E+00,5.48228E+01,2.9241E+01,3.0832E+03,1.0180E+01,3.0934E+03,0.000E-01,5.545E-01
2.2471007E+00,5.50631E+01,2.9027E+01,3.0454E+03,1.0173E+01,3.0556E+03,0.000E-01,5.518E-01
2.2583362E+00,5.52843E+01,2.8816E+01,3.0082E+03,1.0165E+01,3.0184E+03,0.000E-01,5.490E-01
2.2696279E+00,5.54865E+01,2.8607E+01,2.9716E+03,1.0158E+01,2.9817E+03,0.000E-01,5.463E-01
2.2809760E+00,5.56691E+01,2.8401E+01,2.9354E+03,1.0150E+01,2.9456E+03,0.000E-01,5.436E-01
2.2923809E+00,5.58303E+01,2.8197E+01,2.8999E+03,1.0142E+01,2.9100E+03,0.000E-01,5.409E-01
2.3038428E+00,5.59673E+01,2.7995E+01,2.8648E+03,1.0134E+01,2.8749E+03,0.000E-01,5.382E-01
2.3153620E+00,5.60743E+01,2.7796E+01,2.8303E+03,1.0126E+01,2.8404E+03,0.000E-01,5.355E-01
2.3269388E+00,5.61405E+01,2.7599E+01,2.7962E+03,1.0117E+01,2.8063E+03,0.000E-01,5.328E-01
2.3385735E+00,5.61421E+01,2.7404E+01,2.7627E+03,1.0109E+01,2.7728E+03,0.000E-01,5.302E-01
2.3502664E+00,5.60115E+01,2.7211E+01,2.7296E+03,1.0100E+01,2.7397E+03,0.000E-01,5.275E-01
2.3620177E+00,5.53232E+01,2.7020E+01,2.6969E+03,1.0091E+01,2.7070E+03,0.000E-01,5.249E-01
2.3625852E+00,5.52231E+01,2.7011E+01,2.6954E+03,1.0091E+01,2.7055E+03,0.000E-01,5.248E-01
2.3682149E+00,5.52961E+01,2.8804E+01,2.8675E+03,1.0087E+01,2.8776E+03,0.000E-01,5.235E-01
2.3738278E+00,5.60536E+01,2.8704E+01,2.8507E+03,1.0082E+01,2.8608E+03,0.000E-01,5.223E-01
2.3856970E+00,5.67760E+01,2.8494E+01,2.8158E+03,1.0073E+01,2.8259E+03,0.000E-01,5.197E-01
