E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,5.19057E+01,1.0361E+01,1.0865E+03,1.1421E+01,1.0979E+03,0.000E-01,6.198E-01
2.0104868E+00,5.17041E+01,1.0299E+01,1.0747E+03,1.1418E+01,1.0861E+03,0.000E-01,6.167E-01
2.0205393E+00,5.14927E+01,1.0238E+01,1.0629E+03,1.1414E+01,1.0744E+03,0.000E-01,6.136E-01
2.0306420E+00,5.12709E+01,1.0177E+01,1.0514E+03,1.1410E+01,1.0628E+03,0.000E-01,6.106E-01
2.0407952E+00,5.10388E+01,1.0117E+01,1.0400E+03,1.1407E+01,1.0514E+03,0.000E-01,6.075E-01
2.0509992E+00,5.07935E+01,1.0057E+01,1.0287E+03,1.1403E+01,1.0401E+03,0.000E-01,6.045E-01
2.0612542E+00,5.05350E+01,9.9978E+00,1.0175E+03,1.1398E+01,1.0289E+03,0.000E-01,6.015E-01
2.0715604E+00,5.02621E+01,9.9390E+00,1.0065E+03,1.1394E+01,1.0179E+03,0.000E-01,5.985E-01
2.0819182E+00,4.99733E+01,9.8808E+00,9.9563E+02,1.1389E+01,1.0070E+03,0.000E-01,5.955E-01
2.0923278E+00,4.96672E+01,9.8230E+00,9.8488E+02,1.1385E+01,9.9626E+02,0.000E-01,5.926E-01
2.1027895E+00,4.93418E+01,9.7657E+00,9.7426E+02,1.1380E+01,9.8564E+02,0.000E-01,5.896E-01
2.1133034E+00,4.89950E+01,9.7088E+00,9.6377E+02,1.1375E+01,9.7515E+02,0.000E-01,5.867E-01
2.1238699E+00,4.86243E+01,9.6524E+00,9.5341E+02,1.1370E+01,9.6478E+02,0.000E-01,5.838E-01
2.1344893E+00,4.82267E+01,9.5965E+00,9.4317E+02,1.1364E+01,9.5453E+02,0.000E-01,5.809E-01
2.1451617E+00,4.77985E+01,9.5411E+00,9.3306E+02,1.1359E+01,9.4441E+02,0.000E-01,5.780E-01
2.1558875E+00,4.73353E+01,9.4861E+00,9.2306E+02,1.1353E+01,9.3441E+02,0.000E-01,5.751E-01
2.1666670E+00,4.68315E+01,9.4315E+00,9.1319E+02,1.1347E+01,9.2454E+02,0.000E-01,5.722E-01
2.1775003E+00,4.62802E+01,9.3774E+00,9.0343E+02,1.1341E+01,9.1477E+02,0.000E-01,5.694E-01
2.1883878E+00,4.56724E+01,9.3238E+00,8.9379E+02,1.1334E+01,9.0513E+02,0.000E-01,5.666E-01
2.1993297E+00,4.49963E+01,9.2706E+00,8.8427E+02,1.1328E+01,8.9560E+02,0.000E-01,5.637E-01
2.2103264E+00,4.42358E+01,9.2178E+00,8.7486E+02,1.1321E+01,8.8618E+02,0.000E-01,5.609E-01
2.2213780E+00,4.33681E+01,9.1654E+00,8.6556E+02,1.1315E+01,8.7688E+02,0.000E-01,5.581E-01
2.2324849E+00,4.23593E+01,9.1135E+00,8.5638E+02,1.1308E+01,8.6768E+02,0.000E-01,5.554E-01
2.2436473E+00,4.11558E+01,9.0619E+00,8.4730E+02,1.1300E+01,8.5860E+02,0.000E-01,5.526E-01
2.2548656E+00,3.96644E+01,9.0108E+00,8.3833E+02,1.1293E+01,8.4962E+02,0.000E-01,5.499E-01
2.2661399E+00,3.76989E+01,8.9601E+00,8.2946E+02,1.1286E+01,8.4075E+02,0.000E-01,5.471E-01
2.2774706E+00,3.47858E+01,8.9098E+00,8.2070E+02,1.1278E+01,8.3198E+02,0.000E-01,5.444E-01
2.2888579E+00,2.88037E+01,8.8590E+00,8.1196E+02,1.1270E+01,8.2323E+02,0.000E-01,5.417E-01
2.2942849E+00,1.62146E+01,8.8346E+00,8.0781E+02,1.1266E+01,8.1907E+02,0.000E-01,5.404E-01
2.2955150E+00,1.59129E+01,2.6029E+01,2.3787E+03,1.1265E+01,2.3900E+03,0.000E-01,5.401E-01
2.3003022E+00,2.77369E+01,2.5949E+01,2.3665E+03,1.1262E+01,2.3777E+03,0.000E-01,5.390E-01
2.3118037E+00,3.36852E+01,2.5758E+01,2.3373E+03,1.1254E+01,2.3486E+03,0.000E-01,5.363E-01
2.3233628E+00,3.61133E+01,2.5568E+01,2.3086E+03,1.1246E+01,2.3199E+03,0.000E-01,5.336E-01
2.3349796E+00,3.74118E+01,2.5380E+01,2.2802E+03,1.1237E+01,2.2915E+03,0.000E-01,5.310E-01
2.3466545E+00,3.80194E+01,2.5194E+01,2.2522E+03,1.1228E+01,2.2635E+03,0.000E-01,5.283E-01
2.3583878E+00,3.79796E+01,2.5009E+01,2.2246E+03,1.1220E+01,2.2358E+03,0.000E-01,5.257E-01
2.3701797E+00,3.69517E+01,2.4826E+01,2.1973E+03,1.1211E+01,2.2085E+03,0.000E-01,5.231E-01
2.3820306E+00,3.20152E+01,2.4644E+01,2.1703E+03,1.1202E+01,2.1815E+03,0.000E-01,5.205E-01
2.3842276E+00,2.69354E+01,2.4610E+01,2.1654E+03,1.1200E+01,2.1766E+03,0.000E-01,5.200E-01
2.3855726E+00,2.68547E+01,3.5970E+01,3.1631E+03,1.1199E+01,3.1743E+03,0.000E-01,5.197E-01
2.3939407E+00,3.68932E+01,3.5781E+01,3.1355E+03,1.1192E+01,3.1467E+03,0.000E-01,5.179E-01
2.4059104E+00,4.07295E+01,3.5513E+01,3.0965E+03,1.1183E+01,3.1077E+03,0.000E-01,5.153E-01
2.4179400E+00,4.30624E+01,3.5247E+01,3.0581E+03,1.1173E+01,3.0693E+03,0.000E-01,5.128E-01
2.4300297E+00,4.48169E+01,3.4984E+01,3.0201E+03,1.1163E+01,3.0313E+03,0.000E-01,5.102E-01
2.4421798E+00,4.62493E+01,3.4722E+01,2.9827E+03,1.1153E+01,2.9938E+03,0.000E-01,5.077E-01
2.4543907E+00,4.74704E+01,3.4463E+01,2.9457E+03,1.1143E+01,2.9568E+03,0.000E-01,5.052E-01
2.4666627E+00,4.85392E+01,3.4206E+01,2.9091E+03,1.1133E+01,2.9203E+03,0.000E-01,5.026E-01
2.4789960E+00,4.94914E+01,3.3951E+01,2.8731E+03,1.1122E+01,2.8842E+03,0.000E-01,5.001E-01
2.4913910E+00,5.03506E+01,3.3698E+01,2.8375E+03,1.1112E+01,2.8486E+03,0.000E-01,4.977E-01
2.5038479E+00,5.11332E+01,3.3447E+01,2.8023E+03,1.1101E+01,2.8134E+03,0.000E-01,4.952E-01
2.5163672E+00,5.18510E+01,3.3198E+01,2.7676E+03,1.1090E+01,2.7787E+03,0.000E-01,4.927E-01
2.5289490E+00,5.25131E+01,3.2950E+01,2.7333E+03,1.1079E+01,2.7444E+03,0.000E-01,4.903E-01
2.5415938E+00,5.31265E+01,3.2705E+01,2.6995E+03,1.1068E+01,2.7106E+03,0.000E-01,4.878E-01
2.5543017E+00,5.36965E+01,3.2462E+01,2.6661E+03,1.1056E+01,2.6771E+03,0.000E-01,4.854E-01
2.5670732E+00,5.42277E+01,3.2221E+01,2.6331E+03,1.1045E+01,2.6442E+03,0.000E-01,4.830E-01
2.5799086E+00,5.47234E+01,3.1982E+01,2.6005E+03,1.1033E+01,2.6116E+03,0.000E-01,4.806E-01
2.5928082E+00,5.51867E+01,3.1744E+01,2.5684E+03,1.1021E+01,2.5794E+03,0.000E-01,4.782E-01
2.6057722E+00,5.56197E+01,3.1509E+01,2.5367E+03,1.1009E+01,2.5477E+03,0.000E-01,4.758E-01
2.6188011E+00,5.60245E+01,3.1275E+01,2.5053E+03,1.0997E+01,2.5163E+03,0.000E-01,4.734E-01
2.6318951E+00,5.64023E+01,3.1043E+01,2.4744E+03,1.0985E+01,2.4854E+03,0.000E-01,4.711E-01
2.6450545E+00,5.67544E+01,3.0813E+01,2.4438E+03,1.0972E+01,2.4548E+03,0.000E-01,4.687E-01
2.6582798E+00,5.70814E+01,3.0585E+01,2.4137E+03,1.0960E+01,2.4246E+03,0.000E-01,4.664E-01
2.6715712E+00,5.73837E+01,3.0359E+01,2.3839E+03,1.0947E+01,2.3948E+03,0.000E-01,4.641E-01
2.6849291E+00,5.76613E+01,3.0134E+01,2.3545E+03,1.0934E+01,2.3654E+03,0.000E-01,4.618E-01
2.6983537E+00,5.79137E+01,2.9911E+01,2.3254E+03,1.0921E+01,2.3364E+03,0.000E-01,4.595E-01
2.7118455E+00,5.81399E+01,2.9690E+01,2.2968E+03,1.0908E+01,2.3077E+03,0.000E-01,4.572E-01
2.7254047E+00,5.83380E+01,2.9470E+01,2.2684E+03,1.0894E+01,2.2793E+03,0.000E-01,4.549E-01
