E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.40835E+01,7.6005E+00,1.3387E+03,7.1271E+00,1.3458E+03,0.000E+00,5.959E-01
2.224304E+00,4.39110E+01,6.9120E+00,1.1389E+03,7.0522E+00,1.1460E+03,0.000E+00,5.574E-01
2.377781E+00,4.36841E+01,6.2955E+00,9.7033E+02,6.9579E+00,9.7729E+02,0.000E+00,5.214E-01
2.541848E+00,4.34025E+01,5.7429E+00,8.2802E+02,6.8450E+00,8.3486E+02,0.000E+00,4.878E-01
2.717235E+00,4.30533E+01,5.2385E+00,7.0654E+02,6.7149E+00,7.1325E+02,0.000E+00,4.563E-01
2.904724E+00,4.26007E+01,4.7633E+00,6.0098E+02,6.5687E+00,6.0755E+02,0.000E+00,4.268E-01
3.105150E+00,4.19395E+01,4.2790E+00,5.0504E+02,6.4080E+00,5.1145E+02,0.000E+00,3.993E-01
3.319406E+00,4.08316E+01,3.8064E+00,4.2025E+02,6.2341E+00,4.2648E+02,0.000E+00,3.735E-01
3.548445E+00,3.86509E+01,3.3869E+00,3.4981E+02,6.0487E+00,3.5586E+02,0.000E+00,3.494E-01
3.655498E+00,3.63248E+01,3.2169E+00,3.2252E+02,5.9628E+00,3.2848E+02,0.000E+00,3.392E-01
3.711449E+00,3.28236E+01,3.1337E+00,3.0944E+02,5.9182E+00,3.1536E+02,0.000E+00,3.341E-01
3.726370E+00,2.88247E+01,3.1121E+00,3.0608E+02,5.9063E+00,3.1199E+02,0.000E+00,3.327E-01
3.748750E+00,3.27064E+01,1.0810E+01,1.0568E+03,5.8885E+00,1.0627E+03,0.000E+00,3.307E-01
3.793288E+00,3.55740E+01,1.0551E+01,1.0194E+03,5.8533E+00,1.0253E+03,0.000E+00,3.269E-01
3.804702E+00,3.59170E+01,1.0487E+01,1.0101E+03,5.8443E+00,1.0159E+03,0.000E+00,3.259E-01
3.859240E+00,3.67476E+01,1.0186E+01,9.6728E+02,5.8014E+00,9.7308E+02,0.000E+00,3.213E-01
3.918310E+00,3.60579E+01,9.8767E+00,9.2379E+02,5.7552E+00,9.2955E+02,0.000E+00,3.164E-01
3.934062E+00,3.43002E+01,9.8038E+00,9.1330E+02,5.7429E+00,9.1904E+02,0.000E+00,3.152E-01
3.957690E+00,3.65333E+01,1.3528E+01,1.2528E+03,5.7245E+00,1.2585E+03,0.000E+00,3.133E-01
4.016760E+00,3.88109E+01,1.3157E+01,1.2004E+03,5.6788E+00,1.2061E+03,0.000E+00,3.087E-01
4.055024E+00,3.95586E+01,1.2926E+01,1.1683E+03,5.6494E+00,1.1739E+03,0.000E+00,3.058E-01
4.152750E+00,4.06024E+01,1.2377E+01,1.0923E+03,5.5749E+00,1.0979E+03,0.000E+00,2.986E-01
4.216313E+00,4.04916E+01,1.2056E+01,1.0479E+03,5.5269E+00,1.0534E+03,0.000E+00,2.941E-01
4.233263E+00,3.97108E+01,1.1973E+01,1.0366E+03,5.5142E+00,1.0421E+03,0.000E+00,2.929E-01
4.258688E+00,4.08706E+01,1.3698E+01,1.1788E+03,5.4952E+00,1.1843E+03,0.000E+00,2.911E-01
4.322250E+00,4.22127E+01,1.3387E+01,1.1351E+03,5.4479E+00,1.1405E+03,0.000E+00,2.869E-01
4.334821E+00,4.23881E+01,1.3327E+01,1.1267E+03,5.4386E+00,1.1321E+03,0.000E+00,2.860E-01
4.633924E+00,4.48579E+01,1.2054E+01,9.5336E+02,5.2225E+00,9.5858E+02,0.000E+00,2.676E-01
4.953664E+00,4.62849E+01,1.0916E+01,8.0757E+02,5.0025E+00,8.1257E+02,0.000E+00,2.503E-01
5.295467E+00,4.72544E+01,9.8417E+00,6.8112E+02,4.7801E+00,6.8590E+02,0.000E+00,2.341E-01
5.660855E+00,4.79270E+01,8.8515E+00,5.7305E+02,4.5567E+00,5.7761E+02,0.000E+00,2.190E-01
