E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0089931E+00,2.93165E+01,1.3855E+01,3.4632E+03,5.3080E+00,3.4685E+03,0.000E-01,6.171E-01
2.0190381E+00,2.95207E+01,1.3751E+01,3.4201E+03,5.3032E+00,3.4254E+03,0.000E-01,6.141E-01
2.0291333E+00,2.97142E+01,1.3650E+01,3.3779E+03,5.2982E+00,3.3832E+03,0.000E-01,6.110E-01
2.0392790E+00,2.98985E+01,1.3549E+01,3.3363E+03,5.2932E+00,3.3416E+03,0.000E-01,6.080E-01
2.0494754E+00,3.00744E+01,1.3449E+01,3.2953E+03,5.2880E+00,3.3006E+03,0.000E-01,6.050E-01
2.0597227E+00,3.02428E+01,1.3351E+01,3.2548E+03,5.2829E+00,3.2601E+03,0.000E-01,6.019E-01
2.0700213E+00,3.04043E+01,1.3253E+01,3.2149E+03,5.2776E+00,3.2202E+03,0.000E-01,5.990E-01
2.0803714E+00,3.05596E+01,1.3156E+01,3.1755E+03,5.2722E+00,3.1808E+03,0.000E-01,5.960E-01
2.0907733E+00,3.07091E+01,1.3060E+01,3.1367E+03,5.2668E+00,3.1419E+03,0.000E-01,5.930E-01
2.1012272E+00,3.08532E+01,1.2965E+01,3.0983E+03,5.2613E+00,3.1036E+03,0.000E-01,5.901E-01
2.1117333E+00,3.09923E+01,1.2870E+01,3.0605E+03,5.2557E+00,3.0657E+03,0.000E-01,5.871E-01
2.1222920E+00,3.11269E+01,1.2777E+01,3.0231E+03,5.2501E+00,3.0284E+03,0.000E-01,5.842E-01
2.1329034E+00,3.12571E+01,1.2684E+01,2.9863E+03,5.2443E+00,2.9915E+03,0.000E-01,5.813E-01
2.1435680E+00,3.13834E+01,1.2592E+01,2.9499E+03,5.2385E+00,2.9551E+03,0.000E-01,5.784E-01
2.1542858E+00,3.15059E+01,1.2501E+01,2.9140E+03,5.2326E+00,2.9192E+03,0.000E-01,5.755E-01
2.1650572E+00,3.16249E+01,1.2411E+01,2.8786E+03,5.2267E+00,2.8838E+03,0.000E-01,5.727E-01
2.1758825E+00,3.17407E+01,1.2322E+01,2.8436E+03,5.2206E+00,2.8488E+03,0.000E-01,5.698E-01
2.1867619E+00,3.18532E+01,1.2231E+01,2.8087E+03,5.2145E+00,2.8139E+03,0.000E-01,5.670E-01
2.1976957E+00,3.19623E+01,1.2142E+01,2.7742E+03,5.2083E+00,2.7794E+03,0.000E-01,5.642E-01
2.2086842E+00,3.20683E+01,1.2053E+01,2.7402E+03,5.2021E+00,2.7454E+03,0.000E-01,5.613E-01
