E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.49156E+01,3.2624E+00,1.2010E+03,3.7056E+00,1.2047E+03,0.000E+00,5.959E-01
2.224304E+00,2.48752E+01,2.9374E+00,1.0115E+03,3.6336E+00,1.0151E+03,0.000E+00,5.574E-01
2.377781E+00,2.48294E+01,2.6463E+00,8.5245E+02,3.5532E+00,8.5600E+02,0.000E+00,5.214E-01
2.541848E+00,2.47785E+01,2.3855E+00,7.1884E+02,3.4653E+00,7.2231E+02,0.000E+00,4.878E-01
2.717235E+00,2.47246E+01,2.1404E+00,6.0336E+02,3.3707E+00,6.0673E+02,0.000E+00,4.563E-01
2.904724E+00,2.46691E+01,1.9200E+00,5.0629E+02,3.2702E+00,5.0956E+02,0.000E+00,4.268E-01
3.105150E+00,2.46120E+01,1.7102E+00,4.2186E+02,3.1645E+00,4.2502E+02,0.000E+00,3.993E-01
3.319406E+00,2.45255E+01,1.5080E+00,3.4798E+02,3.0547E+00,3.5103E+02,0.000E+00,3.735E-01
3.548445E+00,2.44274E+01,1.3310E+00,2.8731E+02,2.9414E+00,2.9025E+02,0.000E+00,3.494E-01
3.793288E+00,2.43202E+01,1.1760E+00,2.3746E+02,2.8255E+00,2.4029E+02,0.000E+00,3.269E-01
4.055024E+00,2.42039E+01,1.0400E+00,1.9645E+02,2.7078E+00,1.9916E+02,0.000E+00,3.058E-01
4.334821E+00,2.40759E+01,9.2070E-01,1.6269E+02,2.5891E+00,1.6528E+02,0.000E+00,2.860E-01
4.633924E+00,2.39312E+01,8.1589E-01,1.3486E+02,2.4700E+00,1.3733E+02,0.000E+00,2.676E-01
4.953664E+00,2.37601E+01,7.2375E-01,1.1191E+02,2.3512E+00,1.1426E+02,0.000E+00,2.503E-01
5.295467E+00,2.35437E+01,6.4266E-01,9.2957E+01,2.2334E+00,9.5190E+01,0.000E+00,2.341E-01
5.660855E+00,2.32388E+01,5.7123E-01,7.7292E+01,2.1172E+00,7.9409E+01,0.000E+00,2.190E-01
6.051453E+00,2.27115E+01,5.0825E-01,6.4331E+01,2.0030E+00,6.6334E+01,0.000E+00,2.049E-01
6.408220E+00,2.14354E+01,4.6011E-01,5.4996E+01,1.9070E+00,5.6903E+01,0.000E+00,1.935E-01
6.469004E+00,2.07891E+01,4.5266E-01,5.3597E+01,1.8914E+00,5.5488E+01,0.000E+00,1.917E-01
6.506305E+00,1.99795E+01,4.4818E-01,5.2763E+01,1.8819E+00,5.4645E+01,0.000E+00,1.906E-01
6.532461E+00,1.82218E+01,4.4509E-01,5.2189E+01,1.8753E+00,5.4064E+01,0.000E+00,1.898E-01
6.571695E+00,2.00165E+01,3.9072E+00,4.5540E+02,1.8654E+00,4.5727E+02,4.041E+02,1.887E-01
6.669780E+00,2.16410E+01,3.7970E+00,4.3604E+02,1.8412E+00,4.3788E+02,3.867E+02,1.859E-01
6.915365E+00,2.29017E+01,3.5470E+00,3.9288E+02,1.7827E+00,3.9466E+02,3.482E+02,1.793E-01
7.392525E+00,2.38502E+01,3.1829E+00,3.2979E+02,1.6773E+00,3.3147E+02,2.925E+02,1.677E-01
7.902609E+00,2.43589E+01,2.8708E+00,2.7825E+02,1.5754E+00,2.7983E+02,2.471E+02,1.569E-01
8.447890E+00,2.46957E+01,2.5884E+00,2.3469E+02,1.4775E+00,2.3617E+02,2.086E+02,1.468E-01
9.030794E+00,2.49352E+01,2.3192E+00,1.9670E+02,1.3836E+00,1.9808E+02,1.750E+02,1.373E-01
9.653919E+00,2.50944E+01,2.0682E+00,1.6409E+02,1.2938E+00,1.6538E+02,1.462E+02,1.284E-01
2.011215E+01,2.53554E+01,5.5431E-01,2.1111E+01,5.8661E-01,2.1698E+01,1.899E+01,6.165E-02
2.149988E+01,2.53349E+01,4.8995E-01,1.7455E+01,5.4551E-01,1.8001E+01,1.571E+01,5.767E-02
2.298338E+01,2.53143E+01,4.3309E-01,1.4433E+01,5.0762E-01,1.4941E+01,1.300E+01,5.395E-02
2.456923E+01,2.52941E+01,3.8284E-01,1.1935E+01,4.7277E-01,1.2408E+01,1.075E+01,5.046E-02
2.626450E+01,2.52746E+01,3.3845E-01,9.8703E+00,4.4077E-01,1.0311E+01,8.893E+00,4.721E-02
2.807676E+01,2.52565E+01,2.9781E-01,8.1245E+00,4.1144E-01,8.5359E+00,7.325E+00,4.416E-02
3.001405E+01,2.52383E+01,2.6044E-01,6.6465E+00,3.8461E-01,7.0311E+00,5.995E+00,4.131E-02
3.208502E+01,2.52200E+01,2.2761E-01,5.4337E+00,3.6010E-01,5.7938E+00,4.902E+00,3.864E-02
3.429889E+01,2.52021E+01,1.9892E-01,4.4423E+00,3.3773E-01,4.7800E+00,4.008E+00,3.615E-02
3.666551E+01,2.51851E+01,1.7386E-01,3.6320E+00,3.1735E-01,3.9494E+00,3.278E+00,3.381E-02
3.919543E+01,2.51691E+01,1.5195E-01,2.9695E+00,2.9880E-01,3.2683E+00,2.680E+00,3.163E-02
4.189992E+01,2.51541E+01,1.3281E-01,2.4278E+00,2.8191E-01,2.7097E+00,2.191E+00,2.959E-02
4.479101E+01,2.51401E+01,1.1608E-01,1.9850E+00,2.6656E-01,2.2516E+00,1.792E+00,2.768E-02
4.788159E+01,2.51272E+01,1.0146E-01,1.6230E+00,2.5259E-01,1.8756E+00,1.465E+00,2.589E-02
5.118542E+01,2.51153E+01,8.8683E-02,1.3271E+00,2.3990E-01,1.5670E+00,1.198E+00,2.422E-02
5.471721E+01,2.51044E+01,7.7519E-02,1.0852E+00,2.2835E-01,1.3136E+00,9.797E-01,2.266E-02
5.849270E+01,2.50944E+01,6.7762E-02,8.8734E-01,2.1783E-01,1.1052E+00,8.011E-01,2.120E-02
6.252870E+01,2.50853E+01,5.9235E-02,7.2561E-01,2.0824E-01,9.3385E-01,6.551E-01,1.983E-02
6.684318E+01,2.50770E+01,5.1782E-02,5.9337E-01,1.9948E-01,7.9285E-01,5.357E-01,1.855E-02
7.145536E+01,2.50695E+01,4.5268E-02,4.8524E-01,1.9148E-01,6.7672E-01,4.380E-01,1.735E-02
7.638578E+01,2.50626E+01,3.9574E-02,3.9683E-01,1.8413E-01,5.8096E-01,3.582E-01,1.623E-02
8.165640E+01,2.50565E+01,3.4540E-02,3.2399E-01,1.7738E-01,5.0137E-01,2.924E-01,1.518E-02
8.729069E+01,2.50508E+01,3.0033E-02,2.6353E-01,1.7115E-01,4.3468E-01,2.378E-01,1.420E-02
9.331374E+01,2.50456E+01,2.6114E-02,2.1436E-01,1.6538E-01,3.7974E-01,1.934E-01,1.329E-02
9.975239E+01,2.50409E+01,2.2708E-02,1.7436E-01,1.6002E-01,3.3438E-01,1.573E-01,1.243E-02
2.078156E+02,2.50118E+01,4.8843E-03,1.8002E-02,1.1709E-01,1.3509E-01,1.622E-02,5.966E-03
2.221548E+02,2.50105E+01,4.2478E-03,1.4646E-02,1.1400E-01,1.2865E-01,1.320E-02,5.581E-03
2.374835E+02,2.50094E+01,3.6942E-03,1.1915E-02,1.1098E-01,1.2290E-01,1.073E-02,5.221E-03
2.538699E+02,2.50083E+01,3.2129E-03,9.6937E-03,1.0802E-01,1.1771E-01,8.730E-03,4.884E-03
2.713869E+02,2.50074E+01,2.7943E-03,7.8865E-03,1.0512E-01,1.1301E-01,7.101E-03,4.569E-03
2.901126E+02,2.50066E+01,2.4302E-03,6.4163E-03,1.0227E-01,1.0869E-01,5.776E-03,4.274E-03
3.101304E+02,2.50059E+01,2.1136E-03,5.2202E-03,9.9467E-02,1.0469E-01,4.698E-03,3.998E-03
3.315294E+02,2.50052E+01,1.8383E-03,4.2471E-03,9.6711E-02,1.0096E-01,3.821E-03,3.740E-03
3.544049E+02,2.50046E+01,1.5988E-03,3.4554E-03,9.3998E-02,9.7453E-02,3.108E-03,3.498E-03
3.788588E+02,2.50041E+01,1.3905E-03,2.8113E-03,9.1327E-02,9.4138E-02,2.528E-03,3.273E-03
4.050001E+02,2.50036E+01,1.2094E-03,2.2873E-03,8.8696E-02,9.0983E-02,2.056E-03,3.061E-03
4.329451E+02,2.50032E+01,1.0519E-03,1.8610E-03,8.6105E-02,8.7966E-02,1.673E-03,2.864E-03
