E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,3.37340E+01,3.7728E+00,7.9529E+02,6.1597E+00,8.0145E+02,0.000E+00,5.959E-01
2.224304E+00,3.26163E+01,3.4311E+00,6.7658E+02,6.0778E+00,6.8266E+02,0.000E+00,5.574E-01
2.377781E+00,3.05017E+01,3.1240E+00,5.7626E+02,5.9807E+00,5.8224E+02,0.000E+00,5.214E-01
2.469796E+00,2.75231E+01,2.9632E+00,5.2624E+02,5.9190E+00,5.3216E+02,0.000E+00,5.020E-01
2.507599E+00,2.37090E+01,2.9015E+00,5.0752E+02,5.8931E+00,5.1341E+02,0.000E+00,4.944E-01
2.517680E+00,1.94030E+01,2.8855E+00,5.0269E+02,5.8861E+00,5.0858E+02,0.000E+00,4.925E-01
2.532801E+00,2.35006E+01,1.1137E+01,1.9287E+03,5.8757E+00,1.9346E+03,0.000E+00,4.895E-01
2.541848E+00,2.48690E+01,1.1065E+01,1.9093E+03,5.8694E+00,1.9152E+03,0.000E+00,4.878E-01
2.572598E+00,2.67832E+01,1.0825E+01,1.8456E+03,5.8479E+00,1.8514E+03,0.000E+00,4.819E-01
2.611974E+00,2.66161E+01,1.0530E+01,1.7682E+03,5.8201E+00,1.7740E+03,0.000E+00,4.747E-01
2.622475E+00,2.48332E+01,1.0453E+01,1.7483E+03,5.8127E+00,1.7541E+03,0.000E+00,4.728E-01
2.638225E+00,2.73320E+01,1.4436E+01,2.3999E+03,5.8015E+00,2.4057E+03,0.000E+00,4.700E-01
2.677602E+00,2.99784E+01,1.4071E+01,2.3049E+03,5.7733E+00,2.3107E+03,0.000E+00,4.630E-01
2.717235E+00,3.12991E+01,1.3727E+01,2.2158E+03,5.7448E+00,2.2215E+03,0.000E+00,4.563E-01
2.808190E+00,3.28300E+01,1.3020E+01,2.0335E+03,5.6788E+00,2.0392E+03,0.000E+00,4.415E-01
2.851172E+00,3.27180E+01,1.2718E+01,1.9565E+03,5.6474E+00,1.9621E+03,0.000E+00,4.349E-01
2.862634E+00,3.19251E+01,1.2640E+01,1.9367E+03,5.6391E+00,1.9423E+03,0.000E+00,4.331E-01
2.879827E+00,3.31218E+01,1.4410E+01,2.1948E+03,5.6265E+00,2.2004E+03,0.000E+00,4.305E-01
2.904724E+00,3.40687E+01,1.4233E+01,2.1491E+03,5.6082E+00,2.1547E+03,0.000E+00,4.268E-01
2.922810E+00,3.45276E+01,1.4106E+01,2.1169E+03,5.5949E+00,2.1225E+03,0.000E+00,4.242E-01
3.105150E+00,3.71639E+01,1.2897E+01,1.8217E+03,5.4607E+00,1.8272E+03,0.000E+00,3.993E-01
3.319406E+00,3.88104E+01,1.1637E+01,1.5377E+03,5.3035E+00,1.5430E+03,0.000E+00,3.735E-01
3.548445E+00,3.99027E+01,1.0453E+01,1.2921E+03,5.1380E+00,1.2972E+03,0.000E+00,3.494E-01
3.793288E+00,4.06420E+01,9.3804E+00,1.0846E+03,4.9653E+00,1.0896E+03,0.000E+00,3.269E-01
4.055024E+00,4.11562E+01,8.4242E+00,9.1121E+02,4.7867E+00,9.1600E+02,0.000E+00,3.058E-01
4.334821E+00,4.15188E+01,7.5706E+00,7.6602E+02,4.6035E+00,7.7062E+02,0.000E+00,2.860E-01
4.633924E+00,4.17742E+01,6.8064E+00,6.4424E+02,4.4169E+00,6.4866E+02,0.000E+00,2.676E-01
4.953664E+00,4.19551E+01,6.1245E+00,5.4228E+02,4.2281E+00,5.4651E+02,0.000E+00,2.503E-01
5.295467E+00,4.22145E+01,5.4907E+00,4.5478E+02,4.0382E+00,4.5882E+02,0.000E+00,2.341E-01
5.660855E+00,4.22760E+01,4.9080E+00,3.8028E+02,3.8482E+00,3.8413E+02,0.000E+00,2.190E-01
6.051453E+00,4.23318E+01,4.3807E+00,3.1751E+02,3.6592E+00,3.2117E+02,0.000E+00,2.049E-01
6.469004E+00,4.23136E+01,3.9113E+00,2.6519E+02,3.4720E+00,2.6866E+02,0.000E+00,1.917E-01
6.915365E+00,4.22721E+01,3.4954E+00,2.2170E+02,3.2875E+00,2.2499E+02,0.000E+00,1.793E-01
7.392525E+00,4.22157E+01,3.1265E+00,1.8550E+02,3.1066E+00,1.8861E+02,0.000E+00,1.677E-01
7.902609E+00,4.21495E+01,2.7961E+00,1.5519E+02,2.9297E+00,1.5812E+02,0.000E+00,1.569E-01
8.447890E+00,4.20778E+01,2.5023E+00,1.2992E+02,2.7577E+00,1.3268E+02,0.000E+00,1.468E-01
9.030794E+00,4.20075E+01,2.2363E+00,1.0862E+02,2.5909E+00,1.1121E+02,0.000E+00,1.373E-01
9.653919E+00,4.19204E+01,1.9837E+00,9.0127E+01,2.4298E+00,9.2557E+01,0.000E+00,1.284E-01
2.011215E+01,3.77527E+01,3.6454E+00,7.9499E+01,1.0887E+00,8.0588E+01,6.818E+01,6.165E-02
2.039949E+01,3.90911E+01,3.5517E+00,7.6366E+01,1.0706E+00,7.7437E+01,6.548E+01,6.078E-02
2.149988E+01,4.05117E+01,3.2372E+00,6.6041E+01,1.0058E+00,6.7047E+01,5.664E+01,5.767E-02
2.298338E+01,4.12203E+01,2.9040E+00,5.5420E+01,9.2865E-01,5.6349E+01,4.760E+01,5.395E-02
2.456923E+01,4.16227E+01,2.6105E+00,4.6603E+01,8.5712E-01,4.7460E+01,4.010E+01,5.046E-02
2.626450E+01,4.18901E+01,2.3438E+00,3.9141E+01,7.9092E-01,3.9932E+01,3.373E+01,4.721E-02
2.807676E+01,4.20745E+01,2.0896E+00,3.2644E+01,7.2979E-01,3.3374E+01,2.818E+01,4.416E-02
3.001405E+01,4.21944E+01,1.8604E+00,2.7187E+01,6.7346E-01,2.7860E+01,2.353E+01,4.131E-02
3.208502E+01,4.22738E+01,1.6566E+00,2.2646E+01,6.2164E-01,2.3268E+01,1.964E+01,3.864E-02
3.429889E+01,4.23257E+01,1.4753E+00,1.8866E+01,5.7408E-01,1.9440E+01,1.639E+01,3.615E-02
3.666551E+01,4.23582E+01,1.3140E+00,1.5718E+01,5.3049E-01,1.6248E+01,1.368E+01,3.381E-02
3.919543E+01,4.23775E+01,1.1704E+00,1.3097E+01,4.9061E-01,1.3588E+01,1.142E+01,3.163E-02
4.189992E+01,4.24210E+01,1.0370E+00,1.0855E+01,4.5419E-01,1.1309E+01,9.475E+00,2.959E-02
