E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.12505E+01,1.5228E+00,1.3396E+03,1.7269E+00,1.3413E+03,1.262E+03,5.959E-01
2.224304E+00,1.13511E+01,1.3668E+00,1.1248E+03,1.6851E+00,1.1265E+03,1.060E+03,5.574E-01
2.377781E+00,1.13777E+01,1.2171E+00,9.3691E+02,1.6400E+00,9.3855E+02,8.833E+02,5.214E-01
2.541848E+00,1.13894E+01,1.0838E+00,7.8044E+02,1.5920E+00,7.8203E+02,7.357E+02,4.878E-01
2.717235E+00,1.13918E+01,9.6513E-01,6.5013E+02,1.5416E+00,6.5167E+02,6.128E+02,4.563E-01
2.904724E+00,1.13880E+01,8.5948E-01,5.4160E+02,1.4891E+00,5.4309E+02,5.105E+02,4.268E-01
3.105150E+00,1.13852E+01,7.6236E-01,4.4939E+02,1.4351E+00,4.5083E+02,4.236E+02,3.993E-01
3.319406E+00,1.13721E+01,6.7370E-01,3.7149E+02,1.3799E+00,3.7287E+02,3.504E+02,3.735E-01
3.548445E+00,1.13556E+01,5.9538E-01,3.0711E+02,1.3238E+00,3.0843E+02,2.898E+02,3.494E-01
3.793288E+00,1.13373E+01,5.2617E-01,2.5390E+02,1.2674E+00,2.5517E+02,2.397E+02,3.269E-01
4.055024E+00,1.13182E+01,4.6503E-01,2.0991E+02,1.2110E+00,2.1112E+02,1.983E+02,3.058E-01
4.334821E+00,1.12991E+01,4.1100E-01,1.7355E+02,1.1548E+00,1.7470E+02,1.640E+02,2.860E-01
4.633924E+00,1.12804E+01,3.6326E-01,1.4349E+02,1.0993E+00,1.4459E+02,1.356E+02,2.676E-01
4.953664E+00,1.12619E+01,3.1883E-01,1.1781E+02,1.0446E+00,1.1885E+02,1.113E+02,2.503E-01
5.295467E+00,1.12430E+01,2.7975E-01,9.6698E+01,9.9105E-01,9.7689E+01,9.138E+01,2.341E-01
5.660855E+00,1.12245E+01,2.4548E-01,7.9372E+01,9.3888E-01,8.0311E+01,7.500E+01,2.190E-01
6.051453E+00,1.12068E+01,2.1540E-01,6.5153E+01,8.8826E-01,6.6041E+01,6.155E+01,2.049E-01
6.469004E+00,1.11899E+01,1.8902E-01,5.3482E+01,8.3936E-01,5.4321E+01,5.052E+01,1.917E-01
6.915365E+00,1.11740E+01,1.6587E-01,4.3902E+01,7.9232E-01,4.4694E+01,4.146E+01,1.793E-01
7.392525E+00,1.11591E+01,1.4555E-01,3.6039E+01,7.4724E-01,3.6786E+01,3.403E+01,1.677E-01
7.902609E+00,1.11453E+01,1.2773E-01,2.9585E+01,7.0420E-01,3.0289E+01,2.793E+01,1.569E-01
8.447890E+00,1.11325E+01,1.1209E-01,2.4287E+01,6.6327E-01,2.4950E+01,2.292E+01,1.468E-01
9.030794E+00,1.11217E+01,9.8173E-02,1.9898E+01,6.2448E-01,2.0522E+01,1.877E+01,1.373E-01
9.653919E+00,1.11112E+01,8.5365E-02,1.6185E+01,5.8783E-01,1.6773E+01,1.527E+01,1.284E-01
2.011215E+01,1.10352E+01,1.8354E-02,1.6704E+00,3.1493E-01,1.9853E+00,1.576E+00,6.165E-02
2.149988E+01,1.10315E+01,1.5961E-02,1.3589E+00,3.0001E-01,1.6589E+00,1.282E+00,5.767E-02
2.298338E+01,1.10283E+01,1.3875E-02,1.1050E+00,2.8634E-01,1.3913E+00,1.042E+00,5.395E-02
2.456923E+01,1.10253E+01,1.2014E-02,8.9501E-01,2.7384E-01,1.1688E+00,8.438E-01,5.046E-02
2.626450E+01,1.10226E+01,1.0402E-02,7.2491E-01,2.6240E-01,9.8731E-01,6.832E-01,4.721E-02
2.807676E+01,1.10202E+01,8.9800E-03,5.8543E-01,2.5194E-01,8.3737E-01,5.515E-01,4.416E-02
3.001405E+01,1.10181E+01,7.7433E-03,4.7222E-01,2.4237E-01,7.1459E-01,4.447E-01,4.131E-02
3.208502E+01,1.10161E+01,6.6761E-03,3.8086E-01,2.3361E-01,6.1447E-01,3.586E-01,3.864E-02
3.429889E+01,1.10143E+01,5.7560E-03,3.0717E-01,2.2559E-01,5.3276E-01,2.892E-01,3.615E-02
3.666551E+01,1.10128E+01,4.9627E-03,2.4775E-01,2.1823E-01,4.6598E-01,2.332E-01,3.381E-02
3.919543E+01,1.10114E+01,4.2788E-03,1.9982E-01,2.1147E-01,4.1129E-01,1.881E-01,3.163E-02
4.189992E+01,1.10101E+01,3.6891E-03,1.6116E-01,2.0523E-01,3.6639E-01,1.517E-01,2.959E-02
4.479101E+01,1.10090E+01,3.1807E-03,1.2998E-01,1.9946E-01,3.2944E-01,1.223E-01,2.768E-02
4.788159E+01,1.10080E+01,2.7424E-03,1.0484E-01,1.9410E-01,2.9894E-01,9.865E-02,2.589E-02
5.118542E+01,1.10071E+01,2.3645E-03,8.4554E-02,1.8912E-01,2.7367E-01,7.955E-02,2.422E-02
5.471721E+01,1.10063E+01,2.0387E-03,6.8197E-02,1.8445E-01,2.5265E-01,6.416E-02,2.266E-02
