E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.34743E+01,1.9005E+01,2.7673E+03,8.4418E+00,2.7758E+03,0.000E-01,6.188E-01
2.0135813E+00,5.35425E+01,1.8879E+01,2.7352E+03,8.4373E+00,2.7437E+03,0.000E-01,6.157E-01
2.0236492E+00,5.36094E+01,1.8753E+01,2.7035E+03,8.4328E+00,2.7119E+03,0.000E-01,6.127E-01
2.0337675E+00,5.36750E+01,1.8628E+01,2.6721E+03,8.4281E+00,2.6806E+03,0.000E-01,6.096E-01
2.0439363E+00,5.37394E+01,1.8504E+01,2.6411E+03,8.4233E+00,2.6496E+03,0.000E-01,6.066E-01
2.0541560E+00,5.38025E+01,1.8380E+01,2.6104E+03,8.4183E+00,2.6188E+03,0.000E-01,6.036E-01
2.0644268E+00,5.38641E+01,1.8257E+01,2.5800E+03,8.4133E+00,2.5884E+03,0.000E-01,6.006E-01
2.0747489E+00,5.39243E+01,1.8134E+01,2.5499E+03,8.4081E+00,2.5583E+03,0.000E-01,5.976E-01
2.0851227E+00,5.39832E+01,1.8012E+01,2.5201E+03,8.4027E+00,2.5285E+03,0.000E-01,5.946E-01
2.0955483E+00,5.40407E+01,1.7891E+01,2.4907E+03,8.3973E+00,2.4991E+03,0.000E-01,5.917E-01
2.1060260E+00,5.40969E+01,1.7770E+01,2.4616E+03,8.3917E+00,2.4700E+03,0.000E-01,5.887E-01
2.1165562E+00,5.41520E+01,1.7651E+01,2.4329E+03,8.3859E+00,2.4413E+03,0.000E-01,5.858E-01
2.1271389E+00,5.42057E+01,1.7532E+01,2.4045E+03,8.3801E+00,2.4129E+03,0.000E-01,5.829E-01
2.1377746E+00,5.42583E+01,1.7414E+01,2.3764E+03,8.3741E+00,2.3848E+03,0.000E-01,5.800E-01
2.1484635E+00,5.43098E+01,1.7296E+01,2.3487E+03,8.3680E+00,2.3570E+03,0.000E-01,5.771E-01
2.1592058E+00,5.43601E+01,1.7180E+01,2.3212E+03,8.3618E+00,2.3296E+03,0.000E-01,5.742E-01
2.1700018E+00,5.44093E+01,1.7064E+01,2.2941E+03,8.3554E+00,2.3025E+03,0.000E-01,5.714E-01
2.1808519E+00,5.44575E+01,1.6949E+01,2.2673E+03,8.3489E+00,2.2757E+03,0.000E-01,5.685E-01
2.1917561E+00,5.45045E+01,1.6835E+01,2.2408E+03,8.3423E+00,2.2492E+03,0.000E-01,5.657E-01
2.2027149E+00,5.45506E+01,1.6721E+01,2.2147E+03,8.3356E+00,2.2230E+03,0.000E-01,5.629E-01
2.2137285E+00,5.45957E+01,1.6607E+01,2.1886E+03,8.3287E+00,2.1969E+03,0.000E-01,5.601E-01
2.2247971E+00,5.46397E+01,1.6492E+01,2.1627E+03,8.3217E+00,2.1710E+03,0.000E-01,5.573E-01
