E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.03896E+01,1.0721E+00,1.0745E+03,1.7318E+00,1.0762E+03,1.018E+03,5.959E-01
2.224304E+00,1.03890E+01,9.5490E-01,8.9525E+02,1.6816E+00,8.9693E+02,8.482E+02,5.574E-01
2.377781E+00,1.03830E+01,8.5029E-01,7.4572E+02,1.6287E+00,7.4735E+02,7.065E+02,5.214E-01
2.541848E+00,1.03731E+01,7.5695E-01,6.2101E+02,1.5737E+00,6.2258E+02,5.883E+02,4.878E-01
2.717235E+00,1.03599E+01,6.7370E-01,5.1703E+02,1.5171E+00,5.1855E+02,4.898E+02,4.563E-01
2.904724E+00,1.03456E+01,5.9950E-01,4.3039E+02,1.4592E+00,4.3185E+02,4.076E+02,4.268E-01
3.105150E+00,1.03349E+01,5.3135E-01,3.5685E+02,1.4004E+00,3.5825E+02,3.380E+02,3.993E-01
3.319406E+00,1.03186E+01,4.6926E-01,2.9480E+02,1.3412E+00,2.9614E+02,2.794E+02,3.735E-01
3.548445E+00,1.03011E+01,4.1343E-01,2.4297E+02,1.2820E+00,2.4425E+02,2.303E+02,3.494E-01
3.793288E+00,1.02822E+01,3.6257E-01,1.9932E+02,1.2230E+00,2.0054E+02,1.890E+02,3.269E-01
4.055024E+00,1.02628E+01,3.1798E-01,1.6353E+02,1.1647E+00,1.6469E+02,1.550E+02,3.058E-01
4.334821E+00,1.02434E+01,2.7888E-01,1.3416E+02,1.1073E+00,1.3527E+02,1.272E+02,2.860E-01
4.633924E+00,1.02247E+01,2.4459E-01,1.1007E+02,1.0511E+00,1.1112E+02,1.043E+02,2.676E-01
4.953664E+00,1.02067E+01,2.1452E-01,9.0306E+01,9.9634E-01,9.1302E+01,8.561E+01,2.503E-01
5.295467E+00,1.01896E+01,1.8815E-01,7.4093E+01,9.4321E-01,7.5036E+01,7.023E+01,2.341E-01
5.660855E+00,1.01736E+01,1.6502E-01,6.0791E+01,8.9190E-01,6.1683E+01,5.762E+01,2.190E-01
6.051453E+00,1.01586E+01,1.4474E-01,4.9879E+01,8.4254E-01,5.0722E+01,4.727E+01,2.049E-01
6.469004E+00,1.01447E+01,1.2696E-01,4.0925E+01,7.9526E-01,4.1720E+01,3.878E+01,1.917E-01
6.915365E+00,1.01319E+01,1.1136E-01,3.3580E+01,7.5014E-01,3.4330E+01,3.182E+01,1.793E-01
7.392525E+00,1.01200E+01,9.7675E-02,2.7553E+01,7.0723E-01,2.8260E+01,2.610E+01,1.677E-01
7.902609E+00,1.01091E+01,8.5676E-02,2.2608E+01,6.6658E-01,2.3275E+01,2.142E+01,1.569E-01
8.447890E+00,1.00992E+01,7.5151E-02,1.8551E+01,6.2818E-01,1.9179E+01,1.757E+01,1.468E-01
9.030794E+00,1.00903E+01,6.5788E-02,1.5192E+01,5.9205E-01,1.5784E+01,1.439E+01,1.373E-01
9.653919E+00,1.00818E+01,5.7186E-02,1.2353E+01,5.5814E-01,1.2911E+01,1.170E+01,1.284E-01
2.011215E+01,1.00253E+01,1.2079E-02,1.2525E+00,3.1211E-01,1.5646E+00,1.185E+00,6.165E-02
2.149988E+01,1.00226E+01,1.0454E-02,1.0139E+00,2.9886E-01,1.3128E+00,9.591E-01,5.767E-02
2.298338E+01,1.00202E+01,9.0465E-03,8.2082E-01,2.8669E-01,1.1075E+00,7.763E-01,5.395E-02
2.456923E+01,1.00180E+01,7.8288E-03,6.6448E-01,2.7552E-01,9.4000E-01,6.283E-01,5.046E-02
2.626450E+01,1.00161E+01,6.7750E-03,5.3792E-01,2.6524E-01,8.0316E-01,5.086E-01,4.721E-02
2.807676E+01,1.00144E+01,5.8415E-03,4.3387E-01,2.5578E-01,6.8965E-01,4.101E-01,4.416E-02
3.001405E+01,1.00128E+01,5.0307E-03,3.4953E-01,2.4706E-01,5.9659E-01,3.304E-01,4.131E-02
3.208502E+01,1.00114E+01,4.3323E-03,2.8158E-01,2.3900E-01,5.2058E-01,2.661E-01,3.864E-02
3.429889E+01,1.00101E+01,3.7310E-03,2.2684E-01,2.3152E-01,4.5836E-01,2.143E-01,3.615E-02
3.666551E+01,1.00090E+01,3.2131E-03,1.8275E-01,2.2457E-01,4.0732E-01,1.726E-01,3.381E-02
3.919543E+01,1.00080E+01,2.7671E-03,1.4722E-01,2.1809E-01,3.6531E-01,1.391E-01,3.163E-02
4.189992E+01,1.00071E+01,2.3830E-03,1.1860E-01,2.1202E-01,3.3062E-01,1.120E-01,2.959E-02
4.479101E+01,1.00063E+01,2.0523E-03,9.5549E-02,2.0631E-01,3.0186E-01,9.022E-02,2.768E-02
4.788159E+01,1.00056E+01,1.7674E-03,7.6976E-02,2.0091E-01,2.7789E-01,7.267E-02,2.589E-02
5.118542E+01,1.00050E+01,1.5221E-03,6.2013E-02,1.9580E-01,2.5781E-01,5.853E-02,2.422E-02
5.471721E+01,1.00044E+01,1.3109E-03,4.9959E-02,1.9092E-01,2.4088E-01,4.715E-02,2.266E-02
5.849270E+01,1.00039E+01,1.1289E-03,4.0248E-02,1.8626E-01,2.2651E-01,3.797E-02,2.120E-02
6.252870E+01,1.00034E+01,9.7225E-04,3.2425E-02,1.8178E-01,2.1420E-01,3.059E-02,1.983E-02
6.684318E+01,1.00031E+01,8.3732E-04,2.6122E-02,1.7746E-01,2.0358E-01,2.464E-02,1.855E-02
7.145536E+01,1.00027E+01,7.2111E-04,2.1045E-02,1.7327E-01,1.9432E-01,1.984E-02,1.735E-02
7.638578E+01,1.00024E+01,6.2104E-04,1.6954E-02,1.6921E-01,1.8616E-01,1.598E-02,1.623E-02
8.165640E+01,1.00021E+01,5.3516E-04,1.3667E-02,1.6526E-01,1.7893E-01,1.288E-02,1.518E-02
8.729069E+01,1.00019E+01,4.6175E-04,1.1031E-02,1.6140E-01,1.7243E-01,1.040E-02,1.420E-02
9.331374E+01,1.00016E+01,3.9840E-04,8.9035E-03,1.5763E-01,1.6653E-01,8.391E-03,1.329E-02
9.975239E+01,1.00015E+01,3.4375E-04,7.1863E-03,1.5394E-01,1.6113E-01,6.772E-03,1.243E-02
2.078156E+02,1.00004E+01,6.7832E-05,6.8067E-04,1.1742E-01,1.1810E-01,6.408E-04,5.966E-03
2.221548E+02,1.00003E+01,5.8528E-05,5.4940E-04,1.1446E-01,1.1501E-01,5.171E-04,5.581E-03
2.374835E+02,1.00003E+01,5.0500E-05,4.4344E-04,1.1157E-01,1.1201E-01,4.174E-04,5.221E-03
2.538699E+02,1.00003E+01,4.3573E-05,3.5792E-04,1.0874E-01,1.0910E-01,3.368E-04,4.884E-03
2.713869E+02,1.00002E+01,3.7597E-05,2.8890E-04,1.0599E-01,1.0628E-01,2.718E-04,4.569E-03
2.901126E+02,1.00002E+01,3.2440E-05,2.3318E-04,1.0330E-01,1.0353E-01,2.194E-04,4.274E-03
3.101304E+02,1.00002E+01,2.7990E-05,1.8821E-04,1.0068E-01,1.0087E-01,1.771E-04,3.998E-03
3.315294E+02,1.00002E+01,2.4151E-05,1.5191E-04,9.8129E-02,9.8281E-02,1.429E-04,3.740E-03
3.544049E+02,1.00001E+01,2.0839E-05,1.2262E-04,9.5654E-02,9.5777E-02,1.153E-04,3.498E-03
3.788588E+02,1.00001E+01,1.7980E-05,9.8970E-05,9.3253E-02,9.3352E-02,9.308E-05,3.273E-03
4.050001E+02,1.00001E+01,1.5514E-05,7.9883E-05,9.0926E-02,9.1006E-02,7.512E-05,3.061E-03
4.329451E+02,1.00001E+01,1.3386E-05,6.4478E-05,8.8675E-02,8.8739E-02,6.063E-05,2.864E-03
