E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.79855E+01,5.1095E+00,1.7607E+03,4.5380E+00,1.7652E+03,0.000E+00,5.959E-01
2.224304E+00,2.80289E+01,4.5920E+00,1.4802E+03,4.4576E+00,1.4847E+03,0.000E+00,5.574E-01
2.377781E+00,2.80405E+01,4.1285E+00,1.2449E+03,4.3664E+00,1.2493E+03,0.000E+00,5.214E-01
2.541848E+00,2.80299E+01,3.7138E+00,1.0476E+03,4.2654E+00,1.0519E+03,0.000E+00,4.878E-01
2.717235E+00,2.80016E+01,3.3430E+00,8.8212E+02,4.1554E+00,8.8628E+02,0.000E+00,4.563E-01
2.904724E+00,2.79659E+01,3.0114E+00,7.4334E+02,4.0374E+00,7.4738E+02,0.000E+00,4.268E-01
3.105150E+00,2.79386E+01,2.6981E+00,6.2301E+02,3.9126E+00,6.2692E+02,0.000E+00,3.993E-01
3.319406E+00,2.78847E+01,2.4055E+00,5.1958E+02,3.7819E+00,5.2336E+02,0.000E+00,3.735E-01
3.548445E+00,2.78165E+01,2.1392E+00,4.3225E+02,3.6463E+00,4.3590E+02,0.000E+00,3.494E-01
3.793288E+00,2.77340E+01,1.8970E+00,3.5857E+02,3.5068E+00,3.6208E+02,0.000E+00,3.269E-01
4.055024E+00,2.76425E+01,1.6844E+00,2.9783E+02,3.3645E+00,3.0119E+02,0.000E+00,3.058E-01
4.334821E+00,2.75458E+01,1.4976E+00,2.4771E+02,3.2203E+00,2.5093E+02,0.000E+00,2.860E-01
4.633924E+00,2.74435E+01,1.3269E+00,2.0531E+02,3.0752E+00,2.0839E+02,0.000E+00,2.676E-01
4.953664E+00,2.73322E+01,1.1761E+00,1.7023E+02,2.9299E+00,1.7316E+02,0.000E+00,2.503E-01
5.295467E+00,2.72114E+01,1.0433E+00,1.4127E+02,2.7853E+00,1.4406E+02,0.000E+00,2.341E-01
5.660855E+00,2.70779E+01,9.2645E-01,1.1734E+02,2.6421E+00,1.1998E+02,0.000E+00,2.190E-01
6.051453E+00,2.69254E+01,8.2342E-01,9.7561E+01,2.5011E+00,1.0006E+02,0.000E+00,2.049E-01
6.469004E+00,2.67418E+01,7.3254E-01,8.1191E+01,2.3628E+00,8.3554E+01,0.000E+00,1.917E-01
6.915365E+00,2.65023E+01,6.5229E-01,6.7631E+01,2.2278E+00,6.9859E+01,0.000E+00,1.793E-01
7.392525E+00,2.61454E+01,5.8138E-01,5.6388E+01,2.0966E+00,5.8485E+01,0.000E+00,1.677E-01
7.902609E+00,2.54382E+01,5.1866E-01,4.7057E+01,1.9696E+00,4.9027E+01,0.000E+00,1.569E-01
8.166144E+00,2.45187E+01,4.9051E-01,4.3068E+01,1.9088E+00,4.4977E+01,0.000E+00,1.518E-01
8.291136E+00,2.30862E+01,4.7804E-01,4.1340E+01,1.8810E+00,4.3221E+01,0.000E+00,1.495E-01
