E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,8.30145E+00,4.6808E-01,5.9167E+02,1.2790E+00,5.9295E+02,5.637E+02,5.959E-01
2.224304E+00,8.28581E+00,4.1395E-01,4.8948E+02,1.2334E+00,4.9071E+02,4.662E+02,5.574E-01
2.377781E+00,8.26885E+00,3.6513E-01,4.0388E+02,1.1872E+00,4.0507E+02,3.845E+02,5.214E-01
2.541848E+00,8.25152E+00,3.2207E-01,3.3325E+02,1.1406E+00,3.3439E+02,3.172E+02,4.878E-01
2.717235E+00,8.23442E+00,2.8409E-01,2.7498E+02,1.0938E+00,2.7607E+02,2.616E+02,4.563E-01
2.904724E+00,8.21791E+00,2.5059E-01,2.2690E+02,1.0472E+00,2.2795E+02,2.157E+02,4.268E-01
3.105150E+00,8.20256E+00,2.1994E-01,1.8630E+02,1.0011E+00,1.8730E+02,1.771E+02,3.993E-01
3.319406E+00,8.18728E+00,1.9213E-01,1.5224E+02,9.5552E-01,1.5320E+02,1.447E+02,3.735E-01
3.548445E+00,8.17222E+00,1.6784E-01,1.2440E+02,9.1083E-01,1.2531E+02,1.182E+02,3.494E-01
3.793288E+00,8.15779E+00,1.4662E-01,1.0166E+02,8.6716E-01,1.0253E+02,9.662E+01,3.269E-01
4.055024E+00,8.14414E+00,1.2808E-01,8.3077E+01,8.2468E-01,8.3902E+01,7.896E+01,3.058E-01
4.334821E+00,8.13136E+00,1.1189E-01,6.7890E+01,7.8354E-01,6.8674E+01,6.452E+01,2.860E-01
4.633924E+00,8.11947E+00,9.7749E-02,5.5480E+01,7.4386E-01,5.6224E+01,5.272E+01,2.676E-01
4.953664E+00,8.10847E+00,8.5394E-02,4.5339E+01,7.0572E-01,4.6045E+01,4.308E+01,2.503E-01
5.295467E+00,8.09834E+00,7.4601E-02,3.7052E+01,6.6922E-01,3.7721E+01,3.520E+01,2.341E-01
5.660855E+00,8.08903E+00,6.5172E-02,3.0280E+01,6.3440E-01,3.0914E+01,2.877E+01,2.190E-01
6.051453E+00,8.08051E+00,5.6936E-02,2.4746E+01,6.0130E-01,2.5347E+01,2.351E+01,2.049E-01
6.469004E+00,8.07273E+00,4.9740E-02,2.0223E+01,5.6995E-01,2.0793E+01,1.921E+01,1.917E-01
6.915365E+00,8.06564E+00,4.3455E-02,1.6527E+01,5.4035E-01,1.7067E+01,1.570E+01,1.793E-01
7.392525E+00,8.05920E+00,3.7964E-02,1.3507E+01,5.1248E-01,1.4019E+01,1.283E+01,1.677E-01
7.902609E+00,8.05336E+00,3.3166E-02,1.1038E+01,4.8633E-01,1.1524E+01,1.048E+01,1.569E-01
8.447890E+00,8.04808E+00,2.8976E-02,9.0211E+00,4.6186E-01,9.4830E+00,8.564E+00,1.468E-01
9.030794E+00,8.04333E+00,2.5277E-02,7.3617E+00,4.3901E-01,7.8007E+00,6.988E+00,1.373E-01
9.653919E+00,8.03905E+00,2.1935E-02,5.9760E+00,4.1774E-01,6.3937E+00,5.672E+00,1.284E-01
2.011215E+01,8.01137E+00,4.3984E-03,5.7519E-01,2.6688E-01,8.4207E-01,5.451E-01,6.165E-02
2.149988E+01,8.01012E+00,3.7998E-03,4.6484E-01,2.5871E-01,7.2355E-01,4.404E-01,5.767E-02
2.298338E+01,8.00900E+00,3.2827E-03,3.7566E-01,2.5114E-01,6.2680E-01,3.559E-01,5.395E-02
2.456923E+01,8.00801E+00,2.8360E-03,3.0359E-01,2.4411E-01,5.4770E-01,2.876E-01,5.046E-02
2.626450E+01,8.00713E+00,2.4500E-03,2.4535E-01,2.3756E-01,4.8291E-01,2.324E-01,4.721E-02
2.807676E+01,8.00633E+00,2.1079E-03,1.9746E-01,2.3144E-01,4.2890E-01,1.870E-01,4.416E-02
3.001405E+01,8.00562E+00,1.8110E-03,1.5870E-01,2.2570E-01,3.8440E-01,1.502E-01,4.131E-02
3.208502E+01,8.00498E+00,1.5560E-03,1.2755E-01,2.2028E-01,3.4783E-01,1.207E-01,3.864E-02
3.429889E+01,8.00442E+00,1.3368E-03,1.0251E-01,2.1516E-01,3.1767E-01,9.701E-02,3.615E-02
