E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,5.67957E+01,1.1547E+01,1.1723E+03,1.1532E+01,1.1838E+03,0.000E-01,6.198E-01
2.0104868E+00,5.66916E+01,1.1482E+01,1.1599E+03,1.1529E+01,1.1714E+03,0.000E-01,6.167E-01
2.0205393E+00,5.65837E+01,1.1417E+01,1.1476E+03,1.1526E+01,1.1591E+03,0.000E-01,6.136E-01
2.0306420E+00,5.64717E+01,1.1353E+01,1.1355E+03,1.1523E+01,1.1470E+03,0.000E-01,6.106E-01
2.0407952E+00,5.63556E+01,1.1290E+01,1.1235E+03,1.1520E+01,1.1350E+03,0.000E-01,6.075E-01
2.0509992E+00,5.62350E+01,1.1227E+01,1.1117E+03,1.1516E+01,1.1232E+03,0.000E-01,6.045E-01
2.0612542E+00,5.61098E+01,1.1164E+01,1.0999E+03,1.1513E+01,1.1115E+03,0.000E-01,6.015E-01
2.0715604E+00,5.59797E+01,1.1102E+01,1.0884E+03,1.1509E+01,1.0999E+03,0.000E-01,5.985E-01
2.0819182E+00,5.58445E+01,1.1040E+01,1.0769E+03,1.1505E+01,1.0884E+03,0.000E-01,5.955E-01
2.0923278E+00,5.57040E+01,1.0978E+01,1.0656E+03,1.1500E+01,1.0771E+03,0.000E-01,5.926E-01
2.1027895E+00,5.55577E+01,1.0917E+01,1.0544E+03,1.1496E+01,1.0659E+03,0.000E-01,5.896E-01
2.1133034E+00,5.54054E+01,1.0857E+01,1.0434E+03,1.1491E+01,1.0548E+03,0.000E-01,5.867E-01
2.1238699E+00,5.52467E+01,1.0797E+01,1.0324E+03,1.1487E+01,1.0439E+03,0.000E-01,5.838E-01
2.1344893E+00,5.50813E+01,1.0737E+01,1.0216E+03,1.1482E+01,1.0331E+03,0.000E-01,5.809E-01
2.1451617E+00,5.49086E+01,1.0678E+01,1.0109E+03,1.1477E+01,1.0224E+03,0.000E-01,5.780E-01
2.1558875E+00,5.47283E+01,1.0619E+01,1.0003E+03,1.1471E+01,1.0118E+03,0.000E-01,5.751E-01
2.1666670E+00,5.45397E+01,1.0561E+01,9.8989E+02,1.1466E+01,1.0014E+03,0.000E-01,5.722E-01
2.1775003E+00,5.43424E+01,1.0503E+01,9.7956E+02,1.1460E+01,9.9102E+02,0.000E-01,5.694E-01
2.1883878E+00,5.41355E+01,1.0445E+01,9.6934E+02,1.1454E+01,9.8079E+02,0.000E-01,5.666E-01
2.1993297E+00,5.39185E+01,1.0388E+01,9.5924E+02,1.1448E+01,9.7068E+02,0.000E-01,5.637E-01
2.2103264E+00,5.36905E+01,1.0331E+01,9.4925E+02,1.1442E+01,9.6069E+02,0.000E-01,5.609E-01
2.2213780E+00,5.34505E+01,1.0275E+01,9.3937E+02,1.1436E+01,9.5081E+02,0.000E-01,5.581E-01
2.2324849E+00,5.31975E+01,1.0219E+01,9.2960E+02,1.1429E+01,9.4103E+02,0.000E-01,5.554E-01
2.2436473E+00,5.29304E+01,1.0163E+01,9.1995E+02,1.1423E+01,9.3137E+02,0.000E-01,5.526E-01
2.2548656E+00,5.26477E+01,1.0108E+01,9.1040E+02,1.1416E+01,9.2181E+02,0.000E-01,5.499E-01
2.2661399E+00,5.23478E+01,1.0053E+01,9.0095E+02,1.1409E+01,9.1236E+02,0.000E-01,5.471E-01
2.2774706E+00,5.20290E+01,9.9987E+00,8.9162E+02,1.1401E+01,9.0302E+02,0.000E-01,5.444E-01
2.2888579E+00,5.16891E+01,9.9446E+00,8.8238E+02,1.1394E+01,8.9378E+02,0.000E-01,5.417E-01
2.3003022E+00,5.13286E+01,9.8909E+00,8.7325E+02,1.1386E+01,8.8464E+02,0.000E-01,5.390E-01
2.3118037E+00,5.09384E+01,9.8376E+00,8.6423E+02,1.1379E+01,8.7560E+02,0.000E-01,5.363E-01
2.3233628E+00,5.05178E+01,9.7847E+00,8.5530E+02,1.1371E+01,8.6667E+02,0.000E-01,5.336E-01
2.3349796E+00,5.00624E+01,9.7321E+00,8.4647E+02,1.1363E+01,8.5783E+02,0.000E-01,5.310E-01
2.3466545E+00,4.95667E+01,9.6799E+00,8.3774E+02,1.1355E+01,8.4910E+02,0.000E-01,5.283E-01
2.3583878E+00,4.90235E+01,9.6280E+00,8.2911E+02,1.1346E+01,8.4046E+02,0.000E-01,5.257E-01
2.3701797E+00,4.84238E+01,9.5765E+00,8.2057E+02,1.1338E+01,8.3191E+02,0.000E-01,5.231E-01
2.3820306E+00,4.77555E+01,9.5254E+00,8.1213E+02,1.1329E+01,8.2346E+02,0.000E-01,5.205E-01
2.3939407E+00,4.70021E+01,9.4746E+00,8.0378E+02,1.1320E+01,8.1510E+02,0.000E-01,5.179E-01
2.4059104E+00,4.61403E+01,9.4242E+00,7.9553E+02,1.1311E+01,8.0684E+02,0.000E-01,5.153E-01
2.4179400E+00,4.51349E+01,9.3741E+00,7.8736E+02,1.1301E+01,7.9866E+02,0.000E-01,5.128E-01
2.4300297E+00,4.39297E+01,9.3244E+00,7.7929E+02,1.1292E+01,7.9058E+02,0.000E-01,5.102E-01
2.4421798E+00,4.24256E+01,9.2750E+00,7.7130E+02,1.1282E+01,7.8259E+02,0.000E-01,5.077E-01
