E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,4.42939E+01,8.9779E+00,9.6807E+02,1.1165E+01,9.7924E+02,0.000E-01,6.198E-01
2.0104868E+00,4.37457E+01,8.9283E+00,9.5794E+02,1.1161E+01,9.6910E+02,0.000E-01,6.167E-01
2.0205393E+00,4.31428E+01,8.8791E+00,9.4792E+02,1.1157E+01,9.5907E+02,0.000E-01,6.136E-01
2.0306420E+00,4.24742E+01,8.8303E+00,9.3801E+02,1.1153E+01,9.4917E+02,0.000E-01,6.106E-01
2.0407952E+00,4.17247E+01,8.7819E+00,9.2823E+02,1.1149E+01,9.3938E+02,0.000E-01,6.075E-01
2.0509992E+00,4.08734E+01,8.7338E+00,9.1855E+02,1.1145E+01,9.2970E+02,0.000E-01,6.045E-01
2.0612542E+00,3.98895E+01,8.6861E+00,9.0899E+02,1.1141E+01,9.2013E+02,0.000E-01,6.015E-01
2.0715604E+00,3.87253E+01,8.6388E+00,8.9954E+02,1.1136E+01,9.1068E+02,0.000E-01,5.985E-01
2.0819182E+00,3.72998E+01,8.5908E+00,8.9009E+02,1.1131E+01,9.0122E+02,0.000E-01,5.955E-01
2.0923278E+00,3.54583E+01,8.5423E+00,8.8066E+02,1.1126E+01,8.9179E+02,0.000E-01,5.926E-01
2.1027895E+00,3.28376E+01,8.4942E+00,8.7135E+02,1.1121E+01,8.8247E+02,0.000E-01,5.896E-01
2.1133034E+00,2.81254E+01,8.4464E+00,8.6214E+02,1.1116E+01,8.7325E+02,0.000E-01,5.867E-01
2.1210653E+00,1.28681E+01,8.4116E+00,8.5544E+02,1.1112E+01,8.6655E+02,0.000E-01,5.845E-01
2.1221346E+00,1.25624E+01,2.5721E+01,2.6145E+03,1.1111E+01,2.6256E+03,0.000E-01,5.842E-01
2.1238699E+00,2.05054E+01,2.5691E+01,2.6093E+03,1.1110E+01,2.6204E+03,0.000E-01,5.838E-01
2.1344893E+00,2.97864E+01,2.5509E+01,2.5779E+03,1.1104E+01,2.5890E+03,0.000E-01,5.809E-01
2.1451617E+00,3.26834E+01,2.5328E+01,2.5469E+03,1.1099E+01,2.5580E+03,0.000E-01,5.780E-01
2.1558875E+00,3.41696E+01,2.5148E+01,2.5162E+03,1.1093E+01,2.5273E+03,0.000E-01,5.751E-01
2.1666670E+00,3.48770E+01,2.4970E+01,2.4860E+03,1.1086E+01,2.4971E+03,0.000E-01,5.722E-01
2.1775003E+00,3.48926E+01,2.4793E+01,2.4561E+03,1.1080E+01,2.4672E+03,0.000E-01,5.694E-01
2.1883878E+00,3.38880E+01,2.4618E+01,2.4266E+03,1.1073E+01,2.4377E+03,0.000E-01,5.666E-01
2.1993297E+00,2.88564E+01,2.4444E+01,2.3974E+03,1.1067E+01,2.4085E+03,0.000E-01,5.637E-01
2.2011954E+00,2.43030E+01,2.4415E+01,2.3925E+03,1.1066E+01,2.4036E+03,0.000E-01,5.633E-01
2.2026046E+00,2.42383E+01,3.5850E+01,3.5109E+03,1.1065E+01,3.5220E+03,0.000E-01,5.629E-01
2.2103264E+00,3.39315E+01,3.5668E+01,3.4809E+03,1.1060E+01,3.4919E+03,0.000E-01,5.609E-01
2.2213780E+00,3.77893E+01,3.5410E+01,3.4385E+03,1.1053E+01,3.4495E+03,0.000E-01,5.581E-01
2.2324849E+00,4.01466E+01,3.5154E+01,3.3967E+03,1.1046E+01,3.4077E+03,0.000E-01,5.554E-01
2.2436473E+00,4.19226E+01,3.4900E+01,3.3553E+03,1.1038E+01,3.3664E+03,0.000E-01,5.526E-01
2.2548656E+00,4.33738E+01,3.4648E+01,3.3145E+03,1.1031E+01,3.3256E+03,0.000E-01,5.499E-01
2.2661399E+00,4.46117E+01,3.4398E+01,3.2742E+03,1.1023E+01,3.2853E+03,0.000E-01,5.471E-01
2.2774706E+00,4.56958E+01,3.4149E+01,3.2344E+03,1.1015E+01,3.2454E+03,0.000E-01,5.444E-01
2.2888579E+00,4.66622E+01,3.3903E+01,3.1951E+03,1.1007E+01,3.2061E+03,0.000E-01,5.417E-01
2.3003022E+00,4.75347E+01,3.3659E+01,3.1563E+03,1.0999E+01,3.1673E+03,0.000E-01,5.390E-01
2.3118037E+00,4.83299E+01,3.3416E+01,3.1180E+03,1.0991E+01,3.1290E+03,0.000E-01,5.363E-01
2.3233628E+00,4.90598E+01,3.3176E+01,3.0801E+03,1.0982E+01,3.0911E+03,0.000E-01,5.336E-01
2.3349796E+00,4.97337E+01,3.2937E+01,3.0427E+03,1.0974E+01,3.0537E+03,0.000E-01,5.310E-01
2.3466545E+00,5.03585E+01,3.2700E+01,3.0058E+03,1.0965E+01,3.0168E+03,0.000E-01,5.283E-01
2.3583878E+00,5.09399E+01,3.2465E+01,2.9694E+03,1.0956E+01,2.9803E+03,0.000E-01,5.257E-01
2.3701797E+00,5.14823E+01,3.2231E+01,2.9333E+03,1.0947E+01,2.9443E+03,0.000E-01,5.231E-01
2.3820306E+00,5.19894E+01,3.2000E+01,2.8978E+03,1.0938E+01,2.9087E+03,0.000E-01,5.205E-01
2.3939407E+00,5.24641E+01,3.1770E+01,2.8627E+03,1.0928E+01,2.8736E+03,0.000E-01,5.179E-01
2.4059104E+00,5.29089E+01,3.1542E+01,2.8280E+03,1.0919E+01,2.8389E+03,0.000E-01,5.153E-01
2.4179400E+00,5.33257E+01,3.1316E+01,2.7937E+03,1.0909E+01,2.8046E+03,0.000E-01,5.128E-01
2.4300297E+00,5.37160E+01,3.1091E+01,2.7599E+03,1.0899E+01,2.7708E+03,0.000E-01,5.102E-01
2.4421798E+00,5.40812E+01,3.0868E+01,2.7264E+03,1.0889E+01,2.7373E+03,0.000E-01,5.077E-01
2.4543907E+00,5.44221E+01,3.0646E+01,2.6933E+03,1.0879E+01,2.7042E+03,0.000E-01,5.052E-01
2.4666627E+00,5.47392E+01,3.0425E+01,2.6607E+03,1.0868E+01,2.6715E+03,0.000E-01,5.026E-01
2.4789960E+00,5.50328E+01,3.0206E+01,2.6284E+03,1.0858E+01,2.6392E+03,0.000E-01,5.001E-01
2.4913910E+00,5.53029E+01,2.9989E+01,2.5965E+03,1.0847E+01,2.6074E+03,0.000E-01,4.977E-01
2.5038479E+00,5.55489E+01,2.9774E+01,2.5650E+03,1.0836E+01,2.5759E+03,0.000E-01,4.952E-01
2.5163672E+00,5.57698E+01,2.9560E+01,2.5339E+03,1.0825E+01,2.5448E+03,0.000E-01,4.927E-01
2.5289490E+00,5.59639E+01,2.9348E+01,2.5032E+03,1.0814E+01,2.5141E+03,0.000E-01,4.903E-01
2.5415938E+00,5.61284E+01,2.9137E+01,2.4729E+03,1.0803E+01,2.4837E+03,0.000E-01,4.878E-01
2.5543017E+00,5.62593E+01,2.8928E+01,2.4430E+03,1.0791E+01,2.4538E+03,0.000E-01,4.854E-01
2.5670732E+00,5.63501E+01,2.8721E+01,2.4134E+03,1.0780E+01,2.4242E+03,0.000E-01,4.830E-01
2.5799086E+00,5.63905E+01,2.8515E+01,2.3842E+03,1.0768E+01,2.3950E+03,0.000E-01,4.806E-01
2.5928082E+00,5.63628E+01,2.8311E+01,2.3553E+03,1.0756E+01,2.3661E+03,0.000E-01,4.782E-01
2.6057722E+00,5.62333E+01,2.8108E+01,2.3268E+03,1.0744E+01,2.3376E+03,0.000E-01,4.758E-01
2.6188011E+00,5.59261E+01,2.7907E+01,2.2987E+03,1.0732E+01,2.3094E+03,0.000E-01,4.734E-01
2.6318951E+00,5.52002E+01,2.7708E+01,2.2709E+03,1.0719E+01,2.2816E+03,0.000E-01,4.711E-01
2.6429266E+00,5.29149E+01,2.7541E+01,2.2479E+03,1.0709E+01,2.2586E+03,0.000E-01,4.691E-01
2.6450545E+00,5.00359E+01,2.7510E+01,2.2435E+03,1.0707E+01,2.2542E+03,0.000E-01,4.687E-01
2.6478735E+00,5.29484E+01,3.2133E+01,2.6177E+03,1.0704E+01,2.6284E+03,0.000E-01,4.682E-01
2.6582798E+00,5.56183E+01,3.1952E+01,2.5928E+03,1.0694E+01,2.6035E+03,0.000E-01,4.664E-01
2.6715712E+00,5.69294E+01,3.1724E+01,2.5614E+03,1.0681E+01,2.5721E+03,0.000E-01,4.641E-01
2.6849291E+00,5.77856E+01,3.1497E+01,2.5305E+03,1.0669E+01,2.5412E+03,0.000E-01,4.618E-01
2.6983537E+00,5.84520E+01,3.1272E+01,2.4999E+03,1.0656E+01,2.5106E+03,0.000E-01,4.595E-01
2.7118455E+00,5.90107E+01,3.1049E+01,2.4697E+03,1.0642E+01,2.4804E+03,0.000E-01,4.572E-01
2.7254047E+00,5.94983E+01,3.0827E+01,2.4399E+03,1.0629E+01,2.4505E+03,0.000E-01,4.549E-01
2.7390317E+00,5.99343E+01,3.0607E+01,2.4104E+03,1.0615E+01,2.4210E+03,0.000E-01,4.527E-01
2.7527269E+00,6.03302E+01,3.0389E+01,2.3813E+03,1.0602E+01,2.3919E+03,0.000E-01,4.504E-01
2.7664905E+00,6.06921E+01,3.0167E+01,2.3522E+03,1.0588E+01,2.3628E+03,0.000E-01,4.482E-01
2.7803230E+00,6.10216E+01,2.9949E+01,2.3235E+03,1.0574E+01,2.3341E+03,0.000E-01,4.459E-01
2.7942246E+00,6.13290E+01,2.9741E+01,2.2960E+03,1.0560E+01,2.3065E+03,0.000E-01,4.437E-01
2.8081957E+00,6.16185E+01,2.9537E+01,2.2688E+03,1.0546E+01,2.2794E+03,0.000E-01,4.415E-01
2.8222367E+00,6.18915E+01,2.9334E+01,2.2421E+03,1.0532E+01,2.2526E+03,0.000E-01,4.393E-01
2.8363479E+00,6.21491E+01,2.9134E+01,2.2157E+03,1.0517E+01,2.2262E+03,0.000E-01,4.371E-01
2.8505296E+00,6.23923E+01,2.8936E+01,2.1897E+03,1.0503E+01,2.2002E+03,0.000E-01,4.350E-01
2.8647823E+00,6.26218E+01,2.8740E+01,2.1640E+03,1.0488E+01,2.1745E+03,0.000E-01,4.328E-01
2.8791062E+00,6.28365E+01,2.8541E+01,2.1383E+03,1.0473E+01,2.1488E+03,0.000E-01,4.306E-01
2.8935017E+00,6.30361E+01,2.8344E+01,2.1130E+03,1.0458E+01,2.1235E+03,0.000E-01,4.285E-01
2.9079692E+00,6.32201E+01,2.8148E+01,2.0880E+03,1.0443E+01,2.0984E+03,0.000E-01,4.264E-01
2.9225091E+00,6.33874E+01,2.7954E+01,2.0633E+03,1.0428E+01,2.0737E+03,0.000E-01,4.242E-01
2.9371216E+00,6.35359E+01,2.7761E+01,2.0389E+03,1.0412E+01,2.0493E+03,0.000E-01,4.221E-01
2.9518072E+00,6.36620E+01,2.7571E+01,2.0148E+03,1.0397E+01,2.0252E+03,0.000E-01,4.200E-01
2.9665662E+00,6.37592E+01,2.7381E+01,1.9910E+03,1.0381E+01,2.0014E+03,0.000E-01,4.179E-01
2.9813991E+00,6.38150E+01,2.7193E+01,1.9675E+03,1.0365E+01,1.9778E+03,0.000E-01,4.159E-01
2.9963061E+00,6.38003E+01,2.7007E+01,1.9443E+03,1.0349E+01,1.9546E+03,0.000E-01,4.138E-01
3.0112876E+00,6.36373E+01,2.6803E+01,1.9200E+03,1.0333E+01,1.9303E+03,0.000E-01,4.117E-01
3.0221418E+00,6.30881E+01,2.6653E+01,1.9023E+03,1.0322E+01,1.9127E+03,0.000E-01,4.103E-01
3.0263440E+00,6.12660E+01,2.6595E+01,1.8956E+03,1.0317E+01,1.9059E+03,0.000E-01,4.097E-01
3.0308581E+00,6.31851E+01,2.8305E+01,2.0145E+03,1.0312E+01,2.0248E+03,0.000E-01,4.091E-01
3.0414758E+00,6.40249E+01,2.8149E+01,1.9964E+03,1.0301E+01,2.0067E+03,0.000E-01,4.076E-01
3.0566831E+00,6.46111E+01,2.7929E+01,1.9709E+03,1.0284E+01,1.9812E+03,0.000E-01,4.056E-01
3.0719666E+00,6.50211E+01,2.7711E+01,1.9458E+03,1.0268E+01,1.9561E+03,0.000E-01,4.036E-01
3.0873264E+00,6.53540E+01,2.7494E+01,1.9210E+03,1.0251E+01,1.9312E+03,0.000E-01,4.016E-01
3.1027630E+00,6.56406E+01,2.7279E+01,1.8964E+03,1.0234E+01,1.9067E+03,0.000E-01,3.996E-01
3.1182768E+00,6.58946E+01,2.7065E+01,1.8722E+03,1.0218E+01,1.8824E+03,0.000E-01,3.976E-01
3.1338682E+00,6.61231E+01,2.6853E+01,1.8483E+03,1.0201E+01,1.8585E+03,0.000E-01,3.956E-01
3.1495376E+00,6.63300E+01,2.6642E+01,1.8247E+03,1.0183E+01,1.8349E+03,0.000E-01,3.937E-01
3.1652853E+00,6.65170E+01,2.6433E+01,1.8014E+03,1.0166E+01,1.8115E+03,0.000E-01,3.917E-01
3.1811117E+00,6.66847E+01,2.6228E+01,1.7785E+03,1.0149E+01,1.7887E+03,0.000E-01,3.898E-01
3.1970172E+00,6.68356E+01,2.6029E+01,1.7562E+03,1.0131E+01,1.7663E+03,0.000E-01,3.878E-01
3.2130023E+00,6.69692E+01,2.5831E+01,1.7342E+03,1.0114E+01,1.7443E+03,0.000E-01,3.859E-01
3.2290673E+00,6.70817E+01,2.5636E+01,1.7125E+03,1.0096E+01,1.7226E+03,0.000E-01,3.840E-01
3.2452127E+00,6.71661E+01,2.5442E+01,1.6911E+03,1.0078E+01,1.7012E+03,0.000E-01,3.821E-01
3.2614387E+00,6.72060E+01,2.5250E+01,1.6700E+03,1.0060E+01,1.6801E+03,0.000E-01,3.802E-01
3.2777459E+00,6.71514E+01,2.5060E+01,1.6492E+03,1.0042E+01,1.6592E+03,0.000E-01,3.783E-01
3.2891773E+00,6.69216E+01,2.4928E+01,1.6348E+03,1.0029E+01,1.6448E+03,0.000E-01,3.769E-01
3.2941347E+00,6.65163E+01,2.4871E+01,1.6286E+03,1.0024E+01,1.6387E+03,0.000E-01,3.764E-01
3.3028227E+00,6.70492E+01,2.5873E+01,1.6898E+03,1.0014E+01,1.6998E+03,0.000E-01,3.754E-01
3.3106053E+00,6.73904E+01,2.5784E+01,1.6800E+03,1.0006E+01,1.6900E+03,0.000E-01,3.745E-01
3.3271584E+00,6.78095E+01,2.5597E+01,1.6595E+03,9.9872E+00,1.6695E+03,0.000E-01,3.726E-01
