E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,6.67703E+01,1.5808E+01,1.4711E+03,1.1867E+01,1.4830E+03,0.000E-01,6.198E-01
2.0104868E+00,6.67542E+01,1.5727E+01,1.4563E+03,1.1866E+01,1.4682E+03,0.000E-01,6.167E-01
2.0205393E+00,6.67371E+01,1.5646E+01,1.4417E+03,1.1865E+01,1.4535E+03,0.000E-01,6.136E-01
2.0306420E+00,6.67191E+01,1.5566E+01,1.4272E+03,1.1864E+01,1.4390E+03,0.000E-01,6.106E-01
2.0407952E+00,6.67003E+01,1.5487E+01,1.4128E+03,1.1862E+01,1.4247E+03,0.000E-01,6.075E-01
2.0509992E+00,6.66805E+01,1.5408E+01,1.3986E+03,1.1861E+01,1.4105E+03,0.000E-01,6.045E-01
2.0612542E+00,6.66598E+01,1.5330E+01,1.3846E+03,1.1859E+01,1.3965E+03,0.000E-01,6.015E-01
2.0715604E+00,6.66382E+01,1.5253E+01,1.3708E+03,1.1857E+01,1.3826E+03,0.000E-01,5.985E-01
2.0819182E+00,6.66156E+01,1.5176E+01,1.3571E+03,1.1854E+01,1.3689E+03,0.000E-01,5.955E-01
2.0923278E+00,6.65921E+01,1.5099E+01,1.3435E+03,1.1852E+01,1.3554E+03,0.000E-01,5.926E-01
2.1027895E+00,6.65676E+01,1.5023E+01,1.3301E+03,1.1849E+01,1.3420E+03,0.000E-01,5.896E-01
2.1133034E+00,6.65422E+01,1.4948E+01,1.3169E+03,1.1846E+01,1.3287E+03,0.000E-01,5.867E-01
2.1238699E+00,6.65246E+01,1.4873E+01,1.3037E+03,1.1843E+01,1.3155E+03,0.000E-01,5.838E-01
2.1344893E+00,6.64974E+01,1.4797E+01,1.2907E+03,1.1840E+01,1.3025E+03,0.000E-01,5.809E-01
2.1451617E+00,6.64690E+01,1.4723E+01,1.2778E+03,1.1837E+01,1.2896E+03,0.000E-01,5.780E-01
2.1558875E+00,6.64394E+01,1.4649E+01,1.2650E+03,1.1833E+01,1.2768E+03,0.000E-01,5.751E-01
2.1666670E+00,6.64087E+01,1.4575E+01,1.2524E+03,1.1829E+01,1.2642E+03,0.000E-01,5.722E-01
2.1775003E+00,6.63767E+01,1.4502E+01,1.2399E+03,1.1825E+01,1.2517E+03,0.000E-01,5.694E-01
2.1883878E+00,6.63436E+01,1.4429E+01,1.2276E+03,1.1821E+01,1.2394E+03,0.000E-01,5.666E-01
2.1993297E+00,6.63092E+01,1.4357E+01,1.2154E+03,1.1816E+01,1.2272E+03,0.000E-01,5.637E-01
2.2103264E+00,6.62736E+01,1.4286E+01,1.2033E+03,1.1812E+01,1.2151E+03,0.000E-01,5.609E-01
2.2213780E+00,6.62367E+01,1.4215E+01,1.1914E+03,1.1807E+01,1.2032E+03,0.000E-01,5.581E-01
2.2324849E+00,6.61985E+01,1.4145E+01,1.1796E+03,1.1802E+01,1.1914E+03,0.000E-01,5.554E-01
2.2436473E+00,6.61590E+01,1.4075E+01,1.1679E+03,1.1797E+01,1.1797E+03,0.000E-01,5.526E-01
2.2548656E+00,6.61181E+01,1.4005E+01,1.1563E+03,1.1792E+01,1.1681E+03,0.000E-01,5.499E-01
2.2661399E+00,6.60759E+01,1.3936E+01,1.1449E+03,1.1786E+01,1.1567E+03,0.000E-01,5.471E-01
2.2774706E+00,6.60322E+01,1.3868E+01,1.1336E+03,1.1780E+01,1.1454E+03,0.000E-01,5.444E-01
2.2888579E+00,6.59870E+01,1.3800E+01,1.1225E+03,1.1774E+01,1.1343E+03,0.000E-01,5.417E-01
2.3003022E+00,6.59404E+01,1.3732E+01,1.1114E+03,1.1768E+01,1.1232E+03,0.000E-01,5.390E-01
2.3118037E+00,6.58922E+01,1.3665E+01,1.1005E+03,1.1762E+01,1.1123E+03,0.000E-01,5.363E-01
2.3233628E+00,6.58425E+01,1.3599E+01,1.0897E+03,1.1756E+01,1.1015E+03,0.000E-01,5.336E-01
2.3349796E+00,6.57911E+01,1.3533E+01,1.0790E+03,1.1749E+01,1.0908E+03,0.000E-01,5.310E-01
2.3466545E+00,6.57381E+01,1.3467E+01,1.0685E+03,1.1742E+01,1.0802E+03,0.000E-01,5.283E-01
2.3583878E+00,6.56834E+01,1.3402E+01,1.0580E+03,1.1735E+01,1.0697E+03,0.000E-01,5.257E-01
2.3701797E+00,6.56269E+01,1.3338E+01,1.0477E+03,1.1728E+01,1.0594E+03,0.000E-01,5.231E-01
2.3820306E+00,6.55686E+01,1.3274E+01,1.0374E+03,1.1720E+01,1.0492E+03,0.000E-01,5.205E-01
2.3939407E+00,6.55084E+01,1.3210E+01,1.0273E+03,1.1713E+01,1.0390E+03,0.000E-01,5.179E-01
2.4059104E+00,6.54463E+01,1.3147E+01,1.0173E+03,1.1705E+01,1.0290E+03,0.000E-01,5.153E-01
2.4179400E+00,6.53789E+01,1.3079E+01,1.0071E+03,1.1697E+01,1.0188E+03,0.000E-01,5.128E-01
2.4300297E+00,6.53122E+01,1.3009E+01,9.9665E+02,1.1689E+01,1.0083E+03,0.000E-01,5.102E-01
2.4421798E+00,6.52426E+01,1.2939E+01,9.8636E+02,1.1681E+01,9.9804E+02,0.000E-01,5.077E-01
2.4543907E+00,6.51702E+01,1.2869E+01,9.7618E+02,1.1672E+01,9.8785E+02,0.000E-01,5.052E-01
2.4666627E+00,6.50948E+01,1.2800E+01,9.6611E+02,1.1664E+01,9.7777E+02,0.000E-01,5.026E-01
2.4789960E+00,6.50164E+01,1.2732E+01,9.5616E+02,1.1655E+01,9.6781E+02,0.000E-01,5.001E-01
2.4913910E+00,6.49349E+01,1.2664E+01,9.4632E+02,1.1646E+01,9.5796E+02,0.000E-01,4.977E-01
2.5038479E+00,6.48501E+01,1.2596E+01,9.3659E+02,1.1637E+01,9.4822E+02,0.000E-01,4.952E-01
2.5163672E+00,6.47619E+01,1.2529E+01,9.2697E+02,1.1627E+01,9.3859E+02,0.000E-01,4.927E-01
2.5289490E+00,6.46703E+01,1.2462E+01,9.1745E+02,1.1618E+01,9.2907E+02,0.000E-01,4.903E-01
2.5415938E+00,6.45750E+01,1.2396E+01,9.0805E+02,1.1608E+01,9.1966E+02,0.000E-01,4.878E-01
2.5543017E+00,6.44758E+01,1.2326E+01,8.9844E+02,1.1598E+01,9.1004E+02,0.000E-01,4.854E-01
2.5670732E+00,6.43723E+01,1.2256E+01,8.8888E+02,1.1588E+01,9.0047E+02,0.000E-01,4.830E-01
2.5799086E+00,6.42642E+01,1.2187E+01,8.7943E+02,1.1578E+01,8.9101E+02,0.000E-01,4.806E-01
2.5928082E+00,6.41514E+01,1.2117E+01,8.7009E+02,1.1568E+01,8.8166E+02,0.000E-01,4.782E-01
2.6057722E+00,6.40336E+01,1.2049E+01,8.6086E+02,1.1557E+01,8.7241E+02,0.000E-01,4.758E-01
2.6188011E+00,6.39107E+01,1.1981E+01,8.5173E+02,1.1546E+01,8.6328E+02,0.000E-01,4.734E-01
2.6318951E+00,6.37824E+01,1.1913E+01,8.4271E+02,1.1535E+01,8.5424E+02,0.000E-01,4.711E-01
2.6450545E+00,6.36437E+01,1.1846E+01,8.3379E+02,1.1524E+01,8.4531E+02,0.000E-01,4.687E-01
2.6582798E+00,6.35034E+01,1.1779E+01,8.2497E+02,1.1513E+01,8.3648E+02,0.000E-01,4.664E-01
2.6715712E+00,6.33567E+01,1.1713E+01,8.1625E+02,1.1502E+01,8.2775E+02,0.000E-01,4.641E-01
2.6849291E+00,6.32033E+01,1.1647E+01,8.0763E+02,1.1490E+01,8.1912E+02,0.000E-01,4.618E-01
2.6983537E+00,6.30426E+01,1.1582E+01,7.9911E+02,1.1478E+01,8.1059E+02,0.000E-01,4.595E-01
2.7118455E+00,6.28742E+01,1.1517E+01,7.9069E+02,1.1466E+01,8.0215E+02,0.000E-01,4.572E-01
2.7254047E+00,6.26976E+01,1.1453E+01,7.8236E+02,1.1454E+01,7.9381E+02,0.000E-01,4.549E-01
2.7390317E+00,6.25122E+01,1.1389E+01,7.7413E+02,1.1442E+01,7.8557E+02,0.000E-01,4.527E-01
2.7527269E+00,6.23173E+01,1.1326E+01,7.6599E+02,1.1429E+01,7.7742E+02,0.000E-01,4.504E-01
2.7664905E+00,6.21121E+01,1.1263E+01,7.5794E+02,1.1417E+01,7.6936E+02,0.000E-01,4.482E-01
2.7803230E+00,6.18959E+01,1.1200E+01,7.4998E+02,1.1404E+01,7.6139E+02,0.000E-01,4.459E-01
2.7942246E+00,6.16677E+01,1.1138E+01,7.4212E+02,1.1391E+01,7.5351E+02,0.000E-01,4.437E-01
2.8081957E+00,6.14262E+01,1.1077E+01,7.3434E+02,1.1378E+01,7.4572E+02,0.000E-01,4.415E-01
2.8222367E+00,6.11704E+01,1.1015E+01,7.2665E+02,1.1365E+01,7.3802E+02,0.000E-01,4.393E-01
2.8363479E+00,6.08988E+01,1.0955E+01,7.1905E+02,1.1351E+01,7.3040E+02,0.000E-01,4.371E-01
2.8505296E+00,6.06095E+01,1.0894E+01,7.1154E+02,1.1338E+01,7.2288E+02,0.000E-01,4.350E-01
2.8647823E+00,6.03008E+01,1.0834E+01,7.0411E+02,1.1324E+01,7.1543E+02,0.000E-01,4.328E-01
2.8791062E+00,5.99701E+01,1.0775E+01,6.9675E+02,1.1310E+01,7.0806E+02,0.000E-01,4.306E-01
2.8935017E+00,5.96148E+01,1.0715E+01,6.8946E+02,1.1296E+01,7.0076E+02,0.000E-01,4.285E-01
2.9079692E+00,5.92313E+01,1.0657E+01,6.8226E+02,1.1282E+01,6.9354E+02,0.000E-01,4.264E-01
2.9225091E+00,5.88155E+01,1.0598E+01,6.7514E+02,1.1268E+01,6.8640E+02,0.000E-01,4.242E-01
2.9371216E+00,5.83622E+01,1.0540E+01,6.6809E+02,1.1253E+01,6.7935E+02,0.000E-01,4.221E-01
2.9518072E+00,5.78647E+01,1.0482E+01,6.6113E+02,1.1239E+01,6.7237E+02,0.000E-01,4.200E-01
2.9665662E+00,5.73146E+01,1.0425E+01,6.5425E+02,1.1224E+01,6.6547E+02,0.000E-01,4.179E-01
2.9813991E+00,5.67005E+01,1.0368E+01,6.4744E+02,1.1209E+01,6.5865E+02,0.000E-01,4.159E-01
2.9963061E+00,5.60066E+01,1.0312E+01,6.4071E+02,1.1194E+01,6.5190E+02,0.000E-01,4.138E-01
3.0112876E+00,5.52321E+01,1.0238E+01,6.3295E+02,1.1178E+01,6.4413E+02,0.000E-01,4.117E-01
3.0263440E+00,5.43068E+01,1.0158E+01,6.2493E+02,1.1163E+01,6.3609E+02,0.000E-01,4.097E-01
3.0414758E+00,5.31680E+01,1.0080E+01,6.1701E+02,1.1147E+01,6.2816E+02,0.000E-01,4.076E-01
3.0566831E+00,5.17110E+01,1.0002E+01,6.0921E+02,1.1132E+01,6.2034E+02,0.000E-01,4.056E-01
3.0719666E+00,4.97023E+01,9.9252E+00,6.0151E+02,1.1116E+01,6.1263E+02,0.000E-01,4.036E-01
3.0873264E+00,4.64433E+01,9.8489E+00,5.9392E+02,1.1100E+01,6.0502E+02,0.000E-01,4.016E-01
3.1027630E+00,3.57559E+01,9.7733E+00,5.8643E+02,1.1084E+01,5.9751E+02,0.000E-01,3.996E-01
3.1040119E+00,3.13348E+01,9.7672E+00,5.8583E+02,1.1082E+01,5.9691E+02,0.000E-01,3.994E-01
3.1057879E+00,3.10702E+01,2.5557E+01,1.5320E+03,1.1080E+01,1.5431E+03,0.000E-01,3.992E-01
3.1182768E+00,4.46231E+01,2.5384E+01,1.5156E+03,1.1067E+01,1.5266E+03,0.000E-01,3.976E-01
3.1338682E+00,4.82915E+01,2.5171E+01,1.4954E+03,1.1051E+01,1.5064E+03,0.000E-01,3.956E-01
3.1495376E+00,5.01566E+01,2.4960E+01,1.4755E+03,1.1034E+01,1.4865E+03,0.000E-01,3.937E-01
3.1652853E+00,5.12628E+01,2.4751E+01,1.4558E+03,1.1017E+01,1.4668E+03,0.000E-01,3.917E-01
3.1811117E+00,5.18834E+01,2.4544E+01,1.4364E+03,1.1001E+01,1.4474E+03,0.000E-01,3.898E-01
3.1970172E+00,5.20846E+01,2.4339E+01,1.4173E+03,1.0984E+01,1.4283E+03,0.000E-01,3.878E-01
3.2130023E+00,5.17901E+01,2.4135E+01,1.3985E+03,1.0966E+01,1.4095E+03,0.000E-01,3.859E-01
3.2290673E+00,5.06134E+01,2.3933E+01,1.3799E+03,1.0949E+01,1.3909E+03,0.000E-01,3.840E-01
3.2452127E+00,4.53623E+01,2.3734E+01,1.3616E+03,1.0932E+01,1.3725E+03,0.000E-01,3.821E-01
3.2473832E+00,4.16409E+01,2.3707E+01,1.3591E+03,1.0929E+01,1.3701E+03,0.000E-01,3.818E-01
3.2494167E+00,4.15668E+01,3.4198E+01,1.9594E+03,1.0927E+01,1.9703E+03,0.000E-01,3.816E-01
3.2614387E+00,5.06437E+01,3.3985E+01,1.9400E+03,1.0914E+01,1.9509E+03,0.000E-01,3.802E-01
3.2777459E+00,5.39920E+01,3.3700E+01,1.9142E+03,1.0896E+01,1.9250E+03,0.000E-01,3.783E-01
3.2941347E+00,5.60420E+01,3.3417E+01,1.8887E+03,1.0878E+01,1.8995E+03,0.000E-01,3.764E-01
3.3106053E+00,5.75824E+01,3.3137E+01,1.8635E+03,1.0860E+01,1.8744E+03,0.000E-01,3.745E-01
3.3271584E+00,5.88377E+01,3.2860E+01,1.8387E+03,1.0842E+01,1.8495E+03,0.000E-01,3.726E-01
3.3437941E+00,5.99055E+01,3.2584E+01,1.8142E+03,1.0824E+01,1.8251E+03,0.000E-01,3.708E-01
3.3605131E+00,6.08379E+01,3.2312E+01,1.7901E+03,1.0806E+01,1.8009E+03,0.000E-01,3.689E-01
3.3773157E+00,6.16663E+01,3.2041E+01,1.7663E+03,1.0787E+01,1.7771E+03,0.000E-01,3.671E-01
