E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,6.35360E+01,1.4127E+01,1.3385E+03,1.1709E+01,1.3502E+03,0.000E-01,6.198E-01
2.0104868E+00,6.35059E+01,1.4060E+01,1.3256E+03,1.1708E+01,1.3373E+03,0.000E-01,6.167E-01
2.0205393E+00,6.34748E+01,1.3995E+01,1.3129E+03,1.1706E+01,1.3246E+03,0.000E-01,6.136E-01
2.0306420E+00,6.34426E+01,1.3929E+01,1.3002E+03,1.1704E+01,1.3119E+03,0.000E-01,6.106E-01
2.0407952E+00,6.34093E+01,1.3864E+01,1.2877E+03,1.1702E+01,1.2994E+03,0.000E-01,6.075E-01
2.0509992E+00,6.33749E+01,1.3800E+01,1.2754E+03,1.1699E+01,1.2871E+03,0.000E-01,6.045E-01
2.0612542E+00,6.33393E+01,1.3736E+01,1.2631E+03,1.1697E+01,1.2748E+03,0.000E-01,6.015E-01
2.0715604E+00,6.33025E+01,1.3672E+01,1.2510E+03,1.1694E+01,1.2627E+03,0.000E-01,5.985E-01
2.0819182E+00,6.32646E+01,1.3609E+01,1.2391E+03,1.1691E+01,1.2508E+03,0.000E-01,5.955E-01
2.0923278E+00,6.32254E+01,1.3547E+01,1.2272E+03,1.1688E+01,1.2389E+03,0.000E-01,5.926E-01
2.1027895E+00,6.31849E+01,1.3484E+01,1.2155E+03,1.1685E+01,1.2272E+03,0.000E-01,5.896E-01
2.1133034E+00,6.31432E+01,1.3422E+01,1.2039E+03,1.1681E+01,1.2156E+03,0.000E-01,5.867E-01
2.1238699E+00,6.31002E+01,1.3361E+01,1.1924E+03,1.1677E+01,1.2041E+03,0.000E-01,5.838E-01
2.1344893E+00,6.30558E+01,1.3300E+01,1.1811E+03,1.1674E+01,1.1928E+03,0.000E-01,5.809E-01
2.1451617E+00,6.30100E+01,1.3240E+01,1.1699E+03,1.1670E+01,1.1815E+03,0.000E-01,5.780E-01
2.1558875E+00,6.29627E+01,1.3173E+01,1.1582E+03,1.1665E+01,1.1699E+03,0.000E-01,5.751E-01
2.1666670E+00,6.29132E+01,1.3105E+01,1.1465E+03,1.1661E+01,1.1581E+03,0.000E-01,5.722E-01
2.1775003E+00,6.28616E+01,1.3037E+01,1.1349E+03,1.1656E+01,1.1465E+03,0.000E-01,5.694E-01
2.1883878E+00,6.28078E+01,1.2970E+01,1.1234E+03,1.1652E+01,1.1350E+03,0.000E-01,5.666E-01
2.1993297E+00,6.27472E+01,1.2902E+01,1.1120E+03,1.1647E+01,1.1237E+03,0.000E-01,5.637E-01
2.2103264E+00,6.26890E+01,1.2836E+01,1.1007E+03,1.1641E+01,1.1124E+03,0.000E-01,5.609E-01
2.2213780E+00,6.26284E+01,1.2769E+01,1.0896E+03,1.1636E+01,1.1012E+03,0.000E-01,5.581E-01
2.2324849E+00,6.25654E+01,1.2703E+01,1.0786E+03,1.1630E+01,1.0902E+03,0.000E-01,5.554E-01
2.2436473E+00,6.25000E+01,1.2637E+01,1.0677E+03,1.1625E+01,1.0793E+03,0.000E-01,5.526E-01
2.2548656E+00,6.24319E+01,1.2572E+01,1.0568E+03,1.1619E+01,1.0685E+03,0.000E-01,5.499E-01
2.2661399E+00,6.23613E+01,1.2507E+01,1.0462E+03,1.1613E+01,1.0578E+03,0.000E-01,5.471E-01
2.2774706E+00,6.22877E+01,1.2437E+01,1.0351E+03,1.1607E+01,1.0467E+03,0.000E-01,5.444E-01
2.2888579E+00,6.22108E+01,1.2367E+01,1.0242E+03,1.1600E+01,1.0358E+03,0.000E-01,5.417E-01
2.3003022E+00,6.21306E+01,1.2298E+01,1.0134E+03,1.1594E+01,1.0250E+03,0.000E-01,5.390E-01
2.3118037E+00,6.20527E+01,1.2229E+01,1.0027E+03,1.1587E+01,1.0143E+03,0.000E-01,5.363E-01
2.3233628E+00,6.19656E+01,1.2160E+01,9.9211E+02,1.1580E+01,1.0037E+03,0.000E-01,5.336E-01
2.3349796E+00,6.18747E+01,1.2093E+01,9.8166E+02,1.1573E+01,9.9323E+02,0.000E-01,5.310E-01
2.3466545E+00,6.17801E+01,1.2025E+01,9.7133E+02,1.1565E+01,9.8289E+02,0.000E-01,5.283E-01
2.3583878E+00,6.16816E+01,1.1958E+01,9.6111E+02,1.1558E+01,9.7267E+02,0.000E-01,5.257E-01
2.3701797E+00,6.15789E+01,1.1892E+01,9.5101E+02,1.1550E+01,9.6256E+02,0.000E-01,5.231E-01
2.3820306E+00,6.14720E+01,1.1826E+01,9.4103E+02,1.1542E+01,9.5257E+02,0.000E-01,5.205E-01
2.3939407E+00,6.13607E+01,1.1760E+01,9.3115E+02,1.1534E+01,9.4269E+02,0.000E-01,5.179E-01
2.4059104E+00,6.12447E+01,1.1695E+01,9.2139E+02,1.1526E+01,9.3292E+02,0.000E-01,5.153E-01
2.4179400E+00,6.11238E+01,1.1630E+01,9.1174E+02,1.1517E+01,9.2326E+02,0.000E-01,5.128E-01
2.4300297E+00,6.09978E+01,1.1566E+01,9.0219E+02,1.1509E+01,9.1370E+02,0.000E-01,5.102E-01
2.4421798E+00,6.08664E+01,1.1502E+01,8.9276E+02,1.1500E+01,9.0426E+02,0.000E-01,5.077E-01
2.4543907E+00,6.07293E+01,1.1439E+01,8.8342E+02,1.1491E+01,8.9492E+02,0.000E-01,5.052E-01
2.4666627E+00,6.05863E+01,1.1376E+01,8.7420E+02,1.1482E+01,8.8568E+02,0.000E-01,5.026E-01
2.4789960E+00,6.04369E+01,1.1314E+01,8.6507E+02,1.1473E+01,8.7655E+02,0.000E-01,5.001E-01
2.4913910E+00,6.02808E+01,1.1252E+01,8.5605E+02,1.1463E+01,8.6752E+02,0.000E-01,4.977E-01
2.5038479E+00,6.01175E+01,1.1190E+01,8.4713E+02,1.1454E+01,8.5859E+02,0.000E-01,4.952E-01
2.5163672E+00,5.99466E+01,1.1129E+01,8.3831E+02,1.1444E+01,8.4976E+02,0.000E-01,4.927E-01
2.5289490E+00,5.97675E+01,1.1068E+01,8.2959E+02,1.1434E+01,8.4102E+02,0.000E-01,4.903E-01
2.5415938E+00,5.95797E+01,1.1008E+01,8.2096E+02,1.1424E+01,8.3239E+02,0.000E-01,4.878E-01
2.5543017E+00,5.93825E+01,1.0948E+01,8.1244E+02,1.1414E+01,8.2385E+02,0.000E-01,4.854E-01
2.5670732E+00,5.91752E+01,1.0889E+01,8.0400E+02,1.1403E+01,8.1540E+02,0.000E-01,4.830E-01
2.5799086E+00,5.89569E+01,1.0829E+01,7.9566E+02,1.1393E+01,8.0705E+02,0.000E-01,4.806E-01
2.5928082E+00,5.87268E+01,1.0771E+01,7.8741E+02,1.1382E+01,7.9880E+02,0.000E-01,4.782E-01
2.6057722E+00,5.84837E+01,1.0713E+01,7.7926E+02,1.1371E+01,7.9063E+02,0.000E-01,4.758E-01
2.6188011E+00,5.82264E+01,1.0655E+01,7.7119E+02,1.1360E+01,7.8255E+02,0.000E-01,4.734E-01
2.6318951E+00,5.79537E+01,1.0597E+01,7.6322E+02,1.1348E+01,7.7457E+02,0.000E-01,4.711E-01
2.6450545E+00,5.76637E+01,1.0540E+01,7.5533E+02,1.1337E+01,7.6667E+02,0.000E-01,4.687E-01
2.6582798E+00,5.73547E+01,1.0483E+01,7.4753E+02,1.1325E+01,7.5886E+02,0.000E-01,4.664E-01
2.6715712E+00,5.70244E+01,1.0427E+01,7.3982E+02,1.1313E+01,7.5113E+02,0.000E-01,4.641E-01
2.6849291E+00,5.66701E+01,1.0371E+01,7.3219E+02,1.1302E+01,7.4349E+02,0.000E-01,4.618E-01
2.6983537E+00,5.62888E+01,1.0316E+01,7.2465E+02,1.1289E+01,7.3594E+02,0.000E-01,4.595E-01
2.7118455E+00,5.58765E+01,1.0261E+01,7.1719E+02,1.1277E+01,7.2847E+02,0.000E-01,4.572E-01
2.7254047E+00,5.54284E+01,1.0206E+01,7.0981E+02,1.1265E+01,7.2108E+02,0.000E-01,4.549E-01
2.7390317E+00,5.49385E+01,1.0151E+01,7.0252E+02,1.1252E+01,7.1377E+02,0.000E-01,4.527E-01
2.7527269E+00,5.43992E+01,1.0097E+01,6.9530E+02,1.1239E+01,7.0654E+02,0.000E-01,4.504E-01
2.7664905E+00,5.38004E+01,1.0044E+01,6.8817E+02,1.1226E+01,6.9939E+02,0.000E-01,4.482E-01
2.7803230E+00,5.31286E+01,9.9905E+00,6.8111E+02,1.1213E+01,6.9232E+02,0.000E-01,4.459E-01
2.7942246E+00,5.23638E+01,9.9375E+00,6.7413E+02,1.1200E+01,6.8533E+02,0.000E-01,4.437E-01
2.8081957E+00,5.14805E+01,9.8850E+00,6.6723E+02,1.1187E+01,6.7841E+02,0.000E-01,4.415E-01
2.8222367E+00,5.04349E+01,9.8328E+00,6.6040E+02,1.1173E+01,6.7157E+02,0.000E-01,4.393E-01
2.8363479E+00,4.91554E+01,9.7809E+00,6.5365E+02,1.1160E+01,6.6481E+02,0.000E-01,4.371E-01
2.8505296E+00,4.75069E+01,9.7294E+00,6.4697E+02,1.1146E+01,6.5812E+02,0.000E-01,4.350E-01
2.8647823E+00,4.51815E+01,9.6781E+00,6.4036E+02,1.1132E+01,6.5149E+02,0.000E-01,4.328E-01
2.8791062E+00,4.11545E+01,9.6271E+00,6.3382E+02,1.1117E+01,6.4493E+02,0.000E-01,4.306E-01
2.8915873E+00,2.59768E+01,9.5831E+00,6.2820E+02,1.1105E+01,6.3930E+02,0.000E-01,4.288E-01
2.8935017E+00,2.73618E+01,2.6619E+01,1.7438E+03,1.1103E+01,1.7549E+03,0.000E-01,4.285E-01
2.9079692E+00,4.16766E+01,2.6336E+01,1.7166E+03,1.1089E+01,1.7277E+03,0.000E-01,4.264E-01
2.9225091E+00,4.50424E+01,2.6056E+01,1.6900E+03,1.1074E+01,1.7010E+03,0.000E-01,4.242E-01
2.9371216E+00,4.68582E+01,2.5780E+01,1.6637E+03,1.1059E+01,1.6748E+03,0.000E-01,4.221E-01
2.9518072E+00,4.79339E+01,2.5507E+01,1.6379E+03,1.1044E+01,1.6490E+03,0.000E-01,4.200E-01
2.9665662E+00,4.84939E+01,2.5238E+01,1.6126E+03,1.1029E+01,1.6236E+03,0.000E-01,4.179E-01
2.9813991E+00,4.85621E+01,2.4972E+01,1.5876E+03,1.1014E+01,1.5987E+03,0.000E-01,4.159E-01
2.9963061E+00,4.79571E+01,2.4709E+01,1.5631E+03,1.0999E+01,1.5741E+03,0.000E-01,4.138E-01
3.0112876E+00,4.58173E+01,2.4433E+01,1.5380E+03,1.0983E+01,1.5490E+03,0.000E-01,4.117E-01
3.0205816E+00,3.80654E+01,2.4261E+01,1.5225E+03,1.0974E+01,1.5334E+03,0.000E-01,4.105E-01
3.0224186E+00,3.79935E+01,3.5050E+01,2.1982E+03,1.0972E+01,2.2091E+03,0.000E-01,4.102E-01
3.0263440E+00,4.39426E+01,3.4954E+01,2.1893E+03,1.0968E+01,2.2003E+03,0.000E-01,4.097E-01
3.0414758E+00,4.95564E+01,3.4602E+01,2.1565E+03,1.0952E+01,2.1674E+03,0.000E-01,4.076E-01
3.0566831E+00,5.21432E+01,3.4275E+01,2.1255E+03,1.0936E+01,2.1364E+03,0.000E-01,4.056E-01
