E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.40245E+01,4.9041E-01,3.0935E+02,2.4596E+00,3.1181E+02,0.000E+00,5.959E-01
2.224304E+00,1.35997E+01,4.3951E-01,2.5935E+02,2.4058E+00,2.6176E+02,0.000E+00,5.574E-01
2.377781E+00,1.26322E+01,3.9431E-01,2.1766E+02,2.3469E+00,2.2001E+02,0.000E+00,5.214E-01
2.422560E+00,1.19404E+01,3.8259E-01,2.0729E+02,2.3296E+00,2.0962E+02,0.000E+00,5.118E-01
2.459640E+00,1.03757E+01,3.7333E-01,1.9922E+02,2.3153E+00,2.0154E+02,0.000E+00,5.041E-01
2.469528E+00,8.49659E+00,3.7093E-01,1.9715E+02,2.3115E+00,1.9946E+02,0.000E+00,5.021E-01
2.484360E+00,1.03922E+01,4.0700E+00,2.1503E+03,2.3058E+00,2.1526E+03,1.956E+03,4.991E-01
2.521440E+00,1.21135E+01,3.9926E+00,2.0784E+03,2.2915E+00,2.0807E+03,1.892E+03,4.917E-01
2.541848E+00,1.25569E+01,3.9512E+00,2.0403E+03,2.2836E+00,2.0426E+03,1.857E+03,4.878E-01
2.717235E+00,1.42376E+01,3.5845E+00,1.7315E+03,2.2163E+00,1.7337E+03,1.578E+03,4.563E-01
2.904724E+00,1.49741E+01,3.2216E+00,1.4557E+03,2.1458E+00,1.4578E+03,1.326E+03,4.268E-01
3.105150E+00,1.54198E+01,2.8955E+00,1.2239E+03,2.0724E+00,1.2260E+03,1.116E+03,3.993E-01
3.319406E+00,1.57231E+01,2.5973E+00,1.0270E+03,1.9968E+00,1.0290E+03,9.378E+02,3.735E-01
3.548445E+00,1.59311E+01,2.3237E+00,8.5953E+02,1.9196E+00,8.6145E+02,7.858E+02,3.494E-01
3.793288E+00,1.60769E+01,2.0792E+00,7.1943E+02,1.8412E+00,7.2127E+02,6.584E+02,3.269E-01
