E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.04800E+01,1.6391E+00,7.3736E+02,2.9964E+00,7.4036E+02,0.000E+00,5.959E-01
2.224304E+00,2.03965E+01,1.4635E+00,6.1588E+02,2.9365E+00,6.1882E+02,0.000E+00,5.574E-01
2.377781E+00,2.03074E+01,1.3080E+00,5.1489E+02,2.8700E+00,5.1776E+02,0.000E+00,5.214E-01
2.541848E+00,2.02132E+01,1.1701E+00,4.3088E+02,2.7976E+00,4.3368E+02,0.000E+00,4.878E-01
2.717235E+00,2.01132E+01,1.0477E+00,3.6091E+02,2.7200E+00,3.6363E+02,0.000E+00,4.563E-01
2.904724E+00,2.00074E+01,9.3904E-01,3.0260E+02,2.6377E+00,3.0524E+02,0.000E+00,4.268E-01
3.105150E+00,1.98896E+01,8.3405E-01,2.5142E+02,2.5516E+00,2.5397E+02,0.000E+00,3.993E-01
3.319406E+00,1.97362E+01,7.3458E-01,2.0714E+02,2.4622E+00,2.0960E+02,0.000E+00,3.735E-01
3.548445E+00,1.95416E+01,6.4760E-01,1.7083E+02,2.3703E+00,1.7320E+02,0.000E+00,3.494E-01
3.793288E+00,1.92752E+01,5.7147E-01,1.4102E+02,2.2764E+00,1.4330E+02,0.000E+00,3.269E-01
4.055024E+00,1.88520E+01,5.0478E-01,1.1652E+02,2.1813E+00,1.1870E+02,0.000E+00,3.058E-01
4.334821E+00,1.78700E+01,4.4631E-01,9.6373E+01,2.0855E+00,9.8458E+01,0.000E+00,2.860E-01
4.402944E+00,1.72904E+01,4.3371E-01,9.2203E+01,2.0630E+00,9.4266E+01,0.000E+00,2.816E-01
4.470336E+00,1.57929E+01,4.2180E-01,8.8319E+01,2.0412E+00,9.0360E+01,0.000E+00,2.773E-01
4.488307E+00,1.39862E+01,4.1871E-01,8.7321E+01,2.0354E+00,8.9356E+01,0.000E+00,2.762E-01
4.515264E+00,1.58273E+01,3.9769E+00,8.2443E+02,2.0268E+00,8.2646E+02,7.386E+02,2.746E-01
4.582656E+00,1.74949E+01,3.8694E+00,7.9036E+02,2.0055E+00,7.9237E+02,7.080E+02,2.706E-01
4.633924E+00,1.80517E+01,3.7907E+00,7.6570E+02,1.9896E+00,7.6769E+02,6.859E+02,2.676E-01
4.953664E+00,1.94991E+01,3.3816E+00,6.3898E+02,1.8941E+00,6.4087E+02,5.729E+02,2.503E-01
5.295467E+00,2.01389E+01,3.0409E+00,5.3752E+02,1.7995E+00,5.3932E+02,4.827E+02,2.341E-01
5.660855E+00,2.05351E+01,2.7420E+00,4.5340E+02,1.7064E+00,4.5511E+02,4.079E+02,2.190E-01
6.051453E+00,2.08130E+01,2.4648E+00,3.8125E+02,1.6150E+00,3.8286E+02,3.434E+02,2.049E-01
6.469004E+00,2.10038E+01,2.2063E+00,3.1924E+02,1.5258E+00,3.2077E+02,2.878E+02,1.917E-01
6.915365E+00,2.11368E+01,1.9727E+00,2.6702E+02,1.4390E+00,2.6846E+02,2.408E+02,1.793E-01
7.392525E+00,2.12296E+01,1.7627E+00,2.2319E+02,1.3550E+00,2.2454E+02,2.014E+02,1.677E-01
7.902609E+00,2.12935E+01,1.5741E+00,1.8645E+02,1.2740E+00,1.8772E+02,1.683E+02,1.569E-01
8.447890E+00,2.13369E+01,1.4055E+00,1.5573E+02,1.1962E+00,1.5693E+02,1.406E+02,1.468E-01
9.030794E+00,2.14081E+01,1.2534E+00,1.2992E+02,1.1216E+00,1.3104E+02,1.174E+02,1.373E-01
9.653919E+00,2.14223E+01,1.1075E+00,1.0739E+02,1.0505E+00,1.0844E+02,9.708E+01,1.284E-01
2.011215E+01,2.12467E+01,2.8301E-01,1.3171E+01,4.9344E-01,1.3664E+01,1.199E+01,6.165E-02
2.149988E+01,2.12285E+01,2.4840E-01,1.0815E+01,4.6126E-01,1.1276E+01,9.845E+00,5.767E-02
2.298338E+01,2.12108E+01,2.1804E-01,8.8800E+00,4.3161E-01,9.3116E+00,8.081E+00,5.395E-02
2.456923E+01,2.11940E+01,1.9139E-01,7.2916E+00,4.0436E-01,7.6960E+00,6.633E+00,5.046E-02
2.626450E+01,2.11783E+01,1.6800E-01,5.9873E+00,3.7934E-01,6.3666E+00,5.444E+00,4.721E-02
2.807676E+01,2.11637E+01,1.4661E-01,4.8878E+00,3.5642E-01,5.2442E+00,4.445E+00,4.416E-02
3.001405E+01,2.11496E+01,1.2771E-01,3.9828E+00,3.3544E-01,4.3182E+00,3.622E+00,4.131E-02
3.208502E+01,2.11362E+01,1.1124E-01,3.2454E+00,3.1627E-01,3.5617E+00,2.952E+00,3.864E-02
3.429889E+01,2.11237E+01,9.6904E-02,2.6446E+00,2.9877E-01,2.9434E+00,2.406E+00,3.615E-02
