E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,4.80794E+01,3.1157E+01,3.6164E+03,1.0449E+01,3.6268E+03,0.000E-01,6.188E-01
2.0135813E+00,4.84337E+01,3.0931E+01,3.5723E+03,1.0446E+01,3.5827E+03,0.000E-01,6.157E-01
2.0236492E+00,4.87662E+01,3.0706E+01,3.5287E+03,1.0442E+01,3.5392E+03,0.000E-01,6.127E-01
2.0337675E+00,4.90774E+01,3.0484E+01,3.4857E+03,1.0437E+01,3.4961E+03,0.000E-01,6.096E-01
2.0439363E+00,4.93674E+01,3.0263E+01,3.4432E+03,1.0433E+01,3.4537E+03,0.000E-01,6.066E-01
2.0541560E+00,4.96364E+01,3.0043E+01,3.4013E+03,1.0429E+01,3.4117E+03,0.000E-01,6.036E-01
2.0644268E+00,4.98840E+01,2.9826E+01,3.3599E+03,1.0424E+01,3.3703E+03,0.000E-01,6.006E-01
2.0747489E+00,5.01095E+01,2.9610E+01,3.3189E+03,1.0419E+01,3.3294E+03,0.000E-01,5.976E-01
2.0851227E+00,5.03117E+01,2.9396E+01,3.2785E+03,1.0414E+01,3.2889E+03,0.000E-01,5.946E-01
2.0955483E+00,5.04889E+01,2.9183E+01,3.2386E+03,1.0409E+01,3.2490E+03,0.000E-01,5.917E-01
2.1060260E+00,5.06384E+01,2.8972E+01,3.1992E+03,1.0404E+01,3.2096E+03,0.000E-01,5.887E-01
2.1165562E+00,5.07562E+01,2.8763E+01,3.1603E+03,1.0398E+01,3.1707E+03,0.000E-01,5.858E-01
2.1271389E+00,5.08362E+01,2.8555E+01,3.1218E+03,1.0392E+01,3.1322E+03,0.000E-01,5.829E-01
2.1377746E+00,5.08686E+01,2.8349E+01,3.0839E+03,1.0387E+01,3.0943E+03,0.000E-01,5.800E-01
2.1484635E+00,5.08373E+01,2.8144E+01,3.0464E+03,1.0381E+01,3.0568E+03,0.000E-01,5.771E-01
2.1592058E+00,5.07121E+01,2.7941E+01,3.0094E+03,1.0375E+01,3.0197E+03,0.000E-01,5.742E-01
2.1700018E+00,5.04274E+01,2.7740E+01,2.9728E+03,1.0368E+01,2.9832E+03,0.000E-01,5.714E-01
2.1808519E+00,4.97924E+01,2.7540E+01,2.9367E+03,1.0362E+01,2.9470E+03,0.000E-01,5.685E-01
2.1917561E+00,4.73967E+01,2.7341E+01,2.9010E+03,1.0355E+01,2.9114E+03,0.000E-01,5.657E-01
2.1963695E+00,4.75241E+01,3.2008E+01,3.3891E+03,1.0353E+01,3.3994E+03,0.000E-01,5.645E-01
2.2027149E+00,4.96584E+01,3.1866E+01,3.3643E+03,1.0349E+01,3.3746E+03,0.000E-01,5.629E-01
2.2137285E+00,5.11518E+01,3.1621E+01,3.3218E+03,1.0342E+01,3.3321E+03,0.000E-01,5.601E-01
