E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,3.55373E+01,4.2000E+00,8.6673E+02,6.2965E+00,8.7303E+02,0.000E+00,5.959E-01
2.224304E+00,3.47971E+01,3.8225E+00,7.3791E+02,6.2179E+00,7.4413E+02,0.000E+00,5.574E-01
2.377781E+00,3.36483E+01,3.4791E+00,6.2827E+02,6.1232E+00,6.3439E+02,0.000E+00,5.214E-01
2.541848E+00,3.13904E+01,3.1701E+00,5.3551E+02,6.0134E+00,5.4152E+02,0.000E+00,4.878E-01
2.623362E+00,2.87881E+01,3.0348E+00,4.9673E+02,5.9565E+00,5.0269E+02,0.000E+00,4.726E-01
2.663515E+00,2.50323E+01,2.9720E+00,4.7912E+02,5.9281E+00,4.8505E+02,0.000E+00,4.655E-01
2.674223E+00,2.07808E+01,2.9556E+00,4.7458E+02,5.9205E+00,4.8050E+02,0.000E+00,4.636E-01
2.690284E+00,2.48440E+01,1.1112E+01,1.7735E+03,5.9090E+00,1.7794E+03,0.000E+00,4.609E-01
2.717235E+00,2.75114E+01,1.0908E+01,1.7238E+03,5.8896E+00,1.7297E+03,0.000E+00,4.563E-01
2.730438E+00,2.80698E+01,1.0811E+01,1.7001E+03,5.8801E+00,1.7060E+03,0.000E+00,4.541E-01
2.737336E+00,2.82666E+01,1.0760E+01,1.6879E+03,5.8751E+00,1.6938E+03,0.000E+00,4.529E-01
2.779234E+00,2.80038E+01,1.0462E+01,1.6163E+03,5.8448E+00,1.6221E+03,0.000E+00,4.461E-01
2.790407E+00,2.62259E+01,1.0384E+01,1.5980E+03,5.8367E+00,1.6038E+03,0.000E+00,4.443E-01
2.807166E+00,2.86758E+01,1.4318E+01,2.1901E+03,5.8245E+00,2.1959E+03,0.000E+00,4.417E-01
2.849064E+00,3.12570E+01,1.3966E+01,2.1049E+03,5.7938E+00,2.1107E+03,0.000E+00,4.352E-01
2.904724E+00,3.28473E+01,1.3532E+01,2.0004E+03,5.7530E+00,2.0062E+03,0.000E+00,4.268E-01
2.981650E+00,3.39650E+01,1.3001E+01,1.8724E+03,5.6962E+00,1.8781E+03,0.000E+00,4.158E-01
3.027288E+00,3.38793E+01,1.2694E+01,1.8006E+03,5.6624E+00,1.8063E+03,0.000E+00,4.096E-01
3.039458E+00,3.30922E+01,1.2611E+01,1.7816E+03,5.6534E+00,1.7873E+03,0.000E+00,4.079E-01
3.057713E+00,3.42883E+01,1.4368E+01,2.0177E+03,5.6398E+00,2.0233E+03,0.000E+00,4.055E-01
3.105150E+00,3.57277E+01,1.4032E+01,1.9404E+03,5.6046E+00,1.9460E+03,0.000E+00,3.993E-01
3.319406E+00,3.84624E+01,1.2651E+01,1.6365E+03,5.4460E+00,1.6419E+03,0.000E+00,3.735E-01
3.548445E+00,3.99967E+01,1.1386E+01,1.3778E+03,5.2782E+00,1.3831E+03,0.000E+00,3.494E-01
3.793288E+00,4.10105E+01,1.0235E+01,1.1585E+03,5.1027E+00,1.1636E+03,0.000E+00,3.269E-01
4.055024E+00,4.17156E+01,9.1995E+00,9.7414E+02,4.9208E+00,9.7906E+02,0.000E+00,3.058E-01
4.334821E+00,4.22095E+01,8.2654E+00,8.1874E+02,4.7338E+00,8.2347E+02,0.000E+00,2.860E-01
4.633924E+00,4.25576E+01,7.4299E+00,6.8848E+02,4.5429E+00,6.9302E+02,0.000E+00,2.676E-01
4.953664E+00,4.28030E+01,6.6808E+00,5.7910E+02,4.3495E+00,5.8345E+02,0.000E+00,2.503E-01
5.295467E+00,4.29757E+01,6.0099E+00,4.8732E+02,4.1546E+00,4.9147E+02,0.000E+00,2.341E-01
5.660855E+00,4.32230E+01,5.3838E+00,4.0838E+02,3.9594E+00,4.1234E+02,0.000E+00,2.190E-01
6.051453E+00,4.32768E+01,4.8130E+00,3.4152E+02,3.7650E+00,3.4528E+02,0.000E+00,2.049E-01
6.469004E+00,4.33256E+01,4.2974E+00,2.8525E+02,3.5723E+00,2.8882E+02,0.000E+00,1.917E-01
6.915365E+00,4.33043E+01,3.8397E+00,2.3842E+02,3.3823E+00,2.4180E+02,0.000E+00,1.793E-01
7.392525E+00,4.32619E+01,3.4340E+00,1.9946E+02,3.1957E+00,2.0266E+02,0.000E+00,1.677E-01
7.902609E+00,4.32061E+01,3.0740E+00,1.6703E+02,3.0133E+00,1.7004E+02,0.000E+00,1.569E-01
8.447890E+00,4.31423E+01,2.7519E+00,1.3987E+02,2.8357E+00,1.4271E+02,0.000E+00,1.468E-01
9.030794E+00,4.30782E+01,2.4588E+00,1.1691E+02,2.6635E+00,1.1957E+02,0.000E+00,1.373E-01
9.653919E+00,4.30003E+01,2.1809E+00,9.7003E+01,2.4972E+00,9.9500E+01,0.000E+00,1.284E-01
2.011215E+01,4.06536E+01,5.7486E-01,1.2273E+01,1.1118E+00,1.3385E+01,0.000E+00,6.165E-02
2.062312E+01,3.99411E+01,5.4960E-01,1.1443E+01,1.0789E+00,1.2522E+01,0.000E+00,6.012E-02
2.093878E+01,3.86303E+01,5.3488E-01,1.0969E+01,1.0594E+00,1.2028E+01,0.000E+00,5.921E-02
2.102296E+01,3.70523E+01,5.3106E-01,1.0847E+01,1.0544E+00,1.1901E+01,0.000E+00,5.898E-02
2.114922E+01,3.86579E+01,3.6354E+00,7.3809E+01,1.0468E+00,7.4856E+01,6.314E+01,5.862E-02
2.146488E+01,4.01100E+01,3.5390E+00,7.0796E+01,1.0283E+00,7.1824E+01,6.056E+01,5.776E-02
