E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.74762E+01,9.8467E+00,1.5606E+03,7.1564E+00,1.5678E+03,0.000E+00,5.959E-01
2.224304E+00,4.74681E+01,8.9995E+00,1.3343E+03,7.0840E+00,1.3414E+03,0.000E+00,5.574E-01
2.377781E+00,4.74141E+01,8.1995E+00,1.1372E+03,6.9921E+00,1.1442E+03,0.000E+00,5.214E-01
2.541848E+00,4.72925E+01,7.4470E+00,9.6618E+02,6.8816E+00,9.7306E+02,0.000E+00,4.878E-01
2.717235E+00,4.70977E+01,6.7743E+00,8.2217E+02,6.7538E+00,8.2892E+02,0.000E+00,4.563E-01
2.904724E+00,4.68476E+01,6.1722E+00,7.0075E+02,6.6100E+00,7.0736E+02,0.000E+00,4.268E-01
3.105150E+00,4.66153E+01,5.5748E+00,5.9207E+02,6.4514E+00,5.9852E+02,0.000E+00,3.993E-01
3.319406E+00,4.61977E+01,4.9906E+00,4.9582E+02,6.2796E+00,5.0210E+02,0.000E+00,3.735E-01
3.548445E+00,4.55660E+01,4.4525E+00,4.1380E+02,6.0961E+00,4.1990E+02,0.000E+00,3.494E-01
3.793288E+00,4.46074E+01,3.9705E+00,3.4519E+02,5.9024E+00,3.5109E+02,0.000E+00,3.269E-01
4.055024E+00,4.29161E+01,3.5466E+00,2.8844E+02,5.7001E+00,2.9414E+02,0.000E+00,3.058E-01
4.254572E+00,3.98866E+01,3.2731E+00,2.5370E+02,5.5499E+00,2.5925E+02,0.000E+00,2.914E-01
4.319693E+00,3.64828E+01,3.1916E+00,2.4366E+02,5.5017E+00,2.4916E+02,0.000E+00,2.870E-01
4.334821E+00,3.35784E+01,3.1732E+00,2.4141E+02,5.4906E+00,2.4690E+02,0.000E+00,2.860E-01
4.337059E+00,3.25661E+01,3.1704E+00,2.4108E+02,5.4889E+00,2.4657E+02,0.000E+00,2.859E-01
4.363107E+00,3.64143E+01,1.0730E+01,8.1100E+02,5.4699E+00,8.1647E+02,0.000E+00,2.842E-01
4.428228E+00,3.96387E+01,1.0375E+01,7.7263E+02,5.4224E+00,7.7805E+02,0.000E+00,2.800E-01
4.519760E+00,4.06986E+01,9.9045E+00,7.2268E+02,5.3565E+00,7.2804E+02,0.000E+00,2.743E-01
4.588940E+00,3.98588E+01,9.5928E+00,6.8938E+02,5.3073E+00,6.9469E+02,0.000E+00,2.702E-01
4.607388E+00,3.81010E+01,9.5193E+00,6.8137E+02,5.2942E+00,6.8666E+02,0.000E+00,2.691E-01
4.633924E+00,4.01981E+01,1.3189E+01,9.3861E+02,5.2755E+00,9.4389E+02,0.000E+00,2.676E-01
4.635060E+00,4.02695E+01,1.3182E+01,9.3792E+02,5.2747E+00,9.4319E+02,0.000E+00,2.675E-01
4.704240E+00,4.24355E+01,1.2795E+01,8.9696E+02,5.2264E+00,9.0219E+02,0.000E+00,2.636E-01
4.840416E+00,4.39010E+01,1.2099E+01,8.2431E+02,5.1327E+00,8.2944E+02,0.000E+00,2.561E-01
4.914504E+00,4.37836E+01,1.1775E+01,7.9017E+02,5.0826E+00,7.9525E+02,0.000E+00,2.523E-01
4.934261E+00,4.30070E+01,1.1693E+01,7.8149E+02,5.0694E+00,7.8656E+02,0.000E+00,2.513E-01
4.953664E+00,4.37620E+01,1.3446E+01,8.9514E+02,5.0564E+00,9.0020E+02,0.000E+00,2.503E-01
4.963896E+00,4.41527E+01,1.3402E+01,8.9036E+02,5.0496E+00,8.9541E+02,0.000E+00,2.498E-01
5.037984E+00,4.54697E+01,1.3093E+01,8.5704E+02,5.0005E+00,8.6204E+02,0.000E+00,2.461E-01
5.295467E+00,4.74921E+01,1.2143E+01,7.5622E+02,4.8346E+00,7.6105E+02,0.000E+00,2.341E-01
5.660855E+00,4.90633E+01,1.1024E+01,6.4224E+02,4.6115E+00,6.4685E+02,0.000E+00,2.190E-01
6.051453E+00,5.01223E+01,9.9599E+00,5.4278E+02,4.3884E+00,5.4717E+02,0.000E+00,2.049E-01
6.469004E+00,5.08541E+01,8.9652E+00,4.5704E+02,4.1666E+00,4.6121E+02,0.000E+00,1.917E-01
6.915365E+00,5.13603E+01,8.0533E+00,3.8405E+02,3.9470E+00,3.8800E+02,0.000E+00,1.793E-01
7.392525E+00,5.17086E+01,7.2315E+00,3.2260E+02,3.7309E+00,3.2633E+02,0.000E+00,1.677E-01
7.902609E+00,5.19470E+01,6.4957E+00,2.7107E+02,3.5190E+00,2.7459E+02,0.000E+00,1.569E-01
8.447890E+00,5.21110E+01,5.8397E+00,2.2797E+02,3.3122E+00,2.3128E+02,0.000E+00,1.468E-01
9.030794E+00,5.23131E+01,5.2387E+00,1.9131E+02,3.1111E+00,1.9442E+02,0.000E+00,1.373E-01
9.653919E+00,5.24118E+01,4.6582E+00,1.5913E+02,2.9166E+00,1.6205E+02,0.000E+00,1.284E-01
2.011215E+01,5.15662E+01,1.2957E+00,2.1246E+01,1.2833E+00,2.2529E+01,0.000E+00,6.165E-02
2.149988E+01,5.14406E+01,1.1532E+00,1.7689E+01,1.1818E+00,1.8871E+01,0.000E+00,5.767E-02
2.298338E+01,5.12980E+01,1.0224E+00,1.4670E+01,1.0875E+00,1.5758E+01,0.000E+00,5.395E-02
2.456923E+01,5.11280E+01,9.0723E-01,1.2177E+01,9.9993E-01,1.3177E+01,0.000E+00,5.046E-02
2.626450E+01,5.09118E+01,8.0574E-01,1.0117E+01,9.1896E-01,1.1036E+01,0.000E+00,4.721E-02
2.807676E+01,5.06060E+01,7.0918E-01,8.3299E+00,8.4421E-01,9.1741E+00,0.000E+00,4.416E-02
3.001405E+01,5.00202E+01,6.2270E-01,6.8420E+00,7.7536E-01,7.6174E+00,0.000E+00,4.131E-02
3.117752E+01,4.91381E+01,5.7843E-01,6.1184E+00,7.3862E-01,6.8570E+00,0.000E+00,3.977E-02
3.165473E+01,4.78928E+01,5.6169E-01,5.8517E+00,7.2444E-01,6.5761E+00,0.000E+00,3.917E-02
3.178199E+01,4.63982E+01,5.5735E-01,5.7833E+00,7.2075E-01,6.5040E+00,0.000E+00,3.901E-02
3.197287E+01,4.79119E+01,3.4947E+00,3.6046E+01,7.1526E-01,3.6761E+01,3.036E+01,3.878E-02
3.208502E+01,4.84330E+01,3.4746E+00,3.5714E+01,7.1207E-01,3.6426E+01,3.009E+01,3.864E-02
3.245008E+01,4.92809E+01,3.4107E+00,3.4662E+01,7.0187E-01,3.5364E+01,2.922E+01,3.821E-02
3.429889E+01,5.06702E+01,3.1135E+00,2.9937E+01,6.5403E-01,3.0591E+01,2.531E+01,3.615E-02
3.666551E+01,5.13278E+01,2.7886E+00,2.5082E+01,6.0089E-01,2.5683E+01,2.127E+01,3.381E-02
3.919543E+01,5.16980E+01,2.4971E+00,2.1010E+01,5.5233E-01,2.1562E+01,1.787E+01,3.163E-02
4.189992E+01,5.19380E+01,2.2343E+00,1.7586E+01,5.0804E-01,1.8094E+01,1.500E+01,2.959E-02
4.479101E+01,5.20975E+01,1.9932E+00,1.4675E+01,4.6770E-01,1.5143E+01,1.254E+01,2.768E-02
4.788159E+01,5.22041E+01,1.7775E+00,1.2242E+01,4.3102E-01,1.2673E+01,1.048E+01,2.589E-02
