E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.16125E+01,1.9839E+00,8.3797E+02,3.1364E+00,8.4111E+02,0.000E+00,5.959E-01
2.224304E+00,2.15408E+01,1.7785E+00,7.0272E+02,3.0733E+00,7.0579E+02,0.000E+00,5.574E-01
2.377781E+00,2.14645E+01,1.5901E+00,5.8772E+02,3.0033E+00,5.9072E+02,0.000E+00,5.214E-01
2.541848E+00,2.13815E+01,1.4215E+00,4.9151E+02,2.9272E+00,4.9444E+02,0.000E+00,4.878E-01
2.717235E+00,2.12933E+01,1.2720E+00,4.1144E+02,2.8457E+00,4.1429E+02,0.000E+00,4.563E-01
2.904724E+00,2.12005E+01,1.1394E+00,3.4473E+02,2.7593E+00,3.4749E+02,0.000E+00,4.268E-01
3.105150E+00,2.11027E+01,1.0116E+00,2.8633E+02,2.6689E+00,2.8900E+02,0.000E+00,3.993E-01
3.319406E+00,2.09847E+01,8.9095E-01,2.3589E+02,2.5750E+00,2.3846E+02,0.000E+00,3.735E-01
3.548445E+00,2.08432E+01,7.8546E-01,1.9454E+02,2.4786E+00,1.9702E+02,0.000E+00,3.494E-01
3.793288E+00,2.06701E+01,6.9316E-01,1.6060E+02,2.3801E+00,1.6298E+02,0.000E+00,3.269E-01
4.055024E+00,2.04452E+01,6.1232E-01,1.3271E+02,2.2803E+00,1.3499E+02,0.000E+00,3.058E-01
4.334821E+00,2.01195E+01,5.4145E-01,1.0978E+02,2.1798E+00,1.1196E+02,0.000E+00,2.860E-01
4.633924E+00,1.95302E+01,4.7926E-01,9.0896E+01,2.0792E+00,9.2975E+01,0.000E+00,2.676E-01
4.867072E+00,1.83295E+01,4.3839E-01,7.9162E+01,2.0055E+00,8.1168E+01,0.000E+00,2.547E-01
4.941568E+00,1.68446E+01,4.2651E-01,7.5855E+01,1.9827E+00,7.7838E+01,0.000E+00,2.509E-01
4.953664E+00,1.61067E+01,4.2463E-01,7.5337E+01,1.9791E+00,7.7316E+01,0.000E+00,2.503E-01
4.961434E+00,1.50532E+01,4.2343E-01,7.5006E+01,1.9767E+00,7.6983E+01,0.000E+00,2.499E-01
4.991232E+00,1.68795E+01,3.9516E+00,6.9581E+02,1.9678E+00,6.9778E+02,6.221E+02,2.484E-01
5.065728E+00,1.85331E+01,3.8444E+00,6.6698E+02,1.9457E+00,6.6893E+02,5.962E+02,2.448E-01
5.295467E+00,1.99941E+01,3.5500E+00,5.8919E+02,1.8799E+00,5.9107E+02,5.267E+02,2.341E-01
5.660855E+00,2.08781E+01,3.1852E+00,4.9451E+02,1.7822E+00,4.9629E+02,4.426E+02,2.190E-01
6.051453E+00,2.13665E+01,2.8699E+00,4.1681E+02,1.6864E+00,4.1850E+02,3.737E+02,2.049E-01
6.469004E+00,2.16932E+01,2.5886E+00,3.5168E+02,1.5928E+00,3.5327E+02,3.158E+02,1.917E-01
6.915365E+00,2.19215E+01,2.3196E+00,2.9479E+02,1.5018E+00,2.9629E+02,2.649E+02,1.793E-01
7.392525E+00,2.20793E+01,2.0760E+00,2.4681E+02,1.4137E+00,2.4822E+02,2.219E+02,1.677E-01
7.902609E+00,2.21897E+01,1.8566E+00,2.0648E+02,1.3288E+00,2.0781E+02,1.857E+02,1.569E-01
8.447890E+00,2.22671E+01,1.6599E+00,1.7269E+02,1.2471E+00,1.7394E+02,1.553E+02,1.468E-01
9.030794E+00,2.23223E+01,1.4823E+00,1.4426E+02,1.1689E+00,1.4543E+02,1.298E+02,1.373E-01
9.653919E+00,2.23587E+01,1.3190E+00,1.2008E+02,1.0942E+00,1.2117E+02,1.082E+02,1.284E-01
2.011215E+01,2.22735E+01,3.3906E-01,1.4816E+01,5.0920E-01,1.5325E+01,1.345E+01,6.165E-02
2.149988E+01,2.22547E+01,2.9966E-01,1.2250E+01,4.7537E-01,1.2725E+01,1.112E+01,5.767E-02
2.298338E+01,2.22365E+01,2.6320E-01,1.0064E+01,4.4420E-01,1.0508E+01,9.136E+00,5.395E-02
2.456923E+01,2.22186E+01,2.3115E-01,8.2686E+00,4.1554E-01,8.6841E+00,7.503E+00,5.046E-02
2.626450E+01,2.22014E+01,2.0302E-01,6.7934E+00,3.8923E-01,7.1826E+00,6.162E+00,4.721E-02
2.807676E+01,2.21864E+01,1.7732E-01,5.5507E+00,3.6511E-01,5.9158E+00,5.035E+00,4.416E-02
3.001405E+01,2.21708E+01,1.5460E-01,4.5269E+00,3.4305E-01,4.8700E+00,4.107E+00,4.131E-02
3.208502E+01,2.21559E+01,1.3479E-01,3.6921E+00,3.2288E-01,4.0150E+00,3.350E+00,3.864E-02
3.429889E+01,2.21420E+01,1.1752E-01,3.0113E+00,3.0447E-01,3.3158E+00,2.733E+00,3.615E-02
3.666551E+01,2.21289E+01,1.0247E-01,2.4561E+00,2.8768E-01,2.7438E+00,2.229E+00,3.381E-02
3.919543E+01,2.21169E+01,8.9345E-02,2.0034E+00,2.7237E-01,2.2758E+00,1.819E+00,3.163E-02
4.189992E+01,2.21058E+01,7.7906E-02,1.6341E+00,2.5842E-01,1.8925E+00,1.483E+00,2.959E-02
4.479101E+01,2.20957E+01,6.7933E-02,1.3329E+00,2.4571E-01,1.5786E+00,1.210E+00,2.768E-02
4.788159E+01,2.20863E+01,5.9238E-02,1.0873E+00,2.3413E-01,1.3214E+00,9.871E-01,2.589E-02
5.118542E+01,2.20779E+01,5.1657E-02,8.8697E-01,2.2357E-01,1.1105E+00,8.052E-01,2.422E-02
5.471721E+01,2.20701E+01,4.5047E-02,7.2355E-01,2.1393E-01,9.3748E-01,6.568E-01,2.266E-02
5.849270E+01,2.20631E+01,3.9284E-02,5.9026E-01,2.0512E-01,7.9538E-01,5.358E-01,2.120E-02
6.252870E+01,2.20568E+01,3.4259E-02,4.8153E-01,1.9706E-01,6.7859E-01,4.370E-01,1.983E-02
6.684318E+01,2.20510E+01,2.9877E-02,3.9284E-01,1.8966E-01,5.8250E-01,3.565E-01,1.855E-02
7.145536E+01,2.20458E+01,2.6057E-02,3.2048E-01,1.8285E-01,5.0333E-01,2.908E-01,1.735E-02
7.638578E+01,2.20411E+01,2.2725E-02,2.6146E-01,1.7657E-01,4.3803E-01,2.372E-01,1.623E-02
8.165640E+01,2.20369E+01,1.9787E-02,2.1297E-01,1.7076E-01,3.8373E-01,1.932E-01,1.518E-02
8.729069E+01,2.20331E+01,1.7165E-02,1.7282E-01,1.6536E-01,3.3818E-01,1.568E-01,1.420E-02
9.331374E+01,2.20297E+01,1.4891E-02,1.4025E-01,1.6033E-01,3.0058E-01,1.272E-01,1.329E-02
9.975239E+01,2.20266E+01,1.2918E-02,1.1382E-01,1.5561E-01,2.6943E-01,1.033E-01,1.243E-02
2.078156E+02,2.20075E+01,2.7079E-03,1.1452E-02,1.1623E-01,1.2768E-01,1.038E-02,5.966E-03
2.221548E+02,2.20066E+01,2.3494E-03,9.2946E-03,1.1328E-01,1.2257E-01,8.425E-03,5.581E-03
2.374835E+02,2.20059E+01,2.0384E-03,7.5438E-03,1.1038E-01,1.1792E-01,6.837E-03,5.221E-03
2.538699E+02,2.20052E+01,1.7686E-03,6.1229E-03,1.0754E-01,1.1366E-01,5.548E-03,4.884E-03
2.713869E+02,2.20046E+01,1.5346E-03,4.9696E-03,1.0475E-01,1.0972E-01,4.503E-03,4.569E-03
2.901126E+02,2.20041E+01,1.3315E-03,4.0336E-03,1.0200E-01,1.0603E-01,3.654E-03,4.274E-03
3.101304E+02,2.20037E+01,1.1553E-03,3.2739E-03,9.9285E-02,1.0256E-01,2.965E-03,3.998E-03
3.315294E+02,2.20032E+01,1.0024E-03,2.6573E-03,9.6615E-02,9.9272E-02,2.406E-03,3.740E-03
3.544049E+02,2.20029E+01,8.6974E-04,2.1568E-03,9.3982E-02,9.6139E-02,1.953E-03,3.498E-03
3.788588E+02,2.20025E+01,7.5465E-04,1.7506E-03,9.1387E-02,9.3138E-02,1.585E-03,3.273E-03
4.050001E+02,2.20023E+01,6.5480E-04,1.4209E-03,8.8829E-02,9.0250E-02,1.286E-03,3.061E-03
4.329451E+02,2.20020E+01,5.6816E-04,1.1534E-03,8.6308E-02,8.7461E-02,1.044E-03,2.864E-03
