E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,5.45047E+01,1.0974E+01,1.1295E+03,1.1444E+01,1.1409E+03,0.000E-01,6.198E-01
2.0104868E+00,5.43632E+01,1.0914E+01,1.1176E+03,1.1441E+01,1.1291E+03,0.000E-01,6.167E-01
2.0205393E+00,5.42161E+01,1.0853E+01,1.1059E+03,1.1438E+01,1.1174E+03,0.000E-01,6.136E-01
2.0306420E+00,5.40629E+01,1.0793E+01,1.0944E+03,1.1434E+01,1.1058E+03,0.000E-01,6.106E-01
2.0407952E+00,5.39034E+01,1.0734E+01,1.0829E+03,1.1431E+01,1.0944E+03,0.000E-01,6.075E-01
2.0509992E+00,5.37372E+01,1.0675E+01,1.0716E+03,1.1427E+01,1.0830E+03,0.000E-01,6.045E-01
2.0612542E+00,5.35638E+01,1.0617E+01,1.0604E+03,1.1423E+01,1.0719E+03,0.000E-01,6.015E-01
2.0715604E+00,5.33827E+01,1.0558E+01,1.0494E+03,1.1419E+01,1.0608E+03,0.000E-01,5.985E-01
2.0819182E+00,5.31934E+01,1.0501E+01,1.0385E+03,1.1414E+01,1.0499E+03,0.000E-01,5.955E-01
2.0923278E+00,5.29954E+01,1.0443E+01,1.0276E+03,1.1410E+01,1.0391E+03,0.000E-01,5.926E-01
2.1027895E+00,5.27880E+01,1.0386E+01,1.0170E+03,1.1405E+01,1.0284E+03,0.000E-01,5.896E-01
2.1133034E+00,5.25704E+01,1.0330E+01,1.0064E+03,1.1400E+01,1.0178E+03,0.000E-01,5.867E-01
2.1238699E+00,5.23419E+01,1.0274E+01,9.9594E+02,1.1395E+01,1.0073E+03,0.000E-01,5.838E-01
2.1344893E+00,5.21016E+01,1.0218E+01,9.8561E+02,1.1390E+01,9.9700E+02,0.000E-01,5.809E-01
2.1451617E+00,5.18483E+01,1.0163E+01,9.7539E+02,1.1385E+01,9.8677E+02,0.000E-01,5.780E-01
2.1558875E+00,5.15810E+01,1.0108E+01,9.6528E+02,1.1379E+01,9.7666E+02,0.000E-01,5.751E-01
2.1666670E+00,5.13005E+01,1.0053E+01,9.5529E+02,1.1373E+01,9.6667E+02,0.000E-01,5.722E-01
2.1775003E+00,5.10009E+01,9.9988E+00,9.4542E+02,1.1367E+01,9.5678E+02,0.000E-01,5.694E-01
2.1883878E+00,5.06824E+01,9.9449E+00,9.3565E+02,1.1361E+01,9.4701E+02,0.000E-01,5.666E-01
2.1993297E+00,5.03432E+01,9.8915E+00,9.2599E+02,1.1355E+01,9.3734E+02,0.000E-01,5.637E-01
2.2103264E+00,4.99805E+01,9.8384E+00,9.1643E+02,1.1349E+01,9.2778E+02,0.000E-01,5.609E-01
2.2213780E+00,4.95916E+01,9.7856E+00,9.0699E+02,1.1342E+01,9.1833E+02,0.000E-01,5.581E-01
2.2324849E+00,4.91729E+01,9.7313E+00,8.9746E+02,1.1335E+01,9.0880E+02,0.000E-01,5.554E-01
2.2436473E+00,4.87199E+01,9.6763E+00,8.8795E+02,1.1328E+01,8.9928E+02,0.000E-01,5.526E-01
2.2548656E+00,4.82272E+01,9.6218E+00,8.7855E+02,1.1321E+01,8.8988E+02,0.000E-01,5.499E-01
2.2661399E+00,4.76881E+01,9.5677E+00,8.6927E+02,1.1314E+01,8.8058E+02,0.000E-01,5.471E-01
2.2774706E+00,4.70938E+01,9.5139E+00,8.6009E+02,1.1306E+01,8.7139E+02,0.000E-01,5.444E-01
2.2888579E+00,4.64329E+01,9.4607E+00,8.5101E+02,1.1299E+01,8.6231E+02,0.000E-01,5.417E-01
2.3003022E+00,4.56899E+01,9.4078E+00,8.4205E+02,1.1291E+01,8.5334E+02,0.000E-01,5.390E-01
2.3118037E+00,4.48428E+01,9.3542E+00,8.3308E+02,1.1283E+01,8.4437E+02,0.000E-01,5.363E-01
2.3233628E+00,4.38592E+01,9.2999E+00,8.2413E+02,1.1275E+01,8.3541E+02,0.000E-01,5.336E-01
2.3349796E+00,4.26879E+01,9.2461E+00,8.1529E+02,1.1266E+01,8.2656E+02,0.000E-01,5.310E-01
2.3466545E+00,4.12408E+01,9.1928E+00,8.0655E+02,1.1258E+01,8.1781E+02,0.000E-01,5.283E-01
2.3583878E+00,3.93445E+01,9.1399E+00,7.9792E+02,1.1249E+01,8.0917E+02,0.000E-01,5.257E-01
2.3701797E+00,3.65691E+01,9.0874E+00,7.8939E+02,1.1240E+01,8.0063E+02,0.000E-01,5.231E-01
2.3820306E+00,3.11333E+01,9.0354E+00,7.8097E+02,1.1231E+01,7.9220E+02,0.000E-01,5.205E-01
2.3886550E+00,1.78561E+01,9.0066E+00,7.7632E+02,1.1226E+01,7.8754E+02,0.000E-01,5.191E-01
2.3899452E+00,1.75600E+01,2.6110E+01,2.2493E+03,1.1225E+01,2.2606E+03,0.000E-01,5.188E-01
2.3939407E+00,2.82573E+01,2.6045E+01,2.2400E+03,1.1222E+01,2.2512E+03,0.000E-01,5.179E-01
2.4059104E+00,3.49344E+01,2.5852E+01,2.2123E+03,1.1213E+01,2.2236E+03,0.000E-01,5.153E-01
2.4179400E+00,3.75104E+01,2.5661E+01,2.1851E+03,1.1204E+01,2.1963E+03,0.000E-01,5.128E-01
2.4300297E+00,3.88982E+01,2.5471E+01,2.1581E+03,1.1194E+01,2.1693E+03,0.000E-01,5.102E-01
2.4421798E+00,3.95964E+01,2.5282E+01,2.1314E+03,1.1184E+01,2.1426E+03,0.000E-01,5.077E-01
2.4543907E+00,3.96905E+01,2.5094E+01,2.1050E+03,1.1174E+01,2.1162E+03,0.000E-01,5.052E-01
2.4666627E+00,3.89611E+01,2.4907E+01,2.0790E+03,1.1164E+01,2.0901E+03,0.000E-01,5.026E-01
2.4789960E+00,3.59590E+01,2.4722E+01,2.0533E+03,1.1154E+01,2.0644E+03,0.000E-01,5.001E-01
2.4843943E+00,2.85815E+01,2.4642E+01,2.0421E+03,1.1149E+01,2.0533E+03,0.000E-01,4.991E-01
2.4858058E+00,2.85013E+01,3.5959E+01,2.9783E+03,1.1148E+01,2.9895E+03,0.000E-01,4.988E-01
2.4913910E+00,3.68012E+01,3.5836E+01,2.9615E+03,1.1143E+01,2.9726E+03,0.000E-01,4.977E-01
2.5038479E+00,4.15359E+01,3.5563E+01,2.9243E+03,1.1133E+01,2.9354E+03,0.000E-01,4.952E-01
2.5163672E+00,4.40836E+01,3.5293E+01,2.8876E+03,1.1122E+01,2.8988E+03,0.000E-01,4.927E-01
2.5289490E+00,4.59357E+01,3.5024E+01,2.8514E+03,1.1111E+01,2.8625E+03,0.000E-01,4.903E-01
2.5415938E+00,4.74244E+01,3.4758E+01,2.8157E+03,1.1100E+01,2.8268E+03,0.000E-01,4.878E-01
2.5543017E+00,4.86821E+01,3.4494E+01,2.7804E+03,1.1089E+01,2.7915E+03,0.000E-01,4.854E-01
2.5670732E+00,4.97767E+01,3.4233E+01,2.7456E+03,1.1077E+01,2.7567E+03,0.000E-01,4.830E-01
2.5799086E+00,5.07481E+01,3.3973E+01,2.7112E+03,1.1066E+01,2.7223E+03,0.000E-01,4.806E-01
2.5928082E+00,5.16222E+01,3.3715E+01,2.6773E+03,1.1054E+01,2.6883E+03,0.000E-01,4.782E-01
2.6057722E+00,5.24165E+01,3.3460E+01,2.6438E+03,1.1042E+01,2.6548E+03,0.000E-01,4.758E-01
2.6188011E+00,5.31438E+01,3.3206E+01,2.6107E+03,1.1030E+01,2.6217E+03,0.000E-01,4.734E-01
