E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.95404E+01,1.1509E+01,1.7729E+03,7.4919E+00,1.7804E+03,0.000E+00,5.959E-01
2.224304E+00,4.96205E+01,1.0509E+01,1.5143E+03,7.4143E+00,1.5217E+03,0.000E+00,5.574E-01
2.377781E+00,4.96630E+01,9.5998E+00,1.2940E+03,7.3167E+00,1.3013E+03,0.000E+00,5.214E-01
2.541848E+00,4.96398E+01,8.7741E+00,1.1064E+03,7.2000E+00,1.1136E+03,0.000E+00,4.878E-01
2.717235E+00,4.95830E+01,8.0226E+00,9.4631E+02,7.0656E+00,9.5338E+02,0.000E+00,4.563E-01
2.904724E+00,4.94927E+01,7.2962E+00,8.0508E+02,6.9146E+00,8.1199E+02,0.000E+00,4.268E-01
3.105150E+00,4.93460E+01,6.5778E+00,6.7897E+02,6.7485E+00,6.8572E+02,0.000E+00,3.993E-01
3.319406E+00,4.90369E+01,5.8878E+00,5.6852E+02,6.5689E+00,5.7509E+02,0.000E+00,3.735E-01
3.548445E+00,4.86191E+01,5.2812E+00,4.7703E+02,6.3772E+00,4.8341E+02,0.000E+00,3.494E-01
3.793288E+00,4.80668E+01,4.7420E+00,4.0068E+02,6.1750E+00,4.0686E+02,0.000E+00,3.269E-01
4.055024E+00,4.72888E+01,4.2430E+00,3.3537E+02,5.9640E+00,3.4133E+02,0.000E+00,3.058E-01
4.334821E+00,4.60511E+01,3.7928E+00,2.8044E+02,5.7456E+00,2.8619E+02,0.000E+00,2.860E-01
4.633924E+00,4.32904E+01,3.3957E+00,2.3487E+02,5.5216E+00,2.4039E+02,0.000E+00,2.676E-01
4.686556E+00,4.22221E+01,3.3332E+00,2.2796E+02,5.4832E+00,2.3344E+02,0.000E+00,2.646E-01
4.758289E+00,3.89074E+01,3.2512E+00,2.1900E+02,5.4314E+00,2.2443E+02,0.000E+00,2.606E-01
4.777418E+00,3.50859E+01,3.2299E+00,2.1669E+02,5.4176E+00,2.2211E+02,0.000E+00,2.595E-01
4.806111E+00,3.88484E+01,1.0612E+01,7.0771E+02,5.3971E+00,7.1311E+02,0.000E+00,2.580E-01
4.877844E+00,4.20237E+01,1.0271E+01,6.7488E+02,5.3463E+00,6.8023E+02,0.000E+00,2.542E-01
4.953664E+00,4.30390E+01,9.9278E+00,6.4236E+02,5.2933E+00,6.4765E+02,0.000E+00,2.503E-01
5.001626E+00,4.32058E+01,9.7191E+00,6.2282E+02,5.2600E+00,6.2808E+02,0.000E+00,2.479E-01
5.078182E+00,4.23055E+01,9.4330E+00,5.9537E+02,5.2075E+00,6.0058E+02,0.000E+00,2.442E-01
5.098596E+00,4.05721E+01,9.3624E+00,5.8855E+02,5.1937E+00,5.9374E+02,0.000E+00,2.432E-01
