E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.038400E+00,2.37509E+01,2.7303E+00,6.3397E+02,5.6671E+00,6.3964E+02,0.000E+00,6.082E-01
2.069600E+00,1.97463E+01,2.6724E+00,6.1117E+02,5.6532E+00,6.1682E+02,0.000E+00,5.991E-01
2.077920E+00,1.52496E+01,2.6573E+00,6.0529E+02,5.6494E+00,6.1094E+02,0.000E+00,5.967E-01
2.080733E+00,1.22125E+01,1.1347E+01,2.5812E+03,5.6482E+00,2.5868E+03,0.000E+00,5.959E-01
2.090400E+00,1.94878E+01,1.1250E+01,2.5472E+03,5.6437E+00,2.5528E+03,0.000E+00,5.931E-01
2.112390E+00,2.22543E+01,1.1032E+01,2.4719E+03,5.6333E+00,2.4775E+03,0.000E+00,5.869E-01
2.121600E+00,2.26814E+01,1.0943E+01,2.4413E+03,5.6289E+00,2.4469E+03,0.000E+00,5.844E-01
2.144722E+00,2.24813E+01,1.0724E+01,2.3666E+03,5.6176E+00,2.3722E+03,0.000E+00,5.781E-01
2.153344E+00,2.06853E+01,1.0644E+01,2.3396E+03,5.6133E+00,2.3452E+03,0.000E+00,5.758E-01
2.166277E+00,2.33438E+01,1.4777E+01,3.2286E+03,5.6068E+00,3.2342E+03,0.000E+00,5.723E-01
2.198610E+00,2.62000E+01,1.4387E+01,3.0972E+03,5.5902E+00,3.1028E+03,0.000E+00,5.639E-01
2.224304E+00,2.73921E+01,1.4100E+01,3.0005E+03,5.5767E+00,3.0061E+03,0.000E+00,5.574E-01
2.325050E+00,2.96519E+01,1.3101E+01,2.6670E+03,5.5213E+00,2.6725E+03,0.000E+00,5.333E-01
2.360637E+00,2.95060E+01,1.2787E+01,2.5638E+03,5.5009E+00,2.5693E+03,0.000E+00,5.252E-01
2.370127E+00,2.86977E+01,1.2706E+01,2.5373E+03,5.4954E+00,2.5428E+03,0.000E+00,5.231E-01
2.377781E+00,2.92895E+01,1.4549E+01,2.8961E+03,5.4909E+00,2.9016E+03,0.000E+00,5.214E-01
2.384362E+00,2.98931E+01,1.4489E+01,2.8762E+03,5.4871E+00,2.8817E+03,0.000E+00,5.200E-01
2.419950E+00,3.12811E+01,1.4173E+01,2.7721E+03,5.4660E+00,2.7776E+03,0.000E+00,5.123E-01
2.541848E+00,3.34545E+01,1.3193E+01,2.4567E+03,5.3916E+00,2.4621E+03,0.000E+00,4.878E-01
2.717235E+00,3.52232E+01,1.1997E+01,2.0897E+03,5.2796E+00,2.0950E+03,0.000E+00,4.563E-01
2.904724E+00,3.64368E+01,1.0880E+01,1.7728E+03,5.1562E+00,1.7780E+03,0.000E+00,4.268E-01
3.105150E+00,3.73289E+01,9.8107E+00,1.4954E+03,5.0224E+00,1.5004E+03,0.000E+00,3.993E-01
3.319406E+00,3.79344E+01,8.8048E+00,1.2555E+03,4.8793E+00,1.2604E+03,0.000E+00,3.735E-01
3.548445E+00,3.83570E+01,7.9085E+00,1.0549E+03,4.7282E+00,1.0596E+03,0.000E+00,3.494E-01
3.793288E+00,3.86559E+01,7.1093E+00,8.8708E+02,4.5703E+00,8.9165E+02,0.000E+00,3.269E-01
4.055024E+00,3.88701E+01,6.3963E+00,7.4659E+02,4.4066E+00,7.5100E+02,0.000E+00,3.058E-01
4.334821E+00,3.91683E+01,5.7359E+00,6.2629E+02,4.2385E+00,6.3053E+02,0.000E+00,2.860E-01
4.633924E+00,3.92510E+01,5.1210E+00,5.2306E+02,4.0670E+00,5.2713E+02,0.000E+00,2.676E-01
4.953664E+00,3.93244E+01,4.5662E+00,4.3629E+02,3.8933E+00,4.4018E+02,0.000E+00,2.503E-01
5.295467E+00,3.93154E+01,4.0696E+00,3.6374E+02,3.7184E+00,3.6746E+02,0.000E+00,2.341E-01
5.660855E+00,3.92785E+01,3.6301E+00,3.0352E+02,3.5433E+00,3.0706E+02,0.000E+00,2.190E-01
6.051453E+00,3.92227E+01,3.2375E+00,2.5322E+02,3.3690E+00,2.5659E+02,0.000E+00,2.049E-01
6.469004E+00,3.91530E+01,2.8894E+00,2.1140E+02,3.1964E+00,2.1460E+02,0.000E+00,1.917E-01
6.915365E+00,3.90743E+01,2.5811E+00,1.7666E+02,3.0262E+00,1.7969E+02,0.000E+00,1.793E-01
7.392525E+00,3.89901E+01,2.3079E+00,1.4777E+02,2.8592E+00,1.5063E+02,0.000E+00,1.677E-01
7.902609E+00,3.89024E+01,2.0645E+00,1.2365E+02,2.6961E+00,1.2635E+02,0.000E+00,1.569E-01
8.447890E+00,3.88129E+01,1.8485E+00,1.0357E+02,2.5373E+00,1.0611E+02,0.000E+00,1.468E-01
9.030794E+00,3.87295E+01,1.6525E+00,8.6612E+01,2.3834E+00,8.8995E+01,0.000E+00,1.373E-01
9.653919E+00,3.86362E+01,1.4600E+00,7.1579E+01,2.2348E+00,7.3814E+01,0.000E+00,1.284E-01
2.011215E+01,3.83725E+01,2.7995E+00,6.5883E+01,1.0007E+00,6.6884E+01,5.703E+01,6.165E-02
2.149988E+01,3.87118E+01,2.5209E+00,5.5496E+01,9.2475E-01,5.6421E+01,4.814E+01,5.767E-02
2.298338E+01,3.89467E+01,2.2626E+00,4.6596E+01,8.5417E-01,4.7450E+01,4.048E+01,5.395E-02
2.456923E+01,3.91063E+01,2.0235E+00,3.8982E+01,7.8877E-01,3.9771E+01,3.389E+01,5.046E-02
2.626450E+01,3.92168E+01,1.8082E+00,3.2586E+01,7.2831E-01,3.3314E+01,2.834E+01,4.721E-02
2.807676E+01,3.92939E+01,1.6098E+00,2.7138E+01,6.7253E-01,2.7811E+01,2.364E+01,4.416E-02
3.001405E+01,3.93414E+01,1.4316E+00,2.2576E+01,6.2117E-01,2.3197E+01,1.970E+01,4.131E-02
3.208502E+01,3.93703E+01,1.2733E+00,1.8783E+01,5.7399E-01,1.9357E+01,1.642E+01,3.864E-02
3.429889E+01,3.94221E+01,1.1318E+00,1.5618E+01,5.3072E-01,1.6149E+01,1.367E+01,3.615E-02
3.666551E+01,3.94258E+01,9.9964E-01,1.2904E+01,4.9112E-01,1.3395E+01,1.130E+01,3.381E-02
3.919543E+01,3.94194E+01,8.8302E-01,1.0663E+01,4.5492E-01,1.1118E+01,9.345E+00,3.163E-02
4.189992E+01,3.94068E+01,7.8007E-01,8.8118E+00,4.2190E-01,9.2337E+00,7.725E+00,2.959E-02
4.479101E+01,3.93903E+01,6.8916E-01,7.2824E+00,3.9181E-01,7.6742E+00,6.386E+00,2.768E-02
4.788159E+01,3.93712E+01,6.0881E-01,6.0182E+00,3.6443E-01,6.3826E+00,5.279E+00,2.589E-02
5.118542E+01,3.93507E+01,5.3780E-01,4.9730E+00,3.3954E-01,5.3125E+00,4.364E+00,2.422E-02
5.471721E+01,3.93296E+01,4.7479E-01,4.1070E+00,3.1694E-01,4.4239E+00,3.608E+00,2.266E-02
5.849270E+01,3.93082E+01,4.1920E-01,3.3921E+00,2.9643E-01,3.6885E+00,2.983E+00,2.120E-02
6.252870E+01,3.92872E+01,3.7014E-01,2.8018E+00,2.7783E-01,3.0796E+00,2.466E+00,1.983E-02
6.684318E+01,3.92669E+01,3.2684E-01,2.3143E+00,2.6096E-01,2.5753E+00,2.038E+00,1.855E-02
7.145536E+01,3.92475E+01,2.8863E-01,1.9118E+00,2.4566E-01,2.1575E+00,1.685E+00,1.735E-02
7.638578E+01,3.92293E+01,2.5432E-01,1.5759E+00,2.3179E-01,1.8077E+00,1.389E+00,1.623E-02
8.165640E+01,3.92118E+01,2.2342E-01,1.2950E+00,2.1921E-01,1.5142E+00,1.142E+00,1.518E-02
8.729069E+01,3.91946E+01,1.9588E-01,1.0621E+00,2.0778E-01,1.2699E+00,9.362E-01,1.420E-02
9.331374E+01,3.91782E+01,1.7174E-01,8.7111E-01,1.9738E-01,1.0685E+00,7.677E-01,1.329E-02
9.975239E+01,3.91628E+01,1.5058E-01,7.1451E-01,1.8791E-01,9.0242E-01,6.295E-01,1.243E-02
2.078156E+02,3.90543E+01,3.5560E-02,8.0990E-02,1.2208E-01,2.0307E-01,7.093E-02,5.966E-03
2.221548E+02,3.90488E+01,3.1194E-02,6.6461E-02,1.1813E-01,1.8459E-01,5.816E-02,5.581E-03
2.374835E+02,3.90439E+01,2.7365E-02,5.4540E-02,1.1436E-01,1.6890E-01,4.769E-02,5.221E-03
2.538699E+02,3.90394E+01,2.4007E-02,4.4758E-02,1.1075E-01,1.5551E-01,3.911E-02,4.884E-03
2.713869E+02,3.90354E+01,2.1062E-02,3.6732E-02,1.0728E-01,1.4401E-01,3.207E-02,4.569E-03
2.901126E+02,3.90317E+01,1.8478E-02,3.0147E-02,1.0392E-01,1.3407E-01,2.629E-02,4.274E-03
3.101304E+02,3.90285E+01,1.6212E-02,2.4742E-02,1.0068E-01,1.2542E-01,2.156E-02,3.998E-03
3.315294E+02,3.90255E+01,1.4224E-02,2.0307E-02,9.7529E-02,1.1784E-01,1.768E-02,3.740E-03
3.544049E+02,3.90228E+01,1.2480E-02,1.6668E-02,9.4466E-02,1.1113E-01,1.450E-02,3.498E-03
3.788588E+02,3.90204E+01,1.0951E-02,1.3681E-02,9.1480E-02,1.0516E-01,1.189E-02,3.273E-03
