E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.06968E+01,3.0722E+01,3.7289E+03,1.0060E+01,3.7389E+03,0.000E-01,6.188E-01
2.0135813E+00,5.11310E+01,3.0461E+01,3.6788E+03,1.0056E+01,3.6889E+03,0.000E-01,6.157E-01
2.0236492E+00,5.15135E+01,3.0202E+01,3.6294E+03,1.0051E+01,3.6395E+03,0.000E-01,6.127E-01
2.0337675E+00,5.18530E+01,2.9946E+01,3.5808E+03,1.0047E+01,3.5908E+03,0.000E-01,6.096E-01
2.0439363E+00,5.21534E+01,2.9692E+01,3.5327E+03,1.0042E+01,3.5428E+03,0.000E-01,6.066E-01
2.0541560E+00,5.24207E+01,2.9461E+01,3.4878E+03,1.0038E+01,3.4978E+03,0.000E-01,6.036E-01
2.0644268E+00,5.26687E+01,2.9237E+01,3.4440E+03,1.0033E+01,3.4540E+03,0.000E-01,6.006E-01
2.0747489E+00,5.28970E+01,2.9016E+01,3.4010E+03,1.0028E+01,3.4110E+03,0.000E-01,5.976E-01
2.0851227E+00,5.31051E+01,2.8799E+01,3.3587E+03,1.0023E+01,3.3687E+03,0.000E-01,5.946E-01
2.0955483E+00,5.32923E+01,2.8584E+01,3.3171E+03,1.0017E+01,3.3271E+03,0.000E-01,5.917E-01
2.1060260E+00,5.34572E+01,2.8373E+01,3.2762E+03,1.0012E+01,3.2862E+03,0.000E-01,5.887E-01
2.1165562E+00,5.35967E+01,2.8164E+01,3.2359E+03,1.0006E+01,3.2459E+03,0.000E-01,5.858E-01
2.1271389E+00,5.37051E+01,2.7958E+01,3.1963E+03,1.0001E+01,3.2063E+03,0.000E-01,5.829E-01
2.1377746E+00,5.37715E+01,2.7755E+01,3.1573E+03,9.9946E+00,3.1673E+03,0.000E-01,5.800E-01
2.1484635E+00,5.37716E+01,2.7554E+01,3.1189E+03,9.9886E+00,3.1289E+03,0.000E-01,5.771E-01
2.1592058E+00,5.36356E+01,2.7356E+01,3.0810E+03,9.9823E+00,3.0910E+03,0.000E-01,5.742E-01
2.1700018E+00,5.29164E+01,2.7161E+01,3.0438E+03,9.9760E+00,3.0538E+03,0.000E-01,5.714E-01
2.1704360E+00,5.28293E+01,2.7153E+01,3.0423E+03,9.9757E+00,3.0523E+03,0.000E-01,5.712E-01
2.1755642E+00,5.29028E+01,2.8982E+01,3.2396E+03,9.9726E+00,3.2495E+03,0.000E-01,5.699E-01
2.1808519E+00,5.36916E+01,2.8875E+01,3.2198E+03,9.9694E+00,3.2298E+03,0.000E-01,5.685E-01
2.1917561E+00,5.44223E+01,2.8658E+01,3.1797E+03,9.9628E+00,3.1896E+03,0.000E-01,5.657E-01
2.2027149E+00,5.48883E+01,2.8443E+01,3.1401E+03,9.9559E+00,3.1501E+03,0.000E-01,5.629E-01
2.2137285E+00,5.52548E+01,2.8230E+01,3.1011E+03,9.9490E+00,3.1111E+03,0.000E-01,5.601E-01
2.2247971E+00,5.55658E+01,2.8020E+01,3.0628E+03,9.9418E+00,3.0727E+03,0.000E-01,5.573E-01
2.2359211E+00,5.58396E+01,2.7812E+01,3.0249E+03,9.9346E+00,3.0349E+03,0.000E-01,5.545E-01
2.2471007E+00,5.60852E+01,2.7607E+01,2.9876E+03,9.9271E+00,2.9976E+03,0.000E-01,5.518E-01
2.2583362E+00,5.63078E+01,2.7404E+01,2.9509E+03,9.9196E+00,2.9608E+03,0.000E-01,5.490E-01
2.2696279E+00,5.65101E+01,2.7203E+01,2.9147E+03,9.9119E+00,2.9246E+03,0.000E-01,5.463E-01
2.2809760E+00,5.66927E+01,2.7005E+01,2.8791E+03,9.9040E+00,2.8890E+03,0.000E-01,5.436E-01
2.2923809E+00,5.68603E+01,2.6821E+01,2.8453E+03,9.8960E+00,2.8552E+03,0.000E-01,5.409E-01
2.3038428E+00,5.70170E+01,2.6640E+01,2.8120E+03,9.8878E+00,2.8219E+03,0.000E-01,5.382E-01
2.3153620E+00,5.71615E+01,2.6461E+01,2.7792E+03,9.8795E+00,2.7891E+03,0.000E-01,5.355E-01
2.3269388E+00,5.72923E+01,2.6284E+01,2.7469E+03,9.8711E+00,2.7568E+03,0.000E-01,5.328E-01
2.3385735E+00,5.74073E+01,2.6110E+01,2.7151E+03,9.8625E+00,2.7250E+03,0.000E-01,5.302E-01
2.3502664E+00,5.75023E+01,2.5938E+01,2.6838E+03,9.8538E+00,2.6937E+03,0.000E-01,5.275E-01
2.3620177E+00,5.75690E+01,2.5768E+01,2.6530E+03,9.8449E+00,2.6628E+03,0.000E-01,5.249E-01
2.3738278E+00,5.75888E+01,2.5600E+01,2.6226E+03,9.8359E+00,2.6324E+03,0.000E-01,5.223E-01
2.3856970E+00,5.75021E+01,2.5434E+01,2.5926E+03,9.8267E+00,2.6024E+03,0.000E-01,5.197E-01
2.3931119E+00,5.72620E+01,2.5331E+01,2.5741E+03,9.8210E+00,2.5839E+03,0.000E-01,5.181E-01
2.3976254E+00,5.64412E+01,2.5270E+01,2.5630E+03,9.8175E+00,2.5728E+03,0.000E-01,5.171E-01
2.4030879E+00,5.73875E+01,2.6372E+01,2.6687E+03,9.8132E+00,2.6785E+03,0.000E-01,5.159E-01
2.4096136E+00,5.77872E+01,2.6280E+01,2.6523E+03,9.8080E+00,2.6621E+03,0.000E-01,5.145E-01
2.4216616E+00,5.82101E+01,2.6114E+01,2.6224E+03,9.7984E+00,2.6322E+03,0.000E-01,5.120E-01
2.4337699E+00,5.85158E+01,2.5950E+01,2.5929E+03,9.7887E+00,2.6027E+03,0.000E-01,5.094E-01
2.4459388E+00,5.87724E+01,2.5786E+01,2.5638E+03,9.7789E+00,2.5735E+03,0.000E-01,5.069E-01
2.4581685E+00,5.90011E+01,2.5625E+01,2.5350E+03,9.7689E+00,2.5448E+03,0.000E-01,5.044E-01
2.4704593E+00,5.92111E+01,2.5465E+01,2.5066E+03,9.7587E+00,2.5164E+03,0.000E-01,5.019E-01
2.4828116E+00,5.94075E+01,2.5306E+01,2.4786E+03,9.7485E+00,2.4884E+03,0.000E-01,4.994E-01
2.4952257E+00,5.95935E+01,2.5148E+01,2.4509E+03,9.7381E+00,2.4606E+03,0.000E-01,4.969E-01
2.5077018E+00,5.97708E+01,2.4992E+01,2.4236E+03,9.7275E+00,2.4333E+03,0.000E-01,4.944E-01
2.5202403E+00,5.99408E+01,2.4837E+01,2.3966E+03,9.7168E+00,2.4063E+03,0.000E-01,4.920E-01
2.5328415E+00,6.01056E+01,2.4685E+01,2.3701E+03,9.7060E+00,2.3798E+03,0.000E-01,4.895E-01
2.5455057E+00,6.02653E+01,2.4530E+01,2.3434E+03,9.6951E+00,2.3531E+03,0.000E-01,4.871E-01
2.5582333E+00,6.04194E+01,2.4375E+01,2.3170E+03,9.6840E+00,2.3267E+03,0.000E-01,4.846E-01
2.5710244E+00,6.05687E+01,2.4221E+01,2.2909E+03,9.6728E+00,2.3006E+03,0.000E-01,4.822E-01
2.5838796E+00,6.07135E+01,2.4068E+01,2.2652E+03,9.6614E+00,2.2748E+03,0.000E-01,4.798E-01
2.5967990E+00,6.08544E+01,2.3916E+01,2.2397E+03,9.6499E+00,2.2494E+03,0.000E-01,4.775E-01
2.6097829E+00,6.09915E+01,2.3766E+01,2.2145E+03,9.6383E+00,2.2242E+03,0.000E-01,4.751E-01
2.6228319E+00,6.11252E+01,2.3616E+01,2.1897E+03,9.6266E+00,2.1993E+03,0.000E-01,4.727E-01
2.6359460E+00,6.12558E+01,2.3468E+01,2.1651E+03,9.6147E+00,2.1747E+03,0.000E-01,4.704E-01
2.6491257E+00,6.13833E+01,2.3321E+01,2.1408E+03,9.6027E+00,2.1504E+03,0.000E-01,4.680E-01
2.6623714E+00,6.15081E+01,2.3174E+01,2.1167E+03,9.5906E+00,2.1263E+03,0.000E-01,4.657E-01
2.6756832E+00,6.16302E+01,2.3029E+01,2.0930E+03,9.5783E+00,2.1026E+03,0.000E-01,4.634E-01
2.6890617E+00,6.17499E+01,2.2884E+01,2.0695E+03,9.5659E+00,2.0791E+03,0.000E-01,4.611E-01
2.7025070E+00,6.18672E+01,2.2740E+01,2.0463E+03,9.5534E+00,2.0558E+03,0.000E-01,4.588E-01
2.7160195E+00,6.19822E+01,2.2597E+01,2.0233E+03,9.5408E+00,2.0328E+03,0.000E-01,4.565E-01
2.7295996E+00,6.20951E+01,2.2455E+01,2.0006E+03,9.5280E+00,2.0101E+03,0.000E-01,4.542E-01
2.7432476E+00,6.22059E+01,2.2314E+01,1.9781E+03,9.5151E+00,1.9876E+03,0.000E-01,4.520E-01
2.7569638E+00,6.23149E+01,2.2174E+01,1.9559E+03,9.5021E+00,1.9654E+03,0.000E-01,4.497E-01
2.7707486E+00,6.24219E+01,2.2035E+01,1.9339E+03,9.4890E+00,1.9434E+03,0.000E-01,4.475E-01
2.7846024E+00,6.25273E+01,2.1896E+01,1.9122E+03,9.4757E+00,1.9217E+03,0.000E-01,4.452E-01
2.7985254E+00,6.26309E+01,2.1758E+01,1.8907E+03,9.4623E+00,1.9002E+03,0.000E-01,4.430E-01
2.8125180E+00,6.27331E+01,2.1621E+01,1.8694E+03,9.4488E+00,1.8789E+03,0.000E-01,4.408E-01
2.8265806E+00,6.28338E+01,2.1484E+01,1.8484E+03,9.4352E+00,1.8578E+03,0.000E-01,4.386E-01
2.8407135E+00,6.29327E+01,2.1347E+01,1.8274E+03,9.4214E+00,1.8368E+03,0.000E-01,4.365E-01
2.8549171E+00,6.30297E+01,2.1210E+01,1.8067E+03,9.4076E+00,1.8161E+03,0.000E-01,4.343E-01
2.8691917E+00,6.31251E+01,2.1074E+01,1.7862E+03,9.3936E+00,1.7956E+03,0.000E-01,4.321E-01
2.8835376E+00,6.32191E+01,2.0939E+01,1.7659E+03,9.3795E+00,1.7753E+03,0.000E-01,4.300E-01
2.8979553E+00,6.33116E+01,2.0805E+01,1.7458E+03,9.3652E+00,1.7552E+03,0.000E-01,4.278E-01
2.9124451E+00,6.34028E+01,2.0671E+01,1.7260E+03,9.3509E+00,1.7353E+03,0.000E-01,4.257E-01
2.9270073E+00,6.34930E+01,2.0538E+01,1.7064E+03,9.3365E+00,1.7157E+03,0.000E-01,4.236E-01
2.9416424E+00,6.35823E+01,2.0406E+01,1.6870E+03,9.3219E+00,1.6963E+03,0.000E-01,4.215E-01
2.9563506E+00,6.36712E+01,2.0275E+01,1.6678E+03,9.3072E+00,1.6771E+03,0.000E-01,4.194E-01
2.9711323E+00,6.37602E+01,2.0145E+01,1.6489E+03,9.2924E+00,1.6582E+03,0.000E-01,4.173E-01
2.9859880E+00,6.38504E+01,2.0016E+01,1.6301E+03,9.2775E+00,1.6394E+03,0.000E-01,4.152E-01
3.0009179E+00,6.39454E+01,1.9887E+01,1.6115E+03,9.2625E+00,1.6208E+03,0.000E-01,4.132E-01
3.0159225E+00,6.40414E+01,1.9743E+01,1.5919E+03,9.2473E+00,1.6012E+03,0.000E-01,4.111E-01
3.0310021E+00,6.41313E+01,1.9600E+01,1.5725E+03,9.2321E+00,1.5818E+03,0.000E-01,4.091E-01
3.0461571E+00,6.42174E+01,1.9458E+01,1.5534E+03,9.2167E+00,1.5626E+03,0.000E-01,4.070E-01
3.0613879E+00,6.45182E+01,1.9315E+01,1.5343E+03,9.2013E+00,1.5435E+03,0.000E-01,4.050E-01
3.0766949E+00,6.45976E+01,1.9168E+01,1.5150E+03,9.1857E+00,1.5242E+03,0.000E-01,4.030E-01
3.0920783E+00,6.46741E+01,1.9023E+01,1.4961E+03,9.1700E+00,1.5052E+03,0.000E-01,4.010E-01
3.1075387E+00,6.47478E+01,1.8879E+01,1.4774E+03,9.1542E+00,1.4865E+03,0.000E-01,3.990E-01
3.1230764E+00,6.48190E+01,1.8736E+01,1.4589E+03,9.1383E+00,1.4680E+03,0.000E-01,3.970E-01
3.1386918E+00,6.48878E+01,1.8593E+01,1.4406E+03,9.1223E+00,1.4497E+03,0.000E-01,3.950E-01
3.1543853E+00,6.50964E+01,1.8452E+01,1.4225E+03,9.1062E+00,1.4316E+03,0.000E-01,3.931E-01
3.1701572E+00,6.51611E+01,1.8308E+01,1.4044E+03,9.0900E+00,1.4135E+03,0.000E-01,3.911E-01
3.1860080E+00,6.52232E+01,1.8165E+01,1.3865E+03,9.0737E+00,1.3955E+03,0.000E-01,3.892E-01
