E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.84688E+01,2.9969E+00,6.6443E+02,5.7950E+00,6.7022E+02,0.000E+00,5.959E-01
2.177854E+00,2.50258E+01,2.8100E+00,5.9520E+02,5.7466E+00,6.0095E+02,0.000E+00,5.693E-01
2.211189E+00,2.10778E+01,2.7507E+00,5.7386E+02,5.7289E+00,5.7959E+02,0.000E+00,5.607E-01
2.220078E+00,1.66305E+01,2.7353E+00,5.6836E+02,5.7241E+00,5.7408E+02,0.000E+00,5.585E-01
2.224304E+00,1.62010E+01,1.1335E+01,2.3508E+03,5.7218E+00,2.3565E+03,0.000E+00,5.574E-01
2.233412E+00,2.08476E+01,1.1245E+01,2.3226E+03,5.7169E+00,2.3283E+03,0.000E+00,5.551E-01
2.260566E+00,2.38230E+01,1.0983E+01,2.2413E+03,5.7018E+00,2.2470E+03,0.000E+00,5.485E-01
2.266746E+00,2.40772E+01,1.0925E+01,2.2234E+03,5.6984E+00,2.2291E+03,0.000E+00,5.470E-01
2.295166E+00,2.39079E+01,1.0663E+01,2.1432E+03,5.6823E+00,2.1489E+03,0.000E+00,5.402E-01
2.304393E+00,2.21098E+01,1.0581E+01,2.1181E+03,5.6770E+00,2.1238E+03,0.000E+00,5.380E-01
2.318233E+00,2.47235E+01,1.4670E+01,2.9191E+03,5.6690E+00,2.9248E+03,0.000E+00,5.348E-01
2.352834E+00,2.75108E+01,1.4271E+01,2.7981E+03,5.6487E+00,2.8037E+03,0.000E+00,5.270E-01
2.377781E+00,2.85758E+01,1.4007E+01,2.7174E+03,5.6339E+00,2.7230E+03,0.000E+00,5.214E-01
2.480968E+00,3.07315E+01,1.3041E+01,2.4248E+03,5.5706E+00,2.4304E+03,0.000E+00,4.997E-01
2.518942E+00,3.05892E+01,1.2728E+01,2.3310E+03,5.5467E+00,2.3365E+03,0.000E+00,4.922E-01
2.529068E+00,2.97840E+01,1.2648E+01,2.3070E+03,5.5402E+00,2.3125E+03,0.000E+00,4.902E-01
2.541848E+00,3.08105E+01,1.4446E+01,2.6218E+03,5.5321E+00,2.6273E+03,0.000E+00,4.878E-01
2.544258E+00,3.09762E+01,1.4426E+01,2.6156E+03,5.5306E+00,2.6211E+03,0.000E+00,4.873E-01
2.582232E+00,3.23607E+01,1.4114E+01,2.5214E+03,5.5061E+00,2.5269E+03,0.000E+00,4.801E-01
2.717235E+00,3.45926E+01,1.3113E+01,2.2262E+03,5.4174E+00,2.2316E+03,0.000E+00,4.563E-01
2.904724E+00,3.63503E+01,1.1927E+01,1.8941E+03,5.2910E+00,1.8994E+03,0.000E+00,4.268E-01
3.105150E+00,3.75776E+01,1.0765E+01,1.5993E+03,5.1539E+00,1.6045E+03,0.000E+00,3.993E-01
3.319406E+00,3.84098E+01,9.6735E+00,1.3444E+03,5.0073E+00,1.3494E+03,0.000E+00,3.735E-01
3.548445E+00,3.89875E+01,8.6866E+00,1.1293E+03,4.8525E+00,1.1342E+03,0.000E+00,3.494E-01
3.793288E+00,3.93928E+01,7.8053E+00,9.4921E+02,4.6907E+00,9.5390E+02,0.000E+00,3.269E-01
4.055024E+00,3.96799E+01,7.0192E+00,7.9851E+02,4.5230E+00,8.0303E+02,0.000E+00,3.058E-01
4.334821E+00,3.98855E+01,6.3175E+00,6.7230E+02,4.3506E+00,6.7665E+02,0.000E+00,2.860E-01
4.633924E+00,4.01747E+01,5.6673E+00,5.6418E+02,4.1749E+00,5.6835E+02,0.000E+00,2.676E-01
4.953664E+00,4.02531E+01,5.0616E+00,4.7136E+02,3.9968E+00,4.7536E+02,0.000E+00,2.503E-01
5.295467E+00,4.03220E+01,4.5149E+00,3.9331E+02,3.8175E+00,3.9713E+02,0.000E+00,2.341E-01
5.660855E+00,4.03110E+01,4.0262E+00,3.2810E+02,3.6380E+00,3.3174E+02,0.000E+00,2.190E-01
6.051453E+00,4.02733E+01,3.5936E+00,2.7394E+02,3.4593E+00,2.7740E+02,0.000E+00,2.049E-01
6.469004E+00,4.02179E+01,3.2086E+00,2.2881E+02,3.2822E+00,2.3209E+02,0.000E+00,1.917E-01
6.915365E+00,4.01495E+01,2.8651E+00,1.9113E+02,3.1077E+00,1.9424E+02,0.000E+00,1.793E-01
7.392525E+00,4.00724E+01,2.5609E+00,1.5980E+02,2.9364E+00,1.6274E+02,0.000E+00,1.677E-01
7.902609E+00,3.99904E+01,2.2911E+00,1.3374E+02,2.7689E+00,1.3651E+02,0.000E+00,1.569E-01
8.447890E+00,3.99071E+01,2.0510E+00,1.1200E+02,2.6060E+00,1.1461E+02,0.000E+00,1.468E-01
9.030794E+00,3.98312E+01,1.8332E+00,9.3641E+01,2.4480E+00,9.6089E+01,0.000E+00,1.373E-01
9.653919E+00,3.97383E+01,1.6261E+00,7.7700E+01,2.2955E+00,7.9996E+01,0.000E+00,1.284E-01
2.011215E+01,3.89585E+01,3.0491E+00,6.9936E+01,1.0273E+00,7.0963E+01,6.030E+01,6.165E-02
2.149988E+01,3.94548E+01,2.7406E+00,5.8803E+01,9.4915E-01,5.9752E+01,5.080E+01,5.767E-02
2.298338E+01,3.97696E+01,2.4665E+00,4.9506E+01,8.7651E-01,5.0383E+01,4.285E+01,5.395E-02
2.456923E+01,3.99873E+01,2.2109E+00,4.1511E+01,8.0919E-01,4.2320E+01,3.597E+01,5.046E-02
2.626450E+01,4.01362E+01,1.9773E+00,3.4728E+01,7.4693E-01,3.5475E+01,3.011E+01,4.721E-02
2.807676E+01,4.02404E+01,1.7610E+00,2.8934E+01,6.8948E-01,2.9623E+01,2.513E+01,4.416E-02
3.001405E+01,4.03063E+01,1.5667E+00,2.4079E+01,6.3658E-01,2.4716E+01,2.096E+01,4.131E-02
3.208502E+01,4.03483E+01,1.3939E+00,2.0041E+01,5.8797E-01,2.0629E+01,1.748E+01,3.864E-02
3.429889E+01,4.03736E+01,1.2404E+00,1.6682E+01,5.4338E-01,1.7225E+01,1.457E+01,3.615E-02
3.666551E+01,4.04228E+01,1.1015E+00,1.3859E+01,5.0255E-01,1.4362E+01,1.212E+01,3.381E-02
3.919543E+01,4.04242E+01,9.7302E-01,1.1452E+01,4.6524E-01,1.1917E+01,1.002E+01,3.163E-02
