Energy [eV],Z,Element,Line,Intensity
54.3,3,Li,"Kα1,2",150
108.5,4,Be,"Kα1,2",150
183.3,5,B,"Kα1,2",151
277,6,C,"Kα1,2",147
348.3,21,Sc,Ll,21
392.4,7,N,"Kα1,2",150
395.3,22,Ti,Ll,46
395.4,21,Sc,"Lα1,2",111
399.6,21,Sc,Lβ1,77
446.5,23,V,Ll,28
452.2,22,Ti,"Lα1,2",111
458.4,22,Ti,Lβ1,79
500.3,24,Cr,Ll,17
511.3,23,V,"Lα1,2",111
519.2,23,V,Lβ1,80
524.9,8,O,"Kα1,2",151
556.3,25,Mn,Ll,15
572.8,24,Cr,"Lα1,2",111
582.8,24,Cr,Lβ1,79
615.2,26,Fe,Ll,10
637.4,25,Mn,"Lα1,2",111
648.8,25,Mn,Lβ1,77
676.8,9,F,"Kα1,2",148
677.8,27,Co,Ll,10
705.0,26,Fe,"Lα1,2",111
718.5,26,Fe,Lβ1,66
742.7,28,Ni,Ll,9
776.2,27,Co,"Lα1,2",111
791.4,27,Co,Lβ1,76
811.1,29,Cu,Ll,8
833,57,La,Mα1,100
848.6,10,Ne,"Kα1,2",150
851.5,28,Ni,"Lα1,2",111
868.8,28,Ni,Lβ1,68
883,58,Ce,Mα1,100
884,30,Zn,Ll,7
929.2,59,Pr,Mα1,100
929.7,29,Cu,"Lα1,2",111
949.8,29,Cu,Lβ1,65
957.2,31,Ga,Ll,7
978,60,Nd,Mα1,100
1011.7,30,Zn,"Lα1,2",111
1034.7,30,Zn,Lβ1,65
1036.2,32,Ge,Ll,6
1041.0,11,Na,"Kα1,2",150
1081,62,Sm,Mα1,100
1097.9,31,Ga,"Lα1,2",111
1120,33,As,Ll,6
1124.8,31,Ga,Lβ1,66
1131,63,Eu,Mα1,100
1185,64,Gd,Mα1,100
1188.0,32,Ge,"Lα1,2",111
1204.4,34,Se,Ll,6
1218.5,32,Ge,Lβ1,60
1240,65,Tb,Mα1,100
1253.6,12,Mg,"Kα1,2",150
1282.0,33,As,"Lα1,2",111
1293,66,Dy,Mα1,100
1293.5,35,Br,Ll,5
1317.0,33,As,Lβ1,60
1348,67,Ho,Mα1,100
1379.1,34,Se,"Lα1,2",111
1386,36,Kr,Ll,5
1406,68,Er,Mα1,100
1419.2,34,Se,Lβ1,59
1462,69,Tm,Mα1,100
1480.4,35,Br,"Lα1,2",111
1482.4,37,Rb,Ll,5
1486.3,13,Al,Kα2,50
1486.7,13,Al,Kα1,100
1521.4,70,Yb,Mα1,100
1525.9,35,Br,Lβ1,59
1557.4,13,Al,Kβ1,1
1581.3,71,Lu,Mα1,100
1582.2,38,Sr,Ll,5
1586.0,36,Kr,"Lα1,2",111
1636.6,36,Kr,Lβ1,57
1644.6,72,Hf,Mα1,100
1685.4,39,Y,Ll,5
1692.6,37,Rb,Lα2,11
1694.1,37,Rb,Lα1,100
1709.6,73,Ta,Mα1,100
1739.4,14,Si,Kα2,50
1740.0,14,Si,Kα1,100
1752.2,37,Rb,Lβ1,58
1775.4,74,W,Mα1,100
1792.0,40,Zr,Ll,5
1804.7,38,Sr,Lα2,11
1806.6,38,Sr,Lα1,100
1835.9,14,Si,Kβ1,2
1842.5,75,Re,Mα1,100
1871.7,38,Sr,Lβ1,58
1902.2,41,Nb,Ll,5
1910.2,76,Os,Mα1,100
1920.5,39,Y,Lα2,11
1922.6,39,Y,Lα1,100
1979.9,77,Ir,Mα1,100
1995.8,39,Y,Lβ1,57
2012.7,15,P,Kα2,50
2013.7,15,P,Kα1,100
2015.7,42,Mo,Ll,5
2039.9,40,Zr,Lα2,11
2042.4,40,Zr,Lα1,100
2050.5,78,Pt,Mα1,100
2122,43,Tc,Ll,5
2122.9,79,Au,Mα1,100
2124.4,40,Zr,Lβ1,54
2139.1,15,P,Kβ1,3
2163.0,41,Nb,Lα2,11
2165.9,41,Nb,Lα1,100
2195.3,80,Hg,Mα1,100
2219.4,40,Zr,"Lβ2,15",1
2252.8,44,Ru,Ll,4
2257.4,41,Nb,Lβ1,52
2270.6,81,Tl,Mα1,100
2289.8,42,Mo,Lα2,11
2293.2,42,Mo,Lα1,100
2302.7,40,Zr,Lγ1,2
2306.6,16,S,Kα2,50
2307.8,16,S,Kα1,100
2345.5,82,Pb,Mα1,100
2367.0,41,Nb,"Lβ2,15",3
2376.5,45,Rh,Ll,4
2394.8,42,Mo,Lβ1,53
2420,43,Tc,Lα2,11
2422.6,83,Bi,Mα1,100
2424,43,Tc,Lα1,100
2461.8,41,Nb,Lγ1,2
2464.0,16,S,Kβ1,5
2503.4,46,Pd,Ll,4
2518.3,42,Mo,"Lβ2,15",5
2538,43,Tc,Lβ1,54
2554.3,44,Ru,Lα2,11
2558.6,44,Ru,Lα1,100
2620.8,17,Cl,Kα2,50
2622.4,17,Cl,Kα1,100
2623.5,42,Mo,Lγ1,3
2633.7,47,Ag,Ll,4
2674,43,Tc,"Lβ2,15",7
2683.2,44,Ru,Lβ1,54
2692.0,45,Rh,Lα2,11
2696.7,45,Rh,Lα1,100
2767.4,48,Cd,Ll,4
2792,43,Tc,Lγ1,3
2815.6,17,Cl,Kβ1,6
2833.3,46,Pd,Lα2,11
2834.4,45,Rh,Lβ1,52
2836.0,44,Ru,"Lβ2,15",10
2838.6,46,Pd,Lα1,100
2904.4,49,In,Ll,4
2955.6,18,Ar,Kα2,50
2957.7,18,Ar,Kα1,100
2964.5,44,Ru,Lγ1,4
2978.2,47,Ag,Lα2,11
2984.3,47,Ag,Lα1,100
2990.2,46,Pd,Lβ1,53
2996.1,90,Th,Mα1,100
3001.3,45,Rh,"Lβ2,15",10
3045.0,50,Sn,Ll,4
3126.9,48,Cd,Lα2,11
3133.7,48,Cd,Lα1,100
3143.8,45,Rh,Lγ1,5
3150.9,47,Ag,Lβ1,56
3170.8,92,U,Mα1,100
3171.8,46,Pd,"Lβ2,15",12
3188.6,51,Sb,Ll,4
3190.5,18,Ar,"Kβ1,3",10
3279.3,49,In,Lα2,11
3286.9,49,In,Lα1,100
3311.1,19,K,Kα2,50
3313.8,19,K,Kα1,100
3316.6,48,Cd,Lβ1,58
3328.7,46,Pd,Lγ1,6
3335.6,52,Te,Ll,4
3347.8,47,Ag,"Lβ2,15",13
3435.4,50,Sn,Lα2,11
3444.0,50,Sn,Lα1,100
3485.0,53,I,Ll,4
3487.2,49,In,Lβ1,58
3519.6,47,Ag,Lγ1,6
3528.1,48,Cd,"Lβ2,15",15
3589.6,19,K,"Kβ1,3",11
3595.3,51,Sb,Lα2,11
3604.7,51,Sb,Lα1,100
3636,54,Xe,Ll,4
3662.8,50,Sn,Lβ1,60
3688.1,20,Ca,Kα2,50
3691.7,20,Ca,Kα1,100
3713.8,49,In,"Lβ2,15",15
3716.9,48,Cd,Lγ1,6
3758.8,52,Te,Lα2,11
3769.3,52,Te,Lα1,100
3795.0,55,Cs,Ll,4
3843.6,51,Sb,Lβ1,61
3904.9,50,Sn,"Lβ2,15",16
3920.8,49,In,Lγ1,6
3926.0,53,I,Lα2,11
3937.6,53,I,Lα1,100
3954.1,56,Ba,Ll,4
4012.7,20,Ca,"Kβ1,3",13
4029.6,52,Te,Lβ1,61
4086.1,21,Sc,Kα2,50
4090.6,21,Sc,Kα1,100
4093,54,Xe,Lα2,11
4100.8,51,Sb,"Lβ2,15",17
4109.9,54,Xe,Lα1,100
4124,57,La,Ll,4
4131.1,50,Sn,Lγ1,7
4220.7,53,I,Lβ1,61
4272.2,55,Cs,Lα2,11
4286.5,55,Cs,Lα1,100
4287.5,58,Ce,Ll,4
4301.7,52,Te,"Lβ2,15",18
4347.8,51,Sb,Lγ1,8
4414,54,Xe,Lβ1,60
4450.9,56,Ba,Lα2,11
4453.2,59,Pr,Ll,4
4460.5,21,Sc,"Kβ1,3",15
4466.3,56,Ba,Lα1,100
4504.9,22,Ti,Kα2,50
4507.5,53,I,"Lβ2,15",19
4510.8,22,Ti,Kα1,100
4570.9,52,Te,Lγ1,8
4619.8,55,Cs,Lβ1,61
4633.0,60,Nd,Ll,4
4634.2,57,La,Lα2,11
4651.0,57,La,Lα1,100
4714,54,Xe,"Lβ2,15",20
4800.9,53,I,Lγ1,8
4809,61,Pm,Ll,4
4823.0,58,Ce,Lα2,11
4827.5,56,Ba,Lβ1,60
4840.2,58,Ce,Lα1,100
4931.8,22,Ti,"Kβ1,3",15
4935.9,55,Cs,"Lβ2,15",20
4944.6,23,V,Kα2,50
4952.2,23,V,Kα1,100
4994.5,62,Sm,Ll,4
5013.5,59,Pr,Lα2,11
5033.7,59,Pr,Lα1,100
5034,54,Xe,Lγ1,8
5042.1,57,La,Lβ1,60
5156.5,56,Ba,"Lβ2,15",20
5177.2,63,Eu,Ll,4
5207.7,60,Nd,Lα2,11
5230.4,60,Nd,Lα1,100
5262.2,58,Ce,Lβ1,61
5280.4,55,Cs,Lγ1,8
5362.1,64,Gd,Ll,4
5383.5,57,La,"Lβ2,15",21
5405.5,24,Cr,Kα2,50
5408,61,Pm,Lα2,11
5414.7,24,Cr,Kα1,100
5427.3,23,V,"Kβ1,3",15
5432,61,Pm,Lα1,100
5488.9,59,Pr,Lβ1,61
5531.1,56,Ba,Lγ1,9
5546.7,65,Tb,Ll,4
5609.0,62,Sm,Lα2,11
5613.4,58,Ce,"Lβ2,15",21
5636.1,62,Sm,Lα1,100
5721.6,60,Nd,Lβ1,60
5743.1,66,Dy,Ll,4
5788.5,57,La,Lγ1,9
5816.6,63,Eu,Lα2,11
5845.7,63,Eu,Lα1,100
5850,59,Pr,"Lβ2,15",21
5887.6,25,Mn,Kα2,50
5898.8,25,Mn,Kα1,100
5943.4,67,Ho,Ll,4
5946.7,24,Cr,"Kβ1,3",15
5961,61,Pm,Lβ1,61
6025.0,64,Gd,Lα2,11
6052,58,Ce,Lγ1,9
6057.2,64,Gd,Lα1,100
6089.4,60,Nd,"Lβ2,15",21
6152,68,Er,Ll,4
6205.1,62,Sm,Lβ1,61
6238.0,65,Tb,Lα2,11
6272.8,65,Tb,Lα1,100
6322.1,59,Pr,Lγ1,9
6339,61,Pm,Lβ2,21
6341.9,69,Tm,Ll,4
6390.8,26,Fe,Kα2,50
6403.8,26,Fe,Kα1,100
6456.4,63,Eu,Lβ1,62
6457.7,66,Dy,Lα2,11
6490.4,25,Mn,"Kβ1,3",17
6495.2,66,Dy,Lα1,100
6545.5,70,Yb,Ll,4
6587.0,62,Sm,"Lβ2,15",21
6602.1,60,Nd,Lγ1,10
6679.5,67,Ho,Lα2,11
6713.2,64,Gd,Lβ1,62
6719.8,67,Ho,Lα1,100
6752.8,71,Lu,Ll,4
6843.2,63,Eu,"Lβ2,15",21
6892,61,Pm,Lγ1,10
6905.0,68,Er,Lα2,11
6915.3,27,Co,Kα2,51
6930.3,27,Co,Kα1,100
6948.7,68,Er,Lα1,100
6959.6,72,Hf,Ll,5
6978,65,Tb,Lβ1,61
7058.0,26,Fe,"Kβ1,3",17
7102.8,64,Gd,"Lβ2,15",21
7133.1,69,Tm,Lα2,11
7173.1,73,Ta,Ll,5
7178.0,62,Sm,Lγ1,10
7179.9,69,Tm,Lα1,100
7247.7,66,Dy,Lβ1,62
7366.7,65,Tb,"Lβ2,15",21
7367.3,70,Yb,Lα2,11
7387.8,74,W,Ll,5
7415.6,70,Yb,Lα1,100
7460.9,28,Ni,Kα2,51
7478.2,28,Ni,Kα1,100
7480.3,63,Eu,Lγ1,10
7525.3,67,Ho,Lβ1,64
7603.6,75,Re,Ll,5
7604.9,71,Lu,Lα2,11
7635.7,66,Dy,Lβ2,20
7649.4,27,Co,"Kβ1,3",17
7655.5,71,Lu,Lα1,100
7785.8,64,Gd,Lγ1,11
7810.9,68,Er,Lβ1,64
7822.2,76,Os,Ll,5
7844.6,72,Hf,Lα2,11
7899.0,72,Hf,Lα1,100
7911,67,Ho,"Lβ2,15",20
8027.8,29,Cu,Kα2,51
8045.8,77,Ir,Ll,5
8047.8,29,Cu,Kα1,100
8087.9,73,Ta,Lα2,11
8101,69,Tm,Lβ1,64
8102,65,Tb,Lγ1,11
8146.1,73,Ta,Lα1,100
8189.0,68,Er,"Lβ2,15",20
8264.7,28,Ni,"Kβ1,3",17
8268,78,Pt,Ll,5
8335.2,74,W,Lα2,11
8397.6,74,W,Lα1,100
8401.8,70,Yb,Lβ1,65
8418.8,66,Dy,Lγ1,11
8468,69,Tm,"Lβ2,15",20
8493.9,79,Au,Ll,5
8586.2,75,Re,Lα2,11
8615.8,30,Zn,Kα2,51
8638.9,30,Zn,Kα1,100
8652.5,75,Re,Lα1,100
8709.0,71,Lu,Lβ1,66
8721.0,80,Hg,Ll,5
8747,67,Ho,Lγ1,11
8758.8,70,Yb,"Lβ2,15",20
8841.0,76,Os,Lα2,11
8905.3,29,Cu,"Kβ1,3",17
8911.7,76,Os,Lα1,100
8953.2,81,Tl,Ll,6
9022.7,72,Hf,Lβ1,67
9048.9,71,Lu,Lβ2,19
9089,68,Er,Lγ1,11
9099.5,77,Ir,Lα2,11
9175.1,77,Ir,Lα1,100
9184.5,82,Pb,Ll,6
9224.8,31,Ga,Kα2,51
9251.7,31,Ga,Kα1,100
9343.1,73,Ta,Lβ1,67
9347.3,72,Hf,Lβ2,20
9361.8,78,Pt,Lα2,11
9420.4,83,Bi,Ll,6
9426,69,Tm,Lγ1,12
9442.3,78,Pt,Lα1,100
9572.0,30,Zn,"Kβ1,3",17
9628.0,79,Au,Lα2,11
9651.8,73,Ta,Lβ2,20
9672.4,74,W,Lβ1,67
9713.3,79,Au,Lα1,100
9780.1,70,Yb,Lγ1,12
9855.3,32,Ge,Kα2,51
9886.4,32,Ge,Kα1,100
9897.6,80,Hg,Lα2,11
9961.5,74,W,Lβ2,21
9988.8,80,Hg,Lα1,100
10010.0,75,Re,Lβ1,66
10143.4,71,Lu,Lγ1,12
10172.8,81,Tl,Lα2,11
10260.3,31,Ga,Kβ3,5
10264.2,31,Ga,Kβ1,66
10268.5,81,Tl,Lα1,100
10275.2,75,Re,Lβ2,22
10355.3,76,Os,Lβ1,67
10449.5,82,Pb,Lα2,11
10508.0,33,As,Kα2,51
10515.8,72,Hf,Lγ1,12
10543.7,33,As,Kα1,100
10551.5,82,Pb,Lα1,100
10598.5,76,Os,Lβ2,22
10708.3,77,Ir,Lβ1,66
10730.9,83,Bi,Lα2,11
10838.8,83,Bi,Lα1,100
10895.2,73,Ta,Lγ1,12
10920.3,77,Ir,Lβ2,22
10978.0,32,Ge,Kβ3,6
10982.1,32,Ge,Kβ1,60
11070.7,78,Pt,Lβ1,67
11118.6,90,Th,Ll,6
11181.4,34,Se,Kα2,52
11222.4,34,Se,Kα1,100
11250.5,78,Pt,Lβ2,23
11285.9,74,W,Lγ1,13
11442.3,79,Au,Lβ1,67
11584.7,79,Au,Lβ2,23
11618.3,92,U,Ll,7
11685.4,75,Re,Lγ1,13
11720.3,33,As,Kβ3,6
11726.2,33,As,Kβ1,13
11822.6,80,Hg,Lβ1,67
11864,33,As,Kβ2,1
11877.6,35,Br,Kα2,52
11924.1,80,Hg,Lβ2,24
11924.2,35,Br,Kα1,100
12095.3,76,Os,Lγ1,13
12213.3,81,Tl,Lβ1,67
12271.5,81,Tl,Lβ2,25
12489.6,34,Se,Kβ3,6
12495.9,34,Se,Kβ1,13
12512.6,77,Ir,Lγ1,13
12598,36,Kr,Kα2,52
12613.7,82,Pb,Lβ1,66
12622.6,82,Pb,Lβ2,25
12649,36,Kr,Kα1,100
12652,34,Se,Kβ2,1
12809.6,90,Th,Lα2,11
12942.0,78,Pt,Lγ1,13
12968.7,90,Th,Lα1,100
12979.9,83,Bi,Lβ2,25
13023.5,83,Bi,Lβ1,67
13284.5,35,Br,Kβ3,7
13291.4,35,Br,Kβ1,14
13335.8,37,Rb,Kα2,52
13381.7,79,Au,Lγ1,13
13395.3,37,Rb,Kα1,100
13438.8,92,U,Lα2,11
13469.5,35,Br,Kβ2,1
13614.7,92,U,Lα1,100
13830.1,80,Hg,Lγ1,14
14097.9,38,Sr,Kα2,52
14104,36,Kr,Kβ3,7
14112,36,Kr,Kβ1,14
14165.0,38,Sr,Kα1,100
14291.5,81,Tl,Lγ1,14
14315,36,Kr,Kβ2,2
14764.4,82,Pb,Lγ1,14
14882.9,39,Y,Kα2,52
14951.7,37,Rb,Kβ3,7
14958.4,39,Y,Kα1,100
14961.3,37,Rb,Kβ1,14
15185,37,Rb,Kβ2,2
15247.7,83,Bi,Lγ1,14
15623.7,90,Th,Lβ2,26
15690.9,40,Zr,Kα2,52
15775.1,40,Zr,Kα1,100
