E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,6.81108E+01,1.6396E+01,1.5192E+03,1.2041E+01,1.5312E+03,0.000E-01,6.198E-01
2.0104868E+00,6.81016E+01,1.6311E+01,1.5038E+03,1.2040E+01,1.5158E+03,0.000E-01,6.167E-01
2.0205393E+00,6.80916E+01,1.6226E+01,1.4885E+03,1.2039E+01,1.5006E+03,0.000E-01,6.136E-01
2.0306420E+00,6.80843E+01,1.6143E+01,1.4735E+03,1.2038E+01,1.4855E+03,0.000E-01,6.106E-01
2.0407952E+00,6.80728E+01,1.6059E+01,1.4586E+03,1.2037E+01,1.4706E+03,0.000E-01,6.075E-01
2.0509992E+00,6.80603E+01,1.5977E+01,1.4438E+03,1.2036E+01,1.4559E+03,0.000E-01,6.045E-01
2.0612542E+00,6.80470E+01,1.5895E+01,1.4293E+03,1.2034E+01,1.4413E+03,0.000E-01,6.015E-01
2.0715604E+00,6.80329E+01,1.5813E+01,1.4149E+03,1.2032E+01,1.4269E+03,0.000E-01,5.985E-01
2.0819182E+00,6.80179E+01,1.5732E+01,1.4006E+03,1.2030E+01,1.4127E+03,0.000E-01,5.955E-01
2.0923278E+00,6.80020E+01,1.5652E+01,1.3866E+03,1.2028E+01,1.3986E+03,0.000E-01,5.926E-01
2.1027895E+00,6.79852E+01,1.5572E+01,1.3726E+03,1.2025E+01,1.3847E+03,0.000E-01,5.896E-01
2.1133034E+00,6.79676E+01,1.5493E+01,1.3589E+03,1.2023E+01,1.3709E+03,0.000E-01,5.867E-01
2.1238699E+00,6.79490E+01,1.5414E+01,1.3452E+03,1.2020E+01,1.3573E+03,0.000E-01,5.838E-01
2.1344893E+00,6.79296E+01,1.5336E+01,1.3318E+03,1.2017E+01,1.3438E+03,0.000E-01,5.809E-01
2.1451617E+00,6.79092E+01,1.5259E+01,1.3185E+03,1.2014E+01,1.3305E+03,0.000E-01,5.780E-01
2.1558875E+00,6.78879E+01,1.5182E+01,1.3053E+03,1.2010E+01,1.3173E+03,0.000E-01,5.751E-01
2.1666670E+00,6.78721E+01,1.5105E+01,1.2922E+03,1.2007E+01,1.3042E+03,0.000E-01,5.722E-01
2.1775003E+00,6.78491E+01,1.5028E+01,1.2793E+03,1.2003E+01,1.2913E+03,0.000E-01,5.694E-01
2.1883878E+00,6.78251E+01,1.4952E+01,1.2664E+03,1.1999E+01,1.2784E+03,0.000E-01,5.666E-01
2.1993297E+00,6.77999E+01,1.4877E+01,1.2538E+03,1.1995E+01,1.2658E+03,0.000E-01,5.637E-01
2.2103264E+00,6.77736E+01,1.4801E+01,1.2412E+03,1.1990E+01,1.2532E+03,0.000E-01,5.609E-01
2.2213780E+00,6.77463E+01,1.4727E+01,1.2288E+03,1.1986E+01,1.2408E+03,0.000E-01,5.581E-01
2.2324849E+00,6.77178E+01,1.4653E+01,1.2166E+03,1.1981E+01,1.2285E+03,0.000E-01,5.554E-01
2.2436473E+00,6.76881E+01,1.4579E+01,1.2044E+03,1.1976E+01,1.2164E+03,0.000E-01,5.526E-01
