E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.14062E+01,6.3204E+00,1.1850E+03,7.0409E+00,1.1920E+03,0.000E+00,5.959E-01
2.224304E+00,4.11462E+01,5.7714E+00,1.0122E+03,6.9606E+00,1.0192E+03,0.000E+00,5.574E-01
2.377781E+00,4.08180E+01,5.2608E+00,8.6310E+02,6.8613E+00,8.6996E+02,0.000E+00,5.214E-01
2.541848E+00,4.03771E+01,4.7785E+00,7.3338E+02,6.7442E+00,7.4012E+02,0.000E+00,4.878E-01
2.717235E+00,3.97652E+01,4.3434E+00,6.2357E+02,6.6103E+00,6.3018E+02,0.000E+00,4.563E-01
2.904724E+00,3.88627E+01,3.9522E+00,5.3078E+02,6.4612E+00,5.3724E+02,0.000E+00,4.268E-01
3.105150E+00,3.73492E+01,3.5510E+00,4.4612E+02,6.2981E+00,4.5242E+02,0.000E+00,3.993E-01
3.284078E+00,3.39635E+01,3.2163E+00,3.8206E+02,6.1515E+00,3.8821E+02,0.000E+00,3.775E-01
3.319406E+00,3.20969E+01,3.1564E+00,3.7095E+02,6.1226E+00,3.7707E+02,0.000E+00,3.735E-01
3.334344E+00,3.05512E+01,3.1317E+00,3.6640E+02,6.1104E+00,3.7251E+02,0.000E+00,3.718E-01
3.347749E+00,2.67378E+01,3.1097E+00,3.6237E+02,6.0994E+00,3.6847E+02,0.000E+00,3.704E-01
3.367855E+00,3.02844E+01,1.0402E+01,1.2049E+03,6.0830E+00,1.2110E+03,0.000E+00,3.681E-01
3.418122E+00,3.31732E+01,1.0281E+01,1.1734E+03,6.0419E+00,1.1794E+03,0.000E+00,3.627E-01
3.453226E+00,3.37562E+01,1.0200E+01,1.1522E+03,6.0133E+00,1.1582E+03,0.000E+00,3.590E-01
3.506081E+00,3.32333E+01,1.0080E+01,1.1216E+03,5.9704E+00,1.1276E+03,0.000E+00,3.536E-01
3.520176E+00,3.15999E+01,1.0043E+01,1.1130E+03,5.9590E+00,1.1190E+03,0.000E+00,3.522E-01
3.541318E+00,3.37502E+01,1.3624E+01,1.5008E+03,5.9419E+00,1.5067E+03,0.000E+00,3.501E-01
3.548445E+00,3.42479E+01,1.3594E+01,1.4944E+03,5.9361E+00,1.5003E+03,0.000E+00,3.494E-01
3.594174E+00,3.60240E+01,1.3398E+01,1.4542E+03,5.8992E+00,1.4601E+03,0.000E+00,3.450E-01
3.729684E+00,3.81788E+01,1.2784E+01,1.3372E+03,5.7907E+00,1.3430E+03,0.000E+00,3.324E-01
3.786771E+00,3.81381E+01,1.2494E+01,1.2871E+03,5.7454E+00,1.2928E+03,0.000E+00,3.274E-01
3.793288E+00,3.79709E+01,1.2461E+01,1.2815E+03,5.7402E+00,1.2872E+03,0.000E+00,3.269E-01
3.801994E+00,3.73722E+01,1.2416E+01,1.2740E+03,5.7333E+00,1.2797E+03,0.000E+00,3.261E-01
3.824829E+00,3.85660E+01,1.4155E+01,1.4437E+03,5.7153E+00,1.4494E+03,0.000E+00,3.242E-01
3.881916E+00,3.99808E+01,1.3844E+01,1.3912E+03,5.6705E+00,1.3969E+03,0.000E+00,3.194E-01
4.055024E+00,4.20364E+01,1.2923E+01,1.2432E+03,5.5365E+00,1.2487E+03,0.000E+00,3.058E-01
4.334821E+00,4.38319E+01,1.1573E+01,1.0415E+03,5.3264E+00,1.0468E+03,0.000E+00,2.860E-01
4.633924E+00,4.49334E+01,1.0367E+01,8.7275E+02,5.1115E+00,8.7786E+02,0.000E+00,2.676E-01
4.953664E+00,4.56723E+01,9.3056E+00,7.3283E+02,4.8933E+00,7.3772E+02,0.000E+00,2.503E-01
5.295467E+00,4.61852E+01,8.3559E+00,6.1557E+02,4.6731E+00,6.2024E+02,0.000E+00,2.341E-01
5.660855E+00,4.65439E+01,7.5133E+00,5.1777E+02,4.4522E+00,5.2222E+02,0.000E+00,2.190E-01
6.051453E+00,4.67976E+01,6.7612E+00,4.3586E+02,4.2319E+00,4.4009E+02,0.000E+00,2.049E-01
6.469004E+00,4.69766E+01,6.0868E+00,3.6706E+02,4.0135E+00,3.7107E+02,0.000E+00,1.917E-01
6.915365E+00,4.71807E+01,5.4706E+00,3.0861E+02,3.7978E+00,3.1241E+02,0.000E+00,1.793E-01
