E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.68476E+01,8.2805E-01,4.1920E+02,2.5737E+00,4.2177E+02,0.000E+00,5.959E-01
2.224304E+00,1.67157E+01,7.4180E-01,3.5130E+02,2.5146E+00,3.5381E+02,0.000E+00,5.574E-01
2.377781E+00,1.65595E+01,6.6517E-01,2.9468E+02,2.4505E+00,2.9713E+02,0.000E+00,5.214E-01
2.541848E+00,1.63623E+01,5.9704E-01,2.4742E+02,2.3820E+00,2.4980E+02,0.000E+00,4.878E-01
2.717235E+00,1.60891E+01,5.3641E-01,2.0795E+02,2.3098E+00,2.1026E+02,0.000E+00,4.563E-01
2.904724E+00,1.56440E+01,4.8240E-01,1.7494E+02,2.2342E+00,1.7717E+02,0.000E+00,4.268E-01
3.105150E+00,1.45379E+01,4.2981E-01,1.4581E+02,2.1561E+00,1.4797E+02,0.000E+00,3.993E-01
3.138842E+00,1.40901E+01,4.2124E-01,1.4137E+02,2.1432E+00,1.4351E+02,0.000E+00,3.950E-01
3.186885E+00,1.25541E+01,4.0949E-01,1.3535E+02,2.1250E+00,1.3748E+02,0.000E+00,3.890E-01
3.199697E+00,1.07060E+01,4.0644E-01,1.3381E+02,2.1202E+00,1.3593E+02,0.000E+00,3.875E-01
3.218914E+00,1.25778E+01,4.0445E+00,1.3236E+03,2.1130E+00,1.3257E+03,1.192E+03,3.852E-01
3.266958E+00,1.42753E+01,3.9547E+00,1.2751E+03,2.0951E+00,1.2772E+03,1.149E+03,3.795E-01
3.319406E+00,1.50333E+01,3.8605E+00,1.2251E+03,2.0758E+00,1.2272E+03,1.105E+03,3.735E-01
3.548445E+00,1.64395E+01,3.4785E+00,1.0326E+03,1.9940E+00,1.0346E+03,9.330E+02,3.494E-01
3.793288E+00,1.71011E+01,3.1275E+00,8.6848E+02,1.9112E+00,8.7039E+02,7.860E+02,3.269E-01
4.055024E+00,1.75109E+01,2.8093E+00,7.2977E+02,1.8279E+00,7.3160E+02,6.614E+02,3.058E-01
4.334821E+00,1.77899E+01,2.5178E+00,6.1183E+02,1.7447E+00,6.1357E+02,5.552E+02,2.860E-01
4.633924E+00,1.79817E+01,2.2529E+00,5.1214E+02,1.6619E+00,5.1380E+02,4.651E+02,2.676E-01
4.953664E+00,1.81162E+01,2.0148E+00,4.2845E+02,1.5799E+00,4.3003E+02,3.895E+02,2.503E-01
5.295467E+00,1.82108E+01,1.8015E+00,3.5836E+02,1.4993E+00,3.5986E+02,3.261E+02,2.341E-01
5.660855E+00,1.82767E+01,1.6105E+00,2.9968E+02,1.4202E+00,3.0110E+02,2.729E+02,2.190E-01
6.051453E+00,1.83220E+01,1.4394E+00,2.5055E+02,1.3431E+00,2.5189E+02,2.283E+02,2.049E-01
6.469004E+00,1.83939E+01,1.2843E+00,2.0912E+02,1.2682E+00,2.1039E+02,1.908E+02,1.917E-01
6.915365E+00,1.84089E+01,1.1397E+00,1.7360E+02,1.1956E+00,1.7480E+02,1.585E+02,1.793E-01
7.392525E+00,1.84120E+01,1.0114E+00,1.4412E+02,1.1257E+00,1.4525E+02,1.316E+02,1.677E-01
7.902609E+00,1.84075E+01,8.9769E-01,1.1966E+02,1.0585E+00,1.2072E+02,1.093E+02,1.569E-01
8.447890E+00,1.83978E+01,7.9678E-01,9.9352E+01,9.9414E-01,1.0035E+02,9.082E+01,1.468E-01
9.030794E+00,1.83906E+01,7.0619E-01,8.2371E+01,9.3278E-01,8.3304E+01,7.533E+01,1.373E-01
9.653919E+00,1.83744E+01,6.2255E-01,6.7929E+01,8.7443E-01,6.8803E+01,6.217E+01,1.284E-01
2.011215E+01,1.81662E+01,1.5039E-01,7.8765E+00,4.2371E-01,8.3002E+00,7.230E+00,6.165E-02
2.149988E+01,1.81516E+01,1.3176E-01,6.4556E+00,3.9795E-01,6.8536E+00,5.925E+00,5.767E-02
2.298338E+01,1.81380E+01,1.1545E-01,5.2912E+00,3.7422E-01,5.6654E+00,4.855E+00,5.395E-02
2.456923E+01,1.81255E+01,1.0116E-01,4.3369E+00,3.5240E-01,4.6893E+00,3.978E+00,5.046E-02
2.626450E+01,1.81140E+01,8.8636E-02,3.5549E+00,3.3236E-01,3.8873E+00,3.260E+00,4.721E-02
2.807676E+01,1.81044E+01,7.7197E-02,2.8963E+00,3.1397E-01,3.2103E+00,2.656E+00,4.416E-02
3.001405E+01,1.80947E+01,6.7103E-02,2.3550E+00,2.9712E-01,2.6521E+00,2.160E+00,4.131E-02
3.208502E+01,1.80856E+01,5.8330E-02,1.9150E+00,2.8168E-01,2.1967E+00,1.756E+00,3.864E-02
3.429889E+01,1.80773E+01,5.0704E-02,1.5572E+00,2.6755E-01,1.8248E+00,1.428E+00,3.615E-02
3.666551E+01,1.80696E+01,4.4077E-02,1.2663E+00,2.5461E-01,1.5209E+00,1.161E+00,3.381E-02
3.919543E+01,1.80627E+01,3.8316E-02,1.0297E+00,2.4276E-01,1.2725E+00,9.445E-01,3.163E-02
4.189992E+01,1.80563E+01,3.3309E-02,8.3740E-01,2.3191E-01,1.0693E+00,7.681E-01,2.959E-02
4.479101E+01,1.80506E+01,2.8957E-02,6.8099E-01,2.2196E-01,9.0295E-01,6.246E-01,2.768E-02
4.788159E+01,1.80454E+01,2.5173E-02,5.5380E-01,2.1282E-01,7.6662E-01,5.080E-01,2.589E-02
5.118542E+01,1.80407E+01,2.1885E-02,4.5038E-01,2.0443E-01,6.5481E-01,4.131E-01,2.422E-02
5.471721E+01,1.80365E+01,1.9026E-02,3.6627E-01,1.9669E-01,5.6296E-01,3.359E-01,2.266E-02
5.849270E+01,1.80326E+01,1.6541E-02,2.9787E-01,1.8956E-01,4.8743E-01,2.732E-01,2.120E-02
6.252870E+01,1.80292E+01,1.4380E-02,2.4225E-01,1.8296E-01,4.2521E-01,2.221E-01,1.983E-02
6.684318E+01,1.80261E+01,1.2502E-02,1.9702E-01,1.7683E-01,3.7385E-01,1.807E-01,1.855E-02
