E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,5.08860E+00,6.8421E-02,1.2801E+02,6.2029E-01,1.2863E+02,1.229E+02,5.959E-01
2.224304E+00,5.08029E+00,5.9964E-02,1.0494E+02,6.0057E-01,1.0554E+02,1.008E+02,5.574E-01
2.377781E+00,5.07270E+00,5.2552E-02,8.6034E+01,5.8070E-01,8.6615E+01,8.259E+01,5.214E-01
2.541848E+00,5.06577E+00,4.6056E-02,7.0532E+01,5.6080E-01,7.1093E+01,6.770E+01,4.878E-01
2.717235E+00,5.05947E+00,4.0363E-02,5.7824E+01,5.4097E-01,5.8365E+01,5.549E+01,4.563E-01
2.904724E+00,5.05375E+00,3.5374E-02,4.7406E+01,5.2131E-01,4.7927E+01,4.549E+01,4.268E-01
3.105150E+00,5.04875E+00,3.0872E-02,3.8702E+01,5.0193E-01,3.9204E+01,3.714E+01,3.993E-01
3.319406E+00,5.04408E+00,2.6837E-02,3.1473E+01,4.8291E-01,3.1956E+01,3.020E+01,3.735E-01
3.548445E+00,5.03978E+00,2.3320E-02,2.5583E+01,4.6432E-01,2.6047E+01,2.455E+01,3.494E-01
3.793288E+00,5.03582E+00,2.0164E-02,2.0693E+01,4.4623E-01,2.1139E+01,1.985E+01,3.269E-01
4.055024E+00,5.03219E+00,1.7435E-02,1.6737E+01,4.2870E-01,1.7166E+01,1.605E+01,3.058E-01
4.334821E+00,5.02888E+00,1.5075E-02,1.3538E+01,4.1178E-01,1.3950E+01,1.298E+01,2.860E-01
4.633924E+00,5.02588E+00,1.3035E-02,1.0950E+01,3.9551E-01,1.1346E+01,1.050E+01,2.676E-01
4.953664E+00,5.02316E+00,1.1271E-02,8.8568E+00,3.7992E-01,9.2367E+00,8.491E+00,2.503E-01
5.295467E+00,5.02071E+00,9.7453E-03,7.1638E+00,3.6503E-01,7.5288E+00,6.866E+00,2.341E-01
5.660855E+00,5.01850E+00,8.4264E-03,5.7945E+00,3.5086E-01,6.1454E+00,5.553E+00,2.190E-01
6.051453E+00,5.01652E+00,7.2860E-03,4.6868E+00,3.3742E-01,5.0242E+00,4.490E+00,2.049E-01
6.469004E+00,5.01474E+00,6.2986E-03,3.7902E+00,3.2471E-01,4.1149E+00,3.631E+00,1.917E-01
6.915365E+00,5.01314E+00,5.4448E-03,3.0649E+00,3.1272E-01,3.3776E+00,2.937E+00,1.793E-01
7.392525E+00,5.01172E+00,4.7067E-03,2.4785E+00,3.0145E-01,2.7800E+00,2.375E+00,1.677E-01
7.902609E+00,5.01044E+00,4.0687E-03,2.0042E+00,2.9088E-01,2.2951E+00,1.921E+00,1.569E-01
8.447890E+00,5.00930E+00,3.5172E-03,1.6207E+00,2.8098E-01,1.9017E+00,1.553E+00,1.468E-01
9.030794E+00,5.00828E+00,3.0360E-03,1.3087E+00,2.7175E-01,1.5804E+00,1.254E+00,1.373E-01
9.653919E+00,5.00737E+00,2.6070E-03,1.0512E+00,2.6314E-01,1.3143E+00,1.007E+00,1.284E-01
2.011215E+01,5.00195E+00,4.8795E-04,9.4443E-02,2.0095E-01,2.9539E-01,9.036E-02,6.165E-02
2.149988E+01,5.00172E+00,4.1900E-04,7.5864E-02,1.9738E-01,2.7324E-01,7.257E-02,5.767E-02
2.298338E+01,5.00152E+00,3.5980E-04,6.0940E-02,1.9403E-01,2.5497E-01,5.829E-02,5.395E-02
2.456923E+01,5.00135E+00,3.0896E-04,4.8951E-02,1.9086E-01,2.3981E-01,4.681E-02,5.046E-02
2.626450E+01,5.00119E+00,2.6530E-04,3.9321E-02,1.8786E-01,2.2718E-01,3.760E-02,4.721E-02
2.807676E+01,5.00105E+00,2.2730E-04,3.1514E-02,1.8499E-01,2.1650E-01,3.013E-02,4.416E-02
3.001405E+01,5.00093E+00,1.9460E-04,2.5239E-02,1.8224E-01,2.0748E-01,2.412E-02,4.131E-02
3.208502E+01,5.00082E+00,1.6660E-04,2.0213E-02,1.7959E-01,1.9980E-01,1.931E-02,3.864E-02
3.429889E+01,5.00072E+00,1.4263E-04,1.6188E-02,1.7702E-01,1.9321E-01,1.546E-02,3.615E-02
3.666551E+01,5.00064E+00,1.2211E-04,1.2965E-02,1.7451E-01,1.8748E-01,1.238E-02,3.381E-02
3.919543E+01,5.00056E+00,1.0455E-04,1.0383E-02,1.7206E-01,1.8244E-01,9.914E-03,3.163E-02
4.189992E+01,5.00049E+00,8.9505E-05,8.3155E-03,1.6964E-01,1.7796E-01,7.938E-03,2.959E-02
4.479101E+01,5.00044E+00,7.6628E-05,6.6597E-03,1.6724E-01,1.7390E-01,6.356E-03,2.768E-02
4.788159E+01,5.00038E+00,6.5604E-05,5.3336E-03,1.6487E-01,1.7020E-01,5.089E-03,2.589E-02
5.118542E+01,5.00034E+00,5.6166E-05,4.2715E-03,1.6250E-01,1.6677E-01,4.075E-03,2.422E-02
5.471721E+01,5.00030E+00,4.8086E-05,3.4210E-03,1.6013E-01,1.6355E-01,3.262E-03,2.266E-02
5.849270E+01,5.00026E+00,4.1169E-05,2.7398E-03,1.5776E-01,1.6050E-01,2.612E-03,2.120E-02
6.252870E+01,5.00023E+00,3.5246E-05,2.1942E-03,1.5538E-01,1.5757E-01,2.091E-03,1.983E-02
6.684318E+01,5.00020E+00,3.0176E-05,1.7573E-03,1.5298E-01,1.5474E-01,1.675E-03,1.855E-02
7.145536E+01,5.00018E+00,2.5835E-05,1.4074E-03,1.5057E-01,1.5198E-01,1.341E-03,1.735E-02
7.638578E+01,5.00016E+00,2.2118E-05,1.1272E-03,1.4815E-01,1.4928E-01,1.074E-03,1.623E-02
8.165640E+01,5.00014E+00,1.8973E-05,9.0450E-04,1.4571E-01,1.4661E-01,8.613E-04,1.518E-02
8.729069E+01,5.00012E+00,1.6348E-05,7.2902E-04,1.4325E-01,1.4398E-01,6.943E-04,1.420E-02
9.331374E+01,5.00011E+00,1.4085E-05,5.8758E-04,1.4077E-01,1.4136E-01,5.596E-04,1.329E-02
9.975239E+01,5.00009E+00,1.2136E-05,4.7359E-04,1.3828E-01,1.3875E-01,4.511E-04,1.243E-02
2.078156E+02,5.00002E+00,2.3575E-06,4.4161E-05,1.1042E-01,1.1046E-01,4.209E-05,5.966E-03
2.221548E+02,5.00002E+00,2.0313E-06,3.5593E-05,1.0792E-01,1.0796E-01,3.392E-05,5.581E-03
2.374835E+02,5.00002E+00,1.7502E-06,2.8688E-05,1.0544E-01,1.0547E-01,2.734E-05,5.221E-03
2.538699E+02,5.00002E+00,1.5079E-06,2.3122E-05,1.0298E-01,1.0300E-01,2.204E-05,4.884E-03
2.713869E+02,5.00001E+00,1.2993E-06,1.8636E-05,1.0055E-01,1.0057E-01,1.777E-05,4.569E-03
2.901126E+02,5.00001E+00,1.1194E-06,1.5021E-05,9.8137E-02,9.8152E-02,1.432E-05,4.274E-03
3.101304E+02,5.00001E+00,9.6452E-07,1.2107E-05,9.5756E-02,9.5768E-02,1.154E-05,3.998E-03
3.315294E+02,5.00001E+00,8.3104E-07,9.7578E-06,9.3406E-02,9.3416E-02,9.304E-06,3.740E-03
3.544049E+02,5.00001E+00,7.1603E-07,7.8647E-06,9.1089E-02,9.1097E-02,7.499E-06,3.498E-03
3.788588E+02,5.00001E+00,6.1693E-07,6.3389E-06,8.8808E-02,8.8814E-02,6.045E-06,3.273E-03
4.050001E+02,5.00001E+00,5.3155E-07,5.1091E-06,8.6563E-02,8.6568E-02,4.872E-06,3.061E-03
4.329451E+02,5.00001E+00,4.5799E-07,4.1179E-06,8.4356E-02,8.4360E-02,3.927E-06,2.864E-03
