E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,5.87556E+01,1.2138E+01,1.2217E+03,1.1671E+01,1.2334E+03,0.000E-01,6.198E-01
2.0104868E+00,5.86780E+01,1.2069E+01,1.2087E+03,1.1668E+01,1.2204E+03,0.000E-01,6.167E-01
2.0205393E+00,5.85976E+01,1.2000E+01,1.1959E+03,1.1666E+01,1.2075E+03,0.000E-01,6.136E-01
2.0306420E+00,5.85141E+01,1.1932E+01,1.1832E+03,1.1663E+01,1.1948E+03,0.000E-01,6.106E-01
2.0407952E+00,5.84292E+01,1.1864E+01,1.1706E+03,1.1660E+01,1.1823E+03,0.000E-01,6.075E-01
2.0509992E+00,5.83394E+01,1.1797E+01,1.1582E+03,1.1657E+01,1.1698E+03,0.000E-01,6.045E-01
2.0612542E+00,5.82464E+01,1.1730E+01,1.1459E+03,1.1653E+01,1.1576E+03,0.000E-01,6.015E-01
2.0715604E+00,5.81498E+01,1.1664E+01,1.1338E+03,1.1650E+01,1.1454E+03,0.000E-01,5.985E-01
2.0819182E+00,5.80497E+01,1.1598E+01,1.1218E+03,1.1646E+01,1.1334E+03,0.000E-01,5.955E-01
2.0923278E+00,5.79459E+01,1.1533E+01,1.1099E+03,1.1642E+01,1.1216E+03,0.000E-01,5.926E-01
2.1027895E+00,5.78381E+01,1.1468E+01,1.0982E+03,1.1638E+01,1.1098E+03,0.000E-01,5.896E-01
2.1133034E+00,5.77263E+01,1.1404E+01,1.0866E+03,1.1634E+01,1.0982E+03,0.000E-01,5.867E-01
2.1238699E+00,5.76102E+01,1.1340E+01,1.0751E+03,1.1629E+01,1.0868E+03,0.000E-01,5.838E-01
2.1344893E+00,5.74896E+01,1.1277E+01,1.0638E+03,1.1624E+01,1.0754E+03,0.000E-01,5.809E-01
2.1451617E+00,5.73644E+01,1.1214E+01,1.0526E+03,1.1620E+01,1.0642E+03,0.000E-01,5.780E-01
2.1558875E+00,5.72342E+01,1.1151E+01,1.0415E+03,1.1615E+01,1.0532E+03,0.000E-01,5.751E-01
2.1666670E+00,5.70989E+01,1.1089E+01,1.0306E+03,1.1609E+01,1.0422E+03,0.000E-01,5.722E-01
2.1775003E+00,5.69580E+01,1.1028E+01,1.0198E+03,1.1604E+01,1.0314E+03,0.000E-01,5.694E-01
2.1883878E+00,5.68114E+01,1.0967E+01,1.0091E+03,1.1598E+01,1.0207E+03,0.000E-01,5.666E-01
2.1993297E+00,5.66587E+01,1.0906E+01,9.9849E+02,1.1593E+01,1.0101E+03,0.000E-01,5.637E-01
2.2103264E+00,5.64995E+01,1.0845E+01,9.8801E+02,1.1587E+01,9.9960E+02,0.000E-01,5.609E-01
2.2213780E+00,5.63335E+01,1.0785E+01,9.7766E+02,1.1581E+01,9.8924E+02,0.000E-01,5.581E-01
2.2324849E+00,5.61600E+01,1.0726E+01,9.6742E+02,1.1574E+01,9.7900E+02,0.000E-01,5.554E-01
2.2436473E+00,5.59788E+01,1.0667E+01,9.5730E+02,1.1568E+01,9.6887E+02,0.000E-01,5.526E-01
2.2548656E+00,5.57891E+01,1.0608E+01,9.4729E+02,1.1561E+01,9.5885E+02,0.000E-01,5.499E-01
2.2661399E+00,5.55905E+01,1.0550E+01,9.3739E+02,1.1555E+01,9.4895E+02,0.000E-01,5.471E-01
2.2774706E+00,5.53822E+01,1.0492E+01,9.2761E+02,1.1548E+01,9.3916E+02,0.000E-01,5.444E-01
2.2888579E+00,5.51635E+01,1.0434E+01,9.1794E+02,1.1540E+01,9.2948E+02,0.000E-01,5.417E-01
2.3003022E+00,5.49335E+01,1.0377E+01,9.0837E+02,1.1533E+01,9.1990E+02,0.000E-01,5.390E-01
2.3118037E+00,5.46912E+01,1.0320E+01,8.9891E+02,1.1526E+01,9.1044E+02,0.000E-01,5.363E-01
2.3233628E+00,5.44357E+01,1.0264E+01,8.8956E+02,1.1518E+01,9.0108E+02,0.000E-01,5.336E-01
2.3349796E+00,5.41655E+01,1.0208E+01,8.8031E+02,1.1510E+01,8.9182E+02,0.000E-01,5.310E-01
2.3466545E+00,5.38793E+01,1.0153E+01,8.7117E+02,1.1502E+01,8.8267E+02,0.000E-01,5.283E-01
2.3583878E+00,5.35754E+01,1.0098E+01,8.6213E+02,1.1494E+01,8.7362E+02,0.000E-01,5.257E-01
2.3701797E+00,5.32519E+01,1.0043E+01,8.5319E+02,1.1485E+01,8.6468E+02,0.000E-01,5.231E-01
2.3820306E+00,5.29065E+01,9.9884E+00,8.4435E+02,1.1477E+01,8.5583E+02,0.000E-01,5.205E-01
2.3939407E+00,5.25365E+01,9.9344E+00,8.3561E+02,1.1468E+01,8.4708E+02,0.000E-01,5.179E-01
2.4059104E+00,5.21386E+01,9.8809E+00,8.2697E+02,1.1459E+01,8.3843E+02,0.000E-01,5.153E-01
2.4179400E+00,5.17125E+01,9.8276E+00,8.1842E+02,1.1450E+01,8.2987E+02,0.000E-01,5.128E-01
2.4300297E+00,5.12462E+01,9.7748E+00,8.0997E+02,1.1441E+01,8.2141E+02,0.000E-01,5.102E-01
2.4421798E+00,5.07372E+01,9.7223E+00,8.0161E+02,1.1432E+01,8.1304E+02,0.000E-01,5.077E-01
2.4543907E+00,5.01776E+01,9.6702E+00,7.9335E+02,1.1422E+01,8.0477E+02,0.000E-01,5.052E-01
2.4666627E+00,4.95575E+01,9.6184E+00,7.8518E+02,1.1412E+01,7.9659E+02,0.000E-01,5.026E-01
2.4789960E+00,4.88632E+01,9.5670E+00,7.7709E+02,1.1402E+01,7.8850E+02,0.000E-01,5.001E-01
2.4913910E+00,4.80758E+01,9.5160E+00,7.6910E+02,1.1392E+01,7.8049E+02,0.000E-01,4.977E-01
2.5038479E+00,4.71678E+01,9.4653E+00,7.6120E+02,1.1382E+01,7.7258E+02,0.000E-01,4.952E-01
2.5163672E+00,4.60971E+01,9.4149E+00,7.5338E+02,1.1372E+01,7.6476E+02,0.000E-01,4.927E-01
2.5289490E+00,4.47936E+01,9.3649E+00,7.4566E+02,1.1361E+01,7.5702E+02,0.000E-01,4.903E-01
2.5415938E+00,4.31265E+01,9.3153E+00,7.3801E+02,1.1350E+01,7.4936E+02,0.000E-01,4.878E-01
2.5543017E+00,4.08023E+01,9.2660E+00,7.3045E+02,1.1339E+01,7.4179E+02,0.000E-01,4.854E-01
2.5670732E+00,3.68771E+01,9.2170E+00,7.2298E+02,1.1328E+01,7.3431E+02,0.000E-01,4.830E-01
2.5788933E+00,2.12884E+01,9.1722E+00,7.1617E+02,1.1318E+01,7.2748E+02,0.000E-01,4.808E-01
2.5799086E+00,1.65394E+01,2.6074E+01,2.0350E+03,1.1317E+01,2.0463E+03,0.000E-01,4.806E-01
2.5803069E+00,2.10000E+01,2.6068E+01,2.0342E+03,1.1317E+01,2.0456E+03,0.000E-01,4.805E-01
2.5928082E+00,3.65808E+01,2.5879E+01,2.0098E+03,1.1306E+01,2.0211E+03,0.000E-01,4.782E-01
2.6057722E+00,3.99542E+01,2.5686E+01,1.9849E+03,1.1294E+01,1.9962E+03,0.000E-01,4.758E-01
2.6188011E+00,4.17054E+01,2.5495E+01,1.9603E+03,1.1283E+01,1.9716E+03,0.000E-01,4.734E-01
2.6318951E+00,4.26865E+01,2.5305E+01,1.9360E+03,1.1271E+01,1.9473E+03,0.000E-01,4.711E-01
2.6450545E+00,4.31094E+01,2.5117E+01,1.9121E+03,1.1259E+01,1.9233E+03,0.000E-01,4.687E-01
2.6582798E+00,4.29465E+01,2.4930E+01,1.8884E+03,1.1247E+01,1.8997E+03,0.000E-01,4.664E-01
2.6715712E+00,4.18129E+01,2.4745E+01,1.8651E+03,1.1234E+01,1.8763E+03,0.000E-01,4.641E-01
2.6849291E+00,3.63620E+01,2.4561E+01,1.8420E+03,1.1222E+01,1.8532E+03,0.000E-01,4.618E-01
2.6868259E+00,3.20847E+01,2.4535E+01,1.8388E+03,1.1220E+01,1.8500E+03,0.000E-01,4.615E-01
2.6883739E+00,3.20049E+01,3.5686E+01,2.6729E+03,1.1218E+01,2.6841E+03,0.000E-01,4.612E-01
2.6983537E+00,4.19890E+01,3.5482E+01,2.6478E+03,1.1209E+01,2.6590E+03,0.000E-01,4.595E-01
2.7118455E+00,4.56172E+01,3.5209E+01,2.6143E+03,1.1196E+01,2.6255E+03,0.000E-01,4.572E-01
2.7254047E+00,4.78545E+01,3.4937E+01,2.5812E+03,1.1183E+01,2.5924E+03,0.000E-01,4.549E-01
