E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0089931E+00,3.05691E+01,1.2465E+01,3.2675E+03,5.2522E+00,3.2728E+03,0.000E-01,6.171E-01
2.0190381E+00,3.06852E+01,1.2374E+01,3.2277E+03,5.2473E+00,3.2329E+03,0.000E-01,6.141E-01
2.0291333E+00,3.07978E+01,1.2284E+01,3.1881E+03,5.2423E+00,3.1934E+03,0.000E-01,6.110E-01
2.0392790E+00,3.09070E+01,1.2194E+01,3.1490E+03,5.2373E+00,3.1543E+03,0.000E-01,6.080E-01
2.0494754E+00,3.10132E+01,1.2105E+01,3.1105E+03,5.2322E+00,3.1157E+03,0.000E-01,6.050E-01
2.0597227E+00,3.11164E+01,1.2016E+01,3.0724E+03,5.2270E+00,3.0776E+03,0.000E-01,6.019E-01
2.0700213E+00,3.12169E+01,1.1929E+01,3.0348E+03,5.2217E+00,3.0400E+03,0.000E-01,5.990E-01
2.0803714E+00,3.13147E+01,1.1841E+01,2.9975E+03,5.2164E+00,3.0027E+03,0.000E-01,5.960E-01
2.0907733E+00,3.14098E+01,1.1754E+01,2.9606E+03,5.2109E+00,2.9658E+03,0.000E-01,5.930E-01
2.1012272E+00,3.15023E+01,1.1667E+01,2.9241E+03,5.2054E+00,2.9293E+03,0.000E-01,5.901E-01
2.1117333E+00,3.15922E+01,1.1581E+01,2.8881E+03,5.1998E+00,2.8933E+03,0.000E-01,5.871E-01
2.1222920E+00,3.16798E+01,1.1496E+01,2.8526E+03,5.1942E+00,2.8577E+03,0.000E-01,5.842E-01
2.1329034E+00,3.17650E+01,1.1411E+01,2.8174E+03,5.1884E+00,2.8226E+03,0.000E-01,5.813E-01
2.1435680E+00,3.18481E+01,1.1327E+01,2.7828E+03,5.1826E+00,2.7880E+03,0.000E-01,5.784E-01
2.1542858E+00,3.19291E+01,1.1243E+01,2.7485E+03,5.1768E+00,2.7537E+03,0.000E-01,5.755E-01
2.1650572E+00,3.20081E+01,1.1160E+01,2.7147E+03,5.1708E+00,2.7199E+03,0.000E-01,5.727E-01
2.1758825E+00,3.20851E+01,1.1078E+01,2.6813E+03,5.1648E+00,2.6865E+03,0.000E-01,5.698E-01
2.1867619E+00,3.21603E+01,1.0997E+01,2.6483E+03,5.1587E+00,2.6535E+03,0.000E-01,5.670E-01
2.1976957E+00,3.22336E+01,1.0916E+01,2.6157E+03,5.1525E+00,2.6209E+03,0.000E-01,5.642E-01
2.2086842E+00,3.23052E+01,1.0835E+01,2.5836E+03,5.1462E+00,2.5887E+03,0.000E-01,5.613E-01
2.2197276E+00,3.23752E+01,1.0756E+01,2.5518E+03,5.1399E+00,2.5569E+03,0.000E-01,5.586E-01
2.2308263E+00,3.24435E+01,1.0676E+01,2.5204E+03,5.1335E+00,2.5255E+03,0.000E-01,5.558E-01
2.2419804E+00,3.25103E+01,1.0598E+01,2.4894E+03,5.1271E+00,2.4945E+03,0.000E-01,5.530E-01
2.2531903E+00,3.25755E+01,1.0520E+01,2.4588E+03,5.1205E+00,2.4639E+03,0.000E-01,5.503E-01
2.2644562E+00,3.26394E+01,1.0442E+01,2.4286E+03,5.1139E+00,2.4337E+03,0.000E-01,5.475E-01
2.2757785E+00,3.27018E+01,1.0366E+01,2.3987E+03,5.1072E+00,2.4038E+03,0.000E-01,5.448E-01
2.2871574E+00,3.27629E+01,1.0289E+01,2.3692E+03,5.1005E+00,2.3743E+03,0.000E-01,5.421E-01
2.2985932E+00,3.28227E+01,1.0214E+01,2.3400E+03,5.0937E+00,2.3451E+03,0.000E-01,5.394E-01
2.3100862E+00,3.28814E+01,1.0138E+01,2.3113E+03,5.0868E+00,2.3163E+03,0.000E-01,5.367E-01
2.3216366E+00,3.29389E+01,1.0063E+01,2.2827E+03,5.0798E+00,2.2878E+03,0.000E-01,5.340E-01
2.3332448E+00,3.29949E+01,9.9879E+00,2.2544E+03,5.0728E+00,2.2594E+03,0.000E-01,5.314E-01
2.3449110E+00,3.30495E+01,9.9131E+00,2.2264E+03,5.0657E+00,2.2314E+03,0.000E-01,5.287E-01
2.3566356E+00,3.31028E+01,9.8389E+00,2.1987E+03,5.0585E+00,2.2038E+03,0.000E-01,5.261E-01
2.3684187E+00,3.31548E+01,9.7652E+00,2.1714E+03,5.0513E+00,2.1764E+03,0.000E-01,5.235E-01
