E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.26965E+01,6.9297E+00,1.2467E+03,7.0298E+00,1.2537E+03,0.000E+00,5.959E-01
2.224304E+00,4.24829E+01,6.3148E+00,1.0628E+03,6.9525E+00,1.0698E+03,0.000E+00,5.574E-01
2.377781E+00,4.22148E+01,5.7641E+00,9.0747E+02,6.8560E+00,9.1433E+02,0.000E+00,5.214E-01
2.541848E+00,4.18768E+01,5.2570E+00,7.7422E+02,6.7415E+00,7.8096E+02,0.000E+00,4.878E-01
2.717235E+00,4.14267E+01,4.7781E+00,6.5827E+02,6.6102E+00,6.6488E+02,0.000E+00,4.563E-01
2.904724E+00,4.08113E+01,4.3441E+00,5.5984E+02,6.4634E+00,5.6630E+02,0.000E+00,4.268E-01
3.105150E+00,3.99196E+01,3.9055E+00,4.7084E+02,6.3024E+00,4.7714E+02,0.000E+00,3.993E-01
3.319406E+00,3.80892E+01,3.4718E+00,3.9153E+02,6.1288E+00,3.9766E+02,0.000E+00,3.735E-01
3.466750E+00,3.51406E+01,3.2183E+00,3.4752E+02,6.0097E+00,3.5353E+02,0.000E+00,3.576E-01
3.519812E+00,3.16870E+01,3.1345E+00,3.3337E+02,5.9670E+00,3.3934E+02,0.000E+00,3.522E-01
3.533962E+00,2.77885E+01,3.1128E+00,3.2974E+02,5.9556E+00,3.3570E+02,0.000E+00,3.508E-01
3.548445E+00,3.03560E+01,1.0619E+01,1.1203E+03,5.9440E+00,1.1262E+03,0.000E+00,3.494E-01
3.555187E+00,3.14895E+01,1.0592E+01,1.1152E+03,5.9386E+00,1.1211E+03,0.000E+00,3.487E-01
3.608250E+00,3.45292E+01,1.0378E+01,1.0766E+03,5.8961E+00,1.0825E+03,0.000E+00,3.436E-01
3.652460E+00,3.52329E+01,1.0205E+01,1.0459E+03,5.8609E+00,1.0518E+03,0.000E+00,3.395E-01
3.708365E+00,3.46373E+01,9.9942E+00,1.0089E+03,5.8165E+00,1.0147E+03,0.000E+00,3.343E-01
3.723273E+00,3.29486E+01,9.9338E+00,9.9877E+02,5.8047E+00,1.0046E+03,0.000E+00,3.330E-01
3.745635E+00,3.51307E+01,1.3575E+01,1.3567E+03,5.7871E+00,1.3625E+03,0.000E+00,3.310E-01
3.793288E+00,3.71821E+01,1.3324E+01,1.3149E+03,5.7496E+00,1.3206E+03,0.000E+00,3.269E-01
3.801540E+00,3.73998E+01,1.3281E+01,1.3078E+03,5.7431E+00,1.3135E+03,0.000E+00,3.261E-01
3.937640E+00,3.93697E+01,1.2588E+01,1.1967E+03,5.6371E+00,1.2023E+03,0.000E+00,3.149E-01
3.997910E+00,3.92963E+01,1.2284E+01,1.1502E+03,5.5907E+00,1.1558E+03,0.000E+00,3.101E-01
4.013982E+00,3.85238E+01,1.2204E+01,1.1382E+03,5.5784E+00,1.1438E+03,0.000E+00,3.089E-01
4.038090E+00,3.97007E+01,1.3936E+01,1.2919E+03,5.5600E+00,1.2975E+03,0.000E+00,3.070E-01
4.055024E+00,4.02290E+01,1.3848E+01,1.2784E+03,5.5471E+00,1.2839E+03,0.000E+00,3.058E-01
4.098360E+00,4.10801E+01,1.3626E+01,1.2446E+03,5.5142E+00,1.2501E+03,0.000E+00,3.025E-01
