E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,5.26929E+01,1.5796E+01,2.2799E+03,8.0114E+00,2.2879E+03,0.000E+00,5.959E-01
2.224304E+00,5.31185E+01,1.4404E+01,1.9447E+03,7.9336E+00,1.9526E+03,0.000E+00,5.574E-01
2.377781E+00,5.35173E+01,1.3148E+01,1.6606E+03,7.8346E+00,1.6684E+03,0.000E+00,5.214E-01
2.541848E+00,5.37256E+01,1.1988E+01,1.4164E+03,7.7153E+00,1.4241E+03,0.000E+00,4.878E-01
2.717235E+00,5.38825E+01,1.0931E+01,1.2081E+03,7.5770E+00,1.2157E+03,0.000E+00,4.563E-01
2.904724E+00,5.39726E+01,9.9786E+00,1.0317E+03,7.4211E+00,1.0391E+03,0.000E+00,4.268E-01
3.105150E+00,5.41316E+01,9.0399E+00,8.7430E+02,7.2490E+00,8.8155E+02,0.000E+00,3.993E-01
3.319406E+00,5.40412E+01,8.1349E+00,7.3599E+02,7.0622E+00,7.4305E+02,0.000E+00,3.735E-01
3.548445E+00,5.38652E+01,7.3286E+00,6.2024E+02,6.8623E+00,6.2710E+02,0.000E+00,3.494E-01
3.793288E+00,5.36071E+01,6.5717E+00,5.2029E+02,6.6510E+00,5.2694E+02,0.000E+00,3.269E-01
4.055024E+00,5.32539E+01,5.8978E+00,4.3679E+02,6.4298E+00,4.4322E+02,0.000E+00,3.058E-01
4.334821E+00,5.27952E+01,5.3002E+00,3.6720E+02,6.2005E+00,3.7340E+02,0.000E+00,2.860E-01
4.633924E+00,5.21906E+01,4.7711E+00,3.0921E+02,5.9647E+00,3.1517E+02,0.000E+00,2.676E-01
4.953664E+00,5.13382E+01,4.3029E+00,2.6086E+02,5.7239E+00,2.6658E+02,0.000E+00,2.503E-01
5.295467E+00,4.99245E+01,3.8778E+00,2.1992E+02,5.4798E+00,2.2540E+02,0.000E+00,2.341E-01
5.608932E+00,4.68297E+01,3.5375E+00,1.8941E+02,5.2678E+00,1.9468E+02,0.000E+00,2.210E-01
5.660855E+00,4.54426E+01,3.4850E+00,1.8488E+02,5.2338E+00,1.9011E+02,0.000E+00,2.190E-01
5.694783E+00,4.36597E+01,3.4514E+00,1.8201E+02,5.2117E+00,1.8722E+02,0.000E+00,2.177E-01
5.717677E+00,3.99880E+01,3.4291E+00,1.8011E+02,5.1969E+00,1.8531E+02,0.000E+00,2.168E-01
5.752017E+00,4.36201E+01,1.0533E+01,5.4996E+02,5.1748E+00,5.5513E+02,0.000E+00,2.155E-01
5.837868E+00,4.67211E+01,1.0205E+01,5.2496E+02,5.1200E+00,5.3008E+02,0.000E+00,2.124E-01
6.040916E+00,4.81015E+01,9.5007E+00,4.7231E+02,4.9937E+00,4.7730E+02,0.000E+00,2.052E-01
6.051453E+00,4.80772E+01,9.4699E+00,4.6996E+02,4.9873E+00,4.7495E+02,0.000E+00,2.049E-01
