E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.30912E+01,2.5641E+01,3.3141E+03,9.3561E+00,3.3234E+03,0.000E-01,6.188E-01
2.0135813E+00,5.31611E+01,2.5474E+01,3.2760E+03,9.3516E+00,3.2854E+03,0.000E-01,6.157E-01
2.0236492E+00,5.31904E+01,2.5308E+01,3.2385E+03,9.3470E+00,3.2479E+03,0.000E-01,6.127E-01
2.0337675E+00,5.31357E+01,2.5144E+01,3.2016E+03,9.3422E+00,3.2109E+03,0.000E-01,6.096E-01
2.0432385E+00,5.27952E+01,2.4994E+01,3.1676E+03,9.3376E+00,3.1770E+03,0.000E-01,6.068E-01
2.0439363E+00,5.27239E+01,2.4983E+01,3.1652E+03,9.3373E+00,3.1745E+03,0.000E-01,6.066E-01
2.0503613E+00,5.28942E+01,2.6064E+01,3.2918E+03,9.3341E+00,3.3012E+03,0.000E-01,6.047E-01
2.0541560E+00,5.32252E+01,2.6003E+01,3.2781E+03,9.3322E+00,3.2874E+03,0.000E-01,6.036E-01
2.0644268E+00,5.37063E+01,2.5840E+01,3.2412E+03,9.3270E+00,3.2506E+03,0.000E-01,6.006E-01
2.0747489E+00,5.40275E+01,2.5678E+01,3.2049E+03,9.3217E+00,3.2142E+03,0.000E-01,5.976E-01
2.0851227E+00,5.42903E+01,2.5518E+01,3.1691E+03,9.3162E+00,3.1784E+03,0.000E-01,5.946E-01
2.0955483E+00,5.45215E+01,2.5359E+01,3.1337E+03,9.3106E+00,3.1430E+03,0.000E-01,5.917E-01
2.1060260E+00,5.47324E+01,2.5202E+01,3.0988E+03,9.3048E+00,3.1081E+03,0.000E-01,5.887E-01
2.1165562E+00,5.49288E+01,2.5046E+01,3.0643E+03,9.2989E+00,3.0736E+03,0.000E-01,5.858E-01
2.1271389E+00,5.51141E+01,2.4892E+01,3.0303E+03,9.2929E+00,3.0396E+03,0.000E-01,5.829E-01
2.1377746E+00,5.52905E+01,2.4739E+01,2.9967E+03,9.2867E+00,3.0060E+03,0.000E-01,5.800E-01
2.1484635E+00,5.54593E+01,2.4587E+01,2.9635E+03,9.2804E+00,2.9728E+03,0.000E-01,5.771E-01
2.1592058E+00,5.56224E+01,2.4438E+01,2.9309E+03,9.2739E+00,2.9402E+03,0.000E-01,5.742E-01
2.1700018E+00,5.57810E+01,2.4291E+01,2.8987E+03,9.2673E+00,2.9080E+03,0.000E-01,5.714E-01
2.1808519E+00,5.59360E+01,2.4143E+01,2.8668E+03,9.2606E+00,2.8760E+03,0.000E-01,5.685E-01
2.1917561E+00,5.60858E+01,2.3991E+01,2.8346E+03,9.2537E+00,2.8438E+03,0.000E-01,5.657E-01
2.2027149E+00,5.62307E+01,2.3841E+01,2.8028E+03,9.2467E+00,2.8120E+03,0.000E-01,5.629E-01
2.2137285E+00,5.63713E+01,2.3691E+01,2.7714E+03,9.2395E+00,2.7806E+03,0.000E-01,5.601E-01
2.2247971E+00,5.65079E+01,2.3543E+01,2.7403E+03,9.2322E+00,2.7495E+03,0.000E-01,5.573E-01
2.2359211E+00,5.66409E+01,2.3396E+01,2.7096E+03,9.2248E+00,2.7189E+03,0.000E-01,5.545E-01
2.2471007E+00,5.67706E+01,2.3250E+01,2.6793E+03,9.2172E+00,2.6885E+03,0.000E-01,5.518E-01
2.2583362E+00,5.68971E+01,2.3105E+01,2.6494E+03,9.2095E+00,2.6586E+03,0.000E-01,5.490E-01
2.2696279E+00,5.70207E+01,2.2961E+01,2.6197E+03,9.2017E+00,2.6289E+03,0.000E-01,5.463E-01
2.2809760E+00,5.71417E+01,2.2818E+01,2.5905E+03,9.1937E+00,2.5997E+03,0.000E-01,5.436E-01
2.2923809E+00,5.72600E+01,2.2676E+01,2.5615E+03,9.1856E+00,2.5707E+03,0.000E-01,5.409E-01
2.3038428E+00,5.73759E+01,2.2535E+01,2.5329E+03,9.1774E+00,2.5421E+03,0.000E-01,5.382E-01
2.3153620E+00,5.74896E+01,2.2395E+01,2.5047E+03,9.1690E+00,2.5138E+03,0.000E-01,5.355E-01
2.3269388E+00,5.76011E+01,2.2255E+01,2.4767E+03,9.1605E+00,2.4859E+03,0.000E-01,5.328E-01
2.3385735E+00,5.77105E+01,2.2117E+01,2.4491E+03,9.1519E+00,2.4582E+03,0.000E-01,5.302E-01
2.3502664E+00,5.78181E+01,2.1980E+01,2.4217E+03,9.1431E+00,2.4309E+03,0.000E-01,5.275E-01
2.3620177E+00,5.79238E+01,2.1843E+01,2.3947E+03,9.1342E+00,2.4039E+03,0.000E-01,5.249E-01
2.3738278E+00,5.80279E+01,2.1707E+01,2.3680E+03,9.1252E+00,2.3771E+03,0.000E-01,5.223E-01
2.3856970E+00,5.81305E+01,2.1573E+01,2.3416E+03,9.1160E+00,2.3507E+03,0.000E-01,5.197E-01
2.3976254E+00,5.82317E+01,2.1438E+01,2.3154E+03,9.1067E+00,2.3245E+03,0.000E-01,5.171E-01
2.4096136E+00,5.83307E+01,2.1301E+01,2.2892E+03,9.0973E+00,2.2983E+03,0.000E-01,5.145E-01
2.4216616E+00,5.84276E+01,2.1166E+01,2.2633E+03,9.0878E+00,2.2724E+03,0.000E-01,5.120E-01
