E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.05184E+01,2.7065E+01,3.3986E+03,9.7379E+00,3.4083E+03,0.000E-01,6.188E-01
2.0036337E+00,5.05004E+01,2.7064E+01,3.3983E+03,9.7378E+00,3.4080E+03,0.000E-01,6.188E-01
2.0079663E+00,5.05651E+01,2.8901E+01,3.6211E+03,9.7360E+00,3.6309E+03,0.000E-01,6.175E-01
2.0135813E+00,5.14684E+01,2.8777E+01,3.5956E+03,9.7335E+00,3.6053E+03,0.000E-01,6.157E-01
2.0236492E+00,5.21751E+01,2.8558E+01,3.5504E+03,9.7290E+00,3.5602E+03,0.000E-01,6.127E-01
2.0337675E+00,5.26349E+01,2.8342E+01,3.5060E+03,9.7244E+00,3.5157E+03,0.000E-01,6.096E-01
2.0439363E+00,5.29986E+01,2.8128E+01,3.4623E+03,9.7196E+00,3.4720E+03,0.000E-01,6.066E-01
2.0541560E+00,5.33076E+01,2.7917E+01,3.4192E+03,9.7146E+00,3.4289E+03,0.000E-01,6.036E-01
2.0644268E+00,5.35797E+01,2.7709E+01,3.3768E+03,9.7095E+00,3.3865E+03,0.000E-01,6.006E-01
2.0747489E+00,5.38235E+01,2.7502E+01,3.3350E+03,9.7043E+00,3.3447E+03,0.000E-01,5.976E-01
2.0851227E+00,5.40442E+01,2.7298E+01,3.2938E+03,9.6989E+00,3.3035E+03,0.000E-01,5.946E-01
2.0955483E+00,5.42441E+01,2.7097E+01,3.2532E+03,9.6933E+00,3.2629E+03,0.000E-01,5.917E-01
2.1060260E+00,5.44238E+01,2.6899E+01,3.2134E+03,9.6877E+00,3.2231E+03,0.000E-01,5.887E-01
2.1165562E+00,5.45884E+01,2.6715E+01,3.1755E+03,9.6818E+00,3.1851E+03,0.000E-01,5.858E-01
2.1271389E+00,5.47410E+01,2.6533E+01,3.1382E+03,9.6758E+00,3.1478E+03,0.000E-01,5.829E-01
2.1377746E+00,5.48801E+01,2.6353E+01,3.1014E+03,9.6697E+00,3.1111E+03,0.000E-01,5.800E-01
2.1484635E+00,5.50036E+01,2.6177E+01,3.0653E+03,9.6634E+00,3.0750E+03,0.000E-01,5.771E-01
2.1592058E+00,5.51081E+01,2.6002E+01,3.0297E+03,9.6570E+00,3.0394E+03,0.000E-01,5.742E-01
2.1700018E+00,5.51871E+01,2.5830E+01,2.9947E+03,9.6504E+00,3.0043E+03,0.000E-01,5.714E-01
2.1808519E+00,5.52263E+01,2.5660E+01,2.9601E+03,9.6437E+00,2.9698E+03,0.000E-01,5.685E-01
2.1917561E+00,5.51860E+01,2.5492E+01,2.9261E+03,9.6369E+00,2.9358E+03,0.000E-01,5.657E-01
2.2022856E+00,5.48733E+01,2.5332E+01,2.8939E+03,9.6302E+00,2.9035E+03,0.000E-01,5.630E-01
2.2027149E+00,5.48392E+01,2.5326E+01,2.8926E+03,9.6299E+00,2.9022E+03,0.000E-01,5.629E-01
2.2107145E+00,5.49879E+01,2.6387E+01,3.0029E+03,9.6247E+00,3.0126E+03,0.000E-01,5.608E-01
2.2137285E+00,5.52349E+01,2.6341E+01,2.9936E+03,9.6227E+00,3.0032E+03,0.000E-01,5.601E-01
2.2247971E+00,5.57415E+01,2.6174E+01,2.9598E+03,9.6154E+00,2.9694E+03,0.000E-01,5.573E-01
2.2359211E+00,5.60726E+01,2.6008E+01,2.9264E+03,9.6080E+00,2.9360E+03,0.000E-01,5.545E-01
2.2471007E+00,5.63423E+01,2.5844E+01,2.8935E+03,9.6005E+00,2.9031E+03,0.000E-01,5.518E-01
2.2583362E+00,5.65792E+01,2.5682E+01,2.8610E+03,9.5927E+00,2.8706E+03,0.000E-01,5.490E-01
2.2696279E+00,5.67951E+01,2.5521E+01,2.8290E+03,9.5849E+00,2.8386E+03,0.000E-01,5.463E-01
2.2809760E+00,5.69959E+01,2.5362E+01,2.7973E+03,9.5769E+00,2.8069E+03,0.000E-01,5.436E-01
2.2923809E+00,5.71853E+01,2.5204E+01,2.7661E+03,9.5688E+00,2.7757E+03,0.000E-01,5.409E-01
2.3038428E+00,5.73655E+01,2.5048E+01,2.7353E+03,9.5605E+00,2.7448E+03,0.000E-01,5.382E-01
2.3153620E+00,5.75378E+01,2.4893E+01,2.7048E+03,9.5521E+00,2.7144E+03,0.000E-01,5.355E-01
2.3269388E+00,5.77040E+01,2.4741E+01,2.6750E+03,9.5435E+00,2.6845E+03,0.000E-01,5.328E-01
2.3385735E+00,5.78655E+01,2.4591E+01,2.6455E+03,9.5348E+00,2.6550E+03,0.000E-01,5.302E-01
2.3502664E+00,5.80232E+01,2.4442E+01,2.6164E+03,9.5260E+00,2.6259E+03,0.000E-01,5.275E-01
2.3620177E+00,5.81770E+01,2.4290E+01,2.5872E+03,9.5171E+00,2.5967E+03,0.000E-01,5.249E-01
2.3738278E+00,5.83257E+01,2.4137E+01,2.5581E+03,9.5080E+00,2.5676E+03,0.000E-01,5.223E-01
2.3856970E+00,5.84699E+01,2.3984E+01,2.5293E+03,9.4987E+00,2.5388E+03,0.000E-01,5.197E-01
2.3976254E+00,5.86099E+01,2.3833E+01,2.5009E+03,9.4894E+00,2.5103E+03,0.000E-01,5.171E-01
2.4096136E+00,5.87462E+01,2.3683E+01,2.4728E+03,9.4799E+00,2.4822E+03,0.000E-01,5.145E-01
2.4216616E+00,5.88791E+01,2.3535E+01,2.4450E+03,9.4702E+00,2.4545E+03,0.000E-01,5.120E-01
2.4337699E+00,5.90087E+01,2.3387E+01,2.4176E+03,9.4604E+00,2.4270E+03,0.000E-01,5.094E-01
2.4459388E+00,5.91353E+01,2.3240E+01,2.3904E+03,9.4505E+00,2.3999E+03,0.000E-01,5.069E-01
2.4581685E+00,5.92591E+01,2.3094E+01,2.3636E+03,9.4405E+00,2.3731E+03,0.000E-01,5.044E-01
2.4704593E+00,5.93802E+01,2.2950E+01,2.3371E+03,9.4303E+00,2.3466E+03,0.000E-01,5.019E-01
2.4828116E+00,5.94988E+01,2.2806E+01,2.3109E+03,9.4200E+00,2.3204E+03,0.000E-01,4.994E-01
2.4952257E+00,5.96151E+01,2.2663E+01,2.2850E+03,9.4096E+00,2.2944E+03,0.000E-01,4.969E-01
2.5077018E+00,5.97291E+01,2.2521E+01,2.2594E+03,9.3990E+00,2.2688E+03,0.000E-01,4.944E-01
2.5202403E+00,5.98409E+01,2.2380E+01,2.2341E+03,9.3883E+00,2.2435E+03,0.000E-01,4.920E-01
2.5328415E+00,5.99507E+01,2.2240E+01,2.2091E+03,9.3775E+00,2.2185E+03,0.000E-01,4.895E-01
2.5455057E+00,6.00586E+01,2.2101E+01,2.1843E+03,9.3666E+00,2.1937E+03,0.000E-01,4.871E-01
2.5582333E+00,6.01646E+01,2.1962E+01,2.1598E+03,9.3555E+00,2.1692E+03,0.000E-01,4.846E-01
2.5710244E+00,6.02689E+01,2.1825E+01,2.1356E+03,9.3443E+00,2.1450E+03,0.000E-01,4.822E-01
2.5838796E+00,6.03715E+01,2.1688E+01,2.1117E+03,9.3329E+00,2.1210E+03,0.000E-01,4.798E-01
2.5967990E+00,6.04727E+01,2.1552E+01,2.0880E+03,9.3215E+00,2.0973E+03,0.000E-01,4.775E-01
2.6097829E+00,6.05725E+01,2.1416E+01,2.0646E+03,9.3099E+00,2.0739E+03,0.000E-01,4.751E-01
2.6228319E+00,6.06703E+01,2.1279E+01,2.0411E+03,9.2982E+00,2.0504E+03,0.000E-01,4.727E-01
2.6359460E+00,6.07660E+01,2.1143E+01,2.0180E+03,9.2863E+00,2.0273E+03,0.000E-01,4.704E-01
2.6491257E+00,6.08597E+01,2.1007E+01,1.9951E+03,9.2744E+00,2.0043E+03,0.000E-01,4.680E-01
2.6623714E+00,6.09517E+01,2.0873E+01,1.9724E+03,9.2623E+00,1.9817E+03,0.000E-01,4.657E-01
2.6756832E+00,6.10419E+01,2.0739E+01,1.9500E+03,9.2501E+00,1.9593E+03,0.000E-01,4.634E-01
2.6890617E+00,6.11305E+01,2.0606E+01,1.9279E+03,9.2378E+00,1.9371E+03,0.000E-01,4.611E-01
2.7025070E+00,6.12175E+01,2.0474E+01,1.9060E+03,9.2253E+00,1.9152E+03,0.000E-01,4.588E-01
2.7160195E+00,6.13030E+01,2.0342E+01,1.8843E+03,9.2127E+00,1.8935E+03,0.000E-01,4.565E-01
