E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.36983E+01,2.2735E+01,3.1423E+03,8.9798E+00,3.1512E+03,0.000E-01,6.188E-01
2.0135813E+00,5.38186E+01,2.2597E+01,3.1076E+03,8.9752E+00,3.1166E+03,0.000E-01,6.157E-01
2.0236492E+00,5.39365E+01,2.2459E+01,3.0733E+03,8.9705E+00,3.0823E+03,0.000E-01,6.127E-01
2.0337675E+00,5.40521E+01,2.2323E+01,3.0394E+03,8.9657E+00,3.0484E+03,0.000E-01,6.096E-01
2.0439363E+00,5.41657E+01,2.2187E+01,3.0059E+03,8.9607E+00,3.0149E+03,0.000E-01,6.066E-01
2.0541560E+00,5.42773E+01,2.2052E+01,2.9728E+03,8.9555E+00,2.9818E+03,0.000E-01,6.036E-01
2.0644268E+00,5.43870E+01,2.1918E+01,2.9400E+03,8.9503E+00,2.9490E+03,0.000E-01,6.006E-01
2.0747489E+00,5.44951E+01,2.1785E+01,2.9077E+03,8.9449E+00,2.9166E+03,0.000E-01,5.976E-01
2.0851227E+00,5.46017E+01,2.1653E+01,2.8756E+03,8.9393E+00,2.8846E+03,0.000E-01,5.946E-01
2.0955483E+00,5.47070E+01,2.1521E+01,2.8440E+03,8.9336E+00,2.8529E+03,0.000E-01,5.917E-01
2.1060260E+00,5.48106E+01,2.1388E+01,2.8123E+03,8.9278E+00,2.8212E+03,0.000E-01,5.887E-01
2.1165562E+00,5.49118E+01,2.1254E+01,2.7808E+03,8.9219E+00,2.7897E+03,0.000E-01,5.858E-01
2.1271389E+00,5.50110E+01,2.1122E+01,2.7497E+03,8.9158E+00,2.7586E+03,0.000E-01,5.829E-01
2.1377746E+00,5.51081E+01,2.0990E+01,2.7189E+03,8.9095E+00,2.7278E+03,0.000E-01,5.800E-01
2.1484635E+00,5.52033E+01,2.0858E+01,2.6884E+03,8.9032E+00,2.6973E+03,0.000E-01,5.771E-01
2.1592058E+00,5.52968E+01,2.0728E+01,2.6583E+03,8.8967E+00,2.6672E+03,0.000E-01,5.742E-01
2.1700018E+00,5.53885E+01,2.0598E+01,2.6285E+03,8.8901E+00,2.6374E+03,0.000E-01,5.714E-01
2.1808519E+00,5.54787E+01,2.0469E+01,2.5991E+03,8.8833E+00,2.6080E+03,0.000E-01,5.685E-01
2.1917561E+00,5.55672E+01,2.0341E+01,2.5699E+03,8.8764E+00,2.5788E+03,0.000E-01,5.657E-01
2.2027149E+00,5.56543E+01,2.0213E+01,2.5411E+03,8.8694E+00,2.5500E+03,0.000E-01,5.629E-01
2.2137285E+00,5.57400E+01,2.0086E+01,2.5126E+03,8.8622E+00,2.5215E+03,0.000E-01,5.601E-01
2.2247971E+00,5.58243E+01,1.9960E+01,2.4844E+03,8.8549E+00,2.4933E+03,0.000E-01,5.573E-01
2.2359211E+00,5.59072E+01,1.9835E+01,2.4566E+03,8.8475E+00,2.4654E+03,0.000E-01,5.545E-01
2.2471007E+00,5.59890E+01,1.9711E+01,2.4290E+03,8.8400E+00,2.4378E+03,0.000E-01,5.518E-01
2.2583362E+00,5.60695E+01,1.9587E+01,2.4017E+03,8.8323E+00,2.4106E+03,0.000E-01,5.490E-01
2.2696279E+00,5.63690E+01,1.9460E+01,2.3743E+03,8.8245E+00,2.3831E+03,0.000E-01,5.463E-01
2.2809760E+00,5.64470E+01,1.9332E+01,2.3470E+03,8.8166E+00,2.3558E+03,0.000E-01,5.436E-01
2.2923809E+00,5.65233E+01,1.9205E+01,2.3199E+03,8.8085E+00,2.3288E+03,0.000E-01,5.409E-01
2.3038428E+00,5.65981E+01,1.9079E+01,2.2932E+03,8.8003E+00,2.3020E+03,0.000E-01,5.382E-01
2.3153620E+00,5.66713E+01,1.8953E+01,2.2668E+03,8.7920E+00,2.2756E+03,0.000E-01,5.355E-01
2.3269388E+00,5.68928E+01,1.8827E+01,2.2405E+03,8.7835E+00,2.2493E+03,0.000E-01,5.328E-01
2.3385735E+00,5.69633E+01,1.8700E+01,2.2143E+03,8.7749E+00,2.2231E+03,0.000E-01,5.302E-01
2.3502664E+00,5.70319E+01,1.8573E+01,2.1883E+03,8.7662E+00,2.1970E+03,0.000E-01,5.275E-01
2.3620177E+00,5.70988E+01,1.8446E+01,2.1626E+03,8.7574E+00,2.1713E+03,0.000E-01,5.249E-01
2.3738278E+00,5.71639E+01,1.8320E+01,2.1371E+03,8.7484E+00,2.1459E+03,0.000E-01,5.223E-01
2.3856970E+00,5.72274E+01,1.8196E+01,2.1120E+03,8.7394E+00,2.1208E+03,0.000E-01,5.197E-01
2.3976254E+00,5.72893E+01,1.8072E+01,2.0872E+03,8.7302E+00,2.0959E+03,0.000E-01,5.171E-01
2.4096136E+00,5.73497E+01,1.7948E+01,2.0627E+03,8.7208E+00,2.0714E+03,0.000E-01,5.145E-01
2.4216616E+00,5.74087E+01,1.7826E+01,2.0384E+03,8.7114E+00,2.0471E+03,0.000E-01,5.120E-01
2.4337699E+00,5.74662E+01,1.7705E+01,2.0145E+03,8.7018E+00,2.0232E+03,0.000E-01,5.094E-01
2.4459388E+00,5.75225E+01,1.7584E+01,1.9908E+03,8.6921E+00,1.9995E+03,0.000E-01,5.069E-01
2.4581685E+00,5.75774E+01,1.7464E+01,1.9674E+03,8.6823E+00,1.9761E+03,0.000E-01,5.044E-01
2.4704593E+00,5.76311E+01,1.7345E+01,1.9443E+03,8.6724E+00,1.9529E+03,0.000E-01,5.019E-01
2.4828116E+00,5.76835E+01,1.7227E+01,1.9214E+03,8.6623E+00,1.9301E+03,0.000E-01,4.994E-01
2.4952257E+00,5.77348E+01,1.7110E+01,1.8989E+03,8.6521E+00,1.9075E+03,0.000E-01,4.969E-01
2.5077018E+00,5.77851E+01,1.6992E+01,1.8764E+03,8.6418E+00,1.8850E+03,0.000E-01,4.944E-01
2.5202403E+00,5.78341E+01,1.6874E+01,1.8540E+03,8.6314E+00,1.8627E+03,0.000E-01,4.920E-01
2.5328415E+00,5.78820E+01,1.6756E+01,1.8320E+03,8.6209E+00,1.8406E+03,0.000E-01,4.895E-01
2.5455057E+00,5.79287E+01,1.6639E+01,1.8102E+03,8.6102E+00,1.8188E+03,0.000E-01,4.871E-01
2.5582333E+00,5.79743E+01,1.6524E+01,1.7886E+03,8.5994E+00,1.7972E+03,0.000E-01,4.846E-01
2.5710244E+00,5.80188E+01,1.6409E+01,1.7673E+03,8.5886E+00,1.7759E+03,0.000E-01,4.822E-01
2.5838796E+00,5.80623E+01,1.6295E+01,1.7463E+03,8.5775E+00,1.7549E+03,0.000E-01,4.798E-01
2.5967990E+00,5.81048E+01,1.6182E+01,1.7256E+03,8.5664E+00,1.7341E+03,0.000E-01,4.775E-01
2.6097829E+00,5.81463E+01,1.6069E+01,1.7051E+03,8.5552E+00,1.7136E+03,0.000E-01,4.751E-01
2.6228319E+00,5.81869E+01,1.5958E+01,1.6848E+03,8.5438E+00,1.6934E+03,0.000E-01,4.727E-01
