E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,9.36013E+00,7.2104E-01,7.6755E+02,1.4310E+00,7.6898E+02,7.292E+02,5.959E-01
2.224304E+00,9.34689E+00,6.4132E-01,6.3862E+02,1.3843E+00,6.4000E+02,6.067E+02,5.574E-01
2.377781E+00,9.33207E+00,5.7033E-01,5.3127E+02,1.3361E+00,5.3261E+02,5.046E+02,5.214E-01
2.541848E+00,9.31652E+00,5.0714E-01,4.4192E+02,1.2868E+00,4.4321E+02,4.197E+02,4.878E-01
2.717235E+00,9.30109E+00,4.5093E-01,3.6758E+02,1.2368E+00,3.6882E+02,3.491E+02,4.563E-01
2.904724E+00,9.28588E+00,3.9862E-01,3.0396E+02,1.1863E+00,3.0515E+02,2.885E+02,4.268E-01
3.105150E+00,9.26977E+00,3.5055E-01,2.5005E+02,1.1358E+00,2.5119E+02,2.373E+02,3.993E-01
3.319406E+00,9.25188E+00,3.0702E-01,2.0487E+02,1.0855E+00,2.0596E+02,1.944E+02,3.735E-01
3.548445E+00,9.23378E+00,2.6891E-01,1.6785E+02,1.0356E+00,1.6889E+02,1.593E+02,3.494E-01
3.793288E+00,9.21598E+00,2.3553E-01,1.3753E+02,9.8651E-01,1.3852E+02,1.305E+02,3.269E-01
4.055024E+00,9.19881E+00,2.0629E-01,1.1268E+02,9.3836E-01,1.1362E+02,1.069E+02,3.058E-01
4.334821E+00,9.18245E+00,1.8068E-01,9.2321E+01,8.9138E-01,9.3212E+01,8.760E+01,2.860E-01
4.633924E+00,9.16700E+00,1.5825E-01,7.5642E+01,8.4575E-01,7.6488E+01,7.178E+01,2.676E-01
4.953664E+00,9.15253E+00,1.3861E-01,6.1977E+01,8.0161E-01,6.2779E+01,5.881E+01,2.503E-01
5.295467E+00,9.13905E+00,1.2141E-01,5.0782E+01,7.5910E-01,5.1541E+01,4.818E+01,2.341E-01
5.660855E+00,9.12654E+00,1.0634E-01,4.1609E+01,7.1832E-01,4.2327E+01,3.948E+01,2.190E-01
6.051453E+00,9.11500E+00,9.3147E-02,3.4093E+01,6.7934E-01,3.4772E+01,3.234E+01,2.049E-01
6.469004E+00,9.10438E+00,8.1590E-02,2.7936E+01,6.4223E-01,2.8578E+01,2.650E+01,1.917E-01
6.915365E+00,9.09464E+00,7.1467E-02,2.2890E+01,6.0701E-01,2.3497E+01,2.171E+01,1.793E-01
7.392525E+00,9.08575E+00,6.2601E-02,1.8757E+01,5.7371E-01,1.9331E+01,1.779E+01,1.677E-01
7.902609E+00,9.07766E+00,5.4836E-02,1.5369E+01,5.4232E-01,1.5911E+01,1.457E+01,1.569E-01
8.447890E+00,9.07041E+00,4.8034E-02,1.2594E+01,5.1282E-01,1.3107E+01,1.194E+01,1.468E-01
9.030794E+00,9.06412E+00,4.1998E-02,1.0301E+01,4.8518E-01,1.0786E+01,9.765E+00,1.373E-01
9.653919E+00,9.05787E+00,3.6478E-02,8.3693E+00,4.5936E-01,8.8287E+00,7.934E+00,1.284E-01
2.011215E+01,9.01739E+00,7.5172E-03,8.2787E-01,2.7453E-01,1.1024E+00,7.838E-01,6.165E-02
