E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.59787E+01,3.7984E+00,1.3755E+03,4.0017E+00,1.3795E+03,0.000E+00,5.959E-01
2.224304E+00,2.59575E+01,3.4173E+00,1.1576E+03,3.9259E+00,1.1615E+03,0.000E+00,5.574E-01
2.377781E+00,2.59217E+01,3.0760E+00,9.7476E+02,3.8409E+00,9.7860E+02,0.000E+00,5.214E-01
2.541848E+00,2.58778E+01,2.7704E+00,8.2125E+02,3.7476E+00,8.2500E+02,0.000E+00,4.878E-01
2.717235E+00,2.58293E+01,2.4969E+00,6.9239E+02,3.6468E+00,6.9604E+02,0.000E+00,4.563E-01
2.904724E+00,2.57812E+01,2.2482E+00,5.8320E+02,3.5395E+00,5.8674E+02,0.000E+00,4.268E-01
3.105150E+00,2.57281E+01,2.0033E+00,4.8611E+02,3.4266E+00,4.8954E+02,0.000E+00,3.993E-01
3.319406E+00,2.56539E+01,1.7751E+00,4.0295E+02,3.3088E+00,4.0626E+02,0.000E+00,3.735E-01
3.548445E+00,2.55677E+01,1.5695E+00,3.3327E+02,3.1872E+00,3.3646E+02,0.000E+00,3.494E-01
3.793288E+00,2.54704E+01,1.3870E+00,2.7551E+02,3.0626E+00,2.7857E+02,0.000E+00,3.269E-01
4.055024E+00,2.53646E+01,1.2269E+00,2.2798E+02,2.9359E+00,2.3092E+02,0.000E+00,3.058E-01
4.334821E+00,2.52504E+01,1.0864E+00,1.8883E+02,2.8079E+00,1.9164E+02,0.000E+00,2.860E-01
4.633924E+00,2.51258E+01,9.6283E-01,1.5656E+02,2.6794E+00,1.5924E+02,0.000E+00,2.676E-01
4.953664E+00,2.49864E+01,8.5419E-01,1.2993E+02,2.5511E+00,1.3248E+02,0.000E+00,2.503E-01
5.295467E+00,2.48241E+01,7.5854E-01,1.0793E+02,2.4237E+00,1.1035E+02,0.000E+00,2.341E-01
5.660855E+00,2.46232E+01,6.7426E-01,8.9748E+01,2.2979E+00,9.2046E+01,0.000E+00,2.190E-01
6.051453E+00,2.43495E+01,5.9992E-01,7.4699E+01,2.1743E+00,7.6873E+01,0.000E+00,2.049E-01
6.469004E+00,2.39082E+01,5.3430E-01,6.2234E+01,2.0532E+00,6.4287E+01,0.000E+00,1.917E-01
6.915365E+00,2.27890E+01,4.7631E-01,5.1899E+01,1.9353E+00,5.3834E+01,0.000E+00,1.793E-01
6.969760E+00,2.24649E+01,4.6996E-01,5.0807E+01,1.9217E+00,5.2729E+01,0.000E+00,1.779E-01
7.076440E+00,2.10168E+01,4.5790E-01,4.8757E+01,1.8954E+00,5.0652E+01,0.000E+00,1.752E-01
7.104888E+00,1.92682E+01,4.5477E-01,4.8230E+01,1.8885E+00,5.0118E+01,0.000E+00,1.745E-01
7.147560E+00,2.10548E+01,3.8992E+00,4.1105E+02,1.8782E+00,4.1293E+02,3.636E+02,1.735E-01
7.254240E+00,2.26714E+01,3.7877E+00,3.9342E+02,1.8529E+00,3.9527E+02,3.478E+02,1.709E-01
7.392525E+00,2.34808E+01,3.6502E+00,3.7205E+02,1.8209E+00,3.7387E+02,3.287E+02,1.677E-01
7.902609E+00,2.46830E+01,3.2650E+00,3.1131E+02,1.7103E+00,3.1302E+02,2.751E+02,1.569E-01
8.447890E+00,2.52655E+01,2.9475E+00,2.6289E+02,1.6038E+00,2.6449E+02,2.326E+02,1.468E-01
9.030794E+00,2.56451E+01,2.6546E+00,2.2149E+02,1.5016E+00,2.2299E+02,1.962E+02,1.373E-01
9.653919E+00,2.58973E+01,2.3704E+00,1.8501E+02,1.4040E+00,1.8641E+02,1.642E+02,1.284E-01
2.011215E+01,2.63778E+01,6.4572E-01,2.4191E+01,6.3231E-01,2.4823E+01,2.171E+01,6.165E-02
2.149988E+01,2.63587E+01,5.7102E-01,2.0012E+01,5.8734E-01,2.0599E+01,1.797E+01,5.767E-02
2.298338E+01,2.63387E+01,5.0500E-01,1.6556E+01,5.4588E-01,1.7102E+01,1.487E+01,5.395E-02
2.456923E+01,2.63183E+01,4.4663E-01,1.3697E+01,5.0773E-01,1.4205E+01,1.231E+01,5.046E-02
2.626450E+01,2.62983E+01,3.9503E-01,1.1333E+01,4.7270E-01,1.1806E+01,1.019E+01,4.721E-02
2.807676E+01,2.62809E+01,3.4777E-01,9.3330E+00,4.4058E-01,9.7736E+00,8.397E+00,4.416E-02
3.001405E+01,2.62618E+01,3.0571E-01,7.6746E+00,4.1120E-01,8.0858E+00,6.911E+00,4.131E-02
3.208502E+01,2.62430E+01,2.6786E-01,6.2905E+00,3.8435E-01,6.6748E+00,5.667E+00,3.864E-02
3.429889E+01,2.62243E+01,2.3420E-01,5.1450E+00,3.5985E-01,5.5048E+00,4.636E+00,3.615E-02
3.666551E+01,2.62062E+01,2.0478E-01,4.2083E+00,3.3752E-01,4.5458E+00,3.793E+00,3.381E-02
3.919543E+01,2.61889E+01,1.7906E-01,3.4423E+00,3.1719E-01,3.7595E+00,3.102E+00,3.163E-02
4.189992E+01,2.61725E+01,1.5658E-01,2.8158E+00,2.9870E-01,3.1145E+00,2.538E+00,2.959E-02
4.479101E+01,2.61573E+01,1.3691E-01,2.3032E+00,2.8189E-01,2.5851E+00,2.076E+00,2.768E-02
4.788159E+01,2.61431E+01,1.1972E-01,1.8840E+00,2.6661E-01,2.1506E+00,1.698E+00,2.589E-02
5.118542E+01,2.61300E+01,1.0469E-01,1.5411E+00,2.5271E-01,1.7938E+00,1.389E+00,2.422E-02
5.471721E+01,2.61179E+01,9.1550E-02,1.2607E+00,2.4008E-01,1.5008E+00,1.137E+00,2.266E-02
5.849270E+01,2.61068E+01,8.0062E-02,1.0313E+00,2.2859E-01,1.2599E+00,9.298E-01,2.120E-02
6.252870E+01,2.60966E+01,7.0017E-02,8.4372E-01,2.1812E-01,1.0618E+00,7.606E-01,1.983E-02
6.684318E+01,2.60873E+01,6.1234E-02,6.9026E-01,2.0857E-01,8.9883E-01,6.222E-01,1.855E-02
7.145536E+01,2.60789E+01,5.3554E-02,5.6472E-01,1.9985E-01,7.6457E-01,5.090E-01,1.735E-02
7.638578E+01,2.60712E+01,4.6838E-02,4.6203E-01,1.9186E-01,6.5389E-01,4.164E-01,1.623E-02
