E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.36394E+01,2.3966E+01,3.2010E+03,8.9486E+00,3.2099E+03,0.000E-01,6.188E-01
2.0135813E+00,5.37909E+01,2.3821E+01,3.1657E+03,8.9440E+00,3.1746E+03,0.000E-01,6.157E-01
2.0236492E+00,5.39373E+01,2.3673E+01,3.1305E+03,8.9393E+00,3.1394E+03,0.000E-01,6.127E-01
2.0337675E+00,5.40792E+01,2.3527E+01,3.0957E+03,8.9344E+00,3.1046E+03,0.000E-01,6.096E-01
2.0439363E+00,5.42170E+01,2.3382E+01,3.0613E+03,8.9294E+00,3.0702E+03,0.000E-01,6.066E-01
2.0541560E+00,5.43512E+01,2.3238E+01,3.0273E+03,8.9243E+00,3.0362E+03,0.000E-01,6.036E-01
2.0644268E+00,5.44819E+01,2.3095E+01,2.9937E+03,8.9190E+00,3.0026E+03,0.000E-01,6.006E-01
2.0747489E+00,5.46095E+01,2.2953E+01,2.9605E+03,8.9136E+00,2.9694E+03,0.000E-01,5.976E-01
2.0851227E+00,5.47342E+01,2.2812E+01,2.9277E+03,8.9081E+00,2.9366E+03,0.000E-01,5.946E-01
2.0955483E+00,5.48562E+01,2.2672E+01,2.8953E+03,8.9024E+00,2.9042E+03,0.000E-01,5.917E-01
2.1060260E+00,5.49756E+01,2.2533E+01,2.8632E+03,8.8966E+00,2.8721E+03,0.000E-01,5.887E-01
2.1165562E+00,5.50926E+01,2.2395E+01,2.8315E+03,8.8907E+00,2.8404E+03,0.000E-01,5.858E-01
2.1271389E+00,5.52073E+01,2.2258E+01,2.8002E+03,8.8846E+00,2.8090E+03,0.000E-01,5.829E-01
2.1377746E+00,5.53199E+01,2.2122E+01,2.7692E+03,8.8784E+00,2.7780E+03,0.000E-01,5.800E-01
2.1484635E+00,5.54305E+01,2.1987E+01,2.7385E+03,8.8721E+00,2.7474E+03,0.000E-01,5.771E-01
2.1592058E+00,5.55393E+01,2.1852E+01,2.7082E+03,8.8656E+00,2.7171E+03,0.000E-01,5.742E-01
2.1700018E+00,5.56464E+01,2.1718E+01,2.6783E+03,8.8590E+00,2.6871E+03,0.000E-01,5.714E-01
2.1808519E+00,5.57519E+01,2.1586E+01,2.6487E+03,8.8522E+00,2.6575E+03,0.000E-01,5.685E-01
2.1917561E+00,5.58560E+01,2.1454E+01,2.6194E+03,8.8454E+00,2.6282E+03,0.000E-01,5.657E-01
2.2027149E+00,5.59585E+01,2.1320E+01,2.5901E+03,8.8384E+00,2.5989E+03,0.000E-01,5.629E-01
2.2137285E+00,5.60586E+01,2.1186E+01,2.5610E+03,8.8312E+00,2.5698E+03,0.000E-01,5.601E-01
2.2247971E+00,5.61566E+01,2.1052E+01,2.5322E+03,8.8240E+00,2.5410E+03,0.000E-01,5.573E-01
2.2359211E+00,5.62525E+01,2.0920E+01,2.5038E+03,8.8166E+00,2.5126E+03,0.000E-01,5.545E-01
2.2471007E+00,5.63466E+01,2.0788E+01,2.4756E+03,8.8091E+00,2.4844E+03,0.000E-01,5.518E-01
2.2583362E+00,5.64389E+01,2.0657E+01,2.4478E+03,8.8014E+00,2.4566E+03,0.000E-01,5.490E-01
2.2696279E+00,5.65294E+01,2.0527E+01,2.4203E+03,8.7937E+00,2.4291E+03,0.000E-01,5.463E-01
2.2809760E+00,5.66183E+01,2.0398E+01,2.3930E+03,8.7858E+00,2.4018E+03,0.000E-01,5.436E-01
2.2923809E+00,5.67056E+01,2.0269E+01,2.3661E+03,8.7777E+00,2.3749E+03,0.000E-01,5.409E-01
2.3038428E+00,5.67914E+01,2.0141E+01,2.3395E+03,8.7696E+00,2.3483E+03,0.000E-01,5.382E-01
2.3153620E+00,5.68757E+01,2.0014E+01,2.3132E+03,8.7613E+00,2.3219E+03,0.000E-01,5.355E-01
2.3269388E+00,5.69586E+01,1.9888E+01,2.2871E+03,8.7529E+00,2.2959E+03,0.000E-01,5.328E-01
2.3385735E+00,5.70402E+01,1.9762E+01,2.2614E+03,8.7443E+00,2.2701E+03,0.000E-01,5.302E-01
2.3502664E+00,5.71205E+01,1.9637E+01,2.2359E+03,8.7357E+00,2.2446E+03,0.000E-01,5.275E-01
2.3620177E+00,5.71996E+01,1.9513E+01,2.2107E+03,8.7269E+00,2.2195E+03,0.000E-01,5.249E-01
2.3738278E+00,5.74955E+01,1.9389E+01,2.1857E+03,8.7180E+00,2.1944E+03,0.000E-01,5.223E-01
2.3856970E+00,5.75721E+01,1.9261E+01,2.1605E+03,8.7089E+00,2.1692E+03,0.000E-01,5.197E-01
2.3976254E+00,5.76471E+01,1.9134E+01,2.1356E+03,8.6998E+00,2.1443E+03,0.000E-01,5.171E-01
2.4096136E+00,5.77206E+01,1.9009E+01,2.1110E+03,8.6905E+00,2.1197E+03,0.000E-01,5.145E-01
2.4216616E+00,5.77926E+01,1.8884E+01,2.0867E+03,8.6811E+00,2.0954E+03,0.000E-01,5.120E-01
2.4337699E+00,5.78632E+01,1.8759E+01,2.0627E+03,8.6716E+00,2.0713E+03,0.000E-01,5.094E-01
2.4459388E+00,5.80807E+01,1.8633E+01,2.0386E+03,8.6620E+00,2.0472E+03,0.000E-01,5.069E-01
2.4581685E+00,5.81483E+01,1.8507E+01,2.0147E+03,8.6522E+00,2.0233E+03,0.000E-01,5.044E-01
2.4704593E+00,5.82142E+01,1.8381E+01,1.9910E+03,8.6423E+00,1.9997E+03,0.000E-01,5.019E-01
2.4828116E+00,5.82783E+01,1.8256E+01,1.9677E+03,8.6323E+00,1.9763E+03,0.000E-01,4.994E-01
2.4952257E+00,5.83409E+01,1.8132E+01,1.9446E+03,8.6222E+00,1.9532E+03,0.000E-01,4.969E-01
2.5077018E+00,5.84020E+01,1.8009E+01,1.9218E+03,8.6120E+00,1.9304E+03,0.000E-01,4.944E-01
2.5202403E+00,5.84617E+01,1.7887E+01,1.8993E+03,8.6016E+00,1.9079E+03,0.000E-01,4.920E-01
2.5328415E+00,5.85199E+01,1.7766E+01,1.8770E+03,8.5911E+00,1.8856E+03,0.000E-01,4.895E-01
2.5455057E+00,5.85768E+01,1.7645E+01,1.8550E+03,8.5805E+00,1.8636E+03,0.000E-01,4.871E-01
2.5582333E+00,5.86324E+01,1.7525E+01,1.8332E+03,8.5698E+00,1.8418E+03,0.000E-01,4.846E-01
2.5710244E+00,5.86868E+01,1.7407E+01,1.8117E+03,8.5590E+00,1.8203E+03,0.000E-01,4.822E-01
2.5838796E+00,5.87400E+01,1.7289E+01,1.7905E+03,8.5481E+00,1.7991E+03,0.000E-01,4.798E-01
2.5967990E+00,5.87920E+01,1.7172E+01,1.7695E+03,8.5370E+00,1.7781E+03,0.000E-01,4.775E-01
2.6097829E+00,5.88429E+01,1.7055E+01,1.7488E+03,8.5259E+00,1.7573E+03,0.000E-01,4.751E-01
2.6228319E+00,5.88927E+01,1.6940E+01,1.7283E+03,8.5146E+00,1.7369E+03,0.000E-01,4.727E-01
2.6359460E+00,5.89415E+01,1.6825E+01,1.7081E+03,8.5032E+00,1.7166E+03,0.000E-01,4.704E-01
2.6491257E+00,5.89893E+01,1.6709E+01,1.6879E+03,8.4917E+00,1.6964E+03,0.000E-01,4.680E-01
2.6623714E+00,5.90360E+01,1.6594E+01,1.6679E+03,8.4801E+00,1.6763E+03,0.000E-01,4.657E-01
2.6756832E+00,5.90817E+01,1.6479E+01,1.6481E+03,8.4684E+00,1.6565E+03,0.000E-01,4.634E-01
2.6890617E+00,5.91263E+01,1.6365E+01,1.6285E+03,8.4565E+00,1.6370E+03,0.000E-01,4.611E-01
2.7025070E+00,5.91700E+01,1.6252E+01,1.6092E+03,8.4446E+00,1.6177E+03,0.000E-01,4.588E-01
2.7160195E+00,5.92127E+01,1.6140E+01,1.5902E+03,8.4325E+00,1.5986E+03,0.000E-01,4.565E-01
2.7295996E+00,5.92546E+01,1.6028E+01,1.5714E+03,8.4204E+00,1.5798E+03,0.000E-01,4.542E-01
2.7432476E+00,5.92955E+01,1.5918E+01,1.5528E+03,8.4081E+00,1.5612E+03,0.000E-01,4.520E-01
