E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,5.29608E+01,2.7169E+01,3.4597E+03,9.5441E+00,3.4693E+03,0.000E-01,6.188E-01
2.0135813E+00,5.31570E+01,2.6970E+01,3.4173E+03,9.5397E+00,3.4268E+03,0.000E-01,6.157E-01
2.0236492E+00,5.33351E+01,2.6780E+01,3.3764E+03,9.5351E+00,3.3859E+03,0.000E-01,6.127E-01
2.0337675E+00,5.35019E+01,2.6597E+01,3.3367E+03,9.5304E+00,3.3462E+03,0.000E-01,6.096E-01
2.0439363E+00,5.36573E+01,2.6417E+01,3.2976E+03,9.5255E+00,3.3071E+03,0.000E-01,6.066E-01
2.0541560E+00,5.38004E+01,2.6240E+01,3.2592E+03,9.5205E+00,3.2687E+03,0.000E-01,6.036E-01
2.0644268E+00,5.39300E+01,2.6065E+01,3.2213E+03,9.5153E+00,3.2308E+03,0.000E-01,6.006E-01
2.0747489E+00,5.40439E+01,2.5892E+01,3.1840E+03,9.5100E+00,3.1935E+03,0.000E-01,5.976E-01
2.0851227E+00,5.41380E+01,2.5721E+01,3.1473E+03,9.5046E+00,3.1568E+03,0.000E-01,5.946E-01
2.0955483E+00,5.42047E+01,2.5552E+01,3.1111E+03,9.4990E+00,3.1206E+03,0.000E-01,5.917E-01
2.1060260E+00,5.42263E+01,2.5386E+01,3.0754E+03,9.4933E+00,3.0849E+03,0.000E-01,5.887E-01
2.1165562E+00,5.41485E+01,2.5221E+01,3.0402E+03,9.4874E+00,3.0497E+03,0.000E-01,5.858E-01
2.1244052E+00,5.38523E+01,2.5100E+01,3.0145E+03,9.4829E+00,3.0240E+03,0.000E-01,5.836E-01
2.1271389E+00,5.34378E+01,2.5058E+01,3.0056E+03,9.4813E+00,3.0151E+03,0.000E-01,5.829E-01
2.1321947E+00,5.39589E+01,2.6163E+01,3.1307E+03,9.4784E+00,3.1402E+03,0.000E-01,5.815E-01
2.1377746E+00,5.43759E+01,2.6076E+01,3.1122E+03,9.4752E+00,3.1217E+03,0.000E-01,5.800E-01
2.1484635E+00,5.48132E+01,2.5912E+01,3.0772E+03,9.4689E+00,3.0866E+03,0.000E-01,5.771E-01
2.1592058E+00,5.51226E+01,2.5749E+01,3.0426E+03,9.4624E+00,3.0521E+03,0.000E-01,5.742E-01
2.1700018E+00,5.53804E+01,2.5588E+01,3.0086E+03,9.4558E+00,3.0180E+03,0.000E-01,5.714E-01
2.1808519E+00,5.56091E+01,2.5429E+01,2.9749E+03,9.4491E+00,2.9844E+03,0.000E-01,5.685E-01
2.1917561E+00,5.58188E+01,2.5271E+01,2.9417E+03,9.4422E+00,2.9512E+03,0.000E-01,5.657E-01
2.2027149E+00,5.60145E+01,2.5114E+01,2.9090E+03,9.4352E+00,2.9184E+03,0.000E-01,5.629E-01
2.2137285E+00,5.61996E+01,2.4959E+01,2.8766E+03,9.4280E+00,2.8860E+03,0.000E-01,5.601E-01
2.2247971E+00,5.63761E+01,2.4805E+01,2.8447E+03,9.4207E+00,2.8541E+03,0.000E-01,5.573E-01
2.2359211E+00,5.65451E+01,2.4653E+01,2.8132E+03,9.4133E+00,2.8226E+03,0.000E-01,5.545E-01
2.2471007E+00,5.67088E+01,2.4504E+01,2.7822E+03,9.4057E+00,2.7916E+03,0.000E-01,5.518E-01
2.2583362E+00,5.68683E+01,2.4356E+01,2.7516E+03,9.3980E+00,2.7610E+03,0.000E-01,5.490E-01
2.2696279E+00,5.70237E+01,2.4205E+01,2.7210E+03,9.3901E+00,2.7304E+03,0.000E-01,5.463E-01
2.2809760E+00,5.71737E+01,2.4053E+01,2.6904E+03,9.3821E+00,2.6998E+03,0.000E-01,5.436E-01
2.2923809E+00,5.73191E+01,2.3901E+01,2.6602E+03,9.3740E+00,2.6696E+03,0.000E-01,5.409E-01
2.3038428E+00,5.74601E+01,2.3751E+01,2.6304E+03,9.3657E+00,2.6397E+03,0.000E-01,5.382E-01
2.3153620E+00,5.75972E+01,2.3602E+01,2.6008E+03,9.3573E+00,2.6102E+03,0.000E-01,5.355E-01
2.3269388E+00,5.77308E+01,2.3454E+01,2.5717E+03,9.3488E+00,2.5810E+03,0.000E-01,5.328E-01
2.3385735E+00,5.78610E+01,2.3308E+01,2.5429E+03,9.3401E+00,2.5522E+03,0.000E-01,5.302E-01
2.3502664E+00,5.79882E+01,2.3162E+01,2.5144E+03,9.3313E+00,2.5237E+03,0.000E-01,5.275E-01
2.3620177E+00,5.81124E+01,2.3017E+01,2.4862E+03,9.3224E+00,2.4956E+03,0.000E-01,5.249E-01
2.3738278E+00,5.82340E+01,2.2873E+01,2.4584E+03,9.3133E+00,2.4677E+03,0.000E-01,5.223E-01
2.3856970E+00,5.83530E+01,2.2730E+01,2.4309E+03,9.3041E+00,2.4402E+03,0.000E-01,5.197E-01
2.3976254E+00,5.84696E+01,2.2589E+01,2.4037E+03,9.2948E+00,2.4130E+03,0.000E-01,5.171E-01
2.4096136E+00,5.85839E+01,2.2448E+01,2.3769E+03,9.2853E+00,2.3861E+03,0.000E-01,5.145E-01
2.4216616E+00,5.86960E+01,2.2308E+01,2.3503E+03,9.2757E+00,2.3596E+03,0.000E-01,5.120E-01
2.4337699E+00,5.88061E+01,2.2169E+01,2.3240E+03,9.2660E+00,2.3333E+03,0.000E-01,5.094E-01
2.4459388E+00,5.89142E+01,2.2030E+01,2.2980E+03,9.2561E+00,2.3073E+03,0.000E-01,5.069E-01
2.4581685E+00,5.90205E+01,2.1893E+01,2.2723E+03,9.2461E+00,2.2816E+03,0.000E-01,5.044E-01
2.4704593E+00,5.91251E+01,2.1757E+01,2.2469E+03,9.2360E+00,2.2562E+03,0.000E-01,5.019E-01
2.4828116E+00,5.92282E+01,2.1621E+01,2.2218E+03,9.2258E+00,2.2310E+03,0.000E-01,4.994E-01
2.4952257E+00,5.93298E+01,2.1486E+01,2.1970E+03,9.2154E+00,2.2062E+03,0.000E-01,4.969E-01
2.5077018E+00,5.94298E+01,2.1350E+01,2.1722E+03,9.2049E+00,2.1814E+03,0.000E-01,4.944E-01
2.5202403E+00,5.95276E+01,2.1214E+01,2.1476E+03,9.1942E+00,2.1568E+03,0.000E-01,4.920E-01
2.5328415E+00,5.96233E+01,2.1078E+01,2.1233E+03,9.1835E+00,2.1325E+03,0.000E-01,4.895E-01
2.5455057E+00,5.97171E+01,2.0944E+01,2.0992E+03,9.1726E+00,2.1084E+03,0.000E-01,4.871E-01
2.5582333E+00,5.98091E+01,2.0810E+01,2.0754E+03,9.1616E+00,2.0846E+03,0.000E-01,4.846E-01
2.5710244E+00,5.98993E+01,2.0677E+01,2.0519E+03,9.1505E+00,2.0611E+03,0.000E-01,4.822E-01
2.5838796E+00,5.99879E+01,2.0545E+01,2.0287E+03,9.1392E+00,2.0378E+03,0.000E-01,4.798E-01
2.5967990E+00,6.00748E+01,2.0414E+01,2.0057E+03,9.1278E+00,2.0148E+03,0.000E-01,4.775E-01
2.6097829E+00,6.01603E+01,2.0283E+01,1.9829E+03,9.1163E+00,1.9920E+03,0.000E-01,4.751E-01
