E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.84890E+01,1.0626E+01,1.6933E+03,7.4674E+00,1.7008E+03,0.000E+00,5.959E-01
2.224304E+00,4.85412E+01,9.7173E+00,1.4486E+03,7.3912E+00,1.4560E+03,0.000E+00,5.574E-01
2.377781E+00,4.85293E+01,8.8857E+00,1.2391E+03,7.2948E+00,1.2464E+03,0.000E+00,5.214E-01
2.541848E+00,4.84780E+01,8.1102E+00,1.0580E+03,7.1792E+00,1.0652E+03,0.000E+00,4.878E-01
2.717235E+00,4.83604E+01,7.3706E+00,8.9945E+02,7.0457E+00,9.0650E+02,0.000E+00,4.563E-01
2.904724E+00,4.82078E+01,6.7093E+00,7.6590E+02,6.8956E+00,7.7280E+02,0.000E+00,4.268E-01
3.105150E+00,4.80650E+01,6.0553E+00,6.4662E+02,6.7303E+00,6.5335E+02,0.000E+00,3.993E-01
3.319406E+00,4.76838E+01,5.4240E+00,5.4183E+02,6.5512E+00,5.4838E+02,0.000E+00,3.735E-01
3.548445E+00,4.71716E+01,4.8629E+00,4.5443E+02,6.3600E+00,4.6079E+02,0.000E+00,3.494E-01
3.793288E+00,4.64591E+01,4.3446E+00,3.7979E+02,6.1583E+00,3.8595E+02,0.000E+00,3.269E-01
4.055024E+00,4.53714E+01,3.8793E+00,3.1722E+02,5.9476E+00,3.2317E+02,0.000E+00,3.058E-01
4.334821E+00,4.32826E+01,3.4694E+00,2.6539E+02,5.7295E+00,2.7112E+02,0.000E+00,2.860E-01
4.465958E+00,4.10615E+01,3.3023E+00,2.4519E+02,5.6302E+00,2.5082E+02,0.000E+00,2.776E-01
4.534314E+00,3.77027E+01,3.2206E+00,2.3552E+02,5.5791E+00,2.4110E+02,0.000E+00,2.734E-01
4.552543E+00,3.38351E+01,3.1994E+00,2.3303E+02,5.5656E+00,2.3860E+02,0.000E+00,2.723E-01
4.579885E+00,3.76379E+01,1.0667E+01,7.7232E+02,5.5454E+00,7.7787E+02,0.000E+00,2.707E-01
4.633924E+00,4.04735E+01,1.0391E+01,7.4358E+02,5.5057E+00,7.4909E+02,0.000E+00,2.676E-01
4.648242E+00,4.08360E+01,1.0320E+01,7.3621E+02,5.4952E+00,7.4171E+02,0.000E+00,2.667E-01
4.755058E+00,4.19574E+01,9.8092E+00,6.8404E+02,5.4179E+00,6.8946E+02,0.000E+00,2.607E-01
4.827839E+00,4.10845E+01,9.5109E+00,6.5324E+02,5.3660E+00,6.5861E+02,0.000E+00,2.568E-01
4.847248E+00,3.93389E+01,9.4389E+00,6.4570E+02,5.3522E+00,6.5105E+02,0.000E+00,2.558E-01
4.876360E+00,4.14727E+01,1.3062E+01,8.8821E+02,5.3317E+00,8.9354E+02,0.000E+00,2.543E-01
4.953664E+00,4.36693E+01,1.2660E+01,8.4742E+02,5.2776E+00,8.5270E+02,0.000E+00,2.503E-01
5.084338E+00,4.49619E+01,1.2036E+01,7.8494E+02,5.1878E+00,7.9013E+02,0.000E+00,2.439E-01
5.162159E+00,4.48502E+01,1.1713E+01,7.5239E+02,5.1352E+00,7.5753E+02,0.000E+00,2.402E-01
5.182912E+00,4.40786E+01,1.1631E+01,7.4414E+02,5.1213E+00,7.4926E+02,0.000E+00,2.392E-01
5.214040E+00,4.52183E+01,1.3332E+01,8.4783E+02,5.1005E+00,8.5293E+02,0.000E+00,2.378E-01
5.295467E+00,4.65711E+01,1.3013E+01,8.1485E+02,5.0467E+00,8.1990E+02,0.000E+00,2.341E-01
5.660855E+00,4.90314E+01,1.1779E+01,6.8997E+02,4.8145E+00,6.9478E+02,0.000E+00,2.190E-01
6.051453E+00,5.04303E+01,1.0679E+01,5.8514E+02,4.5823E+00,5.8972E+02,0.000E+00,2.049E-01
6.469004E+00,5.13802E+01,9.6346E+00,4.9385E+02,4.3513E+00,4.9820E+02,0.000E+00,1.917E-01
6.915365E+00,5.20355E+01,8.6656E+00,4.1552E+02,4.1228E+00,4.1964E+02,0.000E+00,1.793E-01
7.392525E+00,5.24876E+01,7.7844E+00,3.4917E+02,3.8977E+00,3.5307E+02,0.000E+00,1.677E-01
7.902609E+00,5.27994E+01,6.9929E+00,2.9342E+02,3.6769E+00,2.9710E+02,0.000E+00,1.569E-01
8.447890E+00,5.30150E+01,6.2859E+00,2.4673E+02,3.4615E+00,2.5019E+02,0.000E+00,1.468E-01
9.030794E+00,5.31826E+01,5.6458E+00,2.0730E+02,3.2521E+00,2.1055E+02,0.000E+00,1.373E-01
9.653919E+00,5.33587E+01,5.0279E+00,1.7270E+02,3.0493E+00,1.7575E+02,0.000E+00,1.284E-01
2.011215E+01,5.26473E+01,1.3991E+00,2.3067E+01,1.3444E+00,2.4411E+01,0.000E+00,6.165E-02
2.149988E+01,5.25289E+01,1.2463E+00,1.9222E+01,1.2382E+00,2.0460E+01,0.000E+00,5.767E-02
2.298338E+01,5.23987E+01,1.1086E+00,1.5995E+01,1.1395E+00,1.7134E+01,0.000E+00,5.395E-02
2.456923E+01,5.22486E+01,9.8355E-01,1.3274E+01,1.0478E+00,1.4322E+01,0.000E+00,5.046E-02
2.626450E+01,5.20687E+01,8.7336E-01,1.1026E+01,9.6303E-01,1.1989E+01,0.000E+00,4.721E-02
2.807676E+01,5.18330E+01,7.6881E-01,9.0797E+00,8.8470E-01,9.9644E+00,0.000E+00,4.416E-02
3.001405E+01,5.14549E+01,6.7523E-01,7.4598E+00,8.1252E-01,8.2723E+00,0.000E+00,4.131E-02
3.208502E+01,5.05798E+01,5.9354E-01,6.1340E+00,7.4616E-01,6.8802E+00,0.000E+00,3.864E-02
3.250601E+01,5.01580E+01,5.7883E-01,5.9045E+00,7.3384E-01,6.6383E+00,0.000E+00,3.814E-02
3.300355E+01,4.89195E+01,5.6217E-01,5.6482E+00,7.1975E-01,6.3680E+00,0.000E+00,3.757E-02
3.313623E+01,4.74332E+01,5.5785E-01,5.5824E+00,7.1607E-01,6.2985E+00,0.000E+00,3.742E-02
3.333525E+01,4.89383E+01,3.4787E+00,3.4603E+01,7.1062E-01,3.5314E+01,2.912E+01,3.719E-02
3.383279E+01,5.02993E+01,3.3951E+00,3.3275E+01,6.9732E-01,3.3972E+01,2.802E+01,3.665E-02
3.429889E+01,5.08358E+01,3.3198E+00,3.2095E+01,6.8526E-01,3.2780E+01,2.705E+01,3.615E-02
3.666551E+01,5.19788E+01,2.9745E+00,2.6900E+01,6.2949E-01,2.7529E+01,2.274E+01,3.381E-02
3.919543E+01,5.24920E+01,2.6643E+00,2.2540E+01,5.7850E-01,2.3118E+01,1.911E+01,3.163E-02
4.189992E+01,5.28009E+01,2.3861E+00,1.8883E+01,5.3198E-01,1.9415E+01,1.606E+01,2.959E-02
4.479101E+01,5.30062E+01,2.1326E+00,1.5787E+01,4.8959E-01,1.6277E+01,1.345E+01,2.768E-02
