E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,3.60335E+01,8.3477E+00,9.1351E+02,1.0988E+01,9.2449E+02,0.000E-01,6.198E-01
2.0104868E+00,3.42637E+01,8.3014E+00,9.0392E+02,1.0985E+01,9.1491E+02,0.000E-01,6.167E-01
2.0205393E+00,3.18011E+01,8.2555E+00,8.9445E+02,1.0981E+01,9.0543E+02,0.000E-01,6.136E-01
2.0306420E+00,2.76452E+01,8.2099E+00,8.8509E+02,1.0977E+01,8.9607E+02,0.000E-01,6.106E-01
2.0399144E+00,1.07769E+01,8.1686E+00,8.7663E+02,1.0973E+01,8.8760E+02,0.000E-01,6.078E-01
2.0407952E+00,9.32243E+00,2.5629E+01,2.7492E+03,1.0973E+01,2.7602E+03,0.000E-01,6.075E-01
2.0408856E+00,1.04675E+01,2.5627E+01,2.7489E+03,1.0973E+01,2.7599E+03,0.000E-01,6.075E-01
2.0509992E+00,2.73377E+01,2.5448E+01,2.7162E+03,1.0969E+01,2.7272E+03,0.000E-01,6.045E-01
2.0612542E+00,3.06781E+01,2.5268E+01,2.6836E+03,1.0964E+01,2.6946E+03,0.000E-01,6.015E-01
2.0715604E+00,3.23347E+01,2.5090E+01,2.6514E+03,1.0959E+01,2.6624E+03,0.000E-01,5.985E-01
2.0819182E+00,3.31343E+01,2.4913E+01,2.6196E+03,1.0955E+01,2.6306E+03,0.000E-01,5.955E-01
2.0923278E+00,3.32153E+01,2.4737E+01,2.5882E+03,1.0950E+01,2.5991E+03,0.000E-01,5.926E-01
2.1027895E+00,3.22773E+01,2.4563E+01,2.5572E+03,1.0944E+01,2.5681E+03,0.000E-01,5.896E-01
2.1133034E+00,2.75966E+01,2.4390E+01,2.5265E+03,1.0939E+01,2.5375E+03,0.000E-01,5.867E-01
2.1153256E+00,2.30704E+01,2.4357E+01,2.5207E+03,1.0938E+01,2.5316E+03,0.000E-01,5.861E-01
2.1168746E+00,2.30261E+01,3.5877E+01,3.7102E+03,1.0937E+01,3.7211E+03,0.000E-01,5.857E-01
2.1238699E+00,3.21225E+01,3.5705E+01,3.6803E+03,1.0934E+01,3.6913E+03,0.000E-01,5.838E-01
2.1344893E+00,3.61133E+01,3.5448E+01,3.6356E+03,1.0928E+01,3.6466E+03,0.000E-01,5.809E-01
2.1451617E+00,3.85261E+01,3.5193E+01,3.5915E+03,1.0922E+01,3.6024E+03,0.000E-01,5.780E-01
2.1558875E+00,4.03384E+01,3.4939E+01,3.5479E+03,1.0916E+01,3.5588E+03,0.000E-01,5.751E-01
2.1666670E+00,4.18173E+01,3.4688E+01,3.5048E+03,1.0910E+01,3.5157E+03,0.000E-01,5.722E-01
2.1775003E+00,4.30778E+01,3.4438E+01,3.4623E+03,1.0904E+01,3.4732E+03,0.000E-01,5.694E-01
2.1883878E+00,4.41813E+01,3.4191E+01,3.4203E+03,1.0897E+01,3.4312E+03,0.000E-01,5.666E-01
2.1993297E+00,4.51648E+01,3.3945E+01,3.3788E+03,1.0891E+01,3.3897E+03,0.000E-01,5.637E-01
2.2103264E+00,4.60525E+01,3.3701E+01,3.3379E+03,1.0884E+01,3.3488E+03,0.000E-01,5.609E-01
2.2213780E+00,4.68616E+01,3.3459E+01,3.2974E+03,1.0877E+01,3.3083E+03,0.000E-01,5.581E-01
2.2324849E+00,4.76044E+01,3.3219E+01,3.2575E+03,1.0870E+01,3.2683E+03,0.000E-01,5.554E-01
2.2436473E+00,4.82902E+01,3.2981E+01,3.2180E+03,1.0862E+01,3.2289E+03,0.000E-01,5.526E-01
2.2548656E+00,4.89263E+01,3.2744E+01,3.1790E+03,1.0855E+01,3.1899E+03,0.000E-01,5.499E-01
2.2661399E+00,4.95183E+01,3.2510E+01,3.1406E+03,1.0847E+01,3.1514E+03,0.000E-01,5.471E-01
2.2774706E+00,5.00710E+01,3.2277E+01,3.1025E+03,1.0840E+01,3.1134E+03,0.000E-01,5.444E-01
2.2888579E+00,5.05880E+01,3.2046E+01,3.0650E+03,1.0832E+01,3.0758E+03,0.000E-01,5.417E-01
2.3003022E+00,5.10723E+01,3.1816E+01,3.0279E+03,1.0824E+01,3.0387E+03,0.000E-01,5.390E-01
2.3118037E+00,5.15265E+01,3.1588E+01,2.9913E+03,1.0815E+01,3.0021E+03,0.000E-01,5.363E-01
2.3233628E+00,5.19525E+01,3.1361E+01,2.9550E+03,1.0807E+01,2.9658E+03,0.000E-01,5.336E-01
2.3349796E+00,5.23520E+01,3.1136E+01,2.9192E+03,1.0798E+01,2.9300E+03,0.000E-01,5.310E-01
2.3466545E+00,5.27262E+01,3.0913E+01,2.8838E+03,1.0790E+01,2.8946E+03,0.000E-01,5.283E-01
2.3583878E+00,5.30763E+01,3.0691E+01,2.8489E+03,1.0781E+01,2.8597E+03,0.000E-01,5.257E-01
2.3701797E+00,5.34029E+01,3.0471E+01,2.8144E+03,1.0772E+01,2.8252E+03,0.000E-01,5.231E-01
2.3820306E+00,5.37065E+01,3.0252E+01,2.7803E+03,1.0762E+01,2.7911E+03,0.000E-01,5.205E-01
2.3939407E+00,5.39870E+01,3.0036E+01,2.7467E+03,1.0753E+01,2.7574E+03,0.000E-01,5.179E-01
2.4059104E+00,5.42442E+01,2.9821E+01,2.7134E+03,1.0744E+01,2.7242E+03,0.000E-01,5.153E-01
2.4179400E+00,5.44774E+01,2.9607E+01,2.6806E+03,1.0734E+01,2.6913E+03,0.000E-01,5.128E-01
2.4300297E+00,5.46854E+01,2.9395E+01,2.6482E+03,1.0724E+01,2.6589E+03,0.000E-01,5.102E-01
2.4421798E+00,5.48659E+01,2.9185E+01,2.6161E+03,1.0714E+01,2.6268E+03,0.000E-01,5.077E-01
2.4543907E+00,5.50160E+01,2.8976E+01,2.5845E+03,1.0704E+01,2.5952E+03,0.000E-01,5.052E-01
2.4666627E+00,5.51307E+01,2.8769E+01,2.5533E+03,1.0694E+01,2.5640E+03,0.000E-01,5.026E-01
2.4789960E+00,5.52025E+01,2.8564E+01,2.5224E+03,1.0683E+01,2.5331E+03,0.000E-01,5.001E-01
2.4913910E+00,5.52192E+01,2.8360E+01,2.4919E+03,1.0673E+01,2.5026E+03,0.000E-01,4.977E-01
2.5038479E+00,5.51590E+01,2.8157E+01,2.4618E+03,1.0662E+01,2.4725E+03,0.000E-01,4.952E-01
2.5163672E+00,5.49790E+01,2.7956E+01,2.4321E+03,1.0651E+01,2.4428E+03,0.000E-01,4.927E-01
2.5289490E+00,5.45741E+01,2.7757E+01,2.4028E+03,1.0640E+01,2.4134E+03,0.000E-01,4.903E-01
2.5415938E+00,5.35405E+01,2.7559E+01,2.3738E+03,1.0629E+01,2.3844E+03,0.000E-01,4.878E-01
2.5483176E+00,5.16624E+01,2.7455E+01,2.3585E+03,1.0623E+01,2.3692E+03,0.000E-01,4.865E-01
2.5530823E+00,5.16985E+01,3.2140E+01,2.7559E+03,1.0619E+01,2.7665E+03,0.000E-01,4.856E-01
2.5543017E+00,5.23543E+01,3.2117E+01,2.7526E+03,1.0618E+01,2.7632E+03,0.000E-01,4.854E-01
2.5670732E+00,5.49291E+01,3.1877E+01,2.7184E+03,1.0606E+01,2.7290E+03,0.000E-01,4.830E-01
