E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.80940E+01,1.0563E+00,5.4636E+02,2.8436E+00,5.4920E+02,0.000E+00,5.959E-01
2.224304E+00,1.79866E+01,9.4505E-01,4.5728E+02,2.7847E+00,4.6006E+02,0.000E+00,5.574E-01
2.377781E+00,1.78682E+01,8.4636E-01,3.8309E+02,2.7198E+00,3.8581E+02,0.000E+00,5.214E-01
2.541848E+00,1.77332E+01,7.5870E-01,3.2125E+02,2.6493E+00,3.2390E+02,0.000E+00,4.878E-01
2.717235E+00,1.75716E+01,6.8077E-01,2.6965E+02,2.5741E+00,2.7222E+02,0.000E+00,4.563E-01
2.904724E+00,1.73645E+01,6.1143E-01,2.2655E+02,2.4946E+00,2.2904E+02,0.000E+00,4.268E-01
3.105150E+00,1.70762E+01,5.4407E-01,1.8858E+02,2.4116E+00,1.9099E+02,0.000E+00,3.993E-01
3.319406E+00,1.65660E+01,4.7995E-01,1.5562E+02,2.3258E+00,1.5795E+02,0.000E+00,3.735E-01
3.535252E+00,1.51657E+01,4.2673E-01,1.2991E+02,2.2426E+00,1.3215E+02,0.000E+00,3.507E-01
3.548445E+00,1.49494E+01,4.2379E-01,1.2854E+02,2.2376E+00,1.3078E+02,0.000E+00,3.494E-01
3.589363E+00,1.36420E+01,4.1486E-01,1.2440E+02,2.2223E+00,1.2662E+02,0.000E+00,3.454E-01
3.603793E+00,1.18067E+01,4.1178E-01,1.2298E+02,2.2169E+00,1.2520E+02,0.000E+00,3.440E-01
3.625437E+00,1.36705E+01,4.0255E+00,1.1950E+03,2.2089E+00,1.1972E+03,1.074E+03,3.420E-01
3.679548E+00,1.53599E+01,3.9276E+00,1.1488E+03,2.1890E+00,1.1510E+03,1.033E+03,3.370E-01
3.793288E+00,1.65531E+01,3.7342E+00,1.0595E+03,2.1479E+00,1.0616E+03,9.532E+02,3.269E-01
4.055024E+00,1.76584E+01,3.3541E+00,8.9025E+02,2.0571E+00,8.9231E+02,8.023E+02,3.058E-01
4.334821E+00,1.82298E+01,3.0167E+00,7.4900E+02,1.9659E+00,7.5097E+02,6.762E+02,2.860E-01
4.633924E+00,1.85966E+01,2.7144E+00,6.3045E+02,1.8747E+00,6.3232E+02,5.701E+02,2.676E-01
4.953664E+00,1.88512E+01,2.4328E+00,5.2856E+02,1.7841E+00,5.3034E+02,4.785E+02,2.503E-01
5.295467E+00,1.90266E+01,2.1770E+00,4.4246E+02,1.6946E+00,4.4415E+02,4.009E+02,2.341E-01
5.660855E+00,1.91497E+01,1.9467E+00,3.7012E+02,1.6065E+00,3.7173E+02,3.356E+02,2.190E-01
6.051453E+00,1.92357E+01,1.7396E+00,3.0940E+02,1.5202E+00,3.1092E+02,2.808E+02,2.049E-01
6.469004E+00,1.92949E+01,1.5542E+00,2.5857E+02,1.4361E+00,2.6001E+02,2.348E+02,1.917E-01
6.915365E+00,1.93348E+01,1.3883E+00,2.1607E+02,1.3545E+00,2.1742E+02,1.963E+02,1.793E-01
7.392525E+00,1.94018E+01,1.2373E+00,1.8013E+02,1.2756E+00,1.8141E+02,1.638E+02,1.677E-01
7.902609E+00,1.94134E+01,1.0989E+00,1.4966E+02,1.1996E+00,1.5086E+02,1.362E+02,1.569E-01
8.447890E+00,1.94155E+01,9.7605E-01,1.2435E+02,1.1266E+00,1.2548E+02,1.132E+02,1.468E-01
9.030794E+00,1.94122E+01,8.6567E-01,1.0317E+02,1.0569E+00,1.0423E+02,9.396E+01,1.373E-01
9.653919E+00,1.94018E+01,7.6367E-01,8.5137E+01,9.9047E-01,8.6127E+01,7.761E+01,1.284E-01
2.011215E+01,1.91929E+01,1.8808E-01,1.0065E+01,4.7340E-01,1.0538E+01,9.213E+00,6.165E-02
2.149988E+01,1.91767E+01,1.6489E-01,8.2542E+00,4.4372E-01,8.6979E+00,7.554E+00,5.767E-02
2.298338E+01,1.91616E+01,1.4456E-01,6.7694E+00,4.1640E-01,7.1858E+00,6.193E+00,5.395E-02
2.456923E+01,1.91476E+01,1.2674E-01,5.5520E+00,3.9128E-01,5.9433E+00,5.078E+00,5.046E-02
2.626450E+01,1.91350E+01,1.1112E-01,4.5536E+00,3.6823E-01,4.9218E+00,4.163E+00,4.721E-02
2.807676E+01,1.91233E+01,9.6820E-02,3.7114E+00,3.4711E-01,4.0585E+00,3.393E+00,4.416E-02
3.001405E+01,1.91119E+01,8.4188E-02,3.0189E+00,3.2778E-01,3.3467E+00,2.760E+00,4.131E-02
3.208502E+01,1.91014E+01,7.3206E-02,2.4556E+00,3.1011E-01,2.7657E+00,2.245E+00,3.864E-02
3.429889E+01,1.90917E+01,6.3658E-02,1.9975E+00,2.9396E-01,2.2915E+00,1.827E+00,3.615E-02
3.666551E+01,1.90827E+01,5.5356E-02,1.6249E+00,2.7922E-01,1.9041E+00,1.486E+00,3.381E-02
3.919543E+01,1.90746E+01,4.8138E-02,1.3218E+00,2.6576E-01,1.5876E+00,1.209E+00,3.163E-02
4.189992E+01,1.90671E+01,4.1862E-02,1.0753E+00,2.5347E-01,1.3288E+00,9.833E-01,2.959E-02
4.479101E+01,1.90603E+01,3.6404E-02,8.7475E-01,2.4224E-01,1.1170E+00,7.999E-01,2.768E-02
4.788159E+01,1.90542E+01,3.1659E-02,7.1163E-01,2.3198E-01,9.4361E-01,6.507E-01,2.589E-02
5.118542E+01,1.90486E+01,2.7533E-02,5.7893E-01,2.2259E-01,8.0152E-01,5.293E-01,2.422E-02
5.471721E+01,1.90436E+01,2.3945E-02,4.7099E-01,2.1398E-01,6.8497E-01,4.306E-01,2.266E-02
5.849270E+01,1.90391E+01,2.0825E-02,3.8317E-01,2.0607E-01,5.8924E-01,3.503E-01,2.120E-02
6.252870E+01,1.90350E+01,1.8111E-02,3.1174E-01,1.9880E-01,5.1054E-01,2.849E-01,1.983E-02
6.684318E+01,1.90313E+01,1.5752E-02,2.5362E-01,1.9208E-01,4.4570E-01,2.318E-01,1.855E-02
