E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,5.18973E+01,1.4606E+01,2.1266E+03,7.7014E+00,2.1343E+03,0.000E+00,5.959E-01
2.224304E+00,5.22206E+01,1.3340E+01,1.8169E+03,7.6262E+00,1.8245E+03,0.000E+00,5.574E-01
2.377781E+00,5.25442E+01,1.2171E+01,1.5506E+03,7.5305E+00,1.5581E+03,0.000E+00,5.214E-01
2.541848E+00,5.27346E+01,1.1099E+01,1.3228E+03,7.4154E+00,1.3302E+03,0.000E+00,4.878E-01
2.717235E+00,5.28027E+01,1.0131E+01,1.1295E+03,7.2820E+00,1.1368E+03,0.000E+00,4.563E-01
2.904724E+00,5.28464E+01,9.2543E+00,9.6516E+02,7.1318E+00,9.7229E+02,0.000E+00,4.268E-01
3.105150E+00,5.28835E+01,8.3917E+00,8.1870E+02,6.9660E+00,8.2567E+02,0.000E+00,3.993E-01
3.319406E+00,5.27902E+01,7.5590E+00,6.8986E+02,6.7861E+00,6.9665E+02,0.000E+00,3.735E-01
3.548445E+00,5.25879E+01,6.7776E+00,5.7863E+02,6.5937E+00,5.8522E+02,0.000E+00,3.494E-01
3.793288E+00,5.22804E+01,6.0781E+00,4.8542E+02,6.3903E+00,4.9181E+02,0.000E+00,3.269E-01
4.055024E+00,5.18694E+01,5.4587E+00,4.0781E+02,6.1775E+00,4.1399E+02,0.000E+00,3.058E-01
4.334821E+00,5.13283E+01,4.9111E+00,3.4322E+02,5.9569E+00,3.4918E+02,0.000E+00,2.860E-01
4.633924E+00,5.05850E+01,4.4267E+00,2.8939E+02,5.7301E+00,2.9512E+02,0.000E+00,2.676E-01
4.953664E+00,4.94384E+01,3.9916E+00,2.4411E+02,5.4986E+00,2.4961E+02,0.000E+00,2.503E-01
5.295467E+00,4.69684E+01,3.5875E+00,2.0523E+02,5.2640E+00,2.1049E+02,0.000E+00,2.341E-01
5.373046E+00,4.57290E+01,3.5036E+00,1.9754E+02,5.2125E+00,2.0275E+02,0.000E+00,2.308E-01
5.455286E+00,4.25859E+01,3.4185E+00,1.8983E+02,5.1587E+00,1.9499E+02,0.000E+00,2.273E-01
5.477217E+00,3.89711E+01,3.3963E+00,1.8785E+02,5.1445E+00,1.9299E+02,0.000E+00,2.264E-01
5.510113E+00,4.25027E+01,1.0377E+01,5.7051E+02,5.1233E+00,5.7563E+02,0.000E+00,2.250E-01
5.592354E+00,4.55088E+01,1.0105E+01,5.4739E+02,5.0707E+00,5.5246E+02,0.000E+00,2.217E-01
5.660855E+00,4.63900E+01,9.8871E+00,5.2911E+02,5.0275E+00,5.3414E+02,0.000E+00,2.190E-01
5.772788E+00,4.68156E+01,9.5487E+00,5.0109E+02,4.9579E+00,5.0605E+02,0.000E+00,2.148E-01
5.861147E+00,4.58940E+01,9.3016E+00,4.8077E+02,4.9040E+00,4.8567E+02,0.000E+00,2.115E-01
5.884710E+00,4.42328E+01,9.2377E+00,4.7555E+02,4.8898E+00,4.8044E+02,0.000E+00,2.107E-01
5.920053E+00,4.61993E+01,1.2650E+01,6.4732E+02,4.8685E+00,6.5219E+02,0.000E+00,2.094E-01
6.008412E+00,4.81320E+01,1.2328E+01,6.2157E+02,4.8159E+00,6.2639E+02,0.000E+00,2.064E-01
6.051453E+00,4.86016E+01,1.2176E+01,6.0955E+02,4.7906E+00,6.1434E+02,0.000E+00,2.049E-01
6.140974E+00,4.91977E+01,1.1871E+01,5.8559E+02,4.7385E+00,5.9033E+02,0.000E+00,2.019E-01
