E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,3.01553E+00,7.0833E-03,2.0638E+01,3.6223E-01,2.1000E+01,2.032E+01,5.959E-01
2.224304E+00,3.01387E+00,6.1326E-03,1.6715E+01,3.5668E-01,1.7072E+01,1.646E+01,5.574E-01
2.377781E+00,3.01238E+00,5.3094E-03,1.3537E+01,3.5050E-01,1.3888E+01,1.333E+01,5.214E-01
2.541848E+00,3.01105E+00,4.5965E-03,1.0963E+01,3.4376E-01,1.1307E+01,1.079E+01,4.878E-01
2.717235E+00,3.00986E+00,3.9792E-03,8.8782E+00,3.3657E-01,9.2148E+00,8.742E+00,4.563E-01
2.904724E+00,3.00881E+00,3.4448E-03,7.1897E+00,3.2900E-01,7.5187E+00,7.080E+00,4.268E-01
3.105150E+00,3.00786E+00,2.9684E-03,5.7955E+00,3.2114E-01,6.1166E+00,5.707E+00,3.993E-01
3.319406E+00,3.00699E+00,2.5468E-03,4.6515E+00,3.1308E-01,4.9646E+00,4.580E+00,3.735E-01
3.548445E+00,3.00621E+00,2.1851E-03,3.7333E+00,3.0489E-01,4.0382E+00,3.676E+00,3.494E-01
3.793288E+00,3.00552E+00,1.8748E-03,2.9963E+00,2.9665E-01,3.2930E+00,2.950E+00,3.269E-01
4.055024E+00,3.00490E+00,1.6085E-03,2.4048E+00,2.8842E-01,2.6932E+00,2.368E+00,3.058E-01
4.334821E+00,3.00435E+00,1.3801E-03,1.9301E+00,2.8028E-01,2.2104E+00,1.900E+00,2.860E-01
4.633924E+00,3.00385E+00,1.1841E-03,1.5491E+00,2.7227E-01,1.8214E+00,1.525E+00,2.676E-01
4.953664E+00,3.00341E+00,1.0159E-03,1.2433E+00,2.6445E-01,1.5078E+00,1.224E+00,2.503E-01
5.295467E+00,3.00302E+00,8.7162E-04,9.9788E-01,2.5685E-01,1.2547E+00,9.825E-01,2.341E-01
5.660855E+00,3.00268E+00,7.4783E-04,8.0090E-01,2.4952E-01,1.0504E+00,7.886E-01,2.190E-01
6.051453E+00,3.00237E+00,6.4162E-04,6.4280E-01,2.4249E-01,8.8529E-01,6.329E-01,2.049E-01
6.469004E+00,3.00210E+00,5.5050E-04,5.1591E-01,2.3578E-01,7.5169E-01,5.080E-01,1.917E-01
6.915365E+00,3.00186E+00,4.7232E-04,4.1407E-01,2.2941E-01,6.4348E-01,4.077E-01,1.793E-01
7.392525E+00,3.00164E+00,4.0524E-04,3.3233E-01,2.2339E-01,5.5572E-01,3.272E-01,1.677E-01
7.902609E+00,3.00145E+00,3.4768E-04,2.6673E-01,2.1772E-01,4.8445E-01,2.626E-01,1.569E-01
8.447890E+00,3.00128E+00,2.9831E-04,2.1408E-01,2.1241E-01,4.2649E-01,2.108E-01,1.468E-01
9.030794E+00,3.00113E+00,2.5574E-04,1.7168E-01,2.0745E-01,3.7913E-01,1.690E-01,1.373E-01
9.653919E+00,3.00100E+00,2.1863E-04,1.3730E-01,2.0284E-01,3.4014E-01,1.352E-01,1.284E-01
2.011215E+01,3.00025E+00,3.8979E-05,1.1750E-02,1.7048E-01,1.8223E-01,1.156E-02,6.165E-02
2.149988E+01,3.00022E+00,3.3323E-05,9.3966E-03,1.6868E-01,1.7808E-01,9.243E-03,5.767E-02
2.298338E+01,3.00019E+00,2.8488E-05,7.5147E-03,1.6698E-01,1.7449E-01,7.392E-03,5.395E-02
2.456923E+01,3.00017E+00,2.4355E-05,6.0097E-03,1.6537E-01,1.7138E-01,5.911E-03,5.046E-02
2.626450E+01,3.00015E+00,2.0857E-05,4.8144E-03,1.6382E-01,1.6863E-01,4.735E-03,4.721E-02
2.807676E+01,3.00013E+00,1.7837E-05,3.8515E-03,1.6232E-01,1.6617E-01,3.788E-03,4.416E-02
3.001405E+01,3.00012E+00,1.5245E-05,3.0794E-03,1.6086E-01,1.6394E-01,3.028E-03,4.131E-02
3.208502E+01,3.00010E+00,1.3030E-05,2.4621E-03,1.5941E-01,1.6187E-01,2.421E-03,3.864E-02
3.429889E+01,3.00009E+00,1.1137E-05,1.9686E-03,1.5797E-01,1.5994E-01,1.935E-03,3.615E-02
3.666551E+01,3.00008E+00,9.5189E-06,1.5739E-03,1.5653E-01,1.5810E-01,1.547E-03,3.381E-02
3.919543E+01,3.00007E+00,8.1358E-06,1.2584E-03,1.5507E-01,1.5633E-01,1.237E-03,3.163E-02
4.189992E+01,3.00006E+00,6.9538E-06,1.0062E-03,1.5360E-01,1.5461E-01,9.887E-04,2.959E-02
4.479101E+01,3.00005E+00,5.9434E-06,8.0446E-04,1.5209E-01,1.5289E-01,7.904E-04,2.768E-02
4.788159E+01,3.00005E+00,5.0799E-06,6.4319E-04,1.5055E-01,1.5119E-01,6.319E-04,2.589E-02
5.118542E+01,3.00004E+00,4.3418E-06,5.1426E-04,1.4897E-01,1.4948E-01,5.052E-04,2.422E-02
5.471721E+01,3.00004E+00,3.7110E-06,4.1117E-04,1.4734E-01,1.4775E-01,4.039E-04,2.266E-02
5.849270E+01,3.00003E+00,3.1718E-06,3.2875E-04,1.4566E-01,1.4599E-01,3.229E-04,2.120E-02
6.252870E+01,3.00003E+00,2.7110E-06,2.6285E-04,1.4394E-01,1.4420E-01,2.581E-04,1.983E-02
6.684318E+01,3.00002E+00,2.3171E-06,2.1016E-04,1.4216E-01,1.4237E-01,2.063E-04,1.855E-02
7.145536E+01,3.00002E+00,1.9805E-06,1.6803E-04,1.4033E-01,1.4050E-01,1.650E-04,1.735E-02
7.638578E+01,3.00002E+00,1.6927E-06,1.3435E-04,1.3845E-01,1.3858E-01,1.319E-04,1.623E-02
8.165640E+01,3.00002E+00,1.4468E-06,1.0742E-04,1.3652E-01,1.3663E-01,1.054E-04,1.518E-02
8.729069E+01,3.00001E+00,1.2366E-06,8.5885E-05,1.3454E-01,1.3463E-01,8.428E-05,1.420E-02
9.331374E+01,3.00001E+00,1.0569E-06,6.8669E-05,1.3251E-01,1.3258E-01,6.738E-05,1.329E-02
9.975239E+01,3.00001E+00,9.0339E-07,5.4904E-05,1.3043E-01,1.3048E-01,5.386E-05,1.243E-02
2.078156E+02,3.00000E+00,1.6067E-07,4.6873E-06,1.0547E-01,1.0547E-01,4.591E-06,5.966E-03
2.221548E+02,3.00000E+00,1.3733E-07,3.7478E-06,1.0310E-01,1.0310E-01,3.670E-06,5.581E-03
2.374835E+02,3.00000E+00,1.1738E-07,2.9966E-06,1.0073E-01,1.0073E-01,2.934E-06,5.221E-03
2.538699E+02,3.00000E+00,1.0033E-07,2.3959E-06,9.8358E-02,9.8360E-02,2.346E-06,4.884E-03
2.713869E+02,3.00000E+00,8.5755E-08,1.9157E-06,9.5996E-02,9.5998E-02,1.875E-06,4.569E-03
