E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0035635E+00,4.83410E+01,2.7720E+01,3.3274E+03,1.0222E+01,3.3376E+03,0.000E-01,6.188E-01
2.0135813E+00,4.75503E+01,2.7511E+01,3.2860E+03,1.0218E+01,3.2962E+03,0.000E-01,6.157E-01
2.0213134E+00,4.54969E+01,2.7352E+01,3.2545E+03,1.0215E+01,3.2647E+03,0.000E-01,6.134E-01
2.0236492E+00,3.95706E+01,3.2141E+01,3.8198E+03,1.0214E+01,3.8300E+03,0.000E-01,6.127E-01
2.0258868E+00,4.55521E+01,3.2081E+01,3.8085E+03,1.0213E+01,3.8187E+03,0.000E-01,6.120E-01
2.0337675E+00,4.80629E+01,3.1873E+01,3.7691E+03,1.0210E+01,3.7794E+03,0.000E-01,6.096E-01
2.0439363E+00,4.93775E+01,3.1608E+01,3.7192E+03,1.0205E+01,3.7294E+03,0.000E-01,6.066E-01
2.0541560E+00,5.02322E+01,3.1345E+01,3.6699E+03,1.0201E+01,3.6801E+03,0.000E-01,6.036E-01
2.0644268E+00,5.08904E+01,3.1084E+01,3.6213E+03,1.0196E+01,3.6315E+03,0.000E-01,6.006E-01
2.0747489E+00,5.14348E+01,3.0823E+01,3.5730E+03,1.0191E+01,3.5832E+03,0.000E-01,5.976E-01
2.0851227E+00,5.19021E+01,3.0564E+01,3.5254E+03,1.0186E+01,3.5356E+03,0.000E-01,5.946E-01
2.0955483E+00,5.23120E+01,3.0308E+01,3.4784E+03,1.0181E+01,3.4886E+03,0.000E-01,5.917E-01
2.1060260E+00,5.26757E+01,3.0054E+01,3.4321E+03,1.0176E+01,3.4422E+03,0.000E-01,5.887E-01
2.1165562E+00,5.29993E+01,2.9801E+01,3.3863E+03,1.0170E+01,3.3965E+03,0.000E-01,5.858E-01
2.1271389E+00,5.32853E+01,2.9561E+01,3.3423E+03,1.0164E+01,3.3525E+03,0.000E-01,5.829E-01
2.1377746E+00,5.35488E+01,2.9338E+01,3.3006E+03,1.0159E+01,3.3108E+03,0.000E-01,5.800E-01
2.1484635E+00,5.37932E+01,2.9118E+01,3.2595E+03,1.0153E+01,3.2697E+03,0.000E-01,5.771E-01
2.1592058E+00,5.40184E+01,2.8901E+01,3.2191E+03,1.0146E+01,3.2293E+03,0.000E-01,5.742E-01
2.1700018E+00,5.42241E+01,2.8687E+01,3.1794E+03,1.0140E+01,3.1895E+03,0.000E-01,5.714E-01
2.1808519E+00,5.44098E+01,2.8475E+01,3.1403E+03,1.0134E+01,3.1504E+03,0.000E-01,5.685E-01
2.1917561E+00,5.45741E+01,2.8267E+01,3.1018E+03,1.0127E+01,3.1119E+03,0.000E-01,5.657E-01
2.2027149E+00,5.47142E+01,2.8062E+01,3.0639E+03,1.0120E+01,3.0740E+03,0.000E-01,5.629E-01
2.2137285E+00,5.48252E+01,2.7859E+01,3.0266E+03,1.0113E+01,3.0368E+03,0.000E-01,5.601E-01
2.2247971E+00,5.48972E+01,2.7659E+01,2.9899E+03,1.0106E+01,3.0000E+03,0.000E-01,5.573E-01
2.2359211E+00,5.49095E+01,2.7461E+01,2.9538E+03,1.0099E+01,2.9639E+03,0.000E-01,5.545E-01
2.2471007E+00,5.48064E+01,2.7265E+01,2.9182E+03,1.0092E+01,2.9283E+03,0.000E-01,5.518E-01
2.2583362E+00,5.43130E+01,2.7072E+01,2.8831E+03,1.0084E+01,2.8932E+03,0.000E-01,5.490E-01
2.2608064E+00,5.39624E+01,2.7030E+01,2.8755E+03,1.0083E+01,2.8856E+03,0.000E-01,5.484E-01
2.2661935E+00,5.40354E+01,2.8855E+01,3.0623E+03,1.0079E+01,3.0724E+03,0.000E-01,5.471E-01
2.2696279E+00,5.46022E+01,2.8789E+01,3.0507E+03,1.0077E+01,3.0608E+03,0.000E-01,5.463E-01
2.2809760E+00,5.54404E+01,2.8574E+01,3.0128E+03,1.0069E+01,3.0229E+03,0.000E-01,5.436E-01
2.2923809E+00,5.59313E+01,2.8361E+01,2.9755E+03,1.0061E+01,2.9856E+03,0.000E-01,5.409E-01
2.3038428E+00,5.63087E+01,2.8151E+01,2.9387E+03,1.0053E+01,2.9488E+03,0.000E-01,5.382E-01
2.3153620E+00,5.66256E+01,2.7943E+01,2.9025E+03,1.0044E+01,2.9126E+03,0.000E-01,5.355E-01
2.3269388E+00,5.69029E+01,2.7737E+01,2.8668E+03,1.0036E+01,2.8768E+03,0.000E-01,5.328E-01
2.3385735E+00,5.71509E+01,2.7533E+01,2.8316E+03,1.0027E+01,2.8416E+03,0.000E-01,5.302E-01
2.3502664E+00,5.73751E+01,2.7332E+01,2.7969E+03,1.0019E+01,2.8069E+03,0.000E-01,5.275E-01
