E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.20708E+01,2.0422E+00,1.6993E+03,1.8779E+00,1.7012E+03,1.589E+03,5.959E-01
2.224304E+00,1.21624E+01,1.8378E+00,1.4305E+03,1.8344E+00,1.4323E+03,1.339E+03,5.574E-01
2.377781E+00,1.22323E+01,1.6539E+00,1.2042E+03,1.7873E+00,1.2060E+03,1.128E+03,5.214E-01
2.541848E+00,1.22852E+01,1.4866E+00,1.0126E+03,1.7371E+00,1.0143E+03,9.490E+02,4.878E-01
2.717235E+00,1.23707E+01,1.3291E+00,8.4687E+02,1.6840E+00,8.4855E+02,7.939E+02,4.563E-01
2.904724E+00,1.23918E+01,1.1850E+00,7.0629E+02,1.6287E+00,7.0792E+02,6.622E+02,4.268E-01
3.105150E+00,1.24049E+01,1.0522E+00,5.8670E+02,1.5716E+00,5.8827E+02,5.503E+02,3.993E-01
3.319406E+00,1.24053E+01,9.3089E-01,4.8554E+02,1.5130E+00,4.8705E+02,4.557E+02,3.735E-01
3.548445E+00,1.23973E+01,8.2358E-01,4.0184E+02,1.4534E+00,4.0329E+02,3.773E+02,3.494E-01
3.793288E+00,1.23843E+01,7.2867E-01,3.3258E+02,1.3931E+00,3.3397E+02,3.125E+02,3.269E-01
4.055024E+00,1.23682E+01,6.4473E-01,2.7527E+02,1.3327E+00,2.7660E+02,2.587E+02,3.058E-01
4.334821E+00,1.23501E+01,5.7048E-01,2.2785E+02,1.2724E+00,2.2912E+02,2.143E+02,2.860E-01
4.633924E+00,1.23310E+01,5.0479E-01,1.8860E+02,1.2125E+00,1.8981E+02,1.774E+02,2.676E-01
4.953664E+00,1.23116E+01,4.4669E-01,1.5612E+02,1.1535E+00,1.5727E+02,1.469E+02,2.503E-01
5.295467E+00,1.22924E+01,3.9528E-01,1.2924E+02,1.0954E+00,1.3034E+02,1.217E+02,2.341E-01
5.660855E+00,1.22740E+01,3.4977E-01,1.0697E+02,1.0387E+00,1.0801E+02,1.007E+02,2.190E-01
6.051453E+00,1.22558E+01,3.0719E-01,8.7889E+01,9.8349E-01,8.8872E+01,8.275E+01,2.049E-01
6.469004E+00,1.22374E+01,2.6981E-01,7.2210E+01,9.2997E-01,7.3140E+01,6.797E+01,1.917E-01
6.915365E+00,1.22194E+01,2.3698E-01,5.9330E+01,8.7831E-01,6.0208E+01,5.583E+01,1.793E-01
7.392525E+00,1.22022E+01,2.0815E-01,4.8749E+01,8.2864E-01,4.9578E+01,4.586E+01,1.677E-01
7.902609E+00,1.21860E+01,1.8283E-01,4.0055E+01,7.8105E-01,4.0836E+01,3.767E+01,1.569E-01
8.447890E+00,1.21710E+01,1.6060E-01,3.2913E+01,7.3564E-01,3.3649E+01,3.095E+01,1.468E-01
9.030794E+00,1.21570E+01,1.4079E-01,2.6991E+01,6.9243E-01,2.7683E+01,2.537E+01,1.373E-01
9.653919E+00,1.21436E+01,1.2254E-01,2.1977E+01,6.5148E-01,2.2628E+01,2.066E+01,1.284E-01
2.011215E+01,1.20469E+01,2.6648E-02,2.2940E+00,3.4041E-01,2.6344E+00,2.156E+00,6.165E-02
2.149988E+01,1.20421E+01,2.3199E-02,1.8682E+00,3.2300E-01,2.1912E+00,1.755E+00,5.767E-02
2.298338E+01,1.20378E+01,2.0196E-02,1.5214E+00,3.0700E-01,1.8284E+00,1.429E+00,5.395E-02
2.456923E+01,1.20339E+01,1.7582E-02,1.2390E+00,2.9232E-01,1.5313E+00,1.164E+00,5.046E-02
2.626450E+01,1.20304E+01,1.5306E-02,1.0090E+00,2.7886E-01,1.2879E+00,9.477E-01,4.721E-02
2.807676E+01,1.20272E+01,1.3269E-02,8.1823E-01,2.6653E-01,1.0848E+00,7.685E-01,4.416E-02
3.001405E+01,1.20244E+01,1.1454E-02,6.6071E-01,2.5525E-01,9.1596E-01,6.203E-01,4.131E-02
3.208502E+01,1.20218E+01,9.8871E-03,5.3352E-01,2.4491E-01,7.7843E-01,5.008E-01,3.864E-02
3.429889E+01,1.20195E+01,8.5347E-03,4.3082E-01,2.3544E-01,6.6626E-01,4.043E-01,3.615E-02
3.666551E+01,1.20174E+01,7.3674E-03,3.4789E-01,2.2675E-01,5.7464E-01,3.264E-01,3.381E-02
3.919543E+01,1.20155E+01,6.3597E-03,2.8092E-01,2.1878E-01,4.9970E-01,2.635E-01,3.163E-02
4.189992E+01,1.20138E+01,5.4892E-03,2.2682E-01,2.1145E-01,4.3827E-01,2.127E-01,2.959E-02
4.479101E+01,1.20123E+01,4.7372E-03,1.8311E-01,2.0470E-01,3.8781E-01,1.717E-01,2.768E-02
4.788159E+01,1.20109E+01,4.0882E-03,1.4783E-01,1.9845E-01,3.4628E-01,1.386E-01,2.589E-02
5.118542E+01,1.20097E+01,3.5282E-03,1.1934E-01,1.9267E-01,3.1201E-01,1.119E-01,2.422E-02
5.471721E+01,1.20086E+01,3.0449E-03,9.6344E-02,1.8729E-01,2.8363E-01,9.032E-02,2.266E-02
5.849270E+01,1.20077E+01,2.6278E-03,7.7780E-02,1.8226E-01,2.6004E-01,7.292E-02,2.120E-02
6.252870E+01,1.20068E+01,2.2678E-03,6.2793E-02,1.7754E-01,2.4033E-01,5.886E-02,1.983E-02
6.684318E+01,1.20060E+01,1.9572E-03,5.0693E-02,1.7310E-01,2.2379E-01,4.752E-02,1.855E-02
7.145536E+01,1.20053E+01,1.6891E-03,4.0926E-02,1.6889E-01,2.0982E-01,3.836E-02,1.735E-02
7.638578E+01,1.20047E+01,1.4577E-03,3.3040E-02,1.6488E-01,1.9792E-01,3.097E-02,1.623E-02
8.165640E+01,1.20042E+01,1.2580E-03,2.6674E-02,1.6105E-01,1.8772E-01,2.500E-02,1.518E-02
8.729069E+01,1.20037E+01,1.0857E-03,2.1534E-02,1.5737E-01,1.7890E-01,2.018E-02,1.420E-02
9.331374E+01,1.20033E+01,9.3701E-04,1.7385E-02,1.5381E-01,1.7120E-01,1.629E-02,1.329E-02
9.975239E+01,1.20029E+01,8.0867E-04,1.4036E-02,1.5036E-01,1.6440E-01,1.315E-02,1.243E-02
2.078156E+02,1.20007E+01,1.6000E-04,1.3330E-03,1.1606E-01,1.1739E-01,1.248E-03,5.966E-03
2.221548E+02,1.20007E+01,1.3809E-04,1.0762E-03,1.1311E-01,1.1419E-01,1.007E-03,5.581E-03
2.374835E+02,1.20006E+01,1.1918E-04,8.6886E-04,1.1018E-01,1.1105E-01,8.132E-04,5.221E-03
2.538699E+02,1.20005E+01,1.0286E-04,7.0147E-04,1.0728E-01,1.0798E-01,6.565E-04,4.884E-03
2.713869E+02,1.20005E+01,8.8772E-05,5.6633E-04,1.0439E-01,1.0496E-01,5.300E-04,4.569E-03
2.901126E+02,1.20004E+01,7.6615E-05,4.5722E-04,1.0152E-01,1.0198E-01,4.278E-04,4.274E-03
3.101304E+02,1.20004E+01,6.6123E-05,3.6914E-04,9.8684E-02,9.9053E-02,3.454E-04,3.998E-03
3.315294E+02,1.20003E+01,5.7068E-05,2.9802E-04,9.5869E-02,9.6167E-02,2.788E-04,3.740E-03
3.544049E+02,1.20003E+01,4.9253E-05,2.4061E-04,9.3083E-02,9.3324E-02,2.251E-04,3.498E-03
3.788588E+02,1.20002E+01,4.2508E-05,1.9426E-04,9.0326E-02,9.0520E-02,1.817E-04,3.273E-03
4.050001E+02,1.20002E+01,3.6687E-05,1.5683E-04,8.7602E-02,8.7759E-02,1.467E-04,3.061E-03
4.329451E+02,1.20002E+01,3.1663E-05,1.2662E-04,8.4913E-02,8.5040E-02,1.184E-04,2.864E-03
