E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,7.23046E+00,2.7654E-01,3.9929E+02,1.0613E+00,4.0035E+02,3.810E+02,5.959E-01
2.224304E+00,7.21328E+00,2.4352E-01,3.2892E+02,1.0223E+00,3.2994E+02,3.137E+02,5.574E-01
2.377781E+00,7.19688E+00,2.1445E-01,2.7095E+02,9.8301E-01,2.7193E+02,2.583E+02,5.214E-01
2.541848E+00,7.18139E+00,1.8884E-01,2.2320E+02,9.4375E-01,2.2414E+02,2.127E+02,4.878E-01
2.717235E+00,7.16696E+00,1.6630E-01,1.8387E+02,9.0472E-01,1.8477E+02,1.752E+02,4.563E-01
2.904724E+00,7.15398E+00,1.4645E-01,1.5147E+02,8.6609E-01,1.5234E+02,1.443E+02,4.268E-01
3.105150E+00,7.14238E+00,1.2829E-01,1.2413E+02,8.2806E-01,1.2496E+02,1.182E+02,3.993E-01
3.319406E+00,7.13003E+00,1.1184E-01,1.0123E+02,7.9078E-01,1.0202E+02,9.638E+01,3.735E-01
3.548445E+00,7.11843E+00,9.7505E-02,8.2553E+01,7.5439E-01,8.3307E+01,7.860E+01,3.494E-01
3.793288E+00,7.10763E+00,8.5005E-02,6.7324E+01,7.1903E-01,6.8043E+01,6.410E+01,3.269E-01
4.055024E+00,7.09763E+00,7.4107E-02,5.4905E+01,6.8479E-01,5.5590E+01,5.227E+01,3.058E-01
4.334821E+00,7.08842E+00,6.4606E-02,4.4776E+01,6.5178E-01,4.5428E+01,4.263E+01,2.860E-01
4.633924E+00,7.07996E+00,5.6324E-02,3.6516E+01,6.2007E-01,3.7136E+01,3.476E+01,2.676E-01
4.953664E+00,7.07222E+00,4.9103E-02,2.9780E+01,5.8971E-01,3.0370E+01,2.835E+01,2.503E-01
5.295467E+00,7.06516E+00,4.2809E-02,2.4287E+01,5.6074E-01,2.4848E+01,2.312E+01,2.341E-01
5.660855E+00,7.05874E+00,3.7321E-02,1.9807E+01,5.3321E-01,2.0340E+01,1.885E+01,2.190E-01
6.051453E+00,7.05290E+00,3.2537E-02,1.6153E+01,5.0710E-01,1.6660E+01,1.537E+01,2.049E-01
6.469004E+00,7.04762E+00,2.8366E-02,1.3174E+01,4.8244E-01,1.3656E+01,1.254E+01,1.917E-01
6.915365E+00,7.04284E+00,2.4730E-02,1.0744E+01,4.5921E-01,1.1203E+01,1.022E+01,1.793E-01
7.392525E+00,7.03853E+00,2.1560E-02,8.7620E+00,4.3739E-01,9.1994E+00,8.338E+00,1.677E-01
7.902609E+00,7.03465E+00,1.8724E-02,7.1183E+00,4.1695E-01,7.5352E+00,6.772E+00,1.569E-01
8.447890E+00,7.03113E+00,1.6235E-02,5.7735E+00,3.9785E-01,6.1714E+00,5.490E+00,1.468E-01
9.030794E+00,7.02795E+00,1.4060E-02,4.6775E+00,3.8004E-01,5.0575E+00,4.447E+00,1.373E-01
9.653919E+00,7.02503E+00,1.2128E-02,3.7741E+00,3.6348E-01,4.1376E+00,3.587E+00,1.284E-01
2.011215E+01,7.00701E+00,2.3825E-03,3.5589E-01,2.4601E-01,6.0190E-01,3.377E-01,6.165E-02
2.149988E+01,7.00622E+00,2.0548E-03,2.8713E-01,2.3958E-01,5.2671E-01,2.724E-01,5.767E-02
2.298338E+01,7.00552E+00,1.7722E-03,2.3166E-01,2.3361E-01,4.6527E-01,2.198E-01,5.395E-02
2.456923E+01,7.00489E+00,1.5285E-03,1.8690E-01,2.2804E-01,4.1494E-01,1.773E-01,5.046E-02
2.626450E+01,7.00435E+00,1.3183E-03,1.5079E-01,2.2284E-01,3.7363E-01,1.430E-01,4.721E-02
2.807676E+01,7.00387E+00,1.1327E-03,1.2120E-01,2.1795E-01,3.3915E-01,1.149E-01,4.416E-02
3.001405E+01,7.00343E+00,9.7197E-04,9.7291E-02,2.1334E-01,3.1063E-01,9.224E-02,4.131E-02
3.208502E+01,7.00304E+00,8.3408E-04,7.8100E-02,2.0897E-01,2.8707E-01,7.403E-02,3.864E-02
3.429889E+01,7.00269E+00,7.1576E-04,6.2695E-02,2.0481E-01,2.6750E-01,5.941E-02,3.615E-02
3.666551E+01,7.00238E+00,6.1422E-04,5.0328E-02,2.0083E-01,2.5116E-01,4.768E-02,3.381E-02
3.919543E+01,7.00210E+00,5.2709E-04,4.0401E-02,1.9700E-01,2.3740E-01,3.827E-02,3.163E-02
4.189992E+01,7.00186E+00,4.5232E-04,3.2432E-02,1.9330E-01,2.2573E-01,3.071E-02,2.959E-02
4.479101E+01,7.00164E+00,3.8815E-04,2.6035E-02,1.8971E-01,2.1574E-01,2.465E-02,2.768E-02
4.788159E+01,7.00145E+00,3.3309E-04,2.0900E-02,1.8620E-01,2.0710E-01,1.978E-02,2.589E-02
5.118542E+01,7.00128E+00,2.8584E-04,1.6777E-02,1.8277E-01,1.9955E-01,1.588E-02,2.422E-02
5.471721E+01,7.00113E+00,2.4529E-04,1.3468E-02,1.7940E-01,1.9287E-01,1.274E-02,2.266E-02
5.849270E+01,7.00100E+00,2.1050E-04,1.0812E-02,1.7608E-01,1.8689E-01,1.023E-02,2.120E-02
6.252870E+01,7.00088E+00,1.8064E-04,8.6790E-03,1.7280E-01,1.8148E-01,8.208E-03,1.983E-02
6.684318E+01,7.00078E+00,1.5501E-04,6.9672E-03,1.6955E-01,1.7652E-01,6.587E-03,1.855E-02
7.145536E+01,7.00068E+00,1.3303E-04,5.5930E-03,1.6633E-01,1.7192E-01,5.287E-03,1.735E-02
7.638578E+01,7.00060E+00,1.1416E-04,4.4898E-03,1.6313E-01,1.6762E-01,4.243E-03,1.623E-02
8.165640E+01,7.00053E+00,9.7951E-05,3.6038E-03,1.5995E-01,1.6355E-01,3.405E-03,1.518E-02
8.729069E+01,7.00047E+00,8.4023E-05,2.8918E-03,1.5678E-01,1.5967E-01,2.732E-03,1.420E-02
9.331374E+01,7.00041E+00,7.2075E-05,2.3205E-03,1.5363E-01,1.5595E-01,2.191E-03,1.329E-02
