E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,3.15783E+01,3.3776E+00,7.3523E+02,6.0412E+00,7.4127E+02,0.000E+00,5.959E-01
2.224304E+00,2.95666E+01,3.0723E+00,6.2561E+02,5.9621E+00,6.3157E+02,0.000E+00,5.574E-01
2.323090E+00,2.62700E+01,2.8904E+00,5.6353E+02,5.9024E+00,5.6943E+02,0.000E+00,5.337E-01
2.358648E+00,2.23765E+01,2.8297E+00,5.4338E+02,5.8801E+00,5.4926E+02,0.000E+00,5.257E-01
2.368130E+00,1.79815E+01,2.8139E+00,5.3819E+02,5.8741E+00,5.4406E+02,0.000E+00,5.236E-01
2.377781E+00,2.08709E+01,1.1274E+01,2.1476E+03,5.8679E+00,2.1535E+03,0.000E+00,5.214E-01
2.382353E+00,2.21655E+01,1.1232E+01,2.1354E+03,5.8650E+00,2.1413E+03,0.000E+00,5.204E-01
2.415406E+00,2.53224E+01,1.0933E+01,2.0501E+03,5.8437E+00,2.0559E+03,0.000E+00,5.133E-01
2.417910E+00,2.54136E+01,1.0911E+01,2.0438E+03,5.8420E+00,2.0496E+03,0.000E+00,5.128E-01
2.452376E+00,2.52771E+01,1.0612E+01,1.9600E+03,5.8194E+00,1.9658E+03,0.000E+00,5.056E-01
2.462235E+00,2.34796E+01,1.0530E+01,1.9369E+03,5.8129E+00,1.9427E+03,0.000E+00,5.035E-01
2.477023E+00,2.60450E+01,1.4574E+01,2.6650E+03,5.8031E+00,2.6708E+03,0.000E+00,5.005E-01
2.513994E+00,2.87649E+01,1.4182E+01,2.5551E+03,5.7784E+00,2.5609E+03,0.000E+00,4.932E-01
2.541848E+00,2.98378E+01,1.3909E+01,2.4784E+03,5.7595E+00,2.4842E+03,0.000E+00,4.878E-01
2.643746E+00,3.17857E+01,1.3024E+01,2.2314E+03,5.6894E+00,2.2371E+03,0.000E+00,4.690E-01
2.684212E+00,3.16513E+01,1.2715E+01,2.1456E+03,5.6612E+00,2.1513E+03,0.000E+00,4.619E-01
2.695002E+00,3.08499E+01,1.2636E+01,2.1236E+03,5.6536E+00,2.1293E+03,0.000E+00,4.601E-01
2.711189E+00,3.20413E+01,1.4411E+01,2.4074E+03,5.6422E+00,2.4130E+03,0.000E+00,4.573E-01
