E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.0004844E+00,3.13542E+01,2.4801E+01,2.7429E+03,1.0804E+01,2.7537E+03,0.000E-01,6.198E-01
2.0104868E+00,3.12867E+01,2.4628E+01,2.7102E+03,1.0800E+01,2.7210E+03,0.000E-01,6.167E-01
2.0205393E+00,2.99555E+01,2.4456E+01,2.6779E+03,1.0797E+01,2.6887E+03,0.000E-01,6.136E-01
2.0299512E+00,2.17230E+01,2.4297E+01,2.6481E+03,1.0793E+01,2.6589E+03,0.000E-01,6.108E-01
2.0306420E+00,1.55705E+01,2.4285E+01,2.6460E+03,1.0793E+01,2.6567E+03,0.000E-01,6.106E-01
2.0316490E+00,2.17027E+01,3.5899E+01,3.9093E+03,1.0792E+01,3.9201E+03,0.000E-01,6.103E-01
2.0407952E+00,3.16850E+01,3.5668E+01,3.8667E+03,1.0788E+01,3.8775E+03,0.000E-01,6.075E-01
2.0509992E+00,3.51111E+01,3.5413E+01,3.8200E+03,1.0784E+01,3.8308E+03,0.000E-01,6.045E-01
2.0612542E+00,3.73616E+01,3.5160E+01,3.7739E+03,1.0780E+01,3.7846E+03,0.000E-01,6.015E-01
2.0715604E+00,3.90993E+01,3.4909E+01,3.7283E+03,1.0775E+01,3.7391E+03,0.000E-01,5.985E-01
2.0819182E+00,4.05368E+01,3.4660E+01,3.6833E+03,1.0770E+01,3.6941E+03,0.000E-01,5.955E-01
2.0923278E+00,4.17719E+01,3.4413E+01,3.6388E+03,1.0765E+01,3.6496E+03,0.000E-01,5.926E-01
2.1027895E+00,4.28590E+01,3.4168E+01,3.5949E+03,1.0760E+01,3.6057E+03,0.000E-01,5.896E-01
2.1133034E+00,4.38315E+01,3.3924E+01,3.5516E+03,1.0754E+01,3.5623E+03,0.000E-01,5.867E-01
2.1238699E+00,4.47118E+01,3.3683E+01,3.5087E+03,1.0749E+01,3.5195E+03,0.000E-01,5.838E-01
2.1344893E+00,4.55160E+01,3.3443E+01,3.4664E+03,1.0743E+01,3.4772E+03,0.000E-01,5.809E-01
2.1451617E+00,4.62557E+01,3.3205E+01,3.4246E+03,1.0737E+01,3.4354E+03,0.000E-01,5.780E-01
2.1558875E+00,4.69397E+01,3.2969E+01,3.3834E+03,1.0731E+01,3.3941E+03,0.000E-01,5.751E-01
2.1666670E+00,4.75751E+01,3.2735E+01,3.3426E+03,1.0725E+01,3.3533E+03,0.000E-01,5.722E-01
