E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,7.08077E+01,1.7607E+01,1.5413E+03,1.2356E+01,1.5537E+03,0.000E+00,5.959E-01
2.224304E+00,7.07175E+01,1.6348E+01,1.3386E+03,1.2314E+01,1.3509E+03,0.000E+00,5.574E-01
2.377781E+00,7.04533E+01,1.5209E+01,1.1650E+03,1.2237E+01,1.1772E+03,0.000E+00,5.214E-01
2.541848E+00,6.99855E+01,1.4174E+01,1.0156E+03,1.2125E+01,1.0277E+03,0.000E+00,4.878E-01
2.717235E+00,6.92284E+01,1.3230E+01,8.8680E+02,1.1981E+01,8.9878E+02,0.000E+00,4.563E-01
2.904724E+00,6.80338E+01,1.2341E+01,7.7382E+02,1.1805E+01,7.8562E+02,0.000E+00,4.268E-01
3.105150E+00,6.60065E+01,1.1284E+01,6.6191E+02,1.1600E+01,6.7351E+02,0.000E+00,3.993E-01
3.319406E+00,6.09274E+01,1.0182E+01,5.5871E+02,1.1367E+01,5.7008E+02,0.000E+00,3.735E-01
3.372964E+00,5.81306E+01,9.9380E+00,5.3664E+02,1.1308E+01,5.4795E+02,0.000E+00,3.676E-01
3.424591E+00,5.20006E+01,9.7128E+00,5.1658E+02,1.1250E+01,5.2783E+02,0.000E+00,3.620E-01
3.438358E+00,4.55480E+01,9.6543E+00,5.1141E+02,1.1234E+01,5.2264E+02,0.000E+00,3.606E-01
3.459009E+00,5.08881E+01,2.1709E+01,1.1431E+03,1.1211E+01,1.1543E+03,0.000E+00,3.584E-01
3.510636E+00,5.48531E+01,2.2103E+01,1.1468E+03,1.1152E+01,1.1580E+03,0.000E+00,3.532E-01
3.538976E+00,5.52403E+01,2.2332E+01,1.1494E+03,1.1120E+01,1.1605E+03,0.000E+00,3.503E-01
3.548445E+00,5.52074E+01,2.2411E+01,1.1503E+03,1.1109E+01,1.1614E+03,0.000E+00,3.494E-01
3.593144E+00,5.29824E+01,2.2795E+01,1.1555E+03,1.1058E+01,1.1666E+03,0.000E+00,3.451E-01
3.607589E+00,4.83109E+01,2.2924E+01,1.1574E+03,1.1042E+01,1.1684E+03,0.000E+00,3.437E-01
3.629256E+00,5.44110E+01,3.3167E+01,1.6645E+03,1.1017E+01,1.6755E+03,0.000E+00,3.416E-01
3.683424E+00,6.07885E+01,3.2669E+01,1.6154E+03,1.0955E+01,1.6264E+03,0.000E+00,3.366E-01
3.793288E+00,6.63647E+01,3.1445E+01,1.5099E+03,1.0828E+01,1.5207E+03,0.000E+00,3.269E-01
4.055024E+00,7.18484E+01,2.8132E+01,1.2636E+03,1.0527E+01,1.2741E+03,0.000E+00,3.058E-01
4.090324E+00,7.19797E+01,2.7673E+01,1.2323E+03,1.0486E+01,1.2428E+03,0.000E+00,3.031E-01
4.152931E+00,7.10026E+01,2.6869E+01,1.1784E+03,1.0414E+01,1.1888E+03,0.000E+00,2.985E-01
4.169626E+00,6.89424E+01,2.6657E+01,1.1644E+03,1.0395E+01,1.1748E+03,0.000E+00,2.974E-01
4.194669E+00,7.15401E+01,3.0837E+01,1.3390E+03,1.0367E+01,1.3494E+03,0.000E+00,2.956E-01
4.257276E+00,7.43148E+01,3.0010E+01,1.2839E+03,1.0295E+01,1.2942E+03,0.000E+00,2.912E-01
4.334821E+00,7.60516E+01,2.9026E+01,1.2196E+03,1.0207E+01,1.2298E+03,0.000E+00,2.860E-01
4.633924E+00,7.93694E+01,2.5821E+01,1.0149E+03,9.8715E+00,1.0248E+03,0.000E+00,2.676E-01
4.900882E+00,8.05241E+01,2.3541E+01,8.7489E+02,9.5798E+00,8.8447E+02,0.000E+00,2.530E-01
4.953664E+00,8.04272E+01,2.3135E+01,8.5064E+02,9.5231E+00,8.6016E+02,0.000E+00,2.503E-01
4.975895E+00,8.02284E+01,2.2968E+01,8.4074E+02,9.4993E+00,8.5024E+02,0.000E+00,2.492E-01
4.995899E+00,7.95584E+01,2.2820E+01,8.3197E+02,9.4779E+00,8.4145E+02,0.000E+00,2.482E-01
5.025904E+00,8.04156E+01,2.4078E+01,8.7257E+02,9.4460E+00,8.8202E+02,0.000E+00,2.467E-01
5.100918E+00,8.13388E+01,2.3547E+01,8.4078E+02,9.3666E+00,8.5015E+02,0.000E+00,2.431E-01
5.259562E+00,8.21480E+01,2.2501E+01,7.7920E+02,9.2011E+00,7.8840E+02,0.000E+00,2.357E-01
5.295467E+00,8.22146E+01,2.2277E+01,7.6621E+02,9.1640E+00,7.7537E+02,0.000E+00,2.341E-01
5.340065E+00,8.21358E+01,2.2004E+01,7.5049E+02,9.1183E+00,7.5961E+02,0.000E+00,2.322E-01
5.361533E+00,8.17427E+01,2.1874E+01,7.4310E+02,9.0964E+00,7.5220E+02,0.000E+00,2.312E-01
5.393734E+00,8.23772E+01,2.2649E+01,7.6481E+02,9.0636E+00,7.7387E+02,0.000E+00,2.299E-01
5.474238E+00,8.31425E+01,2.2178E+01,7.3790E+02,8.9822E+00,7.4688E+02,0.000E+00,2.265E-01
5.660855E+00,8.41112E+01,2.1150E+01,6.8049E+02,8.7969E+00,6.8929E+02,0.000E+00,2.190E-01
6.051453E+00,8.53779E+01,1.9257E+01,5.7961E+02,8.4240E+00,5.8803E+02,0.000E+00,2.049E-01
6.469004E+00,8.62622E+01,1.7544E+01,4.9396E+02,8.0477E+00,5.0201E+02,0.000E+00,1.917E-01
6.915365E+00,8.70698E+01,1.5966E+01,4.2051E+02,7.6701E+00,4.2818E+02,0.000E+00,1.793E-01
7.392525E+00,8.76251E+01,1.4461E+01,3.5629E+02,7.2934E+00,3.6358E+02,0.000E+00,1.677E-01
7.902609E+00,8.79055E+01,1.3104E+01,3.0202E+02,6.9194E+00,3.0894E+02,0.000E+00,1.569E-01
8.447890E+00,8.81798E+01,1.1893E+01,2.5641E+02,6.5499E+00,2.6296E+02,0.000E+00,1.468E-01
9.030794E+00,8.83335E+01,1.0760E+01,2.1701E+02,6.1865E+00,2.2320E+02,0.000E+00,1.373E-01
9.653919E+00,8.83089E+01,9.6297E+00,1.8168E+02,5.8307E+00,1.8751E+02,0.000E+00,1.284E-01
2.011215E+01,8.44801E+01,7.2367E+00,6.5536E+01,2.6706E+00,6.8207E+01,0.000E+00,6.165E-02
2.021213E+01,8.38530E+01,7.1750E+00,6.4656E+01,2.6546E+00,6.7311E+01,0.000E+00,6.134E-02
2.029339E+01,8.23394E+01,7.1255E+00,6.3952E+01,2.6418E+00,6.6594E+01,0.000E+00,6.110E-02
2.041527E+01,8.38467E+01,1.0027E+01,8.9453E+01,2.6227E+00,9.2076E+01,0.000E+00,6.073E-02
2.068251E+01,8.50222E+01,9.8181E+00,8.6462E+01,2.5815E+00,8.9044E+01,0.000E+00,5.995E-02
2.071997E+01,8.50933E+01,9.7894E+00,8.6054E+01,2.5758E+00,8.8630E+01,0.000E+00,5.984E-02
2.099908E+01,8.51412E+01,9.5803E+00,8.3096E+01,2.5341E+00,8.5630E+01,0.000E+00,5.904E-02
2.108350E+01,8.45398E+01,9.5185E+00,8.2229E+01,2.5217E+00,8.4751E+01,0.000E+00,5.881E-02
2.121012E+01,8.54892E+01,1.0902E+01,9.3620E+01,2.5033E+00,9.6123E+01,0.000E+00,5.846E-02
2.149988E+01,8.65135E+01,1.0685E+01,9.0520E+01,2.4619E+00,9.2982E+01,0.000E+00,5.767E-02
2.152669E+01,8.65772E+01,1.0665E+01,9.0240E+01,2.4582E+00,9.2698E+01,0.000E+00,5.760E-02
2.298338E+01,8.84990E+01,9.6515E+00,7.6485E+01,2.2663E+00,7.8751E+01,0.000E+00,5.395E-02
2.456923E+01,8.94946E+01,8.7034E+00,6.4520E+01,2.0833E+00,6.6603E+01,0.000E+00,5.046E-02
2.626450E+01,9.01380E+01,7.8518E+00,5.4450E+01,1.9126E+00,5.6363E+01,0.000E+00,4.721E-02
2.807676E+01,9.05887E+01,7.0431E+00,4.5690E+01,1.7538E+00,4.7444E+01,0.000E+00,4.416E-02
3.001405E+01,9.08676E+01,6.3053E+00,3.8263E+01,1.6064E+00,3.9869E+01,0.000E+00,4.131E-02
3.208502E+01,9.10439E+01,5.6494E+00,3.2070E+01,1.4699E+00,3.3540E+01,0.000E+00,3.864E-02
3.429889E+01,9.12097E+01,5.0605E+00,2.6873E+01,1.3438E+00,2.8217E+01,0.000E+00,3.615E-02
3.666551E+01,9.12605E+01,4.5286E+00,2.2496E+01,1.2275E+00,2.3724E+01,0.000E+00,3.381E-02
3.919543E+01,9.12730E+01,4.0568E+00,1.8852E+01,1.1205E+00,1.9972E+01,0.000E+00,3.163E-02
4.189992E+01,9.12968E+01,3.6335E+00,1.5795E+01,1.0223E+00,1.6817E+01,0.000E+00,2.959E-02
4.479101E+01,9.12866E+01,3.2428E+00,1.3186E+01,9.3231E-01,1.4118E+01,0.000E+00,2.768E-02
4.788159E+01,9.12296E+01,2.8953E+00,1.1013E+01,8.5003E-01,1.1863E+01,0.000E+00,2.589E-02
5.118542E+01,9.11591E+01,2.5869E+00,9.2053E+00,7.7492E-01,9.9802E+00,0.000E+00,2.422E-02
5.471721E+01,9.10794E+01,2.3132E+00,7.7001E+00,7.0649E-01,8.4066E+00,0.000E+00,2.266E-02
5.849270E+01,9.09933E+01,2.0701E+00,6.4458E+00,6.4425E-01,7.0900E+00,0.000E+00,2.120E-02
6.252870E+01,9.09020E+01,1.8538E+00,5.4000E+00,5.8772E-01,5.9877E+00,0.000E+00,1.983E-02
6.684318E+01,9.08060E+01,1.6614E+00,4.5272E+00,5.3646E-01,5.0637E+00,0.000E+00,1.855E-02
7.145536E+01,9.07049E+01,1.4901E+00,3.7983E+00,4.9004E-01,4.2883E+00,0.000E+00,1.735E-02
7.638578E+01,9.05963E+01,1.3356E+00,3.1848E+00,4.4807E-01,3.6329E+00,0.000E+00,1.623E-02
8.165640E+01,9.04821E+01,1.1945E+00,2.6644E+00,4.1015E-01,3.0746E+00,0.000E+00,1.518E-02
8.729069E+01,9.03401E+01,1.0630E+00,2.2180E+00,3.7594E-01,2.5939E+00,0.000E+00,1.420E-02
9.331374E+01,9.01568E+01,9.4456E-01,1.8437E+00,3.4510E-01,2.1888E+00,0.000E+00,1.329E-02
9.975239E+01,8.98920E+01,8.3817E-01,1.5304E+00,3.1732E-01,1.8477E+00,0.000E+00,1.243E-02
2.078156E+02,9.12355E+01,1.1388E+00,9.9811E-01,1.4551E-01,1.1436E+00,7.918E-01,5.966E-03
