E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,4.00306E+01,5.7651E+00,1.0956E+03,6.8533E+00,1.1025E+03,0.000E+00,5.959E-01
2.224304E+00,3.97193E+01,5.2551E+00,9.3421E+02,6.7712E+00,9.4098E+02,0.000E+00,5.574E-01
2.377781E+00,3.92989E+01,4.7721E+00,7.9358E+02,6.6710E+00,8.0025E+02,0.000E+00,5.214E-01
2.541848E+00,3.87190E+01,4.3369E+00,6.7467E+02,6.5537E+00,6.8122E+02,0.000E+00,4.878E-01
2.717235E+00,3.78775E+01,3.9451E+00,5.7410E+02,6.4205E+00,5.8052E+02,0.000E+00,4.563E-01
2.904724E+00,3.64793E+01,3.5896E+00,4.8865E+02,6.2727E+00,4.9492E+02,0.000E+00,4.268E-01
3.105150E+00,3.29123E+01,3.2270E+00,4.1093E+02,6.1116E+00,4.1704E+02,0.000E+00,3.993E-01
3.109834E+00,3.27326E+01,3.2184E+00,4.0922E+02,6.1078E+00,4.1533E+02,0.000E+00,3.987E-01
3.157434E+00,2.93641E+01,3.1330E+00,3.9236E+02,6.0694E+00,3.9843E+02,0.000E+00,3.927E-01
3.170127E+00,2.56358E+01,3.1109E+00,3.8803E+02,6.0592E+00,3.9409E+02,0.000E+00,3.911E-01
3.189167E+00,2.90306E+01,1.0218E+01,1.2669E+03,6.0438E+00,1.2729E+03,0.000E+00,3.888E-01
3.236766E+00,3.17693E+01,1.0188E+01,1.2446E+03,6.0054E+00,1.2506E+03,0.000E+00,3.830E-01
3.263694E+00,3.22340E+01,1.0172E+01,1.2324E+03,5.9837E+00,1.2384E+03,0.000E+00,3.799E-01
3.313649E+00,3.17769E+01,1.0145E+01,1.2105E+03,5.9434E+00,1.2164E+03,0.000E+00,3.742E-01
3.319406E+00,3.14036E+01,1.0142E+01,1.2081E+03,5.9388E+00,1.2140E+03,0.000E+00,3.735E-01
